DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Dante Cunningham,NOP,DAL,,12:14,0.156,0.211,0.167,0.0,0.222,0.0,0.0,0.0,0.0,0.167,0.208,4,0.5,1,1,1.0,0,0.0,2,0,0,0,0,1,5,2,8.0,0,0,0,,0,0.0,93.6,97.7,-4.1,0.0,0.091,0.625,94.48,0.75,0.25,0.4,0.6,0.0,0.0,1.0,0.0,0.425,0.4,0.133,0.308,0,0,0,0,0,4,0,10,4,0,
2016-10-09,Dante Cunningham,NOP,HOU,,22:29,0.157,0.182,0.182,0.118,0.13,0.0,0.0,0.0,0.0,0.154,0.184,8,0.5,0,2,0.0,2,0.5,3,0,0,0,0,2,9,-6,12.75,0,0,0,,0,0.0,95.2,109.7,-14.6,0.0,0.062,0.5,108.45,0.75,0.25,0.889,0.0,0.0,0.889,1.0,0.0,0.514,0.622,0.14,0.182,0,0,0,8,8,2,7,16,2,1,NBA TV
2016-10-12,Dante Cunningham,NOP,HOU,,18:36,0.253,0.28,0.25,0.267,0.313,0.111,0.182,0.0,0.5,0.294,0.343,7,0.571,1,2,0.5,4,0.75,5,1,0,1,2,5,12,-11,21.0,0,0,0,,0,0.0,84.1,116.2,-32.0,0.167,0.156,0.643,104.82,0.714,0.286,0.5,0.25,0.167,0.5,1.0,0.0,0.458,0.417,0.076,0.286,2,5,0,6,13,6,6,14,6,2,NBA TV
2016-10-18,Dante Cunningham,NOP,ATL,F,29:36,0.246,0.294,0.167,0.0,0.194,0.071,0.167,0.375,0.5,0.077,0.216,15,0.333,1,2,0.5,0,0.0,6,1,3,1,2,1,11,1,27.25,0,0,0,,0,0.0,79.5,79.2,0.3,0.071,0.09,0.367,103.23,0.867,0.133,0.727,0.273,0.182,0.182,1.0,0.0,0.362,0.241,0.19,0.333,2,2,0,2,14,9,4,28,9,0,NBA TV
2015-10-27,Dante Cunningham,NOP,GSW,F,26:31,0.131,0.163,0.214,0.059,0.118,0.0,0.0,0.0,0.0,0.133,0.232,8,0.625,2,3,0.667,1,1.0,2,0,0,0,0,2,13,-15,16.5,3,36,27,0.0,3,0.667,91.1,125.9,-34.8,0.0,0.041,0.75,106.72,0.625,0.375,0.462,0.462,0.615,0.308,1.0,0.0,0.585,0.189,0.142,0.391,8,3,2,4,16,9,11,36,9,1,TNT
2015-10-28,Dante Cunningham,NOP,POR,F,31:21,0.046,0.054,0.12,0.0,0.222,0.083,0.0,0.2,0.0,0.375,0.0,3,0.0,0,3,0.0,0,0.0,6,1,1,0,0,3,0,9,10.75,11,31,28,0.0357,1,0.0,100.8,87.4,13.4,0.04,0.113,0.0,93.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.12,0.132,0.0,0,0,0,0,4,0,2,18,0,0,
2015-10-31,Dante Cunningham,NOP,GSW,F,22:09,0.074,0.085,0.182,0.0,0.056,0.0,0.0,0.0,0.5,0.167,0.16,4,0.75,2,2,1.0,0,0.0,1,0,0,1,0,2,8,-11,12.25,3,32,28,0.0,2,0.5,101.4,129.3,-28.0,0.0,0.028,1.0,104.54,0.5,0.5,0.25,0.75,0.0,0.25,1.0,0.0,0.722,0.389,0.106,0.0,0,3,0,2,9,0,8,12,0,0,NBA TV
2015-11-03,Dante Cunningham,NOP,ORL,,21:11,0.113,0.119,0.118,0.222,0.25,0.077,0.0,0.25,0.0,0.2,0.114,5,0.4,0,2,0.0,2,0.5,6,1,1,0,0,1,5,1,15.75,9,39,32,0.0313,2,0.5,95.7,96.6,-0.9,0.071,0.128,0.4,102.51,0.6,0.4,0.8,0.0,0.6,0.8,1.0,0.0,0.449,0.205,0.135,0.182,3,2,0,4,4,5,4,22,5,1,
2015-11-06,Dante Cunningham,NOP,ATL,F,22:32,0.13,0.15,0.2,0.167,0.2,0.071,0.0,0.0,0.0,0.273,0.174,6,0.5,1,2,0.5,1,1.0,3,1,0,0,0,3,8,-9,13.5,5,35,29,0.0345,2,0.5,94.6,108.7,-14.1,0.063,0.091,0.583,105.7,0.667,0.333,0.5,0.375,0.0,0.25,1.0,0.0,0.614,0.429,0.178,0.0,0,0,0,2,9,0,9,24,0,1,
2015-11-07,Dante Cunningham,NOP,DAL,,18:51,0.079,0.097,0.222,0.0,0.357,0.2,0.0,0.0,0.0,0.111,0.0,3,0.0,0,2,0.0,0,0.0,5,1,0,0,0,1,0,-17,7.5,6,20,17,0.0588,1,0.0,92.1,136.3,-44.2,0.077,0.179,0.0,90.04,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.281,0.056,0.154,0,0,0,0,8,0,6,28,0,0,
2015-11-10,Dante Cunningham,NOP,DAL,,18:05,0.067,0.083,0.091,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.041,3,0.333,0,1,0.0,0,0.0,3,0,0,0,0,0,2,0,5.75,4,24,21,0.0,2,0.5,119.6,120.9,-1.3,0.0,0.091,0.333,108.15,0.667,0.333,1.0,0.0,1.0,1.0,1.0,0.0,0.597,0.222,0.123,0.267,2,2,0,2,8,6,7,32,6,0,
2015-11-11,Dante Cunningham,NOP,ATL,,21:42,0.127,0.088,0.0,0.2,0.222,0.125,0.25,0.0,0.0,0.333,0.189,3,1.0,0,0,0.0,2,0.5,4,1,0,0,2,3,7,-15,12.25,7,38,32,0.0313,0,0.0,83.3,110.0,-26.6,0.091,0.108,1.0,101.43,1.0,0.0,0.857,0.0,0.143,0.0,1.0,0.0,0.566,0.316,0.106,0.059,1,1,0,0,10,0,4,20,0,2,
2015-11-13,Dante Cunningham,NOP,TOR,,18:50,0.098,0.094,0.222,0.0,0.188,0.25,0.2,0.0,0.0,0.0,0.091,3,0.333,1,2,0.5,0,0.0,3,2,0,0,1,0,3,-11,9.25,6,21,17,0.1176,1,0.0,97.2,120.2,-23.0,0.182,0.097,0.5,89.92,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.534,0.517,0.137,0.308,0,0,0,0,6,8,4,10,8,1,
