DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Dante Exum,UTA,POR,,21:35,0.14,0.172,0.375,0.0,0.143,0.286,0.1,0.0,0.0,0.286,0.182,5,0.4,2,3,0.667,0,0.0,3,2,0,0,1,2,6,-3,12.75,0,0,0,,0,0.0,82.6,85.8,-3.2,0.222,0.077,0.6,91.09,0.4,0.6,0.0,1.0,0.5,0.0,1.0,0.0,0.439,0.273,0.143,0.053,3,0,0,0,7,1,4,14,1,0,NBA TV
2016-10-05,Dante Exum,UTA,PHX,G,13:01,0.227,0.2,0.143,0.364,0.1,0.5,0.2,0.0,0.0,0.286,0.167,4,0.5,0,1,0.0,4,0.25,1,4,0,0,1,2,5,5,10.75,0,0,0,,0,0.0,116.1,98.0,18.1,0.5,0.04,0.5,94.7,0.75,0.25,0.8,0.0,0.0,0.8,0.5,0.5,0.417,0.333,0.235,0.571,0,2,0,4,5,8,0,10,8,2,NBA TV
2016-10-10,Dante Exum,UTA,LAC,,22:04,0.113,0.156,0.333,0.0,0.036,0.5,0.091,0.25,0.0,0.2,0.071,5,0.2,1,3,0.333,0,0.0,1,1,1,0,1,3,3,-1,7.5,0,0,0,,0,0.0,95.2,92.5,2.7,0.083,0.024,0.3,98.54,0.4,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.417,0.472,0.108,0.095,0,0,0,0,8,5,7,18,5,2,NBA TV
2016-10-12,Dante Exum,UTA,PHX,G,26:36,0.245,0.25,0.364,0.3,0.05,0.375,0.167,0.2,0.0,0.227,0.286,10,0.5,0,4,0.0,9,0.889,1,3,1,0,2,5,18,-2,24.0,0,0,0,,0,0.0,102.9,103.6,-0.6,0.231,0.024,0.5,111.84,0.6,0.4,0.556,0.0,0.0,0.556,0.2,0.8,0.548,0.69,0.175,0.158,0,0,0,10,19,6,15,26,6,7,NBA TV
2016-10-17,Dante Exum,UTA,LAC,G,31:42,0.191,0.176,0.286,0.429,0.077,0.4,0.111,0.0,0.0,0.125,0.25,9,0.444,2,4,0.5,6,0.833,2,6,0,0,1,2,15,3,25.5,0,0,0,,0,0.0,93.5,86.9,6.6,0.316,0.038,0.556,98.24,0.556,0.444,0.267,0.4,0.4,0.267,0.75,0.25,0.479,0.319,0.198,0.04,6,7,0,4,6,0,5,22,0,4,
2016-10-19,Dante Exum,UTA,POR,,22:16,0.225,0.237,0.182,0.0,0.056,0.429,0.286,0.167,0.0,0.286,0.114,9,0.222,0,2,0.0,0,0.0,1,3,1,0,2,2,4,-9,10.0,0,0,0,,0,0.0,79.6,102.9,-23.3,0.3,0.026,0.222,93.47,0.778,0.222,1.0,0.0,1.0,0.5,0.5,0.5,0.586,0.114,0.187,0.133,4,2,0,2,8,0,4,20,0,0,
2016-10-25,Dante Exum,UTA,POR,,8:20,0.217,0.308,0.2,1.0,0.4,0.0,0.0,0.0,0.0,0.286,0.714,4,0.5,0,1,0.0,1,1.0,2,0,0,0,0,2,5,-18,7.5,2,14,10,0.0,3,0.667,38.0,131.0,-93.1,0.0,0.154,0.5,108.17,0.75,0.25,0.8,0.0,0.0,0.8,0.0,1.0,0.643,0.5,0.21,0.4,0,0,2,4,7,5,0,4,5,1,
2016-10-28,Dante Exum,UTA,LAL,,21:31,0.08,0.067,0.125,0.105,0.0,0.4,0.1,0.0,0.0,0.0,0.108,2,0.5,0,1,0.0,2,1.0,0,2,0,0,1,0,4,-3,6.0,2,23,18,0.1111,0,0.0,87.3,87.0,0.3,0.182,0.0,0.5,98.51,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.459,0.243,0.218,0.263,0,0,0,2,14,7,4,18,7,1,
2016-10-30,Dante Exum,UTA,LAC,,25:39,0.151,0.15,0.083,0.4,0.074,0.222,0.0,0.333,0.0,0.25,0.263,6,0.5,0,1,0.0,4,1.0,2,2,1,0,0,2,10,-5,17.0,3,30,22,0.0909,4,0.5,81.9,86.6,-4.7,0.182,0.04,0.5,89.89,0.833,0.167,0.6,0.0,0.4,0.4,0.667,0.333,0.422,0.133,0.121,0.154,4,0,0,4,10,4,4,18,4,3,
2016-11-01,Dante Exum,UTA,SAS,,13:52,0.201,0.095,0.1,0.375,0.25,0.5,0.429,0.0,0.571,0.25,0.118,2,0.5,0,1,0.0,3,0.667,3,2,0,4,3,2,4,11,16.75,3,18,13,0.1538,1,1.0,111.4,79.8,31.7,0.2,0.136,0.5,102.74,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.318,0.5,0.173,0.214,0,3,0,2,9,0,7,12,0,2,
