DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,Darrell Arthur,DEN,HOU,,15:41,0.163,0.161,0.083,0.0,0.143,0.125,0.2,0.0,1.0,0.143,0.179,5,0.4,1,1,1.0,0,0.0,2,1,0,2,1,1,5,-3,12.75,10,23,17,0.0588,4,0.25,82.6,94.6,-12.0,0.1,0.069,0.5,101.98,0.8,0.2,0.4,0.6,0.6,0.4,1.0,0.0,0.519,0.154,0.214,0.154,3,0,0,2,9,4,6,18,4,1,
2015-10-30,Darrell Arthur,DEN,MIN,,26:26,0.129,0.149,0.158,0.0,0.36,0.25,0.111,0.0,0.5,0.333,0.071,7,0.143,1,3,0.333,0,0.0,9,2,0,1,1,5,3,-6,18.75,16,37,26,0.0769,2,0.0,74.8,84.0,-9.2,0.154,0.176,0.214,102.83,0.571,0.429,0.0,1.0,0.0,0.0,1.0,0.0,0.471,0.657,0.21,0.0,0,0,0,0,13,0,8,16,0,0,
2015-11-01,Darrell Arthur,DEN,OKC,,24:08,0.128,0.143,0.0,0.0,0.286,0.1,0.0,0.5,1.0,0.5,0.133,7,0.429,0,0,0.0,0,0.0,4,1,1,1,0,5,6,-15,16.25,12,45,36,0.0278,1,0.0,94.2,130.5,-36.3,0.063,0.095,0.429,93.2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.643,0.214,0.196,0.563,0,0,2,0,5,8,8,20,8,0,
2015-11-03,Darrell Arthur,DEN,LAL,,15:56,0.148,0.185,0.083,0.0,0.333,0.111,0.0,0.0,0.333,0.2,0.065,5,0.2,0,1,0.0,0,0.0,4,1,0,1,0,2,2,-1,10.25,7,29,23,0.0435,2,0.5,97.2,97.2,0.0,0.083,0.143,0.2,97.61,0.8,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.348,0.783,0.213,0.333,2,0,0,0,3,3,0,10,3,2,NBA TV
2015-11-05,Darrell Arthur,DEN,UTA,,13:58,0.175,0.217,0.143,0.0,0.5,0.167,0.0,0.5,0.0,0.667,0.077,5,0.2,0,1,0.0,0,0.0,4,1,2,0,0,2,2,-14,12.25,6,30,25,0.04,2,0.0,101.4,136.4,-35.0,0.125,0.174,0.2,94.44,0.8,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.712,0.115,0.239,0.5,0,0,0,0,11,11,6,12,11,0,
2015-11-06,Darrell Arthur,DEN,GSW,,12:22,0.172,0.185,0.091,0.4,0.167,0.143,0.0,0.25,0.0,0.8,0.129,5,0.2,0,1,0.0,2,1.0,3,1,1,0,0,4,4,6,11.0,4,18,11,0.0909,3,0.0,109.9,94.7,15.2,0.1,0.111,0.2,105.96,0.8,0.2,0.5,0.0,0.5,0.0,1.0,0.0,0.556,0.556,0.189,0.077,2,0,2,0,7,3,13,4,3,1,
2015-11-09,Darrell Arthur,DEN,POR,,19:32,0.157,0.2,0.125,0.0,0.2,0.125,0.125,0.0,1.0,0.273,0.048,5,0.2,0,1,0.0,0,0.0,3,1,0,2,1,3,2,2,10.5,5,26,22,0.0455,1,0.0,115.8,99.9,15.9,0.077,0.111,0.2,93.77,0.8,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.438,0.5,0.125,0.235,0,0,0,0,10,7,4,14,7,0,
2015-11-11,Darrell Arthur,DEN,MIL,,17:42,0.083,0.107,0.143,0.0,0.067,0.3,0.0,0.0,0.667,0.222,0.054,3,0.333,0,1,0.0,0,0.0,1,3,0,2,0,2,2,8,11.0,4,24,19,0.1579,1,0.0,123.0,86.5,36.5,0.214,0.04,0.333,86.24,0.667,0.333,1.0,0.0,1.0,0.0,1.0,0.0,0.478,0.348,0.268,0.182,2,0,0,0,8,3,5,10,3,0,
2015-11-13,Darrell Arthur,DEN,HOU,,12:26,0.067,0.087,0.0,0.0,0.2,0.167,0.0,0.333,0.0,0.286,0.0,2,0.0,0,0,0.0,0,0.0,3,1,1,0,0,2,0,9,7.0,10,16,14,0.0714,2,0.0,118.7,80.1,38.6,0.091,0.115,0.0,107.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.684,0.209,0.143,0,0,0,0,3,2,2,8,2,0,
2015-11-14,Darrell Arthur,DEN,PHX,,8:26,0.144,0.158,0.0,0.0,0.111,0.0,0.0,0.0,0.5,0.333,0.2,3,0.333,0,0,0.0,0,0.0,1,0,0,1,0,2,2,-4,5.25,4,11,8,0.0,0,0.0,55.9,71.7,-15.8,0.0,0.045,0.333,106.43,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.357,0.571,0.205,0.25,0,0,0,2,0,2,5,4,2,0,NBA TV
