DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-10,Darrun Hilliard,DET,SAS,,20:32,0.161,0.182,0.429,0.0,0.083,0.167,0.143,0.0,0.0,0.0,0.176,6,0.5,0,3,0.0,0,0.0,1,1,0,0,1,0,6,-4,8.0,0,0,0,,0,0.0,83.9,95.6,-11.7,0.091,0.033,0.5,93.83,0.5,0.5,1.0,0.0,0.333,0.667,0.333,0.667,0.5,0.114,0.201,0.357,2,0,4,4,9,7,4,16,7,0,
2016-10-15,Darrun Hilliard,DET,PHI,,21:31,0.104,0.097,0.167,0.111,0.05,0.25,0.125,0.333,0.0,0.222,0.184,3,0.667,1,1,1.0,2,1.0,1,2,2,0,1,2,7,-1,14.75,0,0,0,,0,0.0,92.9,88.6,4.3,0.182,0.026,0.833,94.77,0.667,0.333,0.286,0.429,1.0,0.286,1.0,0.0,0.466,0.552,0.227,0.125,7,4,0,2,7,4,3,12,4,2,
2015-11-23,Darrun Hilliard,DET,MIL,,12:40,0.266,0.28,0.286,0.0,0.214,0.0,0.5,0.0,0.0,0.0,0.08,7,0.143,0,2,0.0,0,0.0,3,0,0,0,2,0,2,0,4.75,4,23,13,0.0,5,0.2,83.8,92.3,-8.5,0.0,0.103,0.143,107.85,0.714,0.286,1.0,0.0,0.0,0.0,1.0,0.0,0.36,0.28,0.148,0.333,0,0,0,0,0,4,3,12,4,1,
2015-11-25,Darrun Hilliard,DET,MIA,,2:45,0.429,0.429,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.714,3,0.667,1,1,1.0,0,0.0,1,0,0,0,0,0,5,-3,6.75,1,7,3,0.0,1,1.0,175.0,250.0,-75.0,0.0,0.25,0.833,69.82,0.667,0.333,0.4,0.6,0.0,0.0,1.0,0.0,1.25,0.0,0.0,0.0,0,0,0,0,0,0,3,2,0,1,
2015-12-06,Darrun Hilliard,DET,LAL,,6:42,0.398,0.455,0.8,0.5,0.1,0.0,0.0,0.0,0.0,0.667,0.455,5,0.2,1,4,0.25,2,1.0,1,0,0,0,0,2,5,-4,6.75,2,11,4,0.0,3,0.0,93.5,123.0,-29.4,0.0,0.071,0.3,85.83,0.2,0.8,0.0,0.6,0.0,0.0,1.0,0.0,0.6,0.5,0.0,0.0,0,0,3,0,3,0,2,6,0,1,
2015-12-07,Darrun Hilliard,DET,CHA,,3:55,0.556,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2,0.0,0,0,0.0,4,0.5,0,0,0,0,0,0,2,2,2.0,0,8,4,0.0,2,0.0,74.0,44.4,29.6,0.0,0.0,0.0,82.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.296,0.2,0,0,0,0,0,0,0,2,0,2,
2015-12-09,Darrun Hilliard,DET,MEM,,6:51,0.084,0.1,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.214,1,1.0,1,1,1.0,0,0.0,1,1,0,0,0,0,3,0,6.0,2,8,7,0.1429,0,0.0,117.8,107.7,10.2,0.25,0.1,1.5,87.17,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.583,0.0,0.231,0.333,0,0,0,0,0,5,0,4,5,0,
2015-12-11,Darrun Hilliard,DET,PHI,,8:54,0.28,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5,0.2,0,0,0.0,0,0.0,0,0,0,0,0,0,2,-22,2.0,0,8,3,0.0,3,0.333,50.4,182.5,-132.1,0.0,0.0,0.2,87.16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.906,0.063,0.061,0.25,0,0,2,0,3,0,0,14,0,0,
2015-12-12,Darrun Hilliard,DET,IND,,3:23,0.571,0.75,0.5,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.0,3,0.333,0,1,0.0,0,0.0,0,0,0,0,1,0,2,-3,1.5,0,8,4,0.0,2,0.5,28.6,63.5,-34.9,0.0,0.0,0.333,105.55,0.667,0.333,1.0,0.0,0.0,1.0,0.0,1.0,0.4,0.4,0.254,0.0,0,0,0,2,1,0,0,0,0,0,
2015-12-23,Darrun Hilliard,DET,ATL,,4:30,0.078,0.091,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-1,0.0,1,3,2,0.0,0,0.0,101.4,101.2,0.1,0.0,0.0,0.0,100.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563,0.25,0.202,0.25,0,0,0,0,3,1,0,2,1,0,
2015-12-29,Darrun Hilliard,DET,NYK,,2:36,0.205,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,3,2.0,1,2,1,0.0,0,0.0,184.4,123.0,61.5,0.0,0.0,1.0,90.09,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.5,0.0,0.0,0,0,0,0,1,0,0,0,0,0,
2015-12-31,Darrun Hilliard,DET,MIN,,3:23,0.3,0.167,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.667,1,0.0,0,0,0.0,4,1.0,0,0,1,0,0,0,4,0,6.0,0,4,1,0.0,1,0.0,65.2,66.7,-1.4,0.0,0.0,0.0,129.1,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.333,0.0,2,4,0,0,3,0,0,0,0,2,
