DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,David West,GSW,TOR,,12:36,0.28,0.217,0.2,0.5,0.4,0.0,0.429,1.0,1.0,0.333,0.2,5,0.4,1,2,0.5,2,0.5,6,0,1,1,3,3,6,9,16.5,0,0,0,,0,0.0,100.8,77.0,23.8,0.0,0.214,0.5,108.65,0.6,0.4,0.333,0.5,0.0,0.333,1.0,0.0,0.304,0.522,0.073,0.188,0,0,0,2,6,4,3,6,4,3,NBA TV
2016-10-04,David West,GSW,LAC,,15:33,0.234,0.24,0.0,0.154,0.385,0.3,0.333,0.0,0.5,0.25,0.22,6,0.667,0,0,0.0,2,0.5,5,3,0,1,1,2,9,11,20.5,0,0,0,,0,0.0,125.3,88.7,36.7,0.3,0.2,0.667,102.73,1.0,0.0,0.889,0.0,0.222,0.667,1.0,0.0,0.389,0.407,0.148,0.2,2,0,2,6,2,6,0,8,6,3,ESPN
2016-10-06,David West,GSW,SAC,,12:07,0.194,0.313,0.0,0.0,0.25,0.2,0.0,1.0,0.25,0.0,0.2,5,0.4,0,0,0.0,0,0.0,3,1,1,1,0,0,4,-14,13.0,0,0,0,,0,0.0,80.8,127.6,-46.9,0.2,0.13,0.4,101.81,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.556,0.222,0.038,0.267,0,0,0,4,9,5,6,10,5,0,
2016-10-14,David West,GSW,DEN,,15:27,0.172,0.16,0.1,0.0,0.25,0.444,0.333,0.5,0.4,0.333,0.105,4,0.5,0,1,0.0,0,0.0,4,4,1,2,2,1,4,0,19.0,0,0,0,,0,0.0,115.3,112.6,2.7,0.364,0.125,0.5,103.64,0.75,0.25,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.111,0.059,0.3,0,0,0,2,12,5,8,22,5,2,
2016-10-19,David West,GSW,LAL,,15:11,0.207,0.179,0.0,0.0,0.333,0.111,0.5,0.0,0.75,0.375,0.154,5,0.4,0,0,0.0,0,0.0,5,1,0,3,2,3,4,-4,16.5,0,0,0,,0,0.0,87.4,92.6,-5.2,0.111,0.161,0.4,98.26,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.46,0.4,0.216,0.267,0,0,0,0,5,7,3,8,7,0,ESPN
2016-10-21,David West,GSW,POR,,12:44,0.182,0.208,0.0,0.0,0.333,0.375,0.0,1.0,0.0,0.25,0.143,5,0.4,0,0,0.0,0,0.0,3,3,1,0,0,1,4,2,13.5,0,0,0,,0,0.0,102.0,92.2,9.8,0.3,0.158,0.4,104.87,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.55,0.25,0.213,0.0,0,0,0,0,2,0,10,14,0,0,NBA TV
2015-10-28,David West,SAS,OKC,,18:00,0.196,0.194,0.0,0.0,0.182,0.077,0.25,0.0,0.0,0.25,0.195,7,0.571,0,0,0.0,0,0.0,2,1,0,0,1,1,8,3,11.25,8,24,15,0.0667,1,1.0,102.8,99.5,3.3,0.067,0.067,0.571,104.07,1.0,0.0,1.0,0.0,0.0,0.75,0.5,0.5,0.5,0.152,0.236,0.375,0,0,2,6,4,7,2,24,7,0,ESPN
2015-10-30,David West,SAS,BKN,,14:03,0.177,0.16,0.0,0.0,0.214,0.0,0.25,0.0,0.0,0.4,0.083,4,0.25,0,0,0.0,0,0.0,3,0,0,0,2,2,2,-5,4.75,10,26,19,0.0,3,0.333,80.3,99.7,-19.4,0.0,0.12,0.25,100.71,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.543,0.304,0.138,0.091,0,0,0,2,2,0,0,16,0,0,
2015-11-01,David West,SAS,BOS,,8:44,0.14,0.059,0.0,0.0,0.222,0.0,0.5,0.0,0.0,0.333,0.133,1,1.0,0,0,0.0,0,0.0,2,0,0,0,2,2,2,-5,3.5,4,15,12,0.0,1,1.0,81.3,111.9,-30.5,0.0,0.125,1.0,99.81,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.529,0.118,0.168,0.333,0,0,0,2,4,4,0,12,4,0,
2015-11-02,David West,SAS,NYK,,7:18,0.111,0.063,0.0,0.0,0.222,0.429,0.5,0.333,0.0,0.0,0.111,1,1.0,0,0,0.0,0,0.0,2,3,1,0,1,0,2,12,9.75,6,12,10,0.3,0,0.0,105.9,40.0,65.9,0.429,0.111,1.0,105.21,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.267,0.333,0,0,0,2,2,2,0,2,2,0,
2015-11-04,David West,SAS,WAS,,11:53,0.075,0.056,0.0,0.0,0.2,0.125,0.143,0.0,0.0,0.4,0.067,1,1.0,0,0,0.0,0,0.0,2,1,0,0,1,2,2,-4,5.25,4,20,17,0.0588,1,1.0,116.5,126.5,-10.0,0.091,0.143,1.0,106.31,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.66,0.08,0.074,0.1,0,0,0,2,10,2,7,16,2,1,
2015-11-07,David West,SAS,CHA,,28:43,0.136,0.132,0.067,0.167,0.3,0.286,0.143,0.0,0.0,0.154,0.129,7,0.571,0,1,0.0,2,0.5,9,6,0,0,1,2,9,14,27.25,14,60,47,0.1277,3,0.667,118.1,94.3,23.7,0.25,0.18,0.571,99.15,0.857,0.143,0.889,0.0,0.0,0.222,1.0,0.0,0.5,0.432,0.185,0.143,0,2,0,2,14,1,12,20,1,2,
2015-11-09,David West,SAS,SAC,,19:21,0.165,0.152,0.0,0.0,0.375,0.154,0.25,0.143,0.0,0.5,0.242,5,0.8,0,0,0.0,0,0.0,6,2,1,0,2,3,8,-2,19.0,12,42,35,0.0571,1,1.0,86.1,88.6,-2.4,0.182,0.182,0.8,96.56,1.0,0.0,1.0,0.0,0.25,0.25,1.0,0.0,0.483,0.267,0.253,0.25,2,0,2,2,11,4,7,14,4,0,
2015-11-11,David West,SAS,POR,,12:30,0.272,0.263,0.0,0.0,0.273,0.286,0.4,0.0,1.0,0.5,0.148,5,0.4,0,0,0.0,0,0.0,3,2,0,1,2,2,4,7,11.25,6,24,17,0.1176,2,0.5,113.6,77.6,36.0,0.222,0.136,0.4,95.08,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.346,0.154,0.116,0.357,0,0,0,2,6,9,2,10,9,0,ESPN
2015-11-14,David West,SAS,PHI,,17:14,0.259,0.229,0.0,0.286,0.25,0.417,0.5,0.0,1.0,1.0,0.303,8,0.5,0,0,0.0,2,1.0,4,5,0,1,2,3,10,-6,22.25,11,42,33,0.1515,4,0.5,86.7,107.4,-20.7,0.625,0.133,0.5,103.61,1.0,0.0,0.8,0.0,0.2,0.4,1.0,0.0,0.638,0.103,0.193,0.077,2,0,0,4,6,2,0,14,2,3,
2015-11-16,David West,SAS,POR,,9:59,0.177,0.2,0.0,0.0,0.267,0.8,0.0,0.0,0.5,0.4,0.105,4,0.25,0,0,0.0,0,0.0,4,4,0,1,0,2,2,8,14.0,5,19,13,0.3077,1,0.0,96.7,55.7,41.1,0.667,0.16,0.25,94.7,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.267,0.267,0.152,0.0,0,0,0,0,0,0,0,0,0,0,
