DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,DeMar DeRozan,TOR,GSW,G,19:38,0.279,0.306,0.0,0.5,0.04,0.429,0.0,0.286,0.0,0.1,0.297,11,0.273,0,0,0.0,8,0.625,1,3,2,0,0,1,11,-7,20.0,0,0,0,,0,0.0,82.1,94.6,-12.4,0.3,0.024,0.273,111.92,1.0,0.0,0.545,0.0,0.364,0.182,0.333,0.667,0.542,0.222,0.215,0.143,4,2,1,2,8,11,7,12,11,4,NBA TV
2016-10-03,DeMar DeRozan,TOR,DEN,G,16:18,0.349,0.355,0.125,0.333,0.077,0.333,0.333,0.25,0.0,0.111,0.417,11,0.455,0,1,0.0,6,0.833,1,1,1,0,1,1,15,-3,19.0,0,0,0,,0,0.0,94.9,101.4,-6.4,0.2,0.028,0.455,112.49,0.909,0.091,0.667,0.0,0.333,0.267,0.2,0.8,0.375,0.531,0.208,0.5,5,4,0,4,6,6,6,20,6,4,
2016-10-05,DeMar DeRozan,TOR,LAC,G,17:52,0.435,0.393,0.0,0.556,0.111,0.286,0.667,0.2,0.0,0.333,0.5,11,0.727,0,0,0.0,5,0.8,1,2,1,0,2,3,20,-8,24.75,0,0,0,,0,0.0,117.8,142.3,-24.6,0.25,0.04,0.727,90.91,1.0,0.0,0.8,0.0,0.1,0.4,0.125,0.875,0.661,0.464,0.148,0.385,2,2,0,8,5,3,2,16,3,4,
2016-10-19,DeMar DeRozan,TOR,DET,G,23:40,0.406,0.383,0.25,0.583,0.12,0.222,0.429,0.667,0.0,0.111,0.473,18,0.556,1,3,0.333,7,0.714,3,2,2,0,3,1,26,11,35.25,0,0,0,,0,0.0,103.2,87.3,15.9,0.182,0.073,0.583,105.14,0.833,0.167,0.692,0.115,0.115,0.462,0.3,0.7,0.438,0.25,0.139,0.05,3,3,6,12,5,2,9,18,2,6,
2016-10-21,DeMar DeRozan,TOR,WAS,G,29:58,0.424,0.429,0.385,0.75,0.105,0.0,0.0,0.429,0.0,0.273,0.667,24,0.458,1,5,0.2,12,0.917,2,0,3,0,0,3,34,-34,43.0,0,0,0,,0,0.0,84.9,136.0,-51.0,0.0,0.038,0.479,98.16,0.792,0.208,0.588,0.088,0.235,0.412,0.182,0.818,0.784,0.157,0.208,0.333,8,6,4,14,9,11,2,26,11,7,
2015-10-28,DeMar DeRozan,TOR,IND,G,35:52,0.3,0.288,0.182,0.593,0.135,0.429,0.125,0.286,0.0,0.133,0.313,17,0.412,1,2,0.5,16,0.625,5,6,2,0,2,2,25,0,42.25,8,57,29,0.2069,14,0.357,98.9,99.9,-0.9,0.273,0.077,0.441,107.73,0.882,0.118,0.48,0.12,0.0,0.24,0.429,0.571,0.469,0.354,0.125,0.139,0,0,2,6,12,8,16,28,8,8,
2015-10-30,DeMar DeRozan,TOR,BOS,G,34:45,0.274,0.246,0.222,0.467,0.175,0.316,0.214,0.182,0.0,0.154,0.258,15,0.333,1,4,0.25,14,0.857,7,6,2,0,3,4,23,13,42.25,13,75,48,0.125,12,0.333,111.0,89.9,21.1,0.273,0.108,0.367,113.76,0.733,0.267,0.348,0.13,0.0,0.087,0.6,0.4,0.41,0.541,0.154,0.111,0,0,0,2,18,11,12,26,11,7,
2015-11-01,DeMar DeRozan,TOR,MIL,G,37:17,0.189,0.188,0.056,0.143,0.032,0.2,0.222,0.091,0.333,0.063,0.169,13,0.538,0,1,0.0,2,0.5,1,4,1,1,2,1,15,25,24.25,4,74,55,0.0727,11,0.545,123.3,94.2,29.1,0.138,0.019,0.538,90.17,0.923,0.077,0.933,0.0,0.0,0.667,0.143,0.857,0.46,0.36,0.221,0.208,0,0,0,10,10,6,11,36,6,4,NBA TV
2015-11-03,DeMar DeRozan,TOR,DAL,G,28:23,0.312,0.295,0.0,0.471,0.148,0.182,0.273,0.143,0.0,0.176,0.339,13,0.462,0,0,0.0,8,1.0,4,2,1,0,3,3,20,12,28.0,8,59,35,0.0571,11,0.545,104.5,84.2,20.3,0.133,0.075,0.462,94.97,1.0,0.0,0.6,0.0,0.0,0.3,0.5,0.5,0.385,0.212,0.197,0.364,0,0,2,6,4,5,10,22,5,5,
2015-11-04,DeMar DeRozan,TOR,OKC,G,38:35,0.305,0.29,0.0,0.536,0.147,0.333,0.154,0.182,0.0,0.067,0.359,18,0.389,0,0,0.0,15,0.933,5,3,2,0,2,1,28,2,41.0,12,76,46,0.0652,14,0.286,100.9,102.3,-1.4,0.176,0.075,0.389,94.3,1.0,0.0,0.5,0.0,0.214,0.357,0.0,1.0,0.524,0.19,0.215,0.294,6,2,0,10,13,6,17,26,6,10,
