DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,DeMarcus Cousins,SAC,LAL,F,15:19,0.297,0.208,0.0,0.545,0.333,0.571,0.429,0.0,0.5,0.333,0.297,5,0.6,0,0,0.0,6,0.833,6,4,0,1,3,1,11,17,24.0,0,0,0,,0,0.0,112.7,63.0,49.7,0.4,0.214,0.6,101.22,1.0,0.0,0.545,0.0,0.182,0.364,0.333,0.667,0.375,0.167,0.22,0.063,2,5,2,4,2,2,7,10,2,6,
2016-10-06,DeMarcus Cousins,SAC,GSW,C,20:38,0.304,0.275,0.308,1.0,0.316,0.143,0.375,0.444,0.5,0.364,0.408,11,0.727,2,4,0.5,2,1.0,6,2,4,1,3,4,20,7,39.5,0,0,0,,0,0.0,106.8,95.1,11.7,0.154,0.171,0.818,104.74,0.636,0.364,0.6,0.3,0.15,0.4,0.625,0.375,0.533,0.467,0.226,0.111,3,2,3,8,12,2,12,12,2,4,
2016-10-10,DeMarcus Cousins,SAC,MAC,F,17:12,0.296,0.241,0.167,0.417,0.25,0.3,0.429,0.0,0.5,0.556,0.246,7,0.714,0,1,0.0,5,0.8,4,3,0,1,3,5,14,27,23.25,0,0,0,,0,0.0,148.9,79.2,69.7,0.188,0.167,0.714,106.29,0.857,0.143,0.714,0.0,0.5,0.714,0.4,0.6,0.483,0.069,0.29,0.188,7,2,5,10,7,6,0,14,6,5,
2016-10-15,DeMarcus Cousins,SAC,WAS,C,26:15,0.355,0.317,0.286,0.3,0.227,0.353,0.5,0.167,0.0,0.4,0.31,13,0.692,1,2,0.5,6,0.5,5,6,1,0,7,4,22,3,34.75,0,0,0,,0,0.0,120.7,116.7,4.1,0.353,0.135,0.731,107.05,0.846,0.154,0.727,0.136,0.0,0.636,0.667,0.333,0.57,0.24,0.154,0.261,0,3,0,14,17,10,8,32,10,4,
2016-10-18,DeMarcus Cousins,SAC,LAC,F,25:35,0.372,0.386,0.125,0.5,0.333,0.125,0.273,0.143,0.0,0.25,0.418,17,0.588,0,1,0.0,4,0.75,8,2,1,0,3,3,23,1,36.0,0,0,0,,0,0.0,102.8,104.6,-1.8,0.154,0.186,0.588,98.66,0.941,0.059,0.87,0.0,0.087,0.348,0.7,0.3,0.557,0.136,0.174,0.174,2,6,3,8,14,7,8,24,7,5,ESPN
2015-10-28,DeMarcus Cousins,SAC,LAC,F,34:37,0.389,0.318,0.278,0.688,0.351,0.167,0.571,0.0,0.5,0.286,0.39,21,0.476,4,5,0.8,11,0.727,13,3,0,1,8,6,32,-7,52.0,25,78,43,0.0698,12,0.417,105.1,115.8,-10.7,0.143,0.21,0.571,107.39,0.762,0.238,0.375,0.375,0.125,0.375,0.7,0.3,0.603,0.466,0.117,0.067,4,0,2,12,18,4,8,30,4,9,
2015-10-30,DeMarcus Cousins,SAC,LAL,F,28:23,0.292,0.273,0.2,0.583,0.393,0.188,0.0,0.0,0.667,0.25,0.263,15,0.333,0,2,0.0,14,0.786,11,3,0,2,0,3,21,17,42.5,17,64,42,0.0714,10,0.5,118.4,94.6,23.8,0.12,0.216,0.333,113.41,0.867,0.133,0.476,0.0,0.238,0.476,0.8,0.2,0.51,0.288,0.21,0.207,5,2,3,10,6,8,7,22,8,9,
2015-10-31,DeMarcus Cousins,SAC,LAC,F,15:19,0.384,0.424,0.5,0.222,0.529,0.2,0.286,0.333,0.0,0.2,0.342,14,0.429,0,3,0.0,2,0.5,9,1,1,0,2,3,13,-11,26.5,12,43,24,0.0417,5,0.8,97.5,130.0,-32.5,0.111,0.29,0.429,120.05,0.786,0.214,0.923,0.0,0.154,0.615,0.5,0.5,0.75,0.917,0.159,0.143,2,2,4,8,7,3,5,16,3,2,NBA TV
2015-11-09,DeMarcus Cousins,SAC,SAS,F,31:53,0.395,0.351,0.364,0.882,0.375,0.188,0.308,0.4,0.25,0.25,0.362,20,0.25,0,4,0.0,15,0.733,12,3,2,1,4,2,21,-14,43.75,23,60,30,0.1,13,0.231,84.7,108.0,-23.3,0.188,0.182,0.25,101.73,0.8,0.2,0.476,0.0,0.19,0.381,1.0,0.0,0.549,0.098,0.135,0.207,4,2,5,8,12,11,16,40,11,11,
2015-11-11,DeMarcus Cousins,SAC,DET,F,37:44,0.365,0.375,0.5,0.5,0.237,0.063,0.25,0.0,0.5,0.188,0.398,21,0.524,4,5,0.8,11,0.636,9,1,0,1,4,3,33,15,47.5,17,60,29,0.0345,10,0.5,109.7,88.3,21.4,0.053,0.125,0.619,97.14,0.762,0.238,0.424,0.364,0.061,0.364,0.727,0.273,0.4,0.229,0.156,0.273,2,5,0,12,16,10,8,26,10,10,
