DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,DeMarre Carroll,TOR,GSW,F,19:29,0.24,0.257,0.273,0.2,0.174,0.0,0.2,0.5,0.0,0.1,0.378,9,0.667,1,3,0.333,2,0.5,4,0,4,0,2,1,14,-6,26.5,0,0,0,,0,0.0,85.3,96.3,-11.1,0.0,0.103,0.722,108.45,0.667,0.333,0.714,0.214,0.429,0.714,0.833,0.167,0.557,0.171,0.224,0.15,6,6,3,10,8,11,7,12,11,1,NBA TV
2016-10-05,DeMarre Carroll,TOR,LAC,F,15:03,0.126,0.158,0.0,0.182,0.167,0.0,0.0,0.0,1.0,0.0,0.087,3,0.0,0,0,0.0,2,1.0,1,0,0,1,0,0,2,-15,5.25,0,0,0,,0,0.0,77.1,127.7,-50.6,0.0,0.048,0.0,95.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.773,0.182,0.269,0.286,2,2,0,0,11,0,6,18,0,1,
2016-10-13,DeMarre Carroll,TOR,CLE,F,17:48,0.271,0.333,0.3,0.0,0.313,0.313,0.0,0.429,0.0,0.25,0.245,11,0.545,1,3,0.333,0,0.0,5,5,3,0,0,2,13,14,32.0,0,0,0,,0,0.0,137.2,95.5,41.7,0.333,0.179,0.591,107.16,0.727,0.273,0.769,0.231,0.308,0.615,0.5,0.5,0.5,0.355,0.196,0.176,4,4,5,8,7,4,11,10,4,0,TNT
2016-10-19,DeMarre Carroll,TOR,DET,F,25:35,0.129,0.167,0.231,0.0,0.214,0.0,0.0,0.0,0.0,0.2,0.05,8,0.125,1,3,0.333,0,0.0,6,0,0,0,0,2,3,12,11.0,0,0,0,,0,0.0,106.8,89.9,16.9,0.0,0.136,0.188,102.78,0.625,0.375,0.0,1.0,0.0,0.0,1.0,0.0,0.443,0.227,0.112,0.043,0,0,0,0,5,2,9,20,2,1,
2016-10-21,DeMarre Carroll,TOR,WAS,F,18:02,0.135,0.114,0.0,0.2,0.182,0.0,0.25,0.25,0.0,0.0,0.103,4,0.25,0,0,0.0,2,1.0,2,0,1,0,1,0,4,-20,8.0,0,0,0,,0,0.0,104.3,152.2,-47.9,0.0,0.069,0.25,101.36,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.8,0.114,0.155,0.444,0,0,0,2,7,8,2,16,8,1,
2015-10-28,DeMarre Carroll,TOR,IND,F,41:11,0.189,0.219,0.286,0.167,0.182,0.235,0.105,0.286,0.0,0.105,0.149,14,0.357,1,4,0.25,6,0.5,8,4,2,0,2,2,14,7,32.5,20,59,40,0.1,9,0.556,102.4,96.5,5.8,0.148,0.107,0.393,106.04,0.714,0.286,0.571,0.214,0.286,0.571,0.6,0.4,0.448,0.299,0.122,0.178,4,3,2,8,16,10,14,32,10,3,
2015-10-30,DeMarre Carroll,TOR,BOS,F,34:44,0.229,0.254,0.333,0.08,0.119,0.125,0.235,0.25,0.0,0.12,0.288,16,0.5,4,7,0.571,2,0.5,5,2,2,0,4,3,21,-1,33.75,12,65,42,0.0476,6,0.333,89.0,87.6,1.5,0.143,0.068,0.625,115.06,0.563,0.438,0.381,0.571,0.238,0.381,0.875,0.125,0.367,0.516,0.142,0.154,5,0,7,8,20,11,19,24,11,2,
2015-11-01,DeMarre Carroll,TOR,MIL,F,30:40,0.23,0.224,0.444,0.118,0.094,0.071,0.375,0.0,0.0,0.083,0.212,13,0.385,3,8,0.375,2,0.5,3,1,0,0,3,1,14,6,19.0,8,52,36,0.0278,5,0.4,109.1,105.2,3.9,0.053,0.056,0.5,91.97,0.385,0.615,0.286,0.643,0.357,0.286,1.0,0.0,0.468,0.34,0.123,0.174,5,0,3,4,11,2,10,28,2,2,NBA TV
2015-11-03,DeMarre Carroll,TOR,DAL,F,33:38,0.119,0.138,0.222,0.111,0.172,0.071,0.0,0.0,0.25,0.167,0.041,8,0.125,0,2,0.0,2,0.5,5,1,0,1,0,3,3,1,12.5,14,34,23,0.0435,7,0.143,107.4,104.6,2.8,0.037,0.085,0.125,98.99,0.75,0.25,0.667,0.0,0.0,0.667,0.0,1.0,0.483,0.333,0.143,0.281,0,0,0,2,7,10,8,22,10,3,
2015-11-04,DeMarre Carroll,TOR,OKC,F,37:26,0.173,0.188,0.091,0.161,0.2,0.0,0.1,0.4,0.0,0.214,0.157,12,0.333,0,1,0.0,5,1.0,7,0,4,0,1,3,13,-4,29.25,13,52,34,0.0,12,0.333,105.5,113.4,-7.9,0.0,0.108,0.333,99.61,0.917,0.083,0.615,0.0,0.308,0.615,0.75,0.25,0.585,0.2,0.156,0.188,4,4,5,8,15,6,17,32,6,4,
