DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-11-01,Delon Wright,TOR,MIL,,2:22,0.286,0.25,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,1,0,0,0,1,0,0,-2,0.75,1,10,8,0.0,0,0.0,33.3,69.4,-36.1,0.0,0.2,0.0,119.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.174,0.0,0,0,0,0,2,0,2,0,0,0,NBA TV
2015-11-08,Delon Wright,TOR,MIA,,2:39,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-3,0.0,0,5,4,0.0,1,0.0,0.0,75.0,-75.0,0.0,0.0,0.0,80.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-11,Delon Wright,TOR,PHI,,2:36,0.296,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,-1,2.5,4,8,6,0.0,1,0.0,69.4,83.3,-13.9,0.0,0.182,0.0,108.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.0,0.167,0.333,0,0,0,0,0,0,0,2,0,0,
2015-11-13,Delon Wright,TOR,NOP,,2:29,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,1,0,-2,1.25,2,2,2,0.0,0,0.0,0.0,41.0,-41.0,0.0,0.167,0.0,85.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-22,Delon Wright,TOR,DAL,,6:39,0.143,0.182,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,5,2.5,2,6,4,0.25,0,0.0,83.3,40.2,43.1,0.2,0.071,0.0,88.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.091,0.08,0.0,0,0,0,0,2,0,0,4,0,0,NBA TV
2016-01-04,Delon Wright,TOR,CLE,,2:56,0.333,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2,0.5,0,0,0.0,0,0.0,0,1,0,0,0,0,2,-4,3.25,0,9,6,0.1667,1,1.0,80.0,160.0,-80.0,1.0,0.0,0.5,81.82,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.571,0.0,0.2,0.75,0,0,0,2,0,3,0,2,3,0,
2016-01-06,Delon Wright,TOR,BKN,,2:19,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,1,2.5,1,5,4,0.25,0,0.0,80.0,51.0,29.0,0.5,0.2,0.0,112.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.17,0.0,0,0,0,0,1,0,0,2,0,0,
2016-01-09,Delon Wright,TOR,PHI,,1:04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,-1,1.25,0,2,1,1.0,0,0.0,200.0,166.7,33.3,0.5,0.0,0.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.5,0,0,0,0,0,2,0,2,2,0,
2016-01-22,Delon Wright,TOR,MIA,,1:36,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,2,2.0,1,2,1,0.0,1,1.0,100.0,0.0,100.0,0.0,0.0,1.0,60.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.333,0,0,0,2,0,0,0,0,0,0,ESPN
2016-01-24,Delon Wright,TOR,LAC,,3:54,0.492,0.0,0.0,0.667,0.0,0.0,1.0,0.0,0.0,0.5,0.125,0,0.0,0,0,0.0,4,0.25,0,0,0,0,2,1,1,-2,0.0,1,8,5,0.0,0,0.0,104.7,112.6,-7.9,0.0,0.0,0.0,101.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0,1,0,0,0,0,0,4,0,2,
