DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Dennis Schroder,ATL,MEM,G,17:03,0.221,0.226,0.2,0.4,0.176,0.333,0.143,0.5,0.0,0.2,0.265,7,0.429,1,2,0.5,2,1.0,3,3,1,0,1,2,9,-1,18.5,0,0,0,,0,0.0,93.9,102.1,-8.2,0.3,0.094,0.5,99.21,0.714,0.286,0.444,0.333,0.0,0.444,0.0,1.0,0.45,0.4,0.088,0.235,0,0,2,4,12,6,0,6,6,1,
2016-10-10,Dennis Schroder,ATL,CLE,G,22:24,0.162,0.186,0.167,0.0,0.083,0.333,0.143,0.333,0.0,0.0,0.125,8,0.375,0,2,0.0,0,0.0,2,4,1,0,1,0,6,4,15.0,0,0,0,,0,0.0,96.5,91.1,5.4,0.235,0.044,0.375,105.0,0.75,0.25,1.0,0.0,0.0,1.0,0.0,1.0,0.449,0.308,0.145,0.143,0,0,0,6,4,4,3,18,4,0,
2016-10-13,Dennis Schroder,ATL,DET,G,29:00,0.266,0.209,0.176,0.455,0.15,0.563,0.385,0.0,0.25,0.235,0.293,9,0.556,2,3,0.667,5,1.0,3,9,0,1,5,4,17,-10,32.5,0,0,0,,0,0.0,102.0,113.9,-11.8,0.563,0.067,0.667,96.46,0.667,0.333,0.353,0.353,0.0,0.235,0.2,0.8,0.519,0.241,0.134,0.333,0,3,0,4,15,9,5,22,9,7,
2016-10-18,Dennis Schroder,ATL,NOP,G,24:21,0.27,0.31,0.25,0.056,0.172,0.333,0.273,0.143,0.0,0.222,0.245,13,0.462,1,3,0.333,1,0.0,5,5,1,0,3,2,13,14,26.5,0,0,0,,0,0.0,98.3,69.5,28.8,0.417,0.098,0.5,108.42,0.769,0.231,0.769,0.231,0.385,0.615,0.667,0.333,0.375,0.159,0.214,0.12,5,2,0,8,12,2,6,14,2,2,NBA TV
2016-10-20,Dennis Schroder,ATL,CHI,G,29:42,0.206,0.214,0.167,0.0,0.054,0.353,0.25,0.2,0.0,0.154,0.113,12,0.25,1,3,0.333,0,0.0,2,6,1,0,3,2,7,11,18.0,0,0,0,,0,0.0,92.8,76.6,16.2,0.286,0.029,0.292,107.83,0.75,0.25,0.571,0.429,0.0,0.571,0.0,1.0,0.305,0.234,0.105,0.262,0,0,2,4,13,9,12,20,9,2,
2015-10-27,Dennis Schroder,ATL,DET,,25:22,0.29,0.311,0.357,0.5,0.143,0.286,0.125,0.286,0.0,0.1,0.385,14,0.571,2,5,0.4,2,1.0,3,4,2,0,1,1,20,4,33.25,3,71,55,0.0727,8,0.625,104.5,96.1,8.4,0.286,0.062,0.643,94.35,0.643,0.357,0.6,0.3,0.2,0.6,0.625,0.375,0.417,0.188,0.18,0.407,4,2,0,12,7,13,2,24,13,2,
2015-10-29,Dennis Schroder,ATL,NYK,,18:15,0.32,0.379,0.333,0.0,0.071,0.286,0.2,0.0,0.0,0.0,0.394,11,0.545,1,3,0.333,0,0.0,1,2,0,0,1,0,13,-7,16.75,1,56,37,0.0541,4,0.75,98.4,109.5,-11.1,0.286,0.033,0.591,92.11,0.727,0.273,0.769,0.231,0.154,0.462,0.333,0.667,0.607,0.286,0.219,0.231,2,0,0,6,2,7,4,12,7,1,TNT
2015-10-30,Dennis Schroder,ATL,CHA,G,33:01,0.245,0.263,0.176,0.182,0.156,0.125,0.182,0.5,0.0,0.182,0.233,15,0.4,0,3,0.0,2,1.0,5,2,2,0,2,2,14,-3,25.75,11,82,59,0.0339,8,0.25,87.2,97.2,-10.0,0.118,0.075,0.4,97.15,0.8,0.2,0.857,0.0,0.286,0.714,0.5,0.5,0.466,0.19,0.139,0.2,4,4,0,10,9,8,7,20,8,1,
2015-11-01,Dennis Schroder,ATL,CHA,,21:11,0.205,0.225,0.167,0.0,0.13,0.273,0.143,0.167,0.0,0.25,0.15,9,0.333,0,2,0.0,0,0.0,3,3,1,0,1,2,6,8,15.0,5,57,43,0.0698,6,0.333,93.5,77.9,15.6,0.214,0.075,0.333,94.97,0.778,0.222,1.0,0.0,0.333,0.667,0.0,1.0,0.382,0.206,0.17,0.15,2,2,0,4,10,0,9,16,0,2,
2015-11-03,Dennis Schroder,ATL,MIA,,16:01,0.308,0.261,0.0,0.167,0.133,0.75,0.571,0.333,0.0,0.5,0.19,6,0.167,0,0,0.0,2,1.0,2,3,1,0,4,1,4,-12,10.25,4,45,32,0.0938,5,0.2,67.1,97.4,-30.3,0.6,0.061,0.167,97.63,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.485,0.061,0.177,0.353,0,0,0,2,6,11,7,22,11,2,NBA TV
2015-11-04,Dennis Schroder,ATL,BKN,G,28:14,0.356,0.333,0.4,0.333,0.15,0.286,0.5,0.1,0.0,0.2,0.351,15,0.467,3,6,0.5,4,0.75,3,4,1,0,4,2,20,11,30.25,7,81,55,0.0727,9,0.556,107.0,84.9,22.1,0.286,0.064,0.567,91.36,0.6,0.4,0.4,0.45,0.2,0.3,0.429,0.571,0.439,0.102,0.24,0.4,4,4,0,6,2,8,5,24,8,3,
2015-11-06,Dennis Schroder,ATL,NOP,,18:35,0.241,0.286,0.5,0.0,0.0,0.385,0.2,0.0,0.0,0.0,0.283,8,0.75,3,4,0.75,0,0.0,0,5,0,0,1,0,15,2,22.25,4,52,39,0.1282,5,0.8,149.7,136.8,12.9,0.385,0.0,0.938,93.86,0.5,0.5,0.4,0.6,0.0,0.267,0.333,0.667,0.683,0.4,0.08,0.091,0,0,0,4,5,5,5,20,5,0,
2015-11-07,Dennis Schroder,ATL,WAS,,23:55,0.249,0.256,0.267,0.0,0.0,0.389,0.286,0.2,0.0,0.333,0.107,10,0.3,0,4,0.0,0,0.0,0,7,1,0,2,3,6,4,15.75,2,61,43,0.1628,6,0.5,123.9,110.7,13.2,0.368,0.0,0.3,92.49,0.6,0.4,1.0,0.0,0.667,1.0,0.667,0.333,0.592,0.237,0.213,0.294,4,0,0,6,8,6,9,22,6,3,
