DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Deron Williams,DAL,MIL,G,16:42,0.207,0.107,0.222,0.25,0.048,0.5,0.455,0.0,0.0,0.125,0.176,3,0.333,0,2,0.0,1,1.0,1,2,0,0,5,1,3,-17,4.25,0,0,0,,0,0.0,48.9,98.5,-49.6,0.333,0.026,0.333,99.56,0.333,0.667,0.667,0.0,0.0,0.0,1.0,0.0,0.452,0.258,0.087,0.167,0,2,0,0,16,2,9,12,2,3,
2016-10-11,Deron Williams,DAL,OKC,G,21:07,0.202,0.189,0.25,0.182,0.148,0.333,0.286,0.333,0.0,0.143,0.239,7,0.571,1,3,0.333,2,1.0,4,3,1,0,2,1,11,13,21.25,0,0,0,,0,0.0,107.4,74.9,32.5,0.25,0.078,0.643,98.79,0.571,0.429,0.545,0.273,0.182,0.545,0.25,0.75,0.321,0.167,0.181,0.3,2,2,2,6,9,7,5,10,7,3,
2016-10-14,Deron Williams,DAL,PHX,G,19:38,0.289,0.289,0.6,0.571,0.037,0.0,0.2,0.0,0.0,0.3,0.415,11,0.545,2,3,0.667,4,0.75,1,0,0,0,2,3,17,-6,18.25,0,0,0,,0,0.0,95.2,107.1,-11.9,0.0,0.023,0.636,106.3,0.727,0.273,0.471,0.353,0.118,0.118,0.167,0.833,0.523,0.047,0.091,0.174,2,3,0,2,13,5,17,12,5,2,
2016-10-19,Deron Williams,DAL,HOU,G,25:33,0.169,0.195,0.25,0.0,0.0,0.444,0.143,0.0,0.0,0.091,0.156,8,0.375,1,3,0.333,0,0.0,0,4,0,0,1,1,7,-12,12.0,0,0,0,,0,0.0,87.8,111.4,-23.7,0.333,0.0,0.438,96.23,0.625,0.375,0.571,0.429,0.0,0.0,0.667,0.333,0.533,0.311,0.156,0.32,0,0,0,0,9,5,16,20,5,1,
2016-10-21,Deron Williams,DAL,DEN,G,24:07,0.244,0.286,0.556,0.0,0.083,0.714,0.182,0.0,0.0,0.188,0.229,10,0.4,0,5,0.0,0,0.0,1,5,0,0,2,3,8,-21,14.5,0,0,0,,0,0.0,74.3,115.2,-40.9,0.455,0.03,0.4,95.22,0.5,0.5,1.0,0.0,0.0,0.5,0.25,0.75,0.6,0.429,0.226,0.286,0,0,0,4,14,9,8,22,9,3,
2015-10-28,Deron Williams,DAL,PHX,G,20:03,0.203,0.211,0.286,0.0,0.087,0.5,0.5,0.333,0.0,0.182,0.218,8,0.625,2,2,1.0,0,0.0,2,7,1,0,1,2,12,16,25.75,4,57,46,0.1522,5,0.4,132.9,87.4,45.4,0.438,0.047,0.75,102.94,0.75,0.25,0.5,0.5,0.167,0.5,0.4,0.6,0.382,0.395,0.135,0.231,2,3,2,6,4,8,8,14,8,0,
2015-11-01,Deron Williams,DAL,LAL,G,30:44,0.19,0.203,0.174,0.0,0.147,0.533,0.167,0.0,0.0,0.059,0.172,12,0.417,1,4,0.25,0,0.0,5,8,0,0,1,1,11,9,27.25,9,89,72,0.1111,6,0.5,102.4,85.8,16.6,0.4,0.082,0.458,98.89,0.667,0.333,0.727,0.273,0.182,0.545,0.4,0.6,0.38,0.46,0.109,0.097,2,0,5,6,5,6,6,16,6,1,
2015-11-03,Deron Williams,DAL,TOR,G,36:13,0.208,0.227,0.263,0.235,0.094,0.25,0.083,0.0,0.0,0.19,0.188,15,0.267,1,5,0.2,4,1.0,3,4,0,0,1,4,13,-18,21.75,4,89,64,0.0625,8,0.25,92.6,113.8,-21.2,0.19,0.045,0.3,100.03,0.667,0.333,0.462,0.231,0.154,0.0,0.5,0.5,0.516,0.419,0.131,0.25,2,2,2,0,12,9,4,34,9,2,
2015-11-05,Deron Williams,DAL,CHA,G,28:19,0.2,0.217,0.125,0.176,0.136,0.625,0.125,0.25,0.0,0.333,0.273,10,0.6,0,2,0.0,3,1.0,3,5,1,0,1,3,15,-18,26.5,4,82,66,0.0758,8,0.625,95.7,123.1,-27.5,0.417,0.064,0.6,98.96,0.8,0.2,0.8,0.0,0.2,0.8,0.167,0.833,0.596,0.231,0.101,0.182,3,2,0,12,15,3,2,36,3,3,
2015-11-07,Deron Williams,DAL,NOP,G,29:48,0.249,0.245,0.263,0.333,0.103,0.25,0.222,0.5,0.0,0.273,0.328,13,0.462,3,5,0.6,4,1.0,3,2,2,0,2,3,19,-4,29.75,3,82,61,0.0328,8,0.375,93.1,101.5,-8.4,0.133,0.053,0.577,99.35,0.615,0.385,0.316,0.474,0.0,0.105,0.333,0.667,0.509,0.127,0.131,0.172,0,3,0,2,10,8,18,22,8,4,
