DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Derrick Favors,UTA,POR,F,23:31,0.235,0.25,0.0,0.3,0.375,0.1,0.111,0.2,1.0,0.5,0.275,9,0.556,0,0,0.0,6,0.667,9,1,1,2,1,3,14,0,32.0,0,0,0,,0,0.0,106.7,108.1,-1.4,0.083,0.231,0.556,96.95,1.0,0.0,0.714,0.0,0.0,0.429,0.6,0.4,0.615,0.128,0.127,0.0,0,0,0,6,19,0,9,20,0,3,NBA TV
2015-10-28,Derrick Favors,UTA,DET,F,34:42,0.283,0.278,0.0,0.533,0.207,0.077,0.167,0.333,0.333,0.158,0.413,15,0.667,0,0,0.0,8,0.75,6,1,1,1,2,3,26,-3,37.75,18,56,33,0.0303,12,0.667,91.8,95.5,-3.6,0.063,0.109,0.667,95.25,1.0,0.0,0.769,0.0,0.231,0.692,0.7,0.3,0.49,0.46,0.159,0.074,6,0,3,18,8,3,4,26,3,5,
2015-10-30,Derrick Favors,UTA,PHI,F,29:17,0.33,0.327,0.0,0.5,0.444,0.077,0.0,0.375,0.4,0.182,0.328,17,0.353,0,0,0.0,10,0.8,12,1,3,2,0,2,20,16,46.25,17,69,48,0.0208,13,0.385,103.7,80.5,23.3,0.071,0.226,0.353,94.02,1.0,0.0,0.6,0.0,0.05,0.4,0.667,0.333,0.423,0.462,0.25,0.192,1,0,4,8,3,5,7,16,5,6,
2015-10-31,Derrick Favors,UTA,IND,F,31:11,0.252,0.296,0.0,0.083,0.241,0.167,0.1,0.3,0.333,0.214,0.29,16,0.563,0,0,0.0,1,0.0,7,2,3,1,1,3,18,18,36.75,20,54,35,0.0571,9,0.444,101.2,69.9,31.3,0.125,0.132,0.563,95.62,1.0,0.0,1.0,0.0,0.444,0.667,0.556,0.444,0.394,0.191,0.27,0.192,8,2,0,12,10,13,8,18,13,1,
2015-11-04,Derrick Favors,UTA,POR,F,24:36,0.184,0.152,0.0,0.273,0.455,0.167,0.5,0.571,0.5,0.4,0.12,7,0.286,0,0,0.0,6,0.333,10,1,4,2,1,4,6,-3,31.25,14,58,47,0.0213,3,0.0,104.9,112.4,-7.5,0.067,0.217,0.286,92.52,1.0,0.0,0.667,0.0,0.5,0.333,1.0,0.0,0.579,0.368,0.212,0.368,3,0,3,2,0,5,7,22,5,3,
2015-11-05,Derrick Favors,UTA,DEN,F,15:08,0.26,0.28,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.111,0.3,7,0.429,0,0,0.0,0,0.0,3,0,0,0,1,1,6,-5,9.25,6,29,19,0.0,4,0.75,74.7,95.4,-20.7,0.0,0.107,0.429,83.99,1.0,0.0,1.0,0.0,0.0,1.0,0.333,0.667,0.438,0.208,0.153,0.333,0,0,4,6,2,7,6,16,7,1,
2015-11-07,Derrick Favors,UTA,MEM,F,39:34,0.194,0.196,0.0,0.111,0.39,0.0,0.222,0.429,0.125,0.143,0.167,11,0.455,0,0,0.0,2,1.0,16,0,3,1,4,2,12,10,38.0,29,78,58,0.0,9,0.444,96.1,76.1,20.0,0.0,0.213,0.455,94.89,1.0,0.0,0.833,0.0,0.0,0.667,0.4,0.6,0.353,0.103,0.147,0.261,0,0,2,8,11,8,5,30,8,4,NBA TV
2015-11-10,Derrick Favors,UTA,CLE,F,35:21,0.187,0.19,0.0,0.273,0.391,0.19,0.091,0.2,0.0,0.12,0.195,12,0.583,0,0,0.0,6,0.5,9,4,2,0,1,3,17,-7,36.75,17,77,60,0.0667,6,0.667,115.0,124.5,-9.5,0.174,0.18,0.583,102.65,1.0,0.0,0.824,0.0,0.118,0.706,0.714,0.286,0.657,0.647,0.212,0.286,2,0,4,12,10,7,11,30,7,4,
2015-11-12,Derrick Favors,UTA,MIA,C,39:45,0.243,0.25,0.0,0.28,0.308,0.167,0.125,0.333,0.778,0.158,0.321,18,0.556,0,0,0.0,7,0.714,12,2,3,7,1,3,25,11,62.0,31,89,65,0.0308,13,0.615,96.3,85.5,10.8,0.111,0.156,0.556,96.22,1.0,0.0,0.8,0.0,0.08,0.72,0.7,0.3,0.431,0.292,0.166,0.216,2,2,7,18,9,7,6,30,7,6,
2015-11-13,Derrick Favors,UTA,ORL,C,19:26,0.162,0.133,0.0,0.167,0.5,0.125,0.286,0.75,0.5,0.167,0.185,4,0.5,0,0,0.0,1,1.0,7,1,3,1,2,2,5,-15,22.0,11,40,34,0.0294,3,0.667,71.7,107.6,-35.8,0.111,0.2,0.5,94.7,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.481,0.593,0.179,0.143,0,0,2,4,6,4,4,6,4,3,
