DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Derrick Rose,NYK,HOU,G,24:38,0.301,0.304,0.077,0.375,0.105,0.625,0.25,0.0,0.333,0.067,0.291,14,0.5,0,1,0.0,3,0.667,2,5,0,1,2,1,16,-23,25.75,0,0,0,,0,0.0,102.8,140.6,-37.8,0.357,0.049,0.5,106.2,0.929,0.071,0.875,0.0,0.125,0.5,0.0,1.0,0.681,0.362,0.054,0.118,2,0,0,8,12,8,9,26,8,4,ESPN
2015-10-27,Derrick Rose,CHI,CLE,G,32:28,0.344,0.367,0.154,0.2,0.036,0.5,0.333,0.2,0.0,0.0,0.25,22,0.364,0,2,0.0,4,0.5,1,5,1,0,2,0,18,-1,26.5,4,79,51,0.098,15,0.333,104.7,106.0,-1.4,0.263,0.016,0.364,101.75,0.909,0.091,0.889,0.0,0.0,0.556,0.0,1.0,0.524,0.175,0.131,0.267,0,1,0,10,9,9,8,36,9,3,TNT
2015-10-28,Derrick Rose,CHI,BKN,G,29:26,0.236,0.22,0.071,0.417,0.091,0.231,0.222,0.25,0.0,0.167,0.192,11,0.455,0,1,0.0,5,1.0,2,3,1,0,2,2,15,18,22.25,5,67,49,0.0612,9,0.444,125.2,99.9,25.3,0.125,0.041,0.455,99.74,0.909,0.091,0.667,0.0,0.0,0.667,0.2,0.8,0.421,0.281,0.1,0.333,0,2,0,10,12,8,2,28,8,3,
2015-10-30,Derrick Rose,CHI,DET,G,34:29,0.234,0.25,0.077,0.0,0.077,0.6,0.294,0.0,0.0,0.167,0.136,13,0.308,0,1,0.0,0,0.0,2,6,0,0,5,3,8,-14,15.5,5,86,68,0.0882,7,0.429,82.0,101.2,-19.2,0.375,0.031,0.308,100.24,0.923,0.077,1.0,0.0,0.25,0.5,0.0,1.0,0.492,0.365,0.166,0.382,2,0,0,4,19,13,8,42,13,0,
2015-11-01,Derrick Rose,CHI,ORL,G,32:19,0.16,0.136,0.059,0.125,0.233,0.5,0.375,0.0,0.0,0.2,0.088,8,0.25,0,1,0.0,2,1.0,7,8,0,0,3,1,6,6,23.25,9,82,66,0.1212,8,0.25,99.9,87.1,12.9,0.364,0.117,0.25,103.41,0.875,0.125,0.667,0.0,0.333,0.667,0.5,0.5,0.439,0.076,0.154,0.25,2,0,0,4,7,11,9,34,11,4,
2015-11-03,Derrick Rose,CHI,CHA,G,23:52,0.198,0.19,0.214,0.0,0.111,0.333,0.25,0.0,0.0,0.0,0.091,8,0.25,0,3,0.0,0,0.0,2,5,0,0,2,0,4,-16,11.75,6,65,54,0.0926,5,0.2,90.8,132.2,-41.3,0.294,0.045,0.25,94.36,0.625,0.375,1.0,0.0,0.0,0.5,0.5,0.5,0.556,0.222,0.044,0.273,0,0,0,2,11,7,4,16,7,0,
2015-11-05,Derrick Rose,CHI,OKC,G,37:29,0.347,0.342,0.077,0.316,0.139,0.4,0.5,0.0,0.0,0.071,0.349,25,0.48,0,1,0.0,6,0.833,5,6,0,0,2,1,29,4,41.75,10,92,61,0.0984,13,0.308,108.7,110.5,-1.8,0.316,0.069,0.48,94.66,0.96,0.04,0.828,0.0,0.069,0.483,0.167,0.833,0.508,0.266,0.084,0.182,2,0,4,14,2,8,6,26,8,3,TNT
2015-11-07,Derrick Rose,CHI,MIN,G,38:07,0.235,0.197,0.182,0.313,0.097,0.357,0.385,0.167,0.0,0.056,0.19,13,0.231,1,4,0.25,5,0.8,3,5,1,0,5,1,11,-21,21.0,5,90,63,0.0794,9,0.222,71.6,102.1,-30.6,0.294,0.038,0.269,99.74,0.692,0.308,0.364,0.273,0.182,0.364,0.667,0.333,0.479,0.264,0.116,0.316,2,2,0,4,11,16,10,42,16,2,
2015-11-09,Derrick Rose,CHI,PHI,G,27:33,0.244,0.255,0.214,0.1,0.135,0.667,0.25,0.0,0.125,0.0,0.214,14,0.429,0,3,0.0,1,0.0,5,8,0,1,2,0,12,14,29.25,7,61,46,0.1739,8,0.625,92.7,63.7,29.0,0.5,0.072,0.429,110.08,0.786,0.214,1.0,0.0,0.0,0.5,0.0,1.0,0.308,0.15,0.152,0.211,0,4,2,6,6,6,4,28,6,1,NBA TV
2015-11-13,Derrick Rose,CHI,CHA,G,34:39,0.242,0.264,0.2,0.074,0.028,0.471,0.333,0.25,0.2,0.154,0.137,14,0.286,0,2,0.0,2,1.0,1,8,1,1,3,2,10,-2,23.75,3,84,64,0.125,13,0.308,103.0,105.0,-2.1,0.4,0.014,0.286,98.57,0.857,0.143,0.8,0.0,0.0,0.6,0.0,1.0,0.486,0.145,0.084,0.195,0,4,0,6,11,8,6,18,8,2,
