DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-11,Devin Harris,DAL,OKC,,10:52,0.143,0.15,0.167,0.286,0.133,0.167,0.0,0.0,0.0,0.333,0.138,3,0.333,0,1,0.0,2,1.0,2,1,0,0,0,1,4,12,7.75,0,0,0,,0,0.0,125.6,77.7,48.0,0.111,0.083,0.333,99.3,0.667,0.333,0.5,0.0,0.0,0.5,1.0,0.0,0.357,0.095,0.137,0.214,0,2,2,2,6,2,6,6,2,2,
2016-10-14,Devin Harris,DAL,PHX,,16:22,0.212,0.214,0.571,0.333,0.308,0.375,0.0,0.0,0.5,0.231,0.268,6,0.5,1,4,0.25,5,0.8,4,3,0,2,0,3,11,-3,24.25,0,0,0,,0,0.0,115.2,122.9,-7.7,0.273,0.148,0.583,104.7,0.333,0.667,0.364,0.273,0.273,0.182,0.667,0.333,0.483,0.69,0.112,0.375,3,2,2,2,3,5,4,12,5,3,
2016-10-19,Devin Harris,DAL,HOU,,14:49,0.253,0.192,0.083,0.286,0.0,0.0,0.5,0.0,0.0,0.4,0.207,5,0.4,0,1,0.0,2,1.0,0,0,0,0,3,4,6,0,4.5,0,0,0,,0,0.0,90.4,92.4,-2.0,0.0,0.0,0.4,102.82,0.8,0.2,0.667,0.0,0.0,0.333,0.5,0.5,0.379,0.345,0.159,0.368,0,2,0,2,6,4,2,14,4,2,
2016-10-21,Devin Harris,DAL,DEN,,5:17,0.273,0.25,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,1,0,0,-7,-0.5,0,0,0,,0,0.0,18.2,81.8,-63.6,0.0,0.0,0.0,99.94,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.643,0.0,0.455,0.333,0,0,0,0,0,0,3,6,0,1,
2015-10-28,Devin Harris,DAL,PHX,,23:11,0.25,0.205,0.375,0.368,0.053,0.2,0.4,0.2,0.0,0.1,0.208,8,0.375,0,3,0.0,7,0.571,1,2,1,0,2,1,10,3,14.75,5,39,24,0.0833,6,0.5,95.3,86.8,8.5,0.154,0.021,0.375,105.8,0.625,0.375,0.6,0.0,0.4,0.6,0.667,0.333,0.451,0.268,0.231,0.261,4,4,0,6,0,3,2,16,3,7,
2015-10-29,Devin Harris,DAL,LAC,,23:11,0.189,0.2,0.353,0.333,0.222,0.167,0.0,0.0,0.0,0.273,0.255,10,0.4,2,6,0.333,3,0.667,6,2,0,0,0,3,12,-2,23.0,7,51,38,0.0526,5,0.4,90.5,98.8,-8.3,0.154,0.118,0.5,105.11,0.4,0.6,0.333,0.5,0.0,0.333,0.75,0.25,0.512,0.357,0.06,0.095,0,2,0,4,4,5,7,16,5,5,TNT
2015-11-01,Devin Harris,DAL,LAL,,22:13,0.226,0.256,0.333,0.0,0.13,0.133,0.143,1.0,0.0,0.3,0.143,10,0.3,1,4,0.25,0,0.0,3,2,2,0,1,3,7,5,17.25,4,44,30,0.0667,3,0.0,105.1,84.4,20.7,0.118,0.071,0.35,106.76,0.6,0.4,0.571,0.429,0.0,0.286,0.667,0.333,0.409,0.318,0.115,0.16,0,0,0,2,7,6,7,22,6,3,
2015-11-03,Devin Harris,DAL,TOR,,24:17,0.205,0.182,0.2,0.545,0.222,0.143,0.125,1.0,0.667,0.133,0.25,8,0.375,0,3,0.0,6,0.5,6,1,1,2,1,2,9,-10,23.25,11,47,35,0.0286,6,0.5,72.2,87.7,-15.4,0.1,0.107,0.375,101.16,0.625,0.375,0.667,0.0,0.0,0.667,0.667,0.333,0.352,0.386,0.152,0.259,0,7,0,6,12,7,5,16,7,7,
2015-11-05,Devin Harris,DAL,CHA,,19:35,0.138,0.094,0.1,0.0,0.056,0.143,0.429,0.25,0.0,0.167,0.0,3,0.0,0,1,0.0,0,0.0,1,1,1,0,3,1,0,-5,3.0,1,31,25,0.04,1,0.0,89.1,100.1,-11.0,0.077,0.025,0.0,99.71,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.257,0.146,0.211,0,0,0,0,4,4,4,24,4,1,
2015-11-07,Devin Harris,DAL,NOP,,23:51,0.152,0.128,0.286,0.25,0.125,0.429,0.25,0.667,0.0,0.375,0.102,5,0.4,0,2,0.0,3,0.667,2,6,2,0,1,3,6,13,19.5,2,48,38,0.1579,4,0.5,127.5,100.8,26.7,0.286,0.057,0.4,92.49,0.6,0.4,0.667,0.0,0.333,0.667,0.5,0.5,0.513,0.15,0.153,0.222,2,2,0,4,7,6,4,18,6,3,
