DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Dewayne Dedmon,SAS,PHX,C,21:32,0.153,0.128,0.0,0.0,0.087,0.0,0.235,0.0,0.0,0.375,0.04,5,0.2,0,0,0.0,0,0.0,2,0,0,0,4,6,2,8,2.5,0,0,0,,0,0.0,96.8,84.3,12.5,0.0,0.051,0.2,113.06,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.368,0.588,0.241,0.238,0,0,0,2,13,7,8,16,7,1,
2016-10-08,Dewayne Dedmon,SAS,ATL,,13:39,0.199,0.105,0.0,0.6,0.0,0.0,0.2,0.0,1.0,0.364,0.269,2,0.5,0,0,0.0,6,0.833,0,0,0,1,1,4,7,0,8.5,0,0,0,,0,0.0,91.5,95.6,-4.0,0.0,0.0,0.5,97.76,1.0,0.0,0.286,0.0,0.429,0.286,1.0,0.0,0.457,0.217,0.147,0.154,3,0,0,2,4,0,5,6,0,3,
2016-10-10,Dewayne Dedmon,SAS,DET,,11:16,0.121,0.095,0.0,0.0,0.364,0.167,0.333,0.0,0.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,4,1,0,0,1,3,0,2,5.75,0,0,0,,0,0.0,81.4,72.3,9.2,0.167,0.19,0.0,88.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.222,0.193,0.3,0,0,0,0,4,3,1,10,3,1,
2016-10-12,Dewayne Dedmon,SAS,ORL,,13:14,0.089,0.125,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.4,0.0,3,0.0,0,0,0.0,0,0.0,7,0,0,0,0,2,0,5,8.75,0,0,0,,0,0.0,67.5,51.6,15.9,0.0,0.233,0.0,106.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.389,0.344,0.154,0,0,0,0,2,2,2,10,2,2,
2016-10-14,Dewayne Dedmon,SAS,MIA,,17:03,0.212,0.188,0.0,0.636,0.188,0.0,0.0,0.333,0.75,0.25,0.324,6,0.667,0,0,0.0,7,0.429,3,0,1,3,0,1,11,-4,22.75,0,0,0,,0,0.0,92.3,101.0,-8.7,0.0,0.091,0.667,104.84,1.0,0.0,0.727,0.0,0.0,0.727,0.75,0.25,0.548,0.194,0.213,0.286,0,4,5,8,9,8,4,16,8,4,
2015-10-28,Dewayne Dedmon,ORL,WAS,,14:44,0.202,0.207,0.0,0.0,0.286,0.0,0.333,0.333,0.667,0.444,0.143,6,0.333,0,0,0.0,0,0.0,6,0,1,2,1,4,4,12,17.0,12,18,10,0.0,5,0.4,101.3,58.4,42.9,0.0,0.176,0.333,89.69,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.229,0.417,0.146,0.263,2,0,2,4,4,2,2,0,2,0,
2015-10-30,Dewayne Dedmon,ORL,OKC,,12:54,0.063,0.095,0.0,0.0,0.462,0.0,0.0,0.0,0.667,0.222,0.083,2,0.5,0,0,0.0,0,0.0,6,0,0,2,0,2,2,-5,13.5,14,20,18,0.0,2,0.5,89.0,102.5,-13.5,0.0,0.222,0.5,102.83,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.413,0.522,0.212,0.429,0,0,2,2,8,6,2,16,6,2,
2015-11-03,Dewayne Dedmon,ORL,NOP,,12:11,0.175,0.263,0.0,0.0,0.286,0.0,0.0,0.0,1.0,0.333,0.207,5,0.6,0,0,0.0,0,0.0,4,0,0,1,0,1,6,10,13.0,10,18,12,0.0,2,0.5,105.4,71.0,34.4,0.0,0.148,0.6,106.93,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.278,0.148,0.112,0.278,0,2,0,6,8,2,4,12,2,0,
2015-11-04,Dewayne Dedmon,ORL,HOU,,26:23,0.106,0.116,0.0,0.0,0.304,0.091,0.111,0.5,0.5,0.429,0.089,5,0.4,0,0,0.0,0,0.0,7,1,2,2,1,6,4,-6,21.5,17,31,25,0.04,5,0.4,89.3,99.1,-9.8,0.063,0.146,0.4,92.67,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.456,0.378,0.136,0.32,0,0,0,4,7,8,2,22,8,0,
2015-11-06,Dewayne Dedmon,ORL,TOR,C,30:27,0.144,0.111,0.0,0.375,0.19,0.067,0.125,0.0,1.0,0.5,0.169,5,0.6,0,0,0.0,6,0.667,4,1,0,3,1,6,10,-6,21.75,13,29,21,0.0476,5,0.6,103.4,109.1,-5.6,0.053,0.087,0.6,91.96,1.0,0.0,0.6,0.0,0.4,0.6,1.0,0.0,0.465,0.263,0.101,0.357,4,0,3,6,13,18,10,28,18,4,
