DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Dion Waiters,MIA,WAS,,21:35,0.257,0.294,0.125,0.125,0.05,0.615,0.143,0.0,0.0,0.25,0.25,10,0.6,0,1,0.0,1,0.0,1,8,0,0,1,2,12,1,22.75,0,0,0,,0,0.0,112.9,101.6,11.3,0.615,0.029,0.6,98.74,0.9,0.1,1.0,0.0,0.167,1.0,0.0,1.0,0.463,0.3,0.086,0.143,2,2,0,12,9,3,4,18,3,2,
2016-10-08,Dion Waiters,MIA,MIN,,27:07,0.322,0.238,0.2,0.333,0.2,0.667,0.636,0.25,0.0,0.1,0.264,10,0.4,1,2,0.5,6,0.833,4,6,1,0,7,1,14,-10,25.5,0,0,0,,0,0.0,88.5,104.9,-16.5,0.429,0.083,0.45,106.17,0.8,0.2,0.429,0.214,0.143,0.429,0.0,1.0,0.48,0.314,0.167,0.296,2,2,0,6,12,10,14,20,10,3,
2016-10-11,Dion Waiters,MIA,BKN,,24:53,0.23,0.239,0.294,0.105,0.077,0.0,0.333,0.0,0.0,0.125,0.218,11,0.364,2,5,0.4,2,1.0,2,0,0,0,2,2,12,-3,14.5,0,0,0,,0,0.0,99.3,104.3,-5.0,0.0,0.043,0.455,107.02,0.545,0.455,0.333,0.5,0.167,0.167,0.5,0.5,0.548,0.357,0.126,0.0,2,2,3,2,4,3,0,20,3,4,NBA TV
2016-10-14,Dion Waiters,MIA,SAS,G,26:41,0.198,0.184,0.167,0.333,0.0,0.286,0.167,0.2,0.0,0.286,0.221,9,0.556,2,3,0.667,5,0.6,0,4,1,0,1,4,15,15,22.5,0,0,0,,0,0.0,124.5,99.9,24.6,0.19,0.0,0.667,96.83,0.667,0.333,0.4,0.4,0.133,0.267,0.2,0.8,0.464,0.381,0.245,0.391,2,3,0,4,10,6,10,24,6,4,
2016-10-15,Dion Waiters,MIA,MIN,G,24:28,0.19,0.179,0.154,0.4,0.071,0.308,0.125,0.0,0.0,0.222,0.255,7,0.571,1,2,0.5,4,1.0,1,4,0,0,1,2,13,-7,19.25,0,0,0,,0,0.0,105.4,121.7,-16.4,0.267,0.026,0.643,94.21,0.714,0.286,0.462,0.231,0.538,0.308,0.25,0.75,0.589,0.133,0.147,0.389,7,0,0,4,9,15,8,28,15,3,
2016-10-18,Dion Waiters,MIA,ORL,G,26:32,0.239,0.2,0.273,0.5,0.143,0.167,0.375,0.4,0.0,0.083,0.288,9,0.556,2,3,0.667,3,1.0,3,2,2,0,3,1,15,0,24.75,0,0,0,,0,0.0,98.8,96.0,2.8,0.125,0.065,0.667,96.6,0.667,0.333,0.4,0.4,0.133,0.4,0.2,0.8,0.446,0.304,0.148,0.25,2,2,0,6,6,12,5,28,12,3,
2016-10-20,Dion Waiters,MIA,CHA,G,16:42,0.209,0.233,0.182,0.5,0.063,0.222,0.0,0.0,0.333,0.0,0.208,7,0.286,0,2,0.0,2,0.5,1,2,0,1,0,0,5,-13,10.75,0,0,0,,0,0.0,73.3,119.0,-45.8,0.286,0.027,0.286,91.75,0.714,0.286,0.8,0.0,0.0,0.4,1.0,0.0,0.484,0.219,0.097,0.389,0,0,2,2,4,8,4,18,8,2,
2015-10-28,Dion Waiters,OKC,SAS,,21:24,0.194,0.195,0.2,0.0,0.16,0.167,0.273,0.0,0.0,0.2,0.14,8,0.5,0,2,0.0,0,0.0,4,2,0,0,3,2,8,15,14.0,5,26,15,0.1333,5,0.6,119.1,90.9,28.2,0.118,0.111,0.5,105.49,0.75,0.25,1.0,0.0,0.25,0.5,0.25,0.75,0.514,0.135,0.173,0.059,2,2,0,4,3,2,5,22,2,0,ESPN
2015-10-30,Dion Waiters,OKC,ORL,,28:34,0.122,0.111,0.214,0.0,0.219,0.2,0.333,0.0,0.2,0.143,0.039,6,0.167,1,3,0.333,0,0.0,7,2,0,1,3,3,3,24,15.25,12,27,18,0.1111,3,0.0,121.5,91.6,29.9,0.08,0.123,0.25,100.23,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.349,0.674,0.194,0.323,3,0,0,0,5,9,0,14,9,0,
2015-11-01,Dion Waiters,OKC,DEN,,23:55,0.168,0.195,0.154,0.375,0.04,0.286,0.0,0.25,0.0,0.0,0.179,8,0.375,1,2,0.5,3,1.0,1,4,1,0,0,0,10,9,18.75,4,33,22,0.1818,2,0.0,117.8,94.1,23.8,0.222,0.027,0.438,97.83,0.75,0.25,0.4,0.3,0.0,0.0,0.333,0.667,0.476,0.214,0.14,0.15,0,0,0,0,14,5,9,16,5,2,
