DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-11,Dirk Nowitzki,DAL,OKC,F,16:01,0.185,0.222,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.25,0.216,6,0.5,0,0,0.0,2,1.0,0,0,0,0,0,1,8,3,8.0,0,0,0,,0,0.0,111.2,105.6,5.6,0.0,0.0,0.5,98.12,1.0,0.0,0.75,0.0,0.0,0.5,1.0,0.0,0.484,0.161,0.155,0.333,0,0,0,4,7,5,7,12,5,1,
2016-10-14,Dirk Nowitzki,DAL,PHX,F,19:38,0.272,0.342,0.0,0.286,0.296,0.0,0.0,0.0,0.0,0.1,0.244,13,0.308,0,0,0.0,2,1.0,8,0,0,0,0,1,10,-6,20.0,0,0,0,,0,0.0,95.2,107.1,-11.9,0.0,0.186,0.308,106.3,1.0,0.0,0.8,0.0,0.2,0.0,0.0,1.0,0.523,0.047,0.091,0.174,2,0,0,0,13,5,17,12,5,3,
2016-10-19,Dirk Nowitzki,DAL,HOU,F,25:22,0.221,0.22,0.083,0.333,0.278,0.0,0.143,0.0,0.0,0.091,0.267,9,0.444,0,1,0.0,4,1.0,5,0,0,0,1,1,12,-12,17.75,0,0,0,,0,0.0,87.8,113.6,-25.9,0.0,0.106,0.444,95.99,0.889,0.111,0.667,0.0,0.167,0.333,0.5,0.5,0.545,0.318,0.159,0.333,2,0,0,4,9,5,16,20,5,3,
2016-10-21,Dirk Nowitzki,DAL,DEN,F,28:51,0.198,0.182,0.083,0.222,0.25,0.125,0.25,0.5,0.0,0.111,0.182,8,0.375,1,1,1.0,2,0.5,4,1,1,0,3,2,8,-20,15.25,0,0,0,,0,0.0,78.6,111.1,-32.5,0.067,0.091,0.438,94.47,0.875,0.125,0.5,0.375,0.0,0.0,0.667,0.333,0.543,0.326,0.208,0.368,0,0,0,0,16,13,10,30,13,1,
2015-10-28,Dirk Nowitzki,DAL,PHX,F,20:43,0.208,0.25,0.111,0.0,0.375,0.273,0.0,0.333,0.5,0.182,0.186,10,0.5,1,1,1.0,0,0.0,9,3,1,1,0,2,11,21,30.5,16,50,39,0.0769,7,0.429,133.6,82.3,51.3,0.188,0.184,0.55,104.6,0.9,0.1,0.727,0.273,0.0,0.182,0.8,0.2,0.36,0.326,0.152,0.333,0,3,2,2,0,6,6,14,6,2,
2015-10-29,Dirk Nowitzki,DAL,LAC,F,25:02,0.267,0.3,0.188,0.429,0.269,0.143,0.0,0.5,0.0,0.063,0.308,15,0.4,1,3,0.333,3,1.0,7,2,1,0,0,1,16,-12,29.75,13,53,36,0.0556,7,0.286,98.0,126.0,-28.0,0.133,0.14,0.433,99.57,0.8,0.2,0.625,0.188,0.125,0.25,0.667,0.333,0.616,0.465,0.059,0.182,2,0,3,4,9,7,12,22,7,2,TNT
2015-11-01,Dirk Nowitzki,DAL,LAL,F,29:54,0.228,0.245,0.278,0.2,0.273,0.056,0.125,0.2,0.0,0.2,0.397,13,0.769,3,5,0.6,2,1.0,9,1,1,0,1,3,25,13,40.5,15,63,47,0.0213,7,0.714,104.3,80.7,23.6,0.071,0.153,0.885,98.17,0.615,0.385,0.56,0.36,0.32,0.16,0.9,0.1,0.36,0.36,0.129,0.125,8,0,4,4,8,7,9,14,7,4,
2015-11-03,Dirk Nowitzki,DAL,TOR,F,35:11,0.167,0.161,0.25,0.167,0.233,0.143,0.2,0.333,0.333,0.059,0.254,10,0.6,3,4,0.75,3,1.0,7,2,1,1,2,1,18,-8,33.75,11,60,45,0.0444,6,0.5,100.1,109.5,-9.4,0.1,0.111,0.75,97.57,0.6,0.4,0.333,0.5,0.333,0.222,0.833,0.167,0.483,0.383,0.125,0.25,6,0,3,4,9,9,4,34,9,5,
2015-11-05,Dirk Nowitzki,DAL,CHA,F,27:42,0.242,0.261,0.214,0.353,0.286,0.0,0.0,0.0,0.0,0.111,0.241,12,0.333,0,3,0.0,6,1.0,6,0,0,0,0,1,14,-15,21.5,10,44,27,0.0,5,0.4,102.7,122.2,-19.5,0.0,0.12,0.333,100.69,0.75,0.25,0.571,0.0,0.143,0.0,0.75,0.25,0.587,0.25,0.134,0.261,2,0,0,0,14,5,4,44,5,5,
2015-11-07,Dirk Nowitzki,DAL,NOP,F,29:34,0.277,0.314,0.235,0.067,0.259,0.25,0.222,0.0,0.0,0.0,0.286,16,0.5,2,4,0.5,1,0.0,7,3,0,0,2,0,18,4,30.5,12,73,54,0.0556,7,0.571,97.5,101.6,-4.1,0.214,0.127,0.563,99.6,0.75,0.25,0.667,0.333,0.0,0.222,0.5,0.5,0.491,0.127,0.069,0.138,0,3,0,4,9,6,4,18,6,2,
2015-11-10,Dirk Nowitzki,DAL,NOP,F,19:48,0.337,0.361,0.625,0.3,0.267,0.286,0.2,0.0,0.0,0.0,0.45,13,0.538,1,5,0.2,3,1.0,4,2,0,0,1,0,18,-6,25.5,4,44,29,0.069,6,0.667,94.3,121.2,-26.8,0.25,0.111,0.577,97.37,0.615,0.385,0.667,0.167,0.222,0.333,0.571,0.429,0.588,0.265,0.105,0.25,4,0,0,6,9,6,14,16,6,3,
