DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Domantas Sabonis,OKC,RMD,F,28:51,0.089,0.098,0.143,0.0,0.294,0.25,0.111,0.143,0.0,0.316,0.083,5,0.6,1,2,0.5,0,0.0,5,4,1,0,1,6,7,8,20.25,0,0,0,,0,0.0,135.4,122.7,12.7,0.133,0.139,0.7,103.12,0.6,0.4,0.571,0.429,0.0,0.571,0.333,0.667,0.727,0.409,0.226,0.25,0,0,2,4,11,6,3,24,6,1,NBA TV
2016-10-05,Domantas Sabonis,OKC,FCB,F,31:04,0.089,0.091,0.182,0.0,0.091,0.231,0.118,0.0,0.0,0.0,0.123,4,0.75,2,2,1.0,0,0.0,2,3,0,0,2,0,8,4,14.25,0,0,0,,0,0.0,100.6,96.4,4.2,0.136,0.051,1.0,98.79,0.5,0.5,0.25,0.75,0.375,0.25,1.0,0.0,0.542,0.25,0.237,0.208,3,0,0,2,16,6,3,22,6,1,NBA TV
2016-10-11,Domantas Sabonis,OKC,DAL,F,17:50,0.167,0.211,0.385,0.0,0.083,0.286,0.0,0.25,0.0,0.182,0.108,8,0.25,0,5,0.0,0,0.0,2,2,1,0,0,2,4,0,11.0,0,0,0,,0,0.0,92.6,94.2,-1.6,0.182,0.045,0.25,106.64,0.375,0.625,1.0,0.0,0.0,0.5,1.0,0.0,0.45,0.4,0.178,0.158,0,0,0,2,9,3,10,14,3,0,
2016-10-13,Domantas Sabonis,OKC,MEM,F,22:35,0.23,0.179,0.167,0.364,0.053,0.111,0.286,1.0,0.0,0.333,0.182,5,0.4,1,2,0.5,4,0.75,1,1,1,0,4,5,8,2,11.0,0,0,0,,0,0.0,98.1,88.7,9.4,0.083,0.031,0.5,97.98,0.6,0.4,0.25,0.375,0.125,0.25,1.0,0.0,0.386,0.543,0.148,0.15,1,0,0,2,15,4,7,12,4,3,
2016-10-16,Domantas Sabonis,OKC,MIN,F,24:16,0.129,0.087,0.091,0.167,0.111,0.25,0.3,0.0,0.0,0.375,0.102,4,0.5,0,1,0.0,2,1.0,3,3,0,0,3,3,6,17,12.0,0,0,0,,0,0.0,106.7,79.3,27.4,0.143,0.071,0.5,107.05,0.75,0.25,0.667,0.0,0.0,0.667,0.0,1.0,0.393,0.214,0.189,0.125,0,2,0,4,4,5,7,20,5,2,
2016-10-18,Domantas Sabonis,OKC,DEN,F,16:49,0.15,0.156,0.5,0.286,0.176,0.2,0.0,0.0,0.0,0.4,0.158,5,0.6,0,1,0.0,2,0.0,3,2,0,0,0,4,6,6,12.25,0,0,0,,0,0.0,105.3,89.0,16.3,0.143,0.088,0.6,102.81,0.8,0.2,1.0,0.0,0.333,0.333,0.667,0.333,0.422,0.281,0.139,0.263,2,2,0,2,4,9,4,16,9,2,
2016-10-26,Domantas Sabonis,OKC,PHI,F,16:21,0.131,0.156,0.5,0.0,0.267,0.0,0.0,0.0,0.0,0.333,0.208,5,0.4,1,3,0.333,0,0.0,4,0,0,0,0,2,5,-10,10.5,8,30,23,0.0,2,0.5,68.2,95.1,-26.9,0.0,0.118,0.5,104.16,0.4,0.6,0.4,0.6,0.4,0.4,1.0,0.0,0.552,0.138,0.168,0.077,2,2,0,2,4,6,4,14,6,0,ESPN
2016-10-28,Domantas Sabonis,OKC,PHX,F,17:29,0.16,0.188,0.0,0.0,0.222,0.0,0.167,0.0,0.0,0.333,0.229,6,0.667,0,0,0.0,0,0.0,4,0,0,0,1,3,8,-6,12.5,7,28,19,0.0,3,0.667,90.4,111.3,-20.9,0.0,0.114,0.667,103.72,1.0,0.0,1.0,0.0,0.0,0.5,0.75,0.25,0.53,0.333,0.081,0.235,0,2,0,4,6,4,4,22,4,0,
2016-10-30,Domantas Sabonis,OKC,LAL,F,6:48,0.061,0.077,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,1,1,0,4,0,-6,4.0,2,10,10,0.0,0,0.0,90.8,129.8,-39.0,0.0,0.0,0.0,102.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.137,0.5,0,0,0,0,2,5,2,10,5,0,
2016-11-02,Domantas Sabonis,OKC,LAC,F,16:50,0.081,0.125,0.333,0.0,0.167,0.2,0.0,0.2,0.0,0.5,0.2,3,0.667,2,3,0.667,0,0.0,2,1,1,0,0,5,6,6,12.75,6,27,24,0.0417,1,1.0,81.2,65.5,15.7,0.111,0.083,1.0,104.93,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.46,0.24,0.273,0.077,0,0,0,0,4,0,3,16,0,1,ESPN
