DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Draymond Green,GSW,TOR,F,17:01,0.107,0.067,0.056,0.133,0.167,0.143,0.222,0.286,0.0,0.4,0.054,2,0.0,0,1,0.0,2,1.0,2,1,2,0,2,4,2,-1,8.75,0,0,0,,0,0.0,84.9,90.4,-5.5,0.1,0.056,0.0,120.79,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.571,0.309,0.375,0,0,0,0,9,8,10,18,8,1,NBA TV
2016-10-04,Draymond Green,GSW,LAC,F,21:36,0.242,0.212,0.15,0.125,0.36,0.263,0.444,0.167,0.0,0.308,0.123,7,0.429,1,3,0.333,2,0.5,9,5,1,0,4,4,8,44,26.0,0,0,0,,0,0.0,138.2,41.9,96.3,0.294,0.231,0.5,108.0,0.571,0.429,0.5,0.375,0.25,0.5,1.0,0.0,0.188,0.438,0.259,0.042,2,2,0,4,2,0,2,10,0,2,ESPN
2016-10-06,Draymond Green,GSW,SAC,F,25:21,0.18,0.147,0.167,0.28,0.25,0.385,0.182,0.222,0.0,0.25,0.15,5,0.4,1,3,0.333,7,0.571,5,5,2,0,2,2,9,11,25.0,0,0,0,,0,0.0,109.1,88.1,21.0,0.333,0.114,0.5,104.75,0.4,0.6,0.222,0.333,0.333,0.222,0.5,0.5,0.5,0.133,0.234,0.208,3,0,0,2,10,7,8,18,7,6,
2016-10-14,Draymond Green,GSW,DEN,F,24:03,0.16,0.128,0.095,0.0,0.05,0.25,0.429,0.333,0.0,0.167,0.04,6,0.167,0,2,0.0,0,0.0,1,3,2,0,3,2,2,-11,9.5,0,0,0,,0,0.0,94.0,114.7,-20.8,0.158,0.02,0.167,106.14,0.667,0.333,1.0,0.0,0.0,1.0,0.0,1.0,0.616,0.326,0.188,0.261,0,0,0,2,14,10,2,26,10,2,
2016-10-19,Draymond Green,GSW,LAL,F,31:38,0.148,0.129,0.24,0.095,0.276,0.208,0.333,0.091,0.0,0.3,0.105,8,0.375,2,6,0.333,2,1.0,8,5,1,0,3,3,10,21,27.75,0,0,0,,0,0.0,124.6,94.0,30.6,0.172,0.14,0.5,117.57,0.25,0.75,0.2,0.6,0.0,0.2,1.0,0.0,0.531,0.2,0.191,0.219,0,0,0,2,14,12,23,22,12,2,ESPN
2016-10-21,Draymond Green,GSW,POR,F,26:08,0.108,0.063,0.111,0.364,0.324,0.4,0.2,0.333,0.25,0.231,0.061,3,0.0,0,3,0.0,4,1.0,11,6,1,1,2,3,4,14,28.25,0,0,0,,0,0.0,114.1,83.5,30.6,0.286,0.186,0.0,110.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.226,0.128,0.121,0,0,0,0,13,5,11,22,5,2,NBA TV
2015-10-27,Draymond Green,GSW,NOP,F,29:26,0.179,0.194,0.25,0.133,0.235,0.1,0.111,0.167,0.0,0.333,0.132,12,0.25,2,5,0.4,2,1.0,8,2,1,0,1,5,10,20,25.0,12,64,47,0.0426,5,0.0,119.5,85.9,33.6,0.08,0.16,0.333,104.99,0.583,0.417,0.2,0.6,0.5,0.0,1.0,0.0,0.489,0.298,0.2,0.048,5,0,0,0,11,4,13,26,4,8,TNT
2015-10-30,Draymond Green,GSW,HOU,F,31:14,0.145,0.131,0.095,0.25,0.233,0.412,0.167,0.333,0.5,0.143,0.127,8,0.375,1,2,0.5,4,0.5,7,7,2,1,1,2,9,15,32.5,11,74,63,0.1111,6,0.333,104.4,83.3,21.1,0.292,0.109,0.438,103.95,0.75,0.25,0.444,0.333,0.222,0.444,0.667,0.333,0.392,0.412,0.193,0.2,2,0,3,4,7,8,7,22,8,6,ESPN
2015-10-31,Draymond Green,GSW,NOP,F,37:11,0.204,0.182,0.185,0.182,0.2,0.211,0.5,0.125,0.5,0.222,0.189,12,0.583,4,5,0.8,6,0.5,6,4,1,1,3,4,21,19,38.0,12,87,68,0.0588,7,0.429,132.9,107.1,25.8,0.138,0.091,0.75,109.37,0.583,0.417,0.286,0.571,0.095,0.286,0.857,0.143,0.5,0.234,0.151,0.308,2,3,0,6,7,15,9,42,15,3,NBA TV
2015-11-02,Draymond Green,GSW,MEM,F,26:57,0.14,0.146,0.25,0.0,0.243,0.421,0.2,0.0,0.3,0.25,0.149,7,0.571,3,4,0.75,0,0.0,9,8,0,3,2,2,11,41,38.75,19,53,44,0.1818,4,0.25,123.0,53.5,69.5,0.348,0.148,0.786,108.54,0.429,0.571,0.182,0.818,0.0,0.182,1.0,0.0,0.193,0.228,0.113,0.195,0,3,0,2,6,6,6,12,6,1,NBA TV
