DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Dwight Howard,ATL,MEM,C,17:36,0.266,0.219,0.0,1.0,0.412,0.0,0.375,0.0,0.0,0.333,0.214,7,0.429,0,0,0.0,2,0.0,7,0,0,0,3,4,6,-9,13.25,0,0,0,,0,0.0,75.9,102.7,-26.7,0.0,0.212,0.429,99.44,1.0,0.0,1.0,0.0,0.333,1.0,0.667,0.333,0.435,0.516,0.083,0.278,2,0,2,6,12,6,0,6,6,3,
2016-10-10,Dwight Howard,ATL,CLE,C,23:42,0.33,0.341,0.0,0.529,0.333,0.143,0.0,0.25,0.667,0.5,0.433,15,0.733,0,0,0.0,9,0.444,8,2,1,2,0,5,26,16,44.5,0,0,0,,0,0.0,114.3,86.8,27.6,0.154,0.186,0.733,104.52,1.0,0.0,0.846,0.0,0.154,0.769,0.636,0.364,0.447,0.342,0.177,0.095,4,0,1,20,2,4,3,16,4,6,
2016-10-13,Dwight Howard,ATL,DET,C,27:38,0.226,0.262,0.0,0.273,0.5,0.067,0.083,0.0,0.75,0.4,0.273,11,0.636,0,0,0.0,3,0.333,9,1,0,3,1,6,15,-10,33.0,0,0,0,,0,0.0,100.3,114.4,-14.1,0.077,0.209,0.636,97.0,1.0,0.0,0.933,0.0,0.133,0.8,0.857,0.143,0.519,0.212,0.141,0.364,2,0,2,12,14,9,4,22,9,2,
2016-10-18,Dwight Howard,ATL,NOP,C,23:45,0.272,0.244,0.0,0.667,0.458,0.125,0.111,0.5,0.75,0.25,0.192,10,0.3,0,0,0.0,10,0.4,11,2,4,3,1,3,10,17,39.75,0,0,0,,0,0.0,100.8,65.0,35.8,0.118,0.239,0.3,106.55,1.0,0.0,0.6,0.0,0.4,0.6,0.667,0.333,0.325,0.275,0.241,0.174,4,0,4,6,9,3,6,14,3,8,NBA TV
2016-10-20,Dwight Howard,ATL,CHI,C,28:44,0.261,0.204,0.0,0.818,0.455,0.167,0.3,0.0,0.5,0.308,0.25,11,0.455,0,0,0.0,9,0.667,15,3,0,1,3,4,16,12,39.0,0,0,0,,0,0.0,100.3,81.8,18.5,0.15,0.242,0.455,106.45,1.0,0.0,0.625,0.0,0.25,0.5,0.8,0.2,0.331,0.254,0.11,0.243,4,2,6,8,15,7,12,18,7,5,
2015-10-30,Dwight Howard,HOU,GSW,C,21:49,0.313,0.333,0.0,0.1,0.35,0.25,0.444,0.5,0.333,0.5,0.257,11,0.364,0,0,0.0,2,0.5,7,2,1,1,4,5,9,-16,22.25,12,51,35,0.0571,11,0.364,78.1,119.9,-41.8,0.333,0.171,0.364,96.06,1.0,0.0,0.889,0.0,0.222,0.889,0.75,0.25,0.549,0.195,0.071,0.263,2,0,0,8,8,7,6,24,7,2,ESPN
2015-11-02,Dwight Howard,HOU,OKC,C,34:38,0.204,0.2,0.0,0.35,0.32,0.0,0.1,0.154,0.8,0.154,0.205,13,0.462,0,0,0.0,7,0.571,8,0,2,4,1,2,16,2,37.5,15,53,37,0.0,11,0.364,99.0,103.5,-4.6,0.0,0.121,0.462,105.47,1.0,0.0,0.75,0.0,0.125,0.75,0.667,0.333,0.54,0.159,0.232,0.355,2,2,4,12,9,14,7,38,14,6,NBA TV
2015-11-04,Dwight Howard,HOU,ORL,C,31:13,0.234,0.233,0.0,0.318,0.483,0.133,0.188,0.0,0.0,0.286,0.377,10,1.0,0,0,0.0,7,0.429,14,2,0,0,3,4,23,3,41.5,20,56,38,0.0526,8,1.0,100.5,95.3,5.2,0.167,0.275,1.0,93.43,1.0,0.0,0.87,0.0,0.087,0.87,0.7,0.3,0.463,0.204,0.148,0.25,2,2,9,20,12,6,10,36,6,6,
2015-11-07,Dwight Howard,HOU,LAC,C,29:02,0.252,0.196,0.0,0.417,0.625,0.25,0.417,0.0,1.0,0.357,0.333,10,0.8,0,0,0.0,5,0.8,20,3,0,1,5,5,20,2,48.25,31,73,57,0.0526,7,0.714,99.5,101.3,-1.7,0.2,0.37,0.8,97.18,1.0,0.0,0.8,0.0,0.1,0.8,0.625,0.375,0.463,0.222,0.07,0.2,2,0,8,16,17,7,3,34,7,4,
2015-11-11,Dwight Howard,HOU,BKN,C,37:14,0.205,0.205,0.0,0.2,0.486,0.053,0.2,0.0,0.833,0.0,0.278,16,0.625,0,0,0.0,2,0.0,17,1,0,5,1,0,20,-7,52.0,25,77,57,0.0175,12,0.5,95.5,110.6,-15.2,0.048,0.21,0.625,94.62,1.0,0.0,1.0,0.0,0.2,1.0,0.7,0.3,0.486,0.139,0.112,0.361,4,0,6,20,6,23,8,32,23,3,
2015-11-13,Dwight Howard,HOU,DEN,C,27:40,0.231,0.15,0.0,0.286,0.455,0.083,0.429,0.25,0.333,0.313,0.214,6,0.667,0,0,0.0,6,0.667,10,1,1,1,6,5,12,-6,26.75,18,47,34,0.0294,5,0.8,94.5,105.4,-10.9,0.077,0.217,0.667,102.39,1.0,0.0,0.667,0.0,0.333,0.667,0.5,0.5,0.489,0.426,0.153,0.25,4,2,2,8,20,8,13,26,8,5,
2015-11-16,Dwight Howard,HOU,BOS,C,29:41,0.097,0.082,0.0,0.154,0.462,0.188,0.125,0.0,0.333,0.286,0.083,4,0.5,0,0,0.0,2,0.5,12,3,0,1,2,4,5,-11,24.75,20,51,45,0.0667,4,0.5,95.7,109.7,-14.0,0.15,0.245,0.5,103.04,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.573,0.236,0.185,0.308,2,0,2,4,29,10,12,34,10,1,
2015-11-18,Dwight Howard,HOU,POR,C,40:16,0.105,0.071,0.0,0.167,0.463,0.154,0.214,0.125,0.6,0.267,0.091,5,0.4,0,0,0.0,5,0.6,19,2,1,3,3,4,7,0,39.75,30,61,51,0.0392,4,0.5,88.3,92.5,-4.2,0.1,0.238,0.4,101.58,1.0,0.0,0.571,0.0,0.0,0.571,1.0,0.0,0.434,0.309,0.168,0.205,0,0,2,4,11,5,5,30,5,6,
2015-11-20,Dwight Howard,HOU,MEM,C,35:36,0.138,0.088,0.0,0.381,0.441,0.25,0.176,0.0,0.333,0.158,0.182,5,0.8,0,0,0.0,8,0.5,15,3,0,2,3,3,12,-10,37.0,23,66,54,0.0556,4,0.75,87.7,110.8,-23.1,0.15,0.231,0.8,96.95,1.0,0.0,0.667,0.0,0.167,0.667,0.5,0.5,0.508,0.242,0.087,0.188,2,2,2,8,23,4,19,30,4,10,
2015-11-25,Dwight Howard,HOU,MEM,C,39:49,0.164,0.143,0.0,0.261,0.172,0.071,0.176,0.25,0.25,0.294,0.162,8,0.5,0,0,0.0,6,0.667,5,1,3,1,3,5,12,-12,26.0,19,46,34,0.0294,7,0.429,94.7,105.4,-10.7,0.053,0.079,0.5,96.27,1.0,0.0,0.667,0.0,0.5,0.667,1.0,0.0,0.545,0.224,0.184,0.226,6,2,1,8,21,10,18,38,10,7,NBA TV
2015-11-27,Dwight Howard,HOU,PHI,C,36:03,0.141,0.125,0.0,0.308,0.371,0.211,0.071,0.2,0.0,0.267,0.157,7,0.571,0,0,0.0,8,0.75,13,4,1,0,1,4,14,1,36.75,22,49,35,0.1143,7,0.571,121.2,120.9,0.3,0.148,0.217,0.571,97.36,1.0,0.0,0.571,0.0,0.0,0.571,1.0,0.0,0.617,0.333,0.137,0.182,0,5,2,8,21,5,4,22,5,7,
2015-11-29,Dwight Howard,HOU,NYK,C,30:22,0.23,0.25,0.0,0.192,0.273,0.222,0.0,0.0,0.0,0.091,0.203,14,0.429,0,0,0.0,5,0.4,6,2,0,0,0,1,14,9,24.0,15,52,33,0.0606,14,0.429,114.2,101.0,13.2,0.111,0.13,0.429,94.71,1.0,0.0,0.857,0.0,0.0,0.857,0.333,0.667,0.605,0.233,0.253,0.2,0,0,2,12,2,7,0,22,7,3,
2015-11-30,Dwight Howard,HOU,DET,C,31:12,0.141,0.137,0.0,0.0,0.345,0.133,0.231,0.125,0.8,0.333,0.108,7,0.571,0,0,0.0,0,0.0,10,2,1,4,3,5,8,10,31.5,19,52,38,0.0526,6,0.5,117.4,98.8,18.6,0.095,0.192,0.571,98.35,1.0,0.0,1.0,0.0,0.25,1.0,0.5,0.5,0.491,0.364,0.123,0.25,2,0,4,8,17,14,6,30,14,2,
2015-12-02,Dwight Howard,HOU,NOP,C,37:25,0.141,0.088,0.0,0.276,0.421,0.0,0.375,0.0,0.429,0.333,0.107,6,0.333,0,0,0.0,8,0.5,16,0,0,3,3,6,8,4,32.5,33,57,48,0.0,6,0.333,94.0,91.8,2.3,0.0,0.188,0.333,100.79,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.38,0.268,0.168,0.341,0,0,2,4,8,17,2,30,17,6,NBA TV
2015-12-05,Dwight Howard,HOU,SAC,C,36:26,0.208,0.148,0.0,0.359,0.529,0.0,0.333,0.286,0.4,0.091,0.224,9,0.778,0,0,0.0,14,0.571,18,0,2,2,3,1,22,14,51.0,28,70,47,0.0,5,0.8,127.0,105.4,21.6,0.0,0.257,0.778,103.34,1.0,0.0,0.636,0.0,0.136,0.636,0.714,0.286,0.507,0.181,0.138,0.273,3,3,5,14,6,15,10,42,15,10,
2015-12-08,Dwight Howard,HOU,BKN,C,28:33,0.162,0.1,0.0,0.5,0.375,0.0,0.308,0.167,0.667,0.111,0.147,5,0.8,0,0,0.0,4,0.5,9,0,2,2,4,1,10,5,27.25,15,49,38,0.0,5,0.8,114.2,107.1,7.2,0.0,0.191,0.8,99.5,1.0,0.0,0.8,0.0,0.2,0.8,1.0,0.0,0.563,0.229,0.238,0.32,2,2,2,8,12,15,4,24,15,6,
2015-12-09,Dwight Howard,HOU,WAS,C,27:30,0.109,0.087,0.0,0.375,0.45,0.188,0.0,0.333,0.5,0.25,0.056,4,0.25,0,0,0.0,6,0.333,9,3,2,1,0,3,4,15,25.0,16,55,45,0.0667,4,0.25,119.9,94.1,25.9,0.115,0.196,0.25,105.29,1.0,0.0,0.5,0.0,0.25,0.5,1.0,0.0,0.44,0.3,0.182,0.269,1,0,0,2,14,11,10,28,11,5,
2015-12-12,Dwight Howard,HOU,LAL,C,33:15,0.173,0.125,0.0,0.5,0.324,0.087,0.222,0.111,0.5,0.0,0.202,8,0.875,0,0,0.0,9,0.444,12,2,1,2,2,0,18,15,40.5,24,58,45,0.0444,6,0.833,129.1,106.6,22.5,0.077,0.179,0.875,99.84,1.0,0.0,0.778,0.0,0.167,0.778,0.571,0.429,0.508,0.159,0.159,0.265,3,4,8,14,12,9,12,24,9,6,
2015-12-14,Dwight Howard,HOU,DEN,C,32:41,0.209,0.164,0.032,0.286,0.421,0.0,0.571,0.333,1.0,0.308,0.165,10,0.6,0,1,0.0,2,0.5,8,0,4,1,4,4,13,14,31.0,15,59,40,0.0,9,0.667,116.0,98.9,17.1,0.0,0.16,0.6,98.25,0.9,0.1,0.923,0.0,0.308,0.923,0.833,0.167,0.529,0.255,0.243,0.304,4,0,2,12,7,7,9,30,7,6,
2015-12-15,Dwight Howard,HOU,SAC,C,27:48,0.144,0.14,0.0,0.077,0.222,0.154,0.2,0.083,1.0,0.313,0.068,7,0.286,0,0,0.0,1,0.0,4,2,1,1,2,5,4,-10,14.5,7,47,35,0.0571,6,0.333,97.2,110.2,-13.1,0.105,0.085,0.286,106.46,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.693,0.341,0.288,0.316,0,0,0,2,12,10,14,30,10,3,NBA TV
