DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Dwyane Wade,CHI,MIL,G,11:41,0.227,0.15,0.286,1.0,0.167,0.25,0.4,0.667,0.0,0.333,0.286,3,0.667,2,2,1.0,2,0.0,2,1,2,0,2,3,6,-2,13.75,0,0,0,,0,0.0,84.4,92.6,-8.2,0.143,0.08,1.0,102.14,0.333,0.667,0.0,1.0,0.0,0.0,0.5,0.5,0.375,0.55,0.121,0.214,0,0,0,0,5,5,0,6,5,1,NBA TV
2016-10-06,Dwyane Wade,CHI,IND,G,22:14,0.252,0.243,0.125,0.267,0.235,0.375,0.273,0.167,0.0,0.2,0.238,9,0.333,0,1,0.0,4,1.0,4,3,1,0,3,1,10,-9,19.25,0,0,0,,0,0.0,78.4,95.9,-17.5,0.25,0.105,0.333,115.33,0.889,0.111,0.6,0.0,0.2,0.2,0.333,0.667,0.547,0.116,0.226,0.2,2,2,0,2,12,2,9,16,2,3,
2016-10-08,Dwyane Wade,CHI,IND,G,26:50,0.261,0.304,0.308,0.231,0.045,0.444,0.0,0.0,0.0,0.231,0.319,14,0.571,3,4,0.75,3,1.0,1,8,0,0,0,3,22,17,34.75,0,0,0,,0,0.0,126.1,92.4,33.7,0.444,0.022,0.679,99.28,0.714,0.286,0.455,0.409,0.227,0.364,0.875,0.125,0.489,0.273,0.178,0.143,5,7,0,8,10,5,15,22,5,3,
2016-10-14,Dwyane Wade,CHI,CLE,G,23:37,0.289,0.25,0.2,0.556,0.194,0.417,0.364,1.0,0.333,0.0,0.183,12,0.333,0,2,0.0,5,0.6,6,5,2,1,4,0,11,5,28.75,0,0,0,,0,0.0,115.5,108.4,7.0,0.238,0.14,0.333,104.35,0.833,0.167,0.727,0.0,0.182,0.545,0.0,1.0,0.5,0.302,0.099,0.13,2,4,0,6,10,4,2,10,4,3,NBA TV
2016-10-17,Dwyane Wade,CHI,CHA,G,24:27,0.252,0.244,0.2,0.0,0.111,0.286,0.364,0.0,0.5,0.25,0.208,11,0.455,1,2,0.5,0,0.0,3,4,0,4,4,3,11,7,26.25,0,0,0,,0,0.0,97.2,88.8,8.4,0.25,0.062,0.5,104.4,0.818,0.182,0.727,0.273,0.364,0.364,0.4,0.6,0.363,0.5,0.193,0.241,4,5,0,4,16,5,10,12,5,0,NBA TV
2016-10-20,Dwyane Wade,CHI,ATL,G,25:06,0.262,0.298,0.625,0.182,0.158,0.4,0.0,0.5,0.0,0.357,0.178,14,0.214,1,5,0.2,2,0.5,3,6,2,0,0,5,8,-7,23.75,0,0,0,,0,0.0,85.2,98.2,-13.0,0.4,0.064,0.25,101.16,0.643,0.357,0.5,0.375,0.625,0.25,0.667,0.333,0.535,0.209,0.189,0.211,5,2,0,2,7,13,7,12,13,2,
2015-10-28,Dwyane Wade,MIA,CHA,G,29:01,0.336,0.348,0.0,0.6,0.12,0.357,0.125,0.0,0.143,0.143,0.333,16,0.438,0,0,0.0,6,1.0,3,5,0,1,1,2,20,-2,31.5,5,50,26,0.1923,14,0.357,106.4,108.1,-1.7,0.313,0.059,0.438,94.09,1.0,0.0,0.7,0.0,0.0,0.4,0.286,0.714,0.462,0.365,0.052,0.207,0,0,2,8,11,10,4,30,10,5,
2015-10-30,Dwyane Wade,MIA,CLE,G,30:24,0.395,0.313,0.167,0.533,0.154,0.2,0.7,0.667,0.143,0.286,0.41,15,0.533,1,2,0.5,8,1.0,4,3,2,1,7,4,25,4,36.75,6,43,20,0.15,10,0.5,97.4,96.5,0.9,0.231,0.069,0.567,96.03,0.867,0.133,0.56,0.12,0.24,0.32,0.375,0.625,0.398,0.296,0.136,0.294,6,2,2,8,10,10,5,30,10,4,ESPN
2015-11-01,Dwyane Wade,MIA,HOU,G,32:50,0.268,0.281,0.214,0.429,0.067,0.444,0.1,0.25,0.0,0.083,0.26,16,0.375,2,3,0.667,6,1.0,2,8,2,0,1,1,20,15,37.0,5,54,31,0.2581,6,0.5,114.7,90.2,24.4,0.333,0.04,0.438,99.32,0.813,0.188,0.4,0.3,0.0,0.2,0.167,0.833,0.5,0.25,0.189,0.077,0,2,0,4,10,5,6,26,5,5,
2015-11-03,Dwyane Wade,MIA,ATL,G,27:09,0.347,0.319,0.214,0.5,0.038,0.429,0.4,0.0,0.167,0.125,0.362,15,0.533,1,3,0.333,6,0.667,1,3,0,1,4,1,21,-6,26.5,4,55,31,0.0968,9,0.556,106.9,116.7,-9.8,0.2,0.018,0.567,96.46,0.8,0.2,0.667,0.143,0.0,0.381,0.125,0.875,0.5,0.196,0.091,0.379,0,3,5,8,17,13,7,36,13,5,NBA TV
