DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,E'Twaun Moore,NOP,DAL,G,22:43,0.246,0.286,0.333,0.0,0.19,0.167,0.111,1.0,0.0,0.1,0.388,12,0.667,3,3,1.0,0,0.0,4,2,1,0,1,1,19,-5,29.5,0,0,0,,0,0.0,100.5,122.3,-21.8,0.167,0.1,0.792,98.17,0.75,0.25,0.526,0.474,0.105,0.421,0.5,0.5,0.539,0.368,0.091,0.19,2,2,2,8,7,3,4,16,3,0,
2016-10-04,E'Twaun Moore,NOP,IND,G,25:23,0.154,0.209,0.417,0.0,0.0,0.143,0.0,0.5,0.0,0.0,0.161,9,0.444,1,5,0.2,0,0.0,0,2,1,0,0,0,9,-5,14.0,0,0,0,,0,0.0,99.4,104.5,-5.1,0.143,0.0,0.5,108.51,0.444,0.556,0.667,0.333,0.0,0.444,0.75,0.25,0.474,0.175,0.068,0.219,0,2,0,4,9,11,12,32,11,0,
2016-10-09,E'Twaun Moore,NOP,HOU,G,29:11,0.221,0.278,0.308,0.074,0.08,0.167,0.0,0.5,0.0,0.067,0.333,15,0.667,4,4,1.0,2,0.5,2,3,3,0,0,1,25,-6,39.25,0,0,0,,0,0.0,108.9,119.0,-10.2,0.2,0.038,0.8,112.6,0.733,0.267,0.48,0.48,0.28,0.24,0.7,0.3,0.618,0.291,0.176,0.214,7,4,0,6,11,4,13,28,4,2,NBA TV
2016-10-12,E'Twaun Moore,NOP,HOU,G,10:23,0.247,0.235,0.167,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.167,4,0.25,0,1,0.0,0,0.0,0,0,0,0,2,0,2,-11,1.0,0,0,0,,0,0.0,56.3,110.8,-54.5,0.0,0.0,0.25,97.26,0.75,0.25,1.0,0.0,0.0,1.0,0.0,1.0,0.475,0.2,0.048,0.2,0,0,0,2,9,4,4,16,4,0,NBA TV
2016-10-20,E'Twaun Moore,NOP,ORL,G,20:05,0.211,0.237,0.444,0.0,0.091,0.0,0.2,0.0,0.0,0.25,0.156,9,0.333,1,4,0.25,0,0.0,2,0,0,0,1,2,7,-2,9.5,0,0,0,,0,0.0,106.1,105.3,0.8,0.0,0.049,0.389,104.01,0.556,0.444,0.571,0.429,0.286,0.571,0.667,0.333,0.488,0.143,0.09,0.19,2,2,0,4,5,2,7,22,2,0,
2015-10-27,E'Twaun Moore,CHI,CLE,,14:22,0.234,0.296,0.5,0.0,0.15,0.333,0.0,0.0,0.0,0.5,0.478,8,0.625,1,2,0.5,0,0.0,3,1,0,0,0,3,11,4,16.5,3,26,17,0.0588,5,0.8,73.7,62.0,11.7,0.25,0.086,0.688,103.31,0.75,0.25,0.727,0.273,0.364,0.545,0.4,0.6,0.276,0.207,0.065,0.15,4,5,0,6,4,3,5,8,3,0,TNT
2015-10-28,E'Twaun Moore,CHI,BKN,,16:57,0.187,0.185,0.143,0.0,0.0,0.0,0.286,0.333,0.0,0.0,0.237,5,0.8,1,2,0.5,0,0.0,0,0,1,0,2,0,9,-1,10.5,5,21,13,0.0,2,1.0,107.0,108.5,-1.5,0.0,0.0,0.9,101.21,0.6,0.4,0.667,0.333,0.556,0.667,0.25,0.75,0.471,0.265,0.139,0.389,5,0,0,6,8,9,2,18,9,0,
2015-10-30,E'Twaun Moore,CHI,DET,,18:15,0.052,0.037,0.111,0.0,0.091,0.0,0.125,0.0,0.333,0.0,0.0,1,0.0,0,1,0.0,0,0.0,2,0,0,1,1,0,0,-5,4.0,6,16,13,0.0,1,0.0,71.2,81.2,-10.0,0.0,0.047,0.0,98.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.125,0.052,0.231,0,0,0,0,8,1,4,18,1,0,
2015-11-01,E'Twaun Moore,CHI,ORL,,18:43,0.178,0.189,0.182,0.0,0.091,0.375,0.143,0.0,0.0,0.333,0.0,7,0.0,0,2,0.0,0,0.0,2,3,0,0,1,3,0,3,5.75,3,21,13,0.2308,5,0.0,72.0,66.6,5.4,0.25,0.051,0.0,97.97,0.714,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.276,0.24,0.2,0,0,0,0,4,4,0,8,4,0,
2015-11-03,E'Twaun Moore,CHI,CHA,,15:55,0.22,0.226,0.125,0.0,0.0,0.1,0.2,0.0,0.0,0.125,0.216,7,0.571,0,1,0.0,0,0.0,0,1,0,0,1,1,8,-6,8.75,3,25,18,0.0556,6,0.667,104.4,123.0,-18.6,0.077,0.0,0.571,106.15,0.857,0.143,1.0,0.0,0.25,0.75,0.25,0.75,0.531,0.281,0.143,0.4,2,0,0,6,8,8,0,14,8,0,
2015-11-05,E'Twaun Moore,CHI,OKC,,21:47,0.022,0.026,0.0,0.0,0.227,0.0,0.0,1.0,0.25,0.167,0.0,1,0.0,0,0,0.0,0,0.0,5,0,1,1,0,1,0,12,10.25,5,28,23,0.0,0,0.0,142.6,101.1,41.5,0.0,0.139,0.0,91.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.205,0.115,0.2,0,0,0,0,2,7,0,20,7,2,TNT
