DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Ed Davis,POR,UTA,,17:17,0.13,0.036,0.0,0.5,0.5,0.0,0.4,0.167,0.667,0.333,0.04,1,0.0,0,0,0.0,4,0.5,7,0,1,2,2,3,2,20,15.75,0,0,0,,0,0.0,136.9,84.7,52.2,0.0,0.269,0.0,99.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.254,0.176,0,0,0,0,8,0,4,12,0,2,NBA TV
2016-10-11,Ed Davis,POR,LAL,,15:24,0.066,0.053,0.0,0.0,0.333,0.2,0.143,0.0,0.0,0.273,0.091,1,1.0,0,0,0.0,0,0.0,4,1,0,0,1,3,2,-10,7.75,0,0,0,,0,0.0,74.8,106.8,-32.0,0.167,0.154,1.0,92.51,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.519,0.333,0.067,0.214,0,0,0,2,8,8,8,16,8,1,NBA TV
2016-10-13,Ed Davis,POR,LAC,,25:36,0.155,0.146,0.0,0.0,0.478,0.0,0.273,0.0,0.0,0.273,0.145,6,0.667,0,0,0.0,0,0.0,11,0,0,0,3,3,8,-1,20.25,0,0,0,,0,0.0,99.7,109.7,-10.0,0.0,0.244,0.667,99.54,1.0,0.0,1.0,0.0,0.25,1.0,0.75,0.25,0.478,0.356,0.098,0.231,2,0,2,8,17,9,7,22,9,0,TNT
2016-10-16,Ed Davis,POR,DEN,,20:25,0.081,0.079,0.0,0.286,0.36,0.0,0.0,0.0,0.5,0.6,0.1,3,0.333,0,0,0.0,2,1.0,9,0,0,1,0,6,4,-4,17.25,0,0,0,,0,0.0,105.0,112.4,-7.3,0.0,0.209,0.333,90.83,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.389,0.077,0.286,0,0,2,2,8,7,3,16,7,1,NBA TV
2016-10-19,Ed Davis,POR,UTA,,19:01,0.098,0.031,0.0,0.333,0.286,0.0,0.4,0.5,0.0,0.2,0.087,1,0.0,0,0,0.0,2,1.0,6,0,1,0,2,2,2,-13,10.5,0,0,0,,0,0.0,62.8,97.4,-34.6,0.0,0.14,0.0,92.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,0.273,0.081,0.143,0,0,0,0,12,0,4,8,0,1,
2016-10-21,Ed Davis,POR,GSW,,8:51,0.286,0.182,0.0,0.462,0.375,0.0,0.333,0.0,0.0,0.0,0.5,2,1.0,0,0,0.0,6,0.667,3,0,0,0,1,0,8,-5,11.25,0,0,0,,0,0.0,85.5,105.0,-19.5,0.0,0.167,1.0,105.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.553,0.0,0.15,0.222,0,2,0,4,3,6,2,6,6,3,NBA TV
2015-10-28,Ed Davis,POR,NOP,,29:07,0.104,0.111,0.0,0.286,0.314,0.0,0.0,0.143,0.0,0.385,0.182,6,0.833,0,0,0.0,2,1.0,11,0,1,0,0,5,12,18,27.75,22,46,35,0.0,6,0.833,108.1,74.8,33.2,0.0,0.19,0.833,103.23,1.0,0.0,0.833,0.0,0.167,0.833,0.6,0.4,0.368,0.264,0.125,0.091,2,0,4,10,12,3,6,20,3,1,
2015-10-30,Ed Davis,POR,PHX,,19:42,0.131,0.081,0.0,0.429,0.105,0.2,0.25,0.0,0.2,0.2,0.143,3,0.667,0,0,0.0,3,0.333,2,1,0,1,2,2,5,-4,9.75,6,26,21,0.0476,3,0.667,83.2,87.0,-3.8,0.083,0.049,0.667,105.89,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.471,0.324,0.201,0.188,0,0,0,4,6,4,4,24,4,2,
2015-10-31,Ed Davis,POR,PHX,,21:11,0.101,0.056,0.0,0.333,0.478,0.0,0.167,0.333,1.0,0.143,0.03,2,0.0,0,0,0.0,4,0.25,11,0,1,2,1,1,1,-7,20.25,23,30,23,0.0,2,0.0,79.9,89.1,-9.2,0.0,0.244,0.0,97.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.048,0.134,0.19,0,0,1,0,9,2,4,14,2,3,
2015-11-02,Ed Davis,POR,MIN,,20:20,0.12,0.103,0.0,0.571,0.611,0.111,0.0,0.5,0.5,0.364,0.152,4,0.5,0,0,0.0,4,0.75,11,1,1,1,0,4,7,-4,26.0,21,42,34,0.0294,4,0.5,106.8,117.4,-10.6,0.063,0.289,0.5,101.13,1.0,0.0,0.571,0.0,0.0,0.571,0.5,0.5,0.594,0.469,0.164,0.188,0,0,4,4,6,2,7,26,2,3,
