DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-12,Elfrid Payton,ORL,SAS,G,21:25,0.2,0.119,0.286,0.25,0.0,0.167,0.556,0.0,0.333,0.154,0.081,5,0.2,0,2,0.0,2,0.5,0,1,0,1,5,2,3,-15,3.75,0,0,0,,0,0.0,85.0,117.4,-32.4,0.077,0.0,0.2,98.39,0.6,0.4,0.667,0.0,0.0,0.667,1.0,0.0,0.554,0.324,0.113,0.188,0,0,0,2,7,9,5,14,9,1,
2016-10-14,Elfrid Payton,ORL,IND,G,29:50,0.26,0.277,0.222,0.25,0.0,0.111,0.222,0.571,0.0,0.294,0.193,13,0.308,0,2,0.0,4,0.75,0,1,4,0,4,5,11,-12,18.25,0,0,0,,0,0.0,90.4,110.4,-20.0,0.063,0.0,0.308,100.97,0.846,0.154,0.727,0.0,0.364,0.727,0.0,1.0,0.56,0.34,0.128,0.111,4,2,0,8,21,2,19,30,2,2,
2016-10-16,Elfrid Payton,ORL,ATL,G,28:28,0.241,0.216,0.167,0.0,0.152,0.385,0.714,0.0,0.111,0.231,0.219,11,0.545,2,2,1.0,0,0.0,5,5,0,1,5,3,14,-1,27.0,0,0,0,,0,0.0,111.6,115.3,-3.8,0.278,0.083,0.636,95.85,0.818,0.182,0.571,0.429,0.0,0.429,0.333,0.667,0.454,0.352,0.035,0.25,0,0,2,6,12,9,0,24,9,0,NBA TV
2016-10-18,Elfrid Payton,ORL,MIA,G,25:35,0.229,0.178,0.429,0.571,0.375,0.444,0.25,0.0,0.0,0.125,0.16,8,0.125,0,3,0.0,8,0.75,9,4,0,0,2,1,8,1,23.25,0,0,0,,0,0.0,94.1,96.8,-2.7,0.222,0.2,0.125,97.38,0.625,0.375,0.25,0.0,0.0,0.25,0.0,1.0,0.5,0.14,0.158,0.143,0,0,0,2,8,5,8,26,5,4,
2016-10-20,Elfrid Payton,ORL,NOP,G,35:15,0.232,0.187,0.294,0.083,0.111,0.6,0.75,0.25,0.2,0.313,0.215,14,0.5,2,5,0.4,1,1.0,4,12,2,1,6,5,17,11,41.0,0,0,0,,0,0.0,99.6,88.6,11.0,0.48,0.053,0.571,106.21,0.643,0.357,0.588,0.353,0.294,0.471,0.286,0.714,0.448,0.194,0.182,0.27,5,2,0,8,8,11,7,28,11,1,
2015-10-28,Elfrid Payton,ORL,WAS,G,34:46,0.19,0.205,0.188,0.0,0.256,0.533,0.154,0.167,0.0,0.053,0.186,15,0.333,1,3,0.333,0,0.0,10,8,1,0,2,1,11,-11,35.0,13,102,79,0.1013,5,0.0,78.1,95.7,-17.6,0.4,0.135,0.367,102.61,0.8,0.2,0.727,0.273,0.0,0.182,0.4,0.6,0.483,0.397,0.191,0.265,0,0,2,2,11,4,17,20,4,3,
2015-10-30,Elfrid Payton,ORL,OKC,G,36:47,0.14,0.172,0.19,0.074,0.103,0.313,0.0,0.2,0.0,0.263,0.167,11,0.455,2,4,0.5,2,1.0,3,5,1,0,0,5,14,-7,27.0,10,89,75,0.0667,6,0.5,109.3,117.8,-8.6,0.227,0.045,0.545,100.54,0.636,0.364,0.429,0.429,0.143,0.286,0.6,0.4,0.514,0.3,0.129,0.364,2,0,3,4,7,9,8,40,9,1,
2015-11-01,Elfrid Payton,ORL,CHI,G,22:27,0.191,0.163,0.2,0.0,0.053,0.273,0.375,0.0,0.2,0.5,0.098,7,0.286,0,2,0.0,0,0.0,1,3,0,1,3,5,4,-11,9.5,6,59,48,0.0625,3,0.667,84.9,107.2,-22.3,0.176,0.024,0.286,103.54,0.714,0.286,1.0,0.0,0.5,0.5,1.0,0.0,0.489,0.178,0.103,0.25,2,2,0,2,8,14,2,20,14,0,
2015-11-03,Elfrid Payton,ORL,NOP,G,29:28,0.243,0.218,0.182,0.0,0.118,0.588,0.417,0.25,0.0,0.222,0.14,12,0.333,0,2,0.0,0,0.0,4,10,1,0,5,2,8,4,25.0,8,83,62,0.1613,7,0.286,87.6,80.1,7.5,0.526,0.061,0.333,106.89,0.833,0.167,1.0,0.0,0.25,1.0,0.25,0.75,0.379,0.241,0.121,0.171,2,0,0,8,16,4,10,22,4,2,
2015-11-04,Elfrid Payton,ORL,HOU,G,29:11,0.175,0.16,0.167,0.0,0.105,0.5,0.375,0.286,1.0,0.308,0.096,8,0.25,1,1,1.0,0,0.0,2,7,2,1,3,4,5,-13,21.25,3,74,63,0.1111,3,0.333,93.1,114.8,-21.7,0.35,0.041,0.313,92.47,0.875,0.125,0.4,0.6,0.0,0.4,0.5,0.5,0.587,0.326,0.247,0.455,0,0,0,2,9,14,8,38,14,1,
2015-11-06,Elfrid Payton,ORL,TOR,G,15:08,0.169,0.16,0.2,0.0,0.167,0.4,0.286,0.0,0.0,0.25,0.0,4,0.0,0,1,0.0,0,0.0,2,2,0,0,2,2,0,-17,4.0,5,34,29,0.069,2,0.0,61.5,112.7,-51.2,0.286,0.074,0.0,103.65,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.393,0.122,0.308,0,0,0,0,10,9,7,16,9,0,
