DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Emmanuel Mudiay,DEN,TOR,G,23:14,0.236,0.275,0.714,0.0,0.28,0.167,0.3,0.0,0.0,0.0,0.13,11,0.273,1,5,0.2,0,0.0,7,2,0,0,3,0,7,4,17.25,0,0,0,,0,0.0,107.5,97.1,10.4,0.143,0.159,0.318,105.08,0.545,0.455,0.571,0.429,0.0,0.571,0.667,0.333,0.409,0.386,0.117,0.273,0,0,2,4,13,8,9,14,8,0,
2016-10-07,Emmanuel Mudiay,DEN,LAL,G,23:33,0.225,0.204,0.133,0.071,0.036,0.353,0.444,0.0,0.0,0.333,0.08,10,0.2,0,2,0.0,1,0.0,1,6,0,0,4,2,4,-1,10.75,0,0,0,,0,0.0,86.0,92.6,-6.6,0.4,0.019,0.2,115.4,0.8,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.535,0.163,0.182,0.043,0,2,0,4,5,0,7,20,0,1,NBA TV
2016-10-09,Emmanuel Mudiay,DEN,LAL,G,26:47,0.287,0.325,0.444,0.222,0.129,0.538,0.231,0.5,0.0,0.5,0.209,13,0.385,0,4,0.0,6,0.667,4,7,2,0,3,4,14,6,30.25,0,0,0,,0,0.0,110.1,102.7,7.4,0.412,0.089,0.385,107.78,0.692,0.308,0.714,0.0,0.214,0.714,0.2,0.8,0.529,0.192,0.067,0.036,3,8,0,10,14,2,8,24,2,5,NBA TV
2016-10-14,Emmanuel Mudiay,DEN,GSW,G,19:46,0.233,0.243,0.222,0.5,0.038,0.167,0.1,0.5,0.0,0.0,0.17,9,0.333,0,2,0.0,4,0.75,1,2,1,0,1,0,9,11,14.25,0,0,0,,0,0.0,119.0,95.7,23.3,0.111,0.025,0.333,107.33,0.778,0.222,0.667,0.0,0.0,0.667,0.333,0.667,0.513,0.051,0.114,0.048,0,0,0,6,9,3,8,16,3,2,
2015-10-28,Emmanuel Mudiay,DEN,HOU,G,37:54,0.303,0.22,0.238,0.25,0.125,0.45,0.579,0.0,0.0,0.211,0.207,13,0.462,3,5,0.6,4,0.5,5,9,0,0,11,4,17,13,30.5,7,77,48,0.1875,5,0.6,103.7,85.3,18.5,0.36,0.07,0.577,101.29,0.615,0.385,0.353,0.529,0.0,0.235,0.333,0.667,0.408,0.254,0.148,0.227,0,1,0,4,21,12,8,34,12,2,
2015-10-30,Emmanuel Mudiay,DEN,MIN,G,26:30,0.313,0.278,0.556,0.429,0.071,0.333,0.444,0.5,1.0,0.111,0.326,15,0.333,2,5,0.4,6,0.5,2,2,2,2,4,2,15,-13,27.0,4,70,46,0.0435,8,0.25,79.1,107.7,-28.7,0.167,0.036,0.4,102.27,0.667,0.333,0.4,0.4,0.133,0.4,0.4,0.6,0.439,0.707,0.146,0.292,2,2,0,6,8,4,10,26,4,4,
2015-11-01,Emmanuel Mudiay,DEN,OKC,G,26:52,0.28,0.286,0.273,0.0,0.19,0.417,0.4,0.2,0.0,0.091,0.122,14,0.214,0,3,0.0,0,0.0,4,5,1,0,4,1,6,-20,17.25,8,72,52,0.0962,8,0.25,85.5,116.2,-30.6,0.333,0.077,0.214,104.23,0.786,0.214,1.0,0.0,0.0,0.667,0.333,0.667,0.566,0.189,0.168,0.364,0,0,2,4,16,8,20,40,8,0,
2015-11-03,Emmanuel Mudiay,DEN,LAL,G,31:28,0.264,0.228,0.571,0.12,0.061,0.435,0.667,0.25,0.25,0.333,0.135,13,0.231,3,4,0.75,3,1.0,2,10,1,1,6,4,12,10,29.5,6,79,56,0.1786,8,0.125,129.0,114.8,14.2,0.345,0.036,0.346,105.1,0.692,0.308,0.0,0.75,0.0,0.0,0.667,0.333,0.516,0.323,0.073,0.219,0,0,0,0,10,6,11,36,6,2,NBA TV
2015-11-05,Emmanuel Mudiay,DEN,UTA,G,29:34,0.206,0.186,0.5,0.222,0.233,0.3,0.273,0.0,0.0,0.2,0.163,8,0.25,1,3,0.333,4,0.75,7,3,0,0,3,2,8,-9,19.5,10,76,59,0.0508,5,0.2,90.9,104.3,-13.4,0.176,0.137,0.313,88.9,0.625,0.375,0.25,0.375,0.25,0.0,1.0,0.0,0.49,0.3,0.072,0.185,2,0,0,0,12,7,10,24,7,4,
2015-11-06,Emmanuel Mudiay,DEN,GSW,G,30:23,0.322,0.333,0.4,0.143,0.138,0.385,0.364,0.571,0.333,0.273,0.21,20,0.3,0,4,0.0,2,0.5,4,5,4,1,4,3,13,-11,32.25,10,77,48,0.1042,10,0.5,88.4,107.9,-19.6,0.278,0.063,0.3,108.85,0.8,0.2,0.923,0.0,0.231,0.769,0.167,0.833,0.595,0.103,0.192,0.214,3,0,0,10,10,12,16,30,12,3,
2015-11-09,Emmanuel Mudiay,DEN,POR,G,28:20,0.252,0.24,0.3,0.318,0.2,0.385,0.25,0.0,0.4,0.273,0.281,12,0.5,1,3,0.333,7,0.714,6,5,0,2,2,3,18,-4,35.25,10,77,59,0.0847,9,0.444,102.1,112.2,-10.1,0.263,0.107,0.542,104.46,0.75,0.25,0.556,0.167,0.0,0.333,0.167,0.833,0.5,0.278,0.083,0.167,0,0,2,6,9,8,8,26,8,3,
2015-11-11,Emmanuel Mudiay,DEN,MIL,G,35:18,0.259,0.271,0.353,0.381,0.115,0.524,0.091,0.125,0.0,0.25,0.203,16,0.313,1,6,0.167,8,0.625,3,11,1,0,1,1,16,2,35.5,6,80,58,0.1897,9,0.222,114.1,113.4,0.7,0.458,0.06,0.344,93.23,0.625,0.375,0.5,0.188,0.125,0.25,0.4,0.6,0.615,0.033,0.177,0.273,2,4,0,4,19,12,12,42,12,6,
2015-11-13,Emmanuel Mudiay,DEN,HOU,G,33:22,0.234,0.179,0.231,0.0,0.133,0.611,0.563,0.286,0.5,0.154,0.027,10,0.1,0,3,0.0,0,0.0,4,11,2,2,9,2,2,7,24.25,7,76,55,0.2,5,0.2,102.4,95.1,7.4,0.44,0.069,0.1,102.66,0.7,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.491,0.315,0.213,0.222,0,0,0,0,11,9,14,28,9,1,
2015-11-14,Emmanuel Mudiay,DEN,PHX,G,24:22,0.37,0.383,0.438,0.0,0.179,0.111,0.375,0.0,0.333,0.0,0.26,18,0.333,1,7,0.143,0,0.0,5,1,0,1,3,0,13,-4,21.5,8,68,42,0.0238,5,0.4,96.6,104.2,-7.6,0.067,0.098,0.361,102.04,0.611,0.389,0.769,0.231,0.154,0.308,0.333,0.667,0.5,0.234,0.096,0.179,2,4,2,4,7,8,4,24,8,0,NBA TV
