DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Eric Bledsoe,PHX,SAS,G,17:56,0.178,0.2,0.125,0.091,0.222,0.571,0.143,0.75,0.0,0.333,0.086,6,0.167,0,1,0.0,1,1.0,4,4,3,0,1,2,3,8,18.5,0,0,0,,0,0.0,97.7,73.7,24.0,0.4,0.129,0.167,97.0,0.833,0.167,0.667,0.0,0.0,0.0,0.0,1.0,0.48,0.24,0.3,0.143,0,0,0,0,8,0,5,10,0,0,
2016-10-05,Eric Bledsoe,PHX,UTA,G,18:31,0.239,0.222,0.5,0.3,0.167,0.364,0.286,0.0,0.0,0.077,0.25,8,0.5,2,4,0.5,3,0.333,3,4,0,0,2,1,11,5,19.75,0,0,0,,0,0.0,108.9,104.4,4.5,0.286,0.091,0.625,100.79,0.5,0.5,0.364,0.545,0.0,0.182,0.25,0.75,0.481,0.704,0.161,0.267,0,5,0,2,8,7,2,18,7,1,NBA TV
2016-10-07,Eric Bledsoe,PHX,POR,G,25:12,0.081,0.085,0.222,0.0,0.261,0.5,0.1,0.429,0.0,0.133,0.05,4,0.25,1,2,0.5,0,0.0,6,7,3,0,1,2,3,-1,25.25,0,0,0,,0,0.0,102.0,104.3,-2.3,0.292,0.13,0.375,111.73,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.37,0.154,0.167,3,0,0,0,8,6,2,22,6,1,
2016-10-12,Eric Bledsoe,PHX,UTA,G,27:42,0.232,0.191,0.4,0.316,0.333,0.3,0.333,0.0,0.0,0.095,0.271,9,0.444,3,4,0.75,6,0.833,7,3,0,0,4,2,16,-5,28.0,0,0,0,,0,0.0,91.7,102.7,-11.0,0.188,0.156,0.611,109.76,0.556,0.444,0.125,0.563,0.313,0.125,0.5,0.5,0.5,0.667,0.193,0.182,5,6,0,2,14,6,8,26,6,4,NBA TV
2016-10-14,Eric Bledsoe,PHX,DAL,G,25:21,0.204,0.152,0.2,0.6,0.143,0.538,0.167,0.375,0.0,0.0,0.293,7,0.429,2,4,0.5,9,1.0,2,7,3,0,1,0,17,3,34.75,0,0,0,,0,0.0,102.5,98.5,4.0,0.438,0.045,0.571,106.47,0.429,0.571,0.118,0.353,0.294,0.0,0.333,0.667,0.5,0.234,0.233,0.429,5,5,0,0,10,11,5,16,11,4,
2016-10-21,Eric Bledsoe,PHX,LAL,G,29:44,0.237,0.204,0.333,0.227,0.222,0.444,0.385,0.111,0.0,0.118,0.158,11,0.182,0,4,0.0,5,1.0,8,4,1,0,5,2,9,2,23.5,0,0,0,,0,0.0,88.1,86.2,1.9,0.222,0.119,0.182,103.71,0.636,0.364,0.444,0.0,0.444,0.444,0.0,1.0,0.402,0.392,0.204,0.273,4,2,2,4,11,5,11,22,5,4,
2015-10-28,Eric Bledsoe,PHX,DAL,G,31:23,0.231,0.222,0.118,0.35,0.129,0.444,0.182,0.0,0.0,0.19,0.236,12,0.333,0,2,0.0,7,0.714,4,4,0,0,2,4,13,-25,22.0,11,81,60,0.0667,7,0.429,79.9,119.0,-39.0,0.286,0.063,0.333,104.03,0.833,0.167,0.615,0.0,0.0,0.308,0.0,1.0,0.589,0.375,0.074,0.103,0,0,3,4,8,6,20,32,6,5,
2015-10-30,Eric Bledsoe,PHX,POR,G,33:14,0.249,0.23,0.154,0.355,0.051,0.25,0.231,0.2,0.2,0.0,0.278,14,0.429,0,2,0.0,11,0.909,2,3,2,1,3,0,22,15,32.75,7,78,55,0.0545,6,0.333,100.5,86.3,14.2,0.158,0.03,0.429,110.35,0.857,0.143,0.545,0.0,0.091,0.364,0.333,0.667,0.464,0.25,0.243,0.167,2,4,0,8,15,10,10,28,10,6,
2015-10-31,Eric Bledsoe,PHX,POR,G,38:23,0.301,0.292,0.24,0.6,0.079,0.429,0.182,0.4,0.4,0.067,0.379,21,0.571,2,6,0.333,9,0.778,3,6,4,2,2,1,33,11,56.25,5,106,72,0.0833,8,0.5,106.6,96.4,10.2,0.273,0.043,0.619,100.29,0.714,0.286,0.606,0.182,0.182,0.364,0.25,0.75,0.492,0.308,0.152,0.189,6,3,5,12,8,8,10,22,8,10,
2015-11-02,Eric Bledsoe,PHX,LAC,G,31:38,0.306,0.292,0.222,0.267,0.118,0.467,0.5,0.333,1.0,0.214,0.246,19,0.316,1,4,0.25,4,0.75,4,7,2,1,3,3,16,-12,34.75,10,77,49,0.1429,10,0.2,96.2,112.2,-16.1,0.368,0.06,0.342,103.33,0.789,0.211,0.625,0.188,0.0,0.625,0.167,0.833,0.582,0.273,0.131,0.077,0,2,2,10,9,4,11,30,4,3,
2015-11-04,Eric Bledsoe,PHX,SAC,G,32:37,0.299,0.3,0.267,0.167,0.207,0.4,0.4,0.5,0.333,0.0,0.216,18,0.444,2,4,0.5,3,0.333,6,8,4,1,4,0,19,25,45.5,14,86,59,0.1356,8,0.25,124.1,92.4,31.7,0.32,0.115,0.5,102.37,0.778,0.222,0.632,0.316,0.105,0.211,0.125,0.875,0.517,0.085,0.191,0.214,2,11,0,4,7,6,9,30,6,4,
2015-11-06,Eric Bledsoe,PHX,DET,G,37:04,0.333,0.333,0.333,0.333,0.057,0.444,0.333,0.429,0.0,0.316,0.31,23,0.391,2,6,0.333,3,0.667,2,4,3,0,4,6,22,0,34.5,8,98,66,0.0606,11,0.455,89.9,91.9,-2.0,0.19,0.028,0.435,101.14,0.739,0.261,0.636,0.273,0.0,0.545,0.111,0.889,0.517,0.356,0.181,0.147,0,2,0,12,12,4,7,36,4,4,
2015-11-08,Eric Bledsoe,PHX,OKC,G,37:05,0.216,0.221,0.143,0.35,0.069,0.786,0.125,0.0,0.0,0.267,0.346,15,0.667,2,2,1.0,7,0.857,2,11,0,0,2,4,28,-13,44.25,8,83,61,0.1803,7,0.571,94.4,117.6,-23.2,0.55,0.028,0.733,107.28,0.867,0.133,0.571,0.214,0.25,0.429,0.1,0.9,0.526,0.237,0.125,0.389,7,4,2,12,18,23,18,46,23,5,
