DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Eric Gordon,HOU,SDS,,12:21,0.139,0.19,0.3,0.0,0.059,0.222,0.0,0.0,0.5,0.143,0.211,4,0.75,2,3,0.667,0,0.0,1,2,0,1,0,1,8,20,14.75,0,0,0,,0,0.0,137.1,59.2,77.9,0.222,0.04,1.0,112.95,0.25,0.75,0.25,0.75,0.0,0.25,0.667,0.333,0.286,0.476,0.164,0.0,0,0,0,2,0,0,4,4,0,0,NBA TV
2016-10-04,Eric Gordon,HOU,NYK,G,21:23,0.179,0.222,0.167,0.071,0.0,0.167,0.0,0.0,0.0,0.5,0.164,8,0.5,1,3,0.333,1,1.0,0,2,0,0,0,5,10,7,13.0,0,0,0,,0,0.0,129.3,117.2,12.2,0.125,0.0,0.563,104.65,0.625,0.375,0.6,0.3,0.0,0.6,0.5,0.5,0.585,0.171,0.087,0.1,0,0,0,6,8,2,0,10,2,1,ESPN
2016-10-09,Eric Gordon,HOU,NOP,G,30:39,0.279,0.286,0.435,0.278,0.042,0.056,0.25,0.333,0.0,0.095,0.296,16,0.5,5,10,0.5,5,0.6,1,1,1,0,3,2,24,1,29.5,0,0,0,,0,0.0,115.8,115.9,-0.1,0.05,0.02,0.656,108.78,0.375,0.625,0.25,0.625,0.125,0.25,0.625,0.375,0.546,0.463,0.116,0.182,3,3,1,6,18,8,5,38,8,4,NBA TV
2016-10-12,Eric Gordon,HOU,NOP,,8:54,0.329,0.353,0.375,0.25,0.0,0.75,0.0,0.5,0.0,0.5,0.185,6,0.167,0,3,0.0,3,1.0,0,3,2,0,0,1,5,14,12.75,0,0,0,,0,0.0,140.0,67.3,72.8,0.5,0.0,0.167,104.09,0.5,0.5,0.4,0.0,0.4,0.4,0.0,1.0,0.5,0.273,0.414,0.143,2,2,0,2,0,3,0,6,3,1,NBA TV
2016-10-15,Eric Gordon,HOU,MEM,,25:56,0.176,0.22,0.467,0.105,0.074,0.235,0.0,0.0,0.5,0.133,0.211,11,0.455,3,7,0.429,2,1.0,2,4,0,1,0,2,15,14,26.0,0,0,0,,0,0.0,117.6,97.7,20.0,0.2,0.04,0.591,109.87,0.364,0.636,0.267,0.6,0.0,0.133,0.6,0.4,0.5,0.422,0.206,0.259,0,0,3,2,12,9,1,22,9,1,
2016-10-19,Eric Gordon,HOU,DAL,G,23:49,0.241,0.25,0.412,0.286,0.0,0.077,0.143,0.25,0.0,0.25,0.22,11,0.364,2,7,0.286,4,0.75,0,1,1,0,1,3,13,14,16.75,0,0,0,,0,0.0,120.0,98.4,21.6,0.059,0.0,0.455,95.61,0.364,0.636,0.308,0.462,0.0,0.154,0.5,0.5,0.421,0.342,0.109,0.13,0,0,0,2,5,2,11,16,2,2,
2015-10-27,Eric Gordon,NOP,GSW,G,33:29,0.287,0.304,0.5,0.095,0.19,0.286,0.364,0.2,0.0,0.056,0.192,17,0.294,2,7,0.286,2,1.0,4,4,1,0,4,1,14,-9,25.0,7,54,31,0.129,6,0.167,98.3,113.1,-14.8,0.19,0.068,0.353,105.17,0.588,0.412,0.429,0.429,0.357,0.143,0.0,1.0,0.508,0.258,0.166,0.406,5,0,0,2,19,16,11,40,16,2,TNT
2015-10-28,Eric Gordon,NOP,POR,G,40:47,0.184,0.171,0.296,0.438,0.061,0.231,0.1,0.143,0.0,0.067,0.27,13,0.462,3,8,0.375,7,0.714,2,3,1,0,1,1,20,-22,29.25,6,48,30,0.1,4,0.5,84.1,110.7,-26.6,0.13,0.026,0.577,102.84,0.385,0.615,0.3,0.45,0.0,0.3,0.167,0.833,0.559,0.171,0.127,0.176,0,1,0,6,13,14,12,42,14,4,
2015-10-31,Eric Gordon,NOP,GSW,G,24:29,0.184,0.224,0.273,0.118,0.16,0.154,0.0,0.25,0.0,0.417,0.141,11,0.273,1,3,0.333,2,1.0,4,2,1,0,0,5,9,6,19.0,5,32,20,0.1,6,0.333,115.4,109.4,6.0,0.105,0.091,0.318,106.38,0.727,0.273,0.444,0.333,0.0,0.444,0.667,0.333,0.588,0.4,0.132,0.059,0,2,3,4,6,0,9,18,0,2,NBA TV
2015-11-03,Eric Gordon,NOP,ORL,G,37:49,0.266,0.275,0.4,0.1,0.054,0.2,0.333,0.0,0.0,0.25,0.266,19,0.421,4,12,0.333,2,0.5,2,4,0,0,4,2,21,4,28.5,3,53,29,0.1379,6,0.5,95.4,93.7,1.8,0.211,0.025,0.526,103.37,0.368,0.632,0.381,0.571,0.286,0.381,0.875,0.125,0.472,0.097,0.175,0.231,6,6,2,8,4,8,8,38,8,1,
