DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Ersan Ilyasova,OKC,RMD,,26:38,0.155,0.163,0.222,0.286,0.211,0.429,0.0,0.2,0.0,0.15,0.177,8,0.375,2,4,0.5,4,0.75,4,3,1,0,0,3,11,-17,22.75,0,0,0,,0,0.0,110.4,141.1,-30.7,0.15,0.095,0.5,101.07,0.5,0.5,0.182,0.545,0.273,0.0,0.333,0.667,0.738,0.595,0.179,0.368,3,0,0,0,11,13,5,28,13,3,NBA TV
2016-10-05,Ersan Ilyasova,OKC,FCB,,17:18,0.167,0.208,0.333,0.0,0.429,0.2,0.125,0.333,0.0,0.2,0.214,5,0.4,2,2,1.0,0,0.0,6,1,1,0,1,2,6,-8,17.25,0,0,0,,0,0.0,85.0,107.4,-22.4,0.143,0.261,0.6,92.23,0.6,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.583,0.333,0.179,0.0,0,0,0,0,6,4,2,4,4,1,NBA TV
2016-10-11,Ersan Ilyasova,OKC,DAL,,23:40,0.274,0.239,0.25,0.267,0.423,0.063,0.6,0.333,0.0,0.273,0.322,11,0.636,3,5,0.6,4,0.5,11,1,1,0,3,3,19,-1,36.0,0,0,0,,0,0.0,114.3,116.6,-2.2,0.077,0.208,0.773,104.53,0.545,0.455,0.421,0.474,0.105,0.316,0.714,0.286,0.511,0.37,0.097,0.259,2,2,6,6,7,8,6,16,8,2,
2016-10-13,Ersan Ilyasova,OKC,MEM,,13:04,0.29,0.278,0.25,0.8,0.357,0.5,0.0,0.0,0.0,0.357,0.429,5,0.2,0,1,0.0,8,0.875,5,1,0,0,0,5,9,-11,16.5,0,0,0,,0,0.0,79.5,113.6,-34.1,0.25,0.208,0.2,100.21,0.8,0.2,0.222,0.0,0.222,0.222,0.0,1.0,0.5,0.636,0.071,0.154,2,0,2,2,13,3,7,12,3,6,
2016-10-16,Ersan Ilyasova,OKC,MIN,,7:53,0.201,0.235,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.158,4,0.25,1,4,0.25,0,0.0,1,0,0,0,0,0,3,-1,4.75,0,0,0,,0,0.0,100.6,118.5,-17.8,0.0,0.071,0.375,108.87,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.559,0.118,0.118,0.429,3,0,0,0,6,4,0,6,4,1,
2016-10-18,Ersan Ilyasova,OKC,DEN,,16:33,0.255,0.258,0.2,0.0,0.538,0.0,0.333,0.0,0.0,0.25,0.154,8,0.25,0,1,0.0,0,0.0,7,0,0,0,2,2,4,-8,11.75,0,0,0,,0,0.0,71.8,88.5,-16.7,0.0,0.233,0.25,108.18,0.875,0.125,1.0,0.0,0.5,1.0,0.5,0.5,0.435,0.323,0.182,0.286,2,0,2,4,12,8,3,10,8,0,
2015-10-27,Ersan Ilyasova,DET,ATL,F,34:26,0.178,0.171,0.286,0.105,0.156,0.158,0.273,0.0,0.333,0.286,0.203,12,0.5,3,6,0.5,2,0.5,7,3,0,1,3,4,16,20,30.5,22,73,53,0.0566,5,0.4,107.7,82.3,25.4,0.143,0.093,0.625,101.12,0.5,0.5,0.375,0.563,0.0,0.25,0.667,0.333,0.438,0.232,0.181,0.094,0,0,3,4,12,2,15,26,2,4,
2015-10-28,Ersan Ilyasova,DET,UTA,F,21:46,0.157,0.176,0.444,0.0,0.133,0.143,0.125,1.0,0.0,0.667,0.258,6,0.5,2,4,0.5,0,0.0,2,1,1,0,1,4,8,-6,14.25,4,43,36,0.0278,1,0.0,72.7,90.1,-17.4,0.111,0.059,0.667,92.31,0.333,0.667,0.25,0.75,0.0,0.0,1.0,0.0,0.516,0.226,0.195,0.071,0,0,0,0,15,0,2,28,0,3,
2015-10-30,Ersan Ilyasova,DET,CHI,F,21:47,0.113,0.114,0.3,0.0,0.192,0.0,0.167,0.0,0.0,0.429,0.049,5,0.2,0,3,0.0,0,0.0,5,0,0,0,1,3,2,6,7.75,10,40,33,0.0,2,0.5,93.0,76.9,16.1,0.0,0.102,0.2,98.72,0.4,0.6,1.0,0.0,0.0,1.0,1.0,0.0,0.389,0.222,0.22,0.19,0,2,0,2,9,6,5,16,6,1,
2015-11-03,Ersan Ilyasova,DET,IND,F,34:36,0.158,0.213,0.235,0.0,0.103,0.0,0.0,0.333,0.0,0.0,0.185,13,0.385,2,4,0.5,0,0.0,4,0,1,0,0,0,12,0,20.0,14,57,44,0.0,8,0.125,96.4,92.9,3.5,0.0,0.059,0.462,95.28,0.692,0.308,0.5,0.5,0.167,0.167,0.8,0.2,0.432,0.136,0.157,0.314,2,0,2,2,20,6,7,20,6,2,
