DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Evan Turner,POR,UTA,,25:37,0.23,0.205,0.188,0.0,0.167,0.231,0.5,0.143,0.0,0.143,0.119,8,0.375,1,3,0.333,0,0.0,3,3,1,0,4,1,7,17,15.0,0,0,0,,0,0.0,115.1,83.9,31.2,0.158,0.079,0.438,94.96,0.625,0.375,0.571,0.429,0.0,0.286,0.667,0.333,0.449,0.179,0.24,0.19,0,0,0,2,10,0,2,14,0,1,NBA TV
2016-10-07,Evan Turner,POR,PHX,,22:58,0.157,0.152,0.111,0.286,0.194,0.143,0.0,0.0,0.0,0.111,0.25,7,0.571,0,1,0.0,6,1.0,6,1,0,0,0,1,14,2,22.75,0,0,0,,0,0.0,109.3,103.5,5.8,0.077,0.122,0.571,108.05,0.857,0.143,0.571,0.0,0.0,0.286,0.25,0.75,0.523,0.318,0.077,0.087,0,2,0,4,12,5,8,28,5,4,
2016-10-11,Evan Turner,POR,LAL,F,28:28,0.22,0.213,0.231,0.143,0.08,0.385,0.3,0.5,0.5,0.15,0.148,10,0.3,1,3,0.333,2,1.0,2,5,3,1,3,3,9,-7,24.75,0,0,0,,0,0.0,108.6,118.3,-9.7,0.263,0.045,0.35,95.81,0.7,0.3,0.444,0.333,0.0,0.222,1.0,0.0,0.659,0.386,0.157,0.143,0,0,0,2,18,4,15,32,4,3,NBA TV
2016-10-13,Evan Turner,POR,LAC,,25:21,0.17,0.179,0.0,0.235,0.136,0.3,0.091,0.5,0.0,0.091,0.154,7,0.286,0,0,0.0,4,1.0,3,3,1,0,1,1,8,-2,17.0,0,0,0,,0,0.0,95.4,106.7,-11.3,0.2,0.062,0.286,99.5,1.0,0.0,0.5,0.0,0.25,0.25,0.5,0.5,0.457,0.326,0.119,0.296,2,0,2,2,18,12,6,24,12,4,TNT
2016-10-16,Evan Turner,POR,DEN,,23:44,0.226,0.204,0.133,0.286,0.133,0.125,0.4,1.0,0.0,0.0,0.133,10,0.2,0,2,0.0,2,1.0,4,1,3,0,2,0,6,2,17.25,0,0,0,,0,0.0,95.6,98.4,-2.8,0.067,0.077,0.2,91.82,0.8,0.2,0.667,0.0,0.0,0.667,0.0,1.0,0.462,0.333,0.091,0.2,0,0,0,4,5,5,0,18,5,1,NBA TV
2016-10-19,Evan Turner,POR,UTA,,23:57,0.326,0.325,0.091,0.333,0.25,0.4,0.333,0.0,0.0,0.1,0.366,13,0.462,1,1,1.0,2,1.0,7,2,0,0,2,1,15,2,25.75,0,0,0,,0,0.0,91.8,85.1,6.8,0.182,0.14,0.5,90.67,0.923,0.077,0.667,0.2,0.0,0.4,0.167,0.833,0.357,0.262,0.065,0.143,0,0,0,6,12,0,4,12,0,1,
2016-10-21,Evan Turner,POR,GSW,,22:55,0.222,0.205,0.3,0.133,0.095,0.429,0.375,0.25,0.0,0.2,0.026,8,0.0,0,3,0.0,2,0.5,2,3,1,0,3,1,1,-12,7.75,0,0,0,,0,0.0,75.6,103.4,-27.8,0.231,0.042,0.0,105.69,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.067,0.142,0.174,0,1,0,0,7,9,2,16,9,2,NBA TV
2015-10-28,Evan Turner,BOS,PHI,,22:01,0.168,0.128,0.083,0.182,0.19,0.125,0.333,0.0,0.0,0.0,0.113,5,0.4,0,1,0.0,2,1.0,4,2,0,0,3,0,6,23,12.0,7,34,24,0.0833,0,0.0,106.3,65.9,40.4,0.118,0.095,0.4,103.95,0.8,0.2,0.667,0.0,0.0,0.0,1.0,0.0,0.316,0.211,0.242,0.28,0,2,0,0,5,6,5,16,6,1,
2015-10-30,Evan Turner,BOS,TOR,,27:30,0.245,0.234,0.067,0.154,0.211,0.083,0.4,0.091,0.0,0.118,0.1,11,0.182,0,1,0.0,4,0.5,4,1,1,0,4,2,6,-6,12.25,10,53,36,0.0278,8,0.25,93.1,104.7,-11.6,0.063,0.085,0.182,111.26,0.909,0.091,0.667,0.0,0.167,0.333,0.5,0.5,0.6,0.356,0.254,0.25,1,1,0,2,15,7,0,18,7,2,
2015-11-01,Evan Turner,BOS,SAS,,15:49,0.127,0.118,0.111,0.0,0.333,0.375,0.25,0.0,1.0,0.25,0.057,4,0.25,0,1,0.0,0,0.0,4,3,0,1,1,2,2,0,12.25,6,24,19,0.1579,1,1.0,102.0,108.3,-6.3,0.214,0.148,0.25,101.08,0.75,0.25,1.0,0.0,0.0,1.0,1.0,0.0,0.571,0.107,0.186,0.3,0,0,0,2,3,4,2,22,4,0,
2015-11-04,Evan Turner,BOS,IND,,21:23,0.207,0.238,0.2,0.0,0.174,0.571,0.111,0.0,0.333,0.071,0.282,10,0.5,1,2,0.5,0,0.0,4,4,0,1,1,1,11,-2,23.0,8,47,34,0.1176,5,0.6,88.2,96.8,-8.6,0.333,0.091,0.55,97.14,0.8,0.2,0.727,0.273,0.273,0.182,0.2,0.8,0.386,0.543,0.142,0.333,3,0,0,2,11,6,2,12,6,0,
2015-11-06,Evan Turner,BOS,WAS,,29:33,0.197,0.211,0.222,0.0,0.188,0.125,0.25,0.25,0.0,0.3,0.213,12,0.583,2,4,0.5,0,0.0,6,2,3,0,2,3,16,26,32.0,7,53,37,0.0541,8,0.5,116.9,72.7,44.2,0.1,0.102,0.667,106.86,0.667,0.333,0.625,0.375,0.313,0.5,0.143,0.857,0.38,0.185,0.237,0.219,5,4,0,8,8,5,5,18,5,2,
2015-11-10,Evan Turner,BOS,MIL,,28:38,0.195,0.222,0.222,0.0,0.152,0.353,0.143,0.571,0.0,0.143,0.183,12,0.5,1,4,0.25,0,0.0,5,6,4,0,1,2,13,32,34.75,10,71,57,0.1053,7,0.714,125.2,71.0,54.2,0.286,0.088,0.542,93.56,0.667,0.333,0.769,0.231,0.308,0.769,0.167,0.833,0.321,0.429,0.2,0.207,4,2,4,10,6,7,5,12,7,1,
2015-11-11,Evan Turner,BOS,IND,G,32:55,0.207,0.265,0.0,0.074,0.12,0.25,0.125,0.167,1.0,0.095,0.303,13,0.692,0,0,0.0,2,1.0,3,3,1,2,2,2,20,-10,32.5,5,68,49,0.0612,9,0.667,91.8,101.3,-9.5,0.25,0.064,0.692,107.09,1.0,0.0,0.9,0.0,0.3,0.5,0.556,0.444,0.565,0.463,0.187,0.167,6,4,0,10,13,9,6,34,9,3,
2015-11-13,Evan Turner,BOS,ATL,,24:13,0.21,0.204,0.176,0.333,0.227,0.25,0.25,0.0,0.0,0.273,0.082,11,0.182,0,3,0.0,1,1.0,5,4,0,0,1,3,5,8,15.75,6,45,31,0.129,4,0.25,118.9,110.0,8.8,0.174,0.147,0.182,98.59,0.727,0.273,0.8,0.0,0.0,0.4,1.0,0.0,0.597,0.389,0.145,0.067,0,0,2,2,4,3,0,18,3,2,
2015-11-15,Evan Turner,BOS,OKC,,24:01,0.134,0.128,0.0,0.0,0.12,0.25,0.25,0.333,0.0,0.083,0.043,5,0.2,0,0,0.0,0,0.0,3,3,2,0,2,1,2,12,12.5,9,43,32,0.0938,5,0.2,97.3,78.8,18.5,0.188,0.067,0.2,90.38,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.347,0.389,0.162,0.231,0,0,0,2,11,5,1,16,5,2,
2015-11-16,Evan Turner,BOS,HOU,,18:05,0.18,0.139,0.118,0.6,0.263,0.222,0.25,0.0,0.0,0.273,0.175,5,0.4,0,2,0.0,3,1.0,5,2,0,0,2,3,7,11,14.75,7,41,33,0.0606,0,0.0,97.1,73.4,23.7,0.154,0.132,0.4,107.18,0.6,0.4,0.571,0.0,0.286,0.286,0.5,0.5,0.379,0.242,0.202,0.263,2,0,2,2,4,4,4,18,4,1,
2015-11-18,Evan Turner,BOS,DAL,,23:53,0.128,0.104,0.0,0.0,0.125,0.5,0.3,0.125,0.0,0.0,0.158,5,0.6,0,0,0.0,0,0.0,3,3,1,0,3,0,6,-17,14.0,5,46,36,0.0833,3,0.667,68.6,104.9,-36.3,0.25,0.067,0.6,108.37,1.0,0.0,1.0,0.0,0.0,0.333,0.667,0.333,0.529,0.743,0.191,0.19,0,0,0,2,15,4,6,20,4,2,
2015-11-20,Evan Turner,BOS,BKN,,25:37,0.168,0.159,0.083,0.333,0.192,0.389,0.167,0.0,0.5,0.0,0.207,7,0.714,0,1,0.0,2,1.0,5,7,0,1,2,0,12,1,28.0,8,64,51,0.1373,6,0.833,110.2,101.3,8.9,0.333,0.102,0.714,102.05,0.857,0.143,0.833,0.0,0.167,0.667,0.2,0.8,0.463,0.222,0.124,0.333,2,2,0,8,14,10,2,24,10,3,
2015-11-22,Evan Turner,BOS,BKN,,32:18,0.169,0.167,0.107,0.167,0.233,0.231,0.182,0.4,0.0,0.143,0.188,10,0.6,0,3,0.0,2,0.5,7,3,2,0,2,3,13,1,28.5,11,66,50,0.06,8,0.75,104.1,109.5,-5.4,0.167,0.117,0.6,95.41,0.7,0.3,0.923,0.0,0.308,0.769,0.167,0.833,0.5,0.469,0.161,0.259,4,3,1,10,10,2,6,26,2,3,
2015-11-24,Evan Turner,BOS,ATL,,25:54,0.209,0.186,0.0,0.417,0.2,0.538,0.2,0.0,0.0,0.091,0.163,8,0.25,0,0,0.0,5,0.8,4,7,0,0,2,1,8,-10,20.75,8,62,48,0.1458,7,0.143,92.0,102.4,-10.5,0.438,0.089,0.25,102.75,1.0,0.0,0.5,0.0,0.25,0.5,0.5,0.5,0.535,0.349,0.226,0.25,2,4,2,4,9,12,9,22,12,3,TNT
2015-11-25,Evan Turner,BOS,PHI,,35:59,0.258,0.269,0.136,0.286,0.225,0.273,0.2,0.0,0.2,0.0,0.286,18,0.333,0,3,0.0,4,1.0,9,3,0,1,3,0,16,1,31.5,14,72,48,0.0625,9,0.333,70.7,70.5,0.2,0.214,0.117,0.333,104.79,0.833,0.167,0.75,0.0,0.0,0.375,0.167,0.833,0.408,0.15,0.231,0.114,0,0,2,6,10,2,13,26,2,2,
