DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-27,Festus Ezeli,GSW,NOP,,17:01,0.258,0.303,0.0,0.286,0.235,0.111,0.1,0.333,1.0,0.182,0.464,10,0.6,0,0,0.0,2,0.5,4,1,1,1,1,2,13,-7,22.75,9,26,16,0.0625,5,0.6,71.6,98.9,-27.2,0.25,0.138,0.6,105.07,1.0,0.0,0.923,0.0,0.0,0.923,1.0,0.0,0.519,0.385,0.169,0.091,0,0,0,12,10,2,8,16,2,3,TNT
2015-10-30,Festus Ezeli,GSW,HOU,C,24:42,0.223,0.191,0.0,0.333,0.304,0.077,0.4,0.0,0.667,0.25,0.164,9,0.444,0,0,0.0,4,0.25,7,1,0,2,2,2,9,15,22.0,19,37,24,0.0417,9,0.444,105.2,79.7,25.5,0.059,0.149,0.444,99.54,1.0,0.0,0.889,0.0,0.111,0.889,0.75,0.25,0.382,0.368,0.199,0.182,1,1,0,8,7,4,7,14,4,2,ESPN
2015-10-31,Festus Ezeli,GSW,NOP,C,15:04,0.14,0.087,0.0,0.375,0.417,0.143,0.0,1.0,0.5,0.429,0.023,2,0.0,0,0,0.0,6,0.167,5,1,1,1,0,3,1,3,12.5,10,26,21,0.0476,1,0.0,133.2,119.9,13.3,0.071,0.208,0.0,107.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,0.143,0.058,0.294,0,0,0,0,0,5,4,20,5,4,NBA TV
2015-11-02,Festus Ezeli,GSW,MEM,C,20:26,0.15,0.143,0.0,0.231,0.357,0.0,0.125,0.0,0.429,0.333,0.175,5,0.8,0,0,0.0,3,1.0,10,0,0,3,1,2,11,37,29.0,21,24,14,0.0,3,0.667,140.9,56.6,84.3,0.0,0.222,0.8,106.51,1.0,0.0,0.727,0.0,0.0,0.727,0.5,0.5,0.209,0.209,0.131,0.226,0,2,6,8,4,4,4,10,4,3,NBA TV
2015-11-04,Festus Ezeli,GSW,LAC,C,22:51,0.158,0.178,0.0,0.1,0.286,0.118,0.0,0.0,1.0,0.25,0.226,8,0.75,0,0,0.0,1,0.0,4,2,0,2,0,3,12,-10,23.5,7,32,24,0.0833,8,0.75,109.5,130.2,-20.7,0.133,0.133,0.75,101.64,1.0,0.0,1.0,0.0,0.167,1.0,1.0,0.0,0.737,0.263,0.165,0.182,2,2,0,12,5,5,10,26,5,1,ESPN
2015-11-06,Festus Ezeli,GSW,DEN,C,17:52,0.263,0.2,0.0,0.667,0.389,0.105,0.429,0.25,1.0,0.571,0.327,7,1.0,0,0,0.0,4,0.5,7,2,1,2,3,4,16,4,31.75,11,29,19,0.1053,4,1.0,120.6,110.7,9.8,0.167,0.226,1.0,109.18,1.0,0.0,0.875,0.0,0.0,0.875,1.0,0.0,0.542,0.167,0.123,0.176,0,2,2,14,10,2,6,18,2,2,
2015-11-07,Festus Ezeli,GSW,SAC,C,21:42,0.226,0.225,0.0,0.556,0.545,0.0,0.1,0.0,0.5,0.0,0.345,9,0.333,0,0,0.0,5,0.8,12,0,0,1,1,0,10,-9,26.5,15,37,24,0.0,7,0.429,59.2,80.5,-21.3,0.0,0.25,0.333,106.35,1.0,0.0,0.6,0.0,0.2,0.6,1.0,0.0,0.395,0.116,0.191,0.292,2,2,2,6,8,4,2,24,4,3,
2015-11-09,Festus Ezeli,GSW,DET,C,23:08,0.16,0.14,0.0,0.667,0.095,0.133,0.111,0.0,0.5,0.571,0.143,6,0.333,0,0,0.0,4,1.0,2,2,0,2,1,4,8,6,16.5,14,20,12,0.1667,4,0.25,110.6,100.7,9.9,0.1,0.053,0.333,104.05,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.522,0.133,0.141,0.227,0,0,2,4,8,10,11,30,10,3,
2015-11-11,Festus Ezeli,GSW,MEM,C,20:13,0.085,0.059,0.0,0.25,0.313,0.0,0.125,0.2,0.0,0.364,0.063,2,0.5,0,0,0.0,2,0.5,5,0,1,0,1,4,3,11,10.75,8,20,15,0.0,1,0.0,115.6,99.2,16.4,0.0,0.185,0.5,93.55,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.448,0.414,0.134,0.143,0,0,0,2,9,0,4,14,0,3,
2015-11-12,Festus Ezeli,GSW,MIN,C,16:01,0.175,0.2,0.0,0.0,0.167,0.231,0.0,0.0,0.0,0.5,0.233,6,0.833,0,0,0.0,0,0.0,2,3,0,0,0,4,10,3,16.25,6,23,17,0.1765,3,1.0,129.5,111.6,17.9,0.273,0.069,0.833,103.45,1.0,0.0,1.0,0.0,0.0,1.0,0.6,0.4,0.5,0.367,0.14,0.267,0,2,2,10,0,11,6,16,11,1,TNT
