DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Garrett Temple,SAC,LAL,,23:39,0.256,0.256,0.364,0.167,0.154,0.0,0.3,0.25,0.0,0.111,0.308,10,0.3,1,4,0.25,2,0.5,2,0,1,0,3,2,8,-40,11.5,0,0,0,,0,0.0,50.7,135.7,-85.0,0.0,0.044,0.35,101.4,0.6,0.4,0.5,0.375,0.625,0.0,0.667,0.333,0.686,0.886,0.164,0.444,5,0,1,0,17,11,10,24,11,3,
2016-10-06,Garrett Temple,SAC,GSW,,20:34,0.238,0.293,0.267,0.0,0.25,0.417,0.0,0.0,0.0,0.143,0.289,12,0.417,3,4,0.75,0,0.0,5,5,0,0,0,1,13,8,27.0,0,0,0,,0,0.0,101.1,89.6,11.4,0.455,0.125,0.542,100.12,0.667,0.333,0.308,0.692,0.154,0.308,0.6,0.4,0.519,0.444,0.242,0.067,2,2,0,4,6,2,11,10,2,0,
2016-10-10,Garrett Temple,SAC,MAC,,17:26,0.078,0.1,0.0,0.0,0.154,0.5,0.0,0.0,0.0,0.0,0.095,3,0.667,0,0,0.0,0,0.0,2,4,0,0,0,0,4,0,11.5,0,0,0,,0,0.0,117.8,113.6,4.2,0.267,0.077,0.667,99.95,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.603,0.31,0.189,0.231,2,0,0,0,4,4,0,10,4,1,
2016-10-18,Garrett Temple,SAC,LAC,G,29:07,0.136,0.17,0.231,0.0,0.063,0.308,0.063,0.0,1.0,0.214,0.137,8,0.375,1,3,0.333,0,0.0,2,4,0,1,1,3,7,-9,16.5,0,0,0,,0,0.0,86.3,102.5,-16.2,0.222,0.038,0.438,96.93,0.625,0.375,0.571,0.429,0.0,0.571,0.333,0.667,0.52,0.16,0.12,0.074,0,3,0,4,14,3,6,18,3,0,ESPN
2015-10-30,Garrett Temple,WAS,MIL,,0:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-4,0.0,0,0,0,,0,0.0,0.0,277.8,-277.8,0.0,0.0,0.0,300.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-04,Garrett Temple,WAS,SAS,,2:47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,-7,1.25,0,4,4,0.25,0,0.0,40.0,153.1,-113.1,1.0,0.0,0.0,93.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.17,0.5,0,0,0,0,0,2,2,4,2,0,
2015-11-06,Garrett Temple,WAS,BOS,,10:31,0.205,0.2,0.4,0.182,0.125,0.0,0.25,0.0,0.0,0.0,0.25,3,0.333,1,2,0.5,2,1.0,1,0,0,0,1,0,5,-5,6.25,4,18,10,0.0,1,0.0,91.6,108.3,-16.7,0.0,0.053,0.5,102.58,0.333,0.667,0.0,0.6,0.0,0.0,1.0,0.0,0.5,0.35,0.217,0.455,0,5,0,0,6,5,0,10,5,1,
2015-11-07,Garrett Temple,WAS,ATL,,0:57,0.468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0,0.0,0,0,0.0,2,0.5,0,0,0,0,0,0,1,0,1.0,0,3,2,0.0,0,0.0,159.6,300.0,-140.4,0.0,0.0,0.0,73.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,
2015-11-10,Garrett Temple,WAS,OKC,,21:02,0.205,0.195,0.25,0.3,0.158,0.25,0.2,0.0,0.0,0.25,0.205,8,0.375,0,3,0.0,3,1.0,3,2,0,0,1,3,9,-7,14.75,3,31,20,0.1,4,0.75,101.4,117.0,-15.6,0.143,0.079,0.375,99.29,0.625,0.375,0.667,0.0,0.0,0.667,0.333,0.667,0.588,0.441,0.161,0.25,0,0,0,6,6,3,4,16,3,3,NBA TV
2015-11-14,Garrett Temple,WAS,ORL,G,31:10,0.185,0.179,0.273,0.316,0.097,0.111,0.0,0.2,0.0,0.182,0.247,10,0.5,3,6,0.5,6,0.833,3,2,1,0,0,2,18,6,27.75,3,36,22,0.0909,4,0.5,117.1,100.6,16.5,0.1,0.049,0.65,99.32,0.4,0.6,0.222,0.5,0.111,0.222,1.0,0.0,0.491,0.273,0.135,0.138,2,10,0,4,6,4,15,38,4,3,
2015-11-17,Garrett Temple,WAS,MIL,G,30:28,0.15,0.18,0.267,0.111,0.071,0.111,0.0,0.667,0.0,0.3,0.137,9,0.333,2,4,0.5,2,1.0,2,2,2,0,0,3,10,16,20.0,6,37,26,0.0769,2,0.5,119.8,89.9,29.9,0.087,0.038,0.444,97.94,0.556,0.444,0.2,0.6,0.5,0.2,1.0,0.0,0.491,0.189,0.189,0.207,5,4,3,2,10,7,2,20,7,1,NBA TV
2015-11-21,Garrett Temple,WAS,DET,,25:39,0.166,0.171,0.3,0.133,0.2,0.071,0.167,0.143,0.0,0.077,0.143,6,0.5,1,3,0.333,2,0.5,5,1,1,0,1,1,8,23,17.5,11,31,21,0.0476,3,0.667,122.8,65.8,57.0,0.059,0.111,0.583,89.6,0.5,0.5,0.5,0.375,0.375,0.5,1.0,0.0,0.291,0.326,0.159,0.233,3,3,0,4,6,6,3,14,6,2,NBA TV
2015-11-24,Garrett Temple,WAS,IND,,17:31,0.173,0.156,0.273,0.0,0.3,0.2,0.4,0.0,0.0,0.429,0.057,5,0.2,0,3,0.0,0,0.0,6,2,0,0,2,3,2,0,11.0,10,25,16,0.125,2,0.5,95.8,91.4,4.4,0.154,0.167,0.2,102.5,0.4,0.6,1.0,0.0,0.0,1.0,0.0,1.0,0.483,0.414,0.157,0.111,0,0,2,2,6,0,0,6,0,2,
2015-11-25,Garrett Temple,WAS,CHA,,10:03,0.133,0.167,0.0,0.0,0.167,0.0,0.0,0.333,0.0,0.0,0.0,3,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,0,-3,5.25,2,13,10,0.0,1,0.0,65.1,76.2,-11.1,0.0,0.059,0.0,104.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.214,0.358,0.167,0,0,0,0,2,2,2,12,2,0,
2015-11-27,Garrett Temple,WAS,BOS,,11:14,0.228,0.182,0.25,0.5,0.077,0.0,0.5,0.5,0.0,0.0,0.313,4,0.5,0,1,0.0,2,0.5,1,0,1,0,1,0,5,-10,7.75,1,13,7,0.0,2,0.0,70.3,102.7,-32.4,0.0,0.037,0.5,102.74,0.75,0.25,0.8,0.0,0.6,0.8,0.5,0.5,0.522,0.13,0.118,0.167,3,4,0,4,0,6,0,8,6,2,
2015-11-28,Garrett Temple,WAS,TOR,,17:12,0.184,0.207,0.5,0.2,0.133,0.167,0.0,0.6,0.5,0.2,0.038,6,0.0,0,4,0.0,2,0.5,2,1,3,1,0,1,1,-4,12.75,5,22,14,0.0714,0,0.0,75.6,90.4,-14.8,0.125,0.065,0.0,94.31,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.614,0.227,0.271,0.0,0,1,0,0,2,0,0,6,0,1,
2015-12-01,Garrett Temple,WAS,CLE,,27:35,0.15,0.196,0.294,0.0,0.227,0.0,0.0,0.0,0.0,0.235,0.132,9,0.333,1,5,0.2,0,0.0,5,0,0,0,0,4,7,-1,13.75,6,32,21,0.0,2,0.5,91.6,91.2,0.5,0.0,0.106,0.389,101.89,0.444,0.556,0.571,0.429,0.286,0.286,1.0,0.0,0.391,0.457,0.152,0.2,2,0,0,2,8,4,10,16,4,3,NBA TV
2015-12-02,Garrett Temple,WAS,LAL,,15:13,0.185,0.04,1.0,0.667,0.286,0.286,0.4,0.5,0.0,0.0,0.148,1,0.0,0,1,0.0,8,0.5,4,2,2,0,2,0,4,-6,14.5,5,17,11,0.1818,1,0.0,86.3,100.4,-14.0,0.2,0.143,0.0,101.23,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.065,0.152,0.286,1,2,2,0,8,4,4,14,4,4,
2015-12-04,Garrett Temple,WAS,PHX,,34:52,0.083,0.113,0.2,0.087,0.103,0.077,0.0,0.143,0.0,0.111,0.07,6,0.333,1,4,0.25,2,0.5,3,1,1,0,0,2,6,15,13.5,11,34,26,0.0385,1,0.0,116.0,97.2,18.8,0.034,0.059,0.417,101.3,0.333,0.667,0.333,0.5,0.0,0.333,0.5,0.5,0.517,0.271,0.219,0.31,0,3,0,2,15,6,6,32,6,3,
2015-12-06,Garrett Temple,WAS,DAL,,12:54,0.042,0.053,0.167,0.0,0.2,0.333,0.0,0.0,0.0,0.444,0.0,1,0.0,0,1,0.0,0,0.0,1,1,0,0,0,4,0,-16,2.5,5,13,11,0.0909,0,0.0,79.3,133.2,-53.9,0.125,0.045,0.0,93.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.632,0.152,0.286,0,0,0,0,0,5,0,8,5,0,
2015-12-07,Garrett Temple,WAS,MIA,,7:58,0.115,0.143,0.25,0.0,0.667,0.333,0.0,0.0,0.0,0.5,0.13,2,0.5,1,1,1.0,0,0.0,2,1,0,0,0,2,3,3,7.25,2,10,8,0.125,1,0.0,131.9,122.5,9.3,0.111,0.25,0.75,101.68,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.692,0.231,0.245,0.4,0,0,0,0,2,2,0,6,2,0,
2015-12-09,Garrett Temple,WAS,HOU,,17:27,0.161,0.182,0.25,0.333,0.2,0.167,0.0,1.0,0.0,0.222,0.143,6,0.333,0,2,0.0,2,0.5,4,1,1,0,0,2,5,1,13.25,9,21,14,0.0714,3,0.333,88.3,86.0,2.3,0.077,0.118,0.333,108.83,0.667,0.333,0.8,0.0,0.0,0.8,1.0,0.0,0.466,0.276,0.177,0.0,0,4,0,4,10,0,6,6,0,2,
2015-12-11,Garrett Temple,WAS,NOP,G,28:25,0.148,0.17,0.375,0.0,0.0,0.167,0.125,0.3,0.0,0.25,0.156,8,0.5,2,6,0.333,0,0.0,0,3,3,0,1,2,10,7,20.25,1,34,24,0.125,1,1.0,114.9,99.1,15.8,0.143,0.0,0.625,95.65,0.25,0.75,0.4,0.6,0.0,0.0,1.0,0.0,0.554,0.174,0.226,0.238,0,0,2,0,8,9,5,12,9,0,
2015-12-12,Garrett Temple,WAS,DAL,G,28:07,0.134,0.118,0.125,0.0,0.077,0.167,0.286,0.4,0.2,0.214,0.068,6,0.333,1,2,0.5,0,0.0,2,4,2,1,2,3,5,16,18.0,9,32,23,0.1739,4,0.25,126.4,97.6,28.8,0.143,0.036,0.417,99.17,0.667,0.333,0.4,0.6,0.0,0.4,1.0,0.0,0.445,0.182,0.137,0.273,0,2,0,2,7,9,4,18,9,1,
2015-12-14,Garrett Temple,WAS,MEM,G,17:03,0.193,0.156,0.3,1.0,0.0,0.111,0.25,0.0,1.0,0.0,0.207,5,0.4,0,3,0.0,2,1.0,0,1,0,1,2,0,6,-12,8.25,0,24,16,0.0625,1,1.0,80.8,121.4,-40.6,0.1,0.0,0.4,98.03,0.4,0.6,0.667,0.0,0.333,0.333,0.5,0.5,0.617,0.133,0.118,0.143,2,2,0,2,12,4,3,8,4,2,
2015-12-16,Garrett Temple,WAS,SAS,,11:10,0.109,0.105,0.333,0.25,0.0,0.2,0.0,0.0,1.0,0.143,0.13,2,0.5,0,1,0.0,2,0.5,0,1,0,1,0,1,3,-3,6.25,2,11,8,0.125,0,0.0,102.1,119.0,-16.9,0.143,0.0,0.5,95.34,0.5,0.5,0.667,0.0,0.0,0.667,0.0,1.0,0.531,0.688,0.137,0.286,0,0,0,2,3,1,4,10,1,2,
2015-12-19,Garrett Temple,WAS,CHA,G,35:25,0.165,0.153,0.214,0.333,0.172,0.167,0.091,0.25,0.0,0.2,0.241,9,0.778,2,3,0.667,7,0.714,5,3,2,0,1,2,21,12,35.5,8,46,28,0.1071,4,0.75,115.6,100.2,15.4,0.125,0.079,0.889,101.7,0.667,0.333,0.476,0.286,0.333,0.381,0.571,0.429,0.5,0.164,0.187,0.306,7,12,0,8,10,11,8,34,11,5,NBA TV
2015-12-21,Garrett Temple,WAS,SAC,G,41:49,0.2,0.239,0.526,0.118,0.139,0.12,0.0,0.25,0.0,0.235,0.247,17,0.471,5,10,0.5,2,1.0,5,3,2,0,0,4,23,13,39.5,15,59,36,0.0833,5,0.4,108.8,88.1,20.7,0.115,0.064,0.618,101.17,0.412,0.588,0.261,0.652,0.087,0.087,0.625,0.375,0.395,0.247,0.143,0.273,2,4,5,2,4,10,15,40,10,2,
2015-12-23,Garrett Temple,WAS,MEM,G,40:05,0.229,0.239,0.429,0.333,0.162,0.048,0.154,0.0,0.0,0.235,0.263,17,0.471,3,9,0.333,2,0.5,6,1,0,0,2,4,20,2,29.25,10,59,39,0.0256,6,0.667,99.2,99.8,-0.7,0.043,0.087,0.559,90.27,0.471,0.529,0.5,0.45,0.15,0.5,0.625,0.375,0.46,0.371,0.108,0.182,3,9,2,10,12,11,4,28,11,2,
2015-12-26,Garrett Temple,WAS,BKN,G,33:33,0.157,0.167,0.238,0.143,0.045,0.13,0.111,0.5,0.2,0.182,0.115,9,0.333,1,5,0.2,2,1.0,1,3,2,1,1,2,9,13,20.0,5,41,28,0.1071,4,0.5,116.1,97.7,18.4,0.115,0.017,0.389,95.62,0.444,0.556,0.444,0.333,0.222,0.444,0.333,0.667,0.477,0.123,0.18,0.412,2,4,2,4,5,12,2,36,12,1,
2015-12-28,Garrett Temple,WAS,LAC,G,39:14,0.14,0.13,0.25,0.222,0.081,0.133,0.143,0.143,0.0,0.4,0.087,9,0.222,0,4,0.0,4,0.5,3,2,1,0,2,4,6,-12,13.25,4,40,25,0.08,4,0.25,83.2,97.3,-14.0,0.083,0.043,0.222,101.66,0.556,0.444,0.667,0.0,0.167,0.333,1.0,0.0,0.552,0.179,0.156,0.065,1,3,0,2,12,7,7,30,7,3,
2015-12-30,Garrett Temple,WAS,TOR,G,31:35,0.129,0.122,0.1,0.167,0.167,0.111,0.143,0.0,0.0,0.333,0.063,6,0.167,1,1,1.0,2,0.5,4,2,0,0,1,6,4,6,11.5,12,30,21,0.0952,3,0.0,109.8,91.5,18.3,0.083,0.073,0.25,92.43,0.833,0.167,0.0,0.75,0.0,0.0,1.0,0.0,0.407,0.352,0.189,0.344,0,1,0,0,14,15,6,26,15,2,
2016-01-01,Garrett Temple,WAS,ORL,G,29:10,0.165,0.172,0.188,0.5,0.036,0.2,0.0,0.143,0.0,0.125,0.186,10,0.4,1,3,0.333,2,1.0,1,3,1,0,0,1,11,1,18.5,4,37,24,0.125,7,0.429,97.1,89.7,7.4,0.143,0.018,0.45,103.19,0.7,0.3,0.545,0.273,0.636,0.545,0.5,0.5,0.482,0.107,0.155,0.148,7,6,0,6,10,2,10,22,2,5,
2016-01-03,Garrett Temple,WAS,MIA,G,41:23,0.199,0.198,0.276,0.222,0.073,0.176,0.2,0.25,1.0,0.222,0.169,16,0.25,2,8,0.25,2,0.5,3,3,1,1,2,2,11,-22,22.5,9,57,36,0.0833,7,0.286,77.4,105.7,-28.3,0.13,0.034,0.313,96.41,0.5,0.5,0.364,0.545,0.0,0.364,0.75,0.25,0.513,0.16,0.122,0.211,0,3,3,4,12,6,8,30,6,4,
2016-01-06,Garrett Temple,WAS,CLE,G,34:15,0.165,0.164,0.238,0.385,0.16,0.037,0.0,0.0,0.0,0.214,0.233,10,0.7,3,5,0.6,5,0.8,4,1,0,0,0,3,21,7,28.75,4,35,23,0.0435,5,0.8,131.0,120.0,11.0,0.036,0.078,0.85,96.64,0.5,0.5,0.381,0.429,0.0,0.381,1.0,0.0,0.627,0.237,0.145,0.231,0,8,0,8,10,6,3,26,6,3,
2016-01-08,Garrett Temple,WAS,TOR,G,32:27,0.135,0.161,0.143,0.0,0.04,0.231,0.067,0.333,0.0,0.333,0.108,9,0.333,1,2,0.5,0,0.0,1,3,2,0,1,5,7,-2,16.0,6,44,33,0.0909,3,0.333,92.8,92.6,0.2,0.13,0.019,0.389,105.35,0.778,0.222,0.571,0.429,0.286,0.571,0.667,0.333,0.445,0.345,0.193,0.192,2,4,0,4,12,14,2,30,14,3,
2016-01-09,Garrett Temple,WAS,ORL,G,33:22,0.147,0.151,0.105,0.0,0.2,0.167,0.167,0.0,0.0,0.267,0.138,8,0.625,1,2,0.5,0,0.0,4,4,0,0,2,4,11,13,20.5,7,49,38,0.1053,5,0.6,122.9,107.0,15.9,0.148,0.1,0.688,91.82,0.75,0.25,0.727,0.273,0.0,0.545,1.0,0.0,0.571,0.306,0.192,0.227,0,2,3,6,12,8,3,22,8,0,
2016-01-11,Garrett Temple,WAS,CHI,G,30:10,0.161,0.167,0.25,0.0,0.042,0.091,0.143,0.125,0.4,0.2,0.203,10,0.6,2,4,0.5,0,0.0,1,2,1,2,1,3,14,11,24.25,6,34,22,0.0909,3,0.667,110.7,93.7,17.0,0.083,0.019,0.7,98.84,0.6,0.4,0.571,0.429,0.286,0.286,0.833,0.167,0.449,0.367,0.21,0.308,4,4,4,4,5,7,9,30,7,1,
2016-01-13,Garrett Temple,WAS,MIL,G,32:05,0.109,0.136,0.333,0.0,0.211,0.278,0.0,0.455,0.5,0.067,0.167,8,0.5,3,6,0.5,0,0.0,4,5,5,1,0,1,11,-11,35.75,4,46,36,0.1389,1,1.0,99.2,114.0,-14.8,0.227,0.077,0.688,100.31,0.25,0.75,0.182,0.818,0.727,0.182,0.5,0.5,0.569,0.471,0.207,0.4,8,2,5,2,10,7,12,50,7,0,
2016-01-15,Garrett Temple,WAS,IND,G,28:14,0.126,0.133,0.235,0.0,0.167,0.313,0.143,0.0,0.5,0.286,0.07,8,0.25,1,4,0.25,0,0.0,6,5,0,1,1,4,5,15,20.75,8,44,32,0.1563,3,0.0,117.5,93.3,24.3,0.185,0.103,0.313,102.38,0.5,0.5,0.4,0.6,0.0,0.4,1.0,0.0,0.469,0.333,0.133,0.107,0,0,0,2,8,6,3,30,6,2,
2016-01-16,Garrett Temple,WAS,BOS,G,33:30,0.131,0.123,0.333,0.269,0.094,0.2,0.0,0.0,0.333,0.136,0.141,8,0.25,1,5,0.2,7,1.0,3,3,0,1,0,3,12,1,22.0,8,48,36,0.0833,2,0.5,114.2,113.0,1.2,0.115,0.046,0.313,106.56,0.375,0.625,0.167,0.25,0.25,0.167,1.0,0.0,0.5,0.467,0.175,0.333,3,7,3,2,7,7,21,26,7,5,
2016-01-18,Garrett Temple,WAS,POR,G,29:23,0.192,0.196,0.455,0.333,0.111,0.067,0.0,0.0,0.0,0.143,0.353,10,0.6,3,5,0.6,4,0.75,3,1,0,0,0,1,18,-13,24.5,4,39,26,0.0385,3,0.667,89.0,105.3,-16.3,0.071,0.05,0.75,96.4,0.5,0.5,0.333,0.5,0.167,0.222,1.0,0.0,0.583,0.074,0.148,0.148,3,2,5,4,2,5,0,16,5,6,
2016-01-20,Garrett Temple,WAS,MIA,G,29:22,0.108,0.111,0.1,0.333,0.095,0.167,0.0,0.125,0.0,0.0,0.167,6,0.667,1,1,1.0,2,1.0,2,3,1,0,0,0,11,18,19.75,2,38,29,0.1034,1,1.0,118.6,91.8,26.8,0.12,0.059,0.75,88.2,0.833,0.167,0.545,0.273,0.364,0.0,0.5,0.5,0.542,0.333,0.249,0.133,4,2,2,0,7,3,2,18,3,1,
