DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Gary Harris,DEN,TOR,G,10:26,0.159,0.158,0.0,0.154,0.0,0.0,0.167,0.0,0.0,0.4,0.222,3,0.667,0,0,0.0,2,1.0,0,0,0,0,1,2,6,-1,5.5,0,0,0,,0,0.0,109.2,105.1,4.1,0.0,0.0,0.667,118.14,1.0,0.0,0.667,0.0,0.333,0.667,1.0,0.0,0.44,0.24,0.075,0.273,2,4,0,4,9,4,9,8,4,1,
2015-10-28,Gary Harris,DEN,HOU,G,29:29,0.091,0.116,0.182,0.0,0.152,0.333,0.063,0.6,0.125,0.235,0.076,5,0.4,1,2,0.5,0,0.0,5,5,3,1,1,4,5,23,25.5,14,29,21,0.2381,1,1.0,109.9,69.4,40.5,0.227,0.082,0.5,99.28,0.6,0.4,0.4,0.6,0.0,0.4,1.0,0.0,0.289,0.316,0.161,0.325,0,0,2,2,14,8,2,22,8,1,
2015-10-30,Gary Harris,DEN,MIN,G,17:53,0.205,0.216,0.4,0.0,0.067,0.167,0.167,0.5,0.0,0.3,0.129,8,0.25,0,2,0.0,0,0.0,1,1,1,0,1,3,4,-15,8.0,3,21,11,0.0909,3,0.0,86.4,130.8,-44.4,0.083,0.034,0.25,95.34,0.75,0.25,1.0,0.0,0.0,0.5,1.0,0.0,0.615,0.538,0.171,0.3,0,0,2,2,10,4,5,22,4,0,
2015-11-01,Gary Harris,DEN,OKC,G,26:41,0.146,0.102,0.154,0.231,0.182,0.0,0.333,0.0,0.0,0.0,0.159,5,0.4,1,2,0.5,3,0.667,4,0,0,0,3,0,7,-22,11.0,7,24,13,0.0,3,0.333,79.0,110.9,-31.9,0.0,0.073,0.5,103.65,0.6,0.4,0.286,0.429,0.429,0.286,0.5,0.5,0.546,0.148,0.185,0.391,3,1,0,2,18,12,20,42,12,3,
2015-11-03,Gary Harris,DEN,LAL,G,21:43,0.172,0.225,0.6,0.05,0.143,0.125,0.0,0.5,0.0,0.167,0.183,9,0.556,1,3,0.333,1,0.0,3,2,2,0,0,1,11,0,21.75,8,26,17,0.1176,6,0.667,125.5,123.7,1.9,0.125,0.077,0.611,106.45,0.667,0.333,0.727,0.273,0.0,0.727,0.6,0.4,0.587,0.174,0.103,0.3,0,4,0,8,6,4,9,26,4,1,NBA TV
2015-11-05,Gary Harris,DEN,UTA,G,27:41,0.141,0.125,0.167,0.0,0.069,0.222,0.375,0.0,0.25,0.0,0.149,5,0.6,1,1,1.0,0,0.0,2,2,0,1,3,0,7,1,13.0,6,23,13,0.1538,3,0.667,94.4,89.9,4.5,0.143,0.038,0.7,87.53,0.8,0.2,0.571,0.429,0.0,0.0,0.667,0.333,0.396,0.292,0.078,0.241,0,0,0,0,7,7,4,22,7,1,
2015-11-06,Gary Harris,DEN,GSW,G,29:15,0.139,0.145,0.182,0.143,0.125,0.167,0.1,0.125,0.0,0.111,0.246,8,0.75,2,2,1.0,2,1.0,3,2,1,0,1,1,16,-13,24.75,8,35,23,0.087,3,0.667,98.2,114.2,-15.9,0.105,0.051,0.875,110.37,0.75,0.25,0.5,0.375,0.25,0.375,0.667,0.333,0.603,0.048,0.19,0.321,4,6,0,6,5,20,13,34,20,3,
2015-11-09,Gary Harris,DEN,POR,G,25:28,0.156,0.178,0.3,0.0,0.107,0.273,0.143,0.0,0.0,0.222,0.127,8,0.375,1,3,0.333,0,0.0,3,3,0,0,1,2,7,0,14.5,4,35,25,0.12,5,0.4,104.3,101.9,2.4,0.158,0.057,0.438,100.54,0.625,0.375,0.571,0.429,0.0,0.286,1.0,0.0,0.429,0.161,0.056,0.281,0,0,3,2,5,13,2,20,13,0,
2015-11-11,Gary Harris,DEN,MIL,G,28:08,0.144,0.146,0.286,0.0,0.05,0.278,0.286,0.333,0.0,0.0,0.118,7,0.429,2,4,0.5,0,0.0,1,5,2,0,2,0,8,4,19.5,3,38,27,0.1852,4,0.5,124.8,118.5,6.3,0.227,0.026,0.571,92.54,0.429,0.571,0.25,0.75,0.0,0.25,1.0,0.0,0.667,0.0,0.185,0.25,0,0,0,2,11,7,4,34,7,1,
2015-11-13,Gary Harris,DEN,HOU,G,11:26,0.139,0.125,0.333,0.0,0.308,0.0,0.333,0.25,0.0,0.667,0.125,3,0.333,1,1,1.0,0,0.0,4,0,1,0,1,4,3,0,10.0,4,16,11,0.0,1,0.0,101.0,96.6,4.4,0.0,0.16,0.5,102.02,0.667,0.333,0.0,1.0,1.0,0.0,1.0,0.0,0.417,0.611,0.201,0.273,3,0,0,0,2,2,5,6,2,0,
2015-11-14,Gary Harris,DEN,PHX,G,26:16,0.177,0.17,0.25,0.25,0.038,0.0,0.2,0.333,0.333,0.222,0.146,9,0.333,0,5,0.0,1,1.0,1,0,1,1,2,2,7,-17,11.25,4,29,17,0.0,4,0.75,81.7,118.5,-36.8,0.0,0.019,0.333,103.8,0.444,0.556,0.857,0.0,0.714,0.857,0.0,1.0,0.571,0.224,0.109,0.2,5,2,0,6,11,8,6,28,8,1,NBA TV
2015-11-17,Gary Harris,DEN,NOP,G,31:51,0.168,0.14,0.211,0.444,0.138,0.158,0.222,0.667,0.0,0.25,0.2,8,0.625,3,4,0.75,4,0.75,4,3,2,0,2,2,16,15,29.25,5,28,16,0.1875,3,0.333,129.1,108.2,20.9,0.115,0.078,0.813,91.99,0.5,0.5,0.25,0.563,0.375,0.125,1.0,0.0,0.536,0.125,0.117,0.222,6,0,0,2,10,5,8,34,5,2,
2015-11-18,Gary Harris,DEN,SAS,G,27:00,0.178,0.179,0.6,0.286,0.071,0.071,0.0,0.667,0.0,0.0,0.319,10,0.6,1,3,0.333,2,1.0,2,1,2,0,0,0,15,-14,23.25,3,28,16,0.0625,6,0.667,92.0,119.0,-26.9,0.077,0.032,0.65,90.99,0.7,0.3,0.667,0.2,0.133,0.533,0.667,0.333,0.49,0.231,0.078,0.357,2,4,3,8,5,6,6,26,6,1,
2015-11-20,Gary Harris,DEN,PHX,G,28:06,0.221,0.271,0.286,0.105,0.083,0.0,0.091,0.0,0.0,0.222,0.317,13,0.615,2,4,0.5,2,1.0,2,0,0,0,1,2,20,-2,23.0,5,32,15,0.0,4,0.75,108.0,110.7,-2.7,0.0,0.044,0.692,100.0,0.692,0.308,0.6,0.3,0.1,0.5,0.75,0.25,0.598,0.283,0.204,0.25,2,4,2,10,8,7,13,26,7,1,
2015-11-22,Gary Harris,DEN,GSW,G,34:04,0.158,0.177,0.273,0.074,0.097,0.214,0.143,0.125,0.0,0.25,0.167,11,0.455,1,3,0.333,2,0.5,3,3,1,0,2,2,12,-16,21.0,10,43,28,0.1071,5,0.4,94.9,118.8,-23.9,0.158,0.048,0.5,105.65,0.727,0.273,0.667,0.25,0.083,0.5,1.0,0.0,0.683,0.117,0.216,0.208,1,2,3,6,12,7,19,30,7,2,ESPN
2015-11-24,Gary Harris,DEN,LAC,G,34:33,0.159,0.193,0.375,0.043,0.081,0.077,0.091,0.0,0.0,0.208,0.194,11,0.455,3,6,0.5,1,1.0,3,1,0,0,1,5,14,-11,20.0,6,34,23,0.0435,6,0.5,99.8,121.6,-21.7,0.053,0.045,0.591,97.53,0.455,0.545,0.286,0.643,0.0,0.286,0.8,0.2,0.544,0.649,0.029,0.184,0,0,0,4,13,10,4,18,10,1,
2015-11-27,Gary Harris,DEN,SAS,G,25:04,0.113,0.105,0.429,0.0,0.05,0.333,0.182,0.333,0.0,0.111,0.143,4,0.5,1,3,0.333,0,0.0,1,3,1,0,2,1,5,-14,11.5,1,29,19,0.1579,1,1.0,71.5,100.5,-29.0,0.3,0.022,0.625,93.54,0.25,0.75,0.4,0.6,0.0,0.4,0.5,0.5,0.534,0.091,0.144,0.2,0,2,0,2,10,4,2,18,4,0,
