DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,George Hill,UTA,POR,G,19:10,0.147,0.152,0.0,0.0,0.115,0.4,0.25,0.0,0.0,0.333,0.105,5,0.4,0,0,0.0,0,0.0,3,2,0,0,2,2,4,-5,9.25,0,0,0,,0,0.0,96.0,107.0,-11.0,0.2,0.075,0.4,99.92,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.571,0.143,0.075,0.0,0,2,0,4,14,0,9,20,0,1,NBA TV
2016-10-05,George Hill,UTA,PHX,G,26:32,0.233,0.31,0.3,0.08,0.045,0.417,0.091,0.286,0.2,0.167,0.183,13,0.385,1,3,0.333,2,0.0,1,5,2,1,1,2,11,0,24.5,0,0,0,,0,0.0,101.7,98.6,3.1,0.333,0.021,0.423,108.4,0.769,0.231,0.727,0.273,0.0,0.545,0.4,0.6,0.5,0.204,0.181,0.346,0,0,5,6,13,10,13,34,10,3,NBA TV
2016-10-10,George Hill,UTA,LAC,G,24:24,0.202,0.25,0.125,0.182,0.308,0.5,0.0,0.6,0.333,0.111,0.204,10,0.4,0,1,0.0,2,1.0,8,4,3,1,0,2,10,1,33.0,0,0,0,,0,0.0,102.4,99.0,3.4,0.267,0.186,0.4,94.74,0.9,0.1,0.8,0.0,0.2,0.6,0.0,1.0,0.5,0.472,0.165,0.13,2,2,4,6,2,2,8,18,2,1,NBA TV
2016-10-12,George Hill,UTA,PHX,G,17:47,0.247,0.276,0.125,0.2,0.111,0.25,0.2,0.333,0.0,0.125,0.111,8,0.0,0,1,0.0,6,0.833,2,1,1,0,1,1,5,11,10.25,0,0,0,,0,0.0,109.2,88.3,21.0,0.1,0.063,0.0,107.59,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.481,0.296,0.26,0.143,0,2,0,0,7,2,6,16,2,3,NBA TV
2016-10-17,George Hill,UTA,LAC,G,24:41,0.15,0.158,0.154,0.333,0.136,0.111,0.0,0.25,0.0,0.125,0.204,6,0.667,1,2,0.5,3,0.667,3,1,1,0,0,1,11,17,18.5,0,0,0,,0,0.0,115.0,79.9,35.1,0.059,0.077,0.75,90.7,0.667,0.333,0.545,0.273,0.0,0.364,0.0,1.0,0.425,0.075,0.151,0.091,0,0,0,4,5,0,2,16,0,3,
2016-10-19,George Hill,UTA,POR,G,24:32,0.312,0.325,0.364,0.333,0.316,0.182,0.0,0.333,0.0,0.4,0.381,13,0.385,2,4,0.5,4,1.0,6,2,1,0,0,2,16,-7,29.0,0,0,0,,0,0.0,92.8,107.1,-14.3,0.182,0.125,0.462,89.06,0.692,0.308,0.375,0.375,0.25,0.125,0.4,0.6,0.534,0.091,0.153,0.292,4,4,0,2,0,7,1,18,7,3,
2015-10-28,George Hill,IND,TOR,G,37:41,0.15,0.152,0.333,0.111,0.103,0.095,0.182,0.182,0.333,0.227,0.216,10,0.6,5,7,0.714,3,0.667,3,2,2,1,2,5,19,-1,32.75,9,84,69,0.029,2,0.5,107.5,102.6,4.9,0.091,0.046,0.85,107.4,0.3,0.7,0.105,0.789,0.105,0.105,1.0,0.0,0.507,0.433,0.184,0.29,2,2,0,2,9,22,3,40,22,4,
2015-10-29,George Hill,IND,MEM,G,38:46,0.26,0.234,0.308,0.286,0.088,0.222,0.357,0.2,0.0,0.143,0.244,15,0.4,3,8,0.375,6,0.833,3,4,1,0,5,2,20,-3,29.75,8,95,69,0.058,6,0.333,104.8,109.9,-5.1,0.174,0.045,0.5,96.35,0.467,0.533,0.3,0.45,0.1,0.3,0.667,0.333,0.515,0.284,0.142,0.265,2,2,8,6,16,16,10,38,16,4,
2015-10-31,George Hill,IND,UTA,G,37:22,0.229,0.164,0.313,0.333,0.231,0.143,0.389,0.286,0.0,0.214,0.288,9,0.556,3,5,0.6,5,0.8,6,1,2,0,7,3,17,-16,27.75,12,79,58,0.0172,6,0.5,80.2,102.2,-22.0,0.059,0.1,0.722,94.42,0.444,0.556,0.235,0.529,0.118,0.118,0.6,0.4,0.5,0.149,0.177,0.355,2,2,2,2,20,11,6,38,11,5,
2015-11-03,George Hill,IND,DET,G,36:19,0.145,0.171,0.3,0.0,0.194,0.353,0.0,0.4,0.25,0.063,0.167,12,0.417,2,6,0.333,0,0.0,6,6,4,1,0,1,12,7,38.0,9,79,63,0.0952,6,0.333,99.0,88.2,10.8,0.231,0.086,0.5,96.8,0.5,0.5,0.5,0.5,0.25,0.0,0.4,0.6,0.41,0.194,0.231,0.432,3,0,0,0,13,22,2,32,22,4,
