DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Gerald Green,BOS,CHA,F,20:28,0.308,0.333,0.091,0.375,0.167,0.0,0.143,0.167,0.5,0.1,0.277,12,0.417,0,1,0.0,3,1.0,2,0,1,1,1,1,13,13,19.0,0,0,0,,0,0.0,101.0,75.1,25.9,0.0,0.059,0.417,107.65,0.917,0.083,0.769,0.0,0.154,0.308,0.6,0.4,0.311,0.324,0.221,0.368,2,2,0,4,2,6,3,16,6,3,NBA TV
2016-10-13,Gerald Green,BOS,BKN,,14:20,0.256,0.333,0.333,0.111,0.2,0.111,0.0,0.0,0.0,0.111,0.29,8,0.5,0,3,0.0,1,1.0,3,1,0,0,0,1,9,2,14.0,0,0,0,,0,0.0,97.0,89.2,7.8,0.143,0.111,0.5,107.97,0.625,0.375,0.889,0.0,0.0,0.667,1.0,0.0,0.426,0.296,0.123,0.125,0,2,0,6,8,2,5,12,2,2,
2016-10-15,Gerald Green,BOS,NYK,,9:02,0.302,0.357,0.333,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.333,5,0.4,0,1,0.0,3,1.0,0,1,0,0,0,0,7,3,8.25,0,0,0,,0,0.0,110.8,88.2,22.5,0.167,0.0,0.4,104.57,0.8,0.2,0.571,0.0,0.286,0.286,1.0,0.0,0.357,0.714,0.294,0.5,2,4,0,2,7,5,2,8,5,1,NBA TV
2016-10-17,Gerald Green,BOS,BKN,,12:40,0.343,0.308,0.75,0.333,0.267,0.571,0.5,0.0,0.0,0.143,0.241,8,0.25,1,6,0.167,2,1.0,4,4,0,0,3,1,7,-4,16.0,0,0,0,,0,0.0,94.6,118.9,-24.2,0.444,0.148,0.313,110.65,0.25,0.75,0.286,0.429,0.0,0.0,1.0,0.0,0.62,0.16,0.108,0.154,0,2,0,0,11,2,9,16,2,2,
2016-10-19,Gerald Green,BOS,NYK,,25:15,0.124,0.178,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.294,0.085,8,0.25,0,0,0.0,0,0.0,1,3,0,0,0,5,4,-19,9.0,0,0,0,,0,0.0,80.2,122.0,-41.7,0.188,0.021,0.25,107.14,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.556,0.511,0.111,0.333,0,0,0,4,15,8,13,28,8,0,ESPN
2015-10-28,Gerald Green,MIA,CHA,,30:24,0.29,0.326,0.471,0.0,0.045,0.071,0.333,0.0,0.0,0.235,0.284,15,0.467,5,8,0.625,0,0.0,1,1,0,0,2,4,19,0,23.0,5,45,27,0.037,11,0.364,114.3,110.4,3.9,0.071,0.02,0.633,94.17,0.467,0.533,0.211,0.789,0.0,0.211,0.714,0.286,0.471,0.423,0.099,0.241,0,6,0,4,12,7,4,26,7,0,
2015-10-30,Gerald Green,MIA,CLE,,16:08,0.344,0.346,0.5,0.333,0.091,0.0,0.333,0.0,0.0,0.167,0.208,9,0.111,1,4,0.25,2,1.0,1,0,0,0,1,1,5,-18,6.25,2,20,8,0.0,4,0.0,86.8,139.1,-52.2,0.0,0.037,0.167,86.04,0.556,0.444,0.0,0.6,0.0,0.0,1.0,0.0,0.633,0.167,0.066,0.364,0,0,2,0,0,5,3,16,5,2,ESPN
2015-11-01,Gerald Green,MIA,HOU,,18:21,0.177,0.206,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.286,0.184,7,0.286,1,5,0.2,2,1.0,0,0,0,0,0,2,7,7,7.5,1,24,15,0.0,4,0.25,96.2,79.3,16.8,0.0,0.0,0.357,102.8,0.286,0.714,0.286,0.429,0.286,0.286,0.5,0.5,0.375,0.219,0.128,0.056,2,4,0,2,7,4,2,14,4,1,
2015-11-17,Gerald Green,MIA,MIN,,11:48,0.177,0.278,0.5,0.0,0.308,0.333,0.0,0.0,0.0,0.429,0.154,5,0.2,0,2,0.0,0,0.0,4,1,0,0,0,3,2,-15,8.25,4,16,10,0.1,3,0.333,53.7,115.7,-62.0,0.2,0.167,0.2,98.44,0.6,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.208,0.0,0.182,0,0,2,2,9,2,6,10,2,0,
2015-11-19,Gerald Green,MIA,SAC,,16:11,0.191,0.194,0.333,0.0,0.353,0.091,0.333,0.0,0.0,0.333,0.109,6,0.333,1,4,0.25,0,0.0,6,1,0,0,1,3,5,13,13.75,6,21,13,0.0769,3,0.333,145.4,97.9,47.5,0.067,0.222,0.417,96.96,0.333,0.667,0.4,0.6,0.0,0.4,0.5,0.5,0.595,0.619,0.237,0.077,0,0,2,2,6,0,0,8,0,0,
2015-11-21,Gerald Green,MIA,PHI,,22:56,0.173,0.167,0.333,0.286,0.048,0.0,0.0,0.0,0.2,0.273,0.143,5,0.0,0,3,0.0,8,0.75,1,0,0,1,0,3,6,3,9.25,4,15,5,0.0,3,0.0,92.7,86.4,6.3,0.0,0.023,0.0,94.66,0.4,0.6,0.0,0.0,0.333,0.0,0.0,0.0,0.359,0.359,0.133,0.261,2,0,0,0,11,9,0,10,9,4,
2015-11-23,Gerald Green,MIA,NYK,,14:35,0.311,0.385,0.667,0.067,0.25,0.0,0.0,0.0,0.0,0.2,0.29,10,0.4,0,4,0.0,1,1.0,5,0,0,0,0,1,9,16,15.25,8,22,12,0.0,7,0.571,108.4,56.1,52.3,0.0,0.143,0.4,91.11,0.6,0.4,0.889,0.0,0.0,0.889,0.75,0.25,0.261,0.174,0.187,0.167,0,2,2,8,0,2,0,10,2,1,NBA TV
2015-11-25,Gerald Green,MIA,DET,F,38:18,0.274,0.288,0.5,0.231,0.147,0.067,0.231,0.0,0.167,0.273,0.254,17,0.353,2,7,0.286,3,0.667,5,1,0,1,3,3,16,-15,25.0,12,50,29,0.0345,10,0.3,87.8,107.4,-19.5,0.053,0.066,0.412,90.46,0.588,0.412,0.5,0.375,0.125,0.5,0.833,0.167,0.462,0.076,0.083,0.349,2,1,2,8,15,15,3,34,15,1,
2015-11-27,Gerald Green,MIA,NYK,F,26:31,0.331,0.326,0.615,0.556,0.083,0.0,0.25,0.25,0.0,0.5,0.5,14,0.571,4,8,0.5,5,1.0,2,0,1,0,2,3,25,17,30.5,3,31,11,0.0,5,0.8,100.1,61.4,38.7,0.0,0.043,0.714,93.86,0.429,0.571,0.32,0.48,0.08,0.32,0.75,0.25,0.315,0.087,0.186,0.174,2,0,0,8,6,6,2,10,6,3,
2015-11-30,Gerald Green,MIA,BOS,F,35:49,0.111,0.136,0.4,0.1,0.097,0.059,0.0,0.0,0.2,0.133,0.107,8,0.375,1,6,0.167,2,1.0,3,1,0,1,0,2,9,11,16.5,5,36,25,0.04,3,0.333,115.4,101.8,13.5,0.036,0.052,0.438,96.81,0.25,0.75,0.444,0.333,0.556,0.222,1.0,0.0,0.466,0.373,0.153,0.25,5,0,0,2,14,12,8,28,12,1,
2015-12-03,Gerald Green,MIA,OKC,F,28:06,0.206,0.191,0.25,0.154,0.087,0.154,0.4,0.0,0.0,0.111,0.096,9,0.222,0,2,0.0,2,0.5,2,2,0,0,2,1,5,-4,9.0,6,34,22,0.0909,5,0.4,98.6,104.9,-6.3,0.105,0.038,0.222,90.59,0.778,0.222,0.8,0.0,0.0,0.8,1.0,0.0,0.415,0.404,0.131,0.333,0,0,1,4,4,9,9,26,9,1,TNT
2015-12-05,Gerald Green,MIA,CLE,F,26:17,0.247,0.293,0.364,0.143,0.136,0.063,0.111,0.333,0.167,0.4,0.182,12,0.417,1,4,0.25,2,0.5,3,1,1,1,1,6,12,20,21.0,5,28,14,0.0714,5,0.4,124.2,84.7,39.4,0.05,0.079,0.458,98.11,0.667,0.333,0.667,0.25,0.25,0.5,0.4,0.6,0.422,0.267,0.147,0.174,3,3,2,6,9,4,2,24,4,3,NBA TV
2015-12-07,Gerald Green,MIA,WAS,F,36:16,0.112,0.154,0.273,0.0,0.045,0.05,0.0,0.0,0.167,0.286,0.113,8,0.5,1,3,0.333,0,0.0,1,1,0,1,0,4,9,-11,14.0,3,32,22,0.0455,6,0.5,111.9,118.1,-6.2,0.034,0.019,0.563,98.29,0.625,0.375,0.667,0.333,0.0,0.667,0.5,0.5,0.549,0.222,0.117,0.333,0,3,0,6,21,10,15,42,10,0,
2015-12-09,Gerald Green,MIA,CHA,F,24:20,0.237,0.263,0.333,0.4,0.143,0.0,0.1,0.0,0.333,0.25,0.262,10,0.4,1,3,0.333,2,1.0,3,0,0,2,1,1,11,-21,18.75,5,25,12,0.0,7,0.429,90.9,128.4,-37.5,0.0,0.077,0.45,93.97,0.7,0.3,0.545,0.273,0.182,0.364,0.5,0.5,0.638,0.149,0.02,0.105,2,0,0,4,16,11,10,28,11,1,
2015-12-11,Gerald Green,MIA,IND,,27:52,0.165,0.213,0.385,0.0,0.111,0.0,0.0,0.5,0.333,0.333,0.26,10,0.5,3,5,0.6,0,0.0,3,0,2,1,0,3,13,-3,24.25,6,32,21,0.0,4,0.25,90.1,94.7,-4.7,0.0,0.059,0.65,95.99,0.5,0.5,0.308,0.692,0.231,0.154,0.6,0.4,0.469,0.184,0.107,0.12,3,0,0,2,16,4,7,26,4,0,ESPN
2015-12-13,Gerald Green,MIA,MEM,,33:16,0.17,0.167,0.357,0.278,0.043,0.0,0.0,0.167,0.0,0.0,0.203,9,0.556,2,5,0.4,5,0.8,1,0,1,0,0,0,16,12,20.25,5,32,20,0.0,6,0.667,129.7,104.0,25.6,0.0,0.022,0.667,90.41,0.444,0.556,0.375,0.375,0.0,0.375,0.6,0.4,0.556,0.185,0.155,0.182,0,0,0,6,5,6,5,40,6,3,
2015-12-14,Gerald Green,MIA,ATL,,31:26,0.218,0.241,0.182,0.083,0.107,0.125,0.167,0.2,0.0,0.2,0.29,14,0.643,1,2,0.5,1,1.0,3,2,1,0,2,2,20,5,27.75,7,38,21,0.0952,8,0.625,105.7,102.6,3.1,0.118,0.058,0.679,97.47,0.857,0.143,0.8,0.15,0.25,0.2,0.667,0.333,0.539,0.196,0.208,0.25,5,0,2,4,11,4,7,32,4,2,
2015-12-16,Gerald Green,MIA,BKN,,20:45,0.32,0.393,0.5,0.167,0.0,0.286,0.143,0.0,0.0,0.167,0.289,11,0.455,2,5,0.4,2,0.5,0,2,0,0,1,1,13,8,16.0,3,27,13,0.1538,5,0.6,114.6,90.8,23.8,0.2,0.0,0.545,92.61,0.545,0.455,0.462,0.462,0.231,0.308,0.2,0.8,0.417,0.095,0.025,0.167,3,3,0,4,6,4,2,16,4,2,
2015-12-18,Gerald Green,MIA,TOR,,31:09,0.268,0.306,0.5,0.083,0.0,0.083,0.143,0.333,0.0,0.133,0.323,15,0.467,5,10,0.5,1,1.0,0,1,1,0,1,2,20,-8,25.25,0,32,16,0.0625,5,0.4,104.6,121.1,-16.5,0.067,0.0,0.633,90.21,0.333,0.667,0.2,0.75,0.35,0.0,0.714,0.286,0.53,0.4,0.087,0.24,7,7,0,0,12,9,10,30,9,1,
2015-12-20,Gerald Green,MIA,POR,,32:14,0.15,0.17,0.333,0.15,0.045,0.071,0.0,0.0,0.0,0.125,0.218,9,0.667,4,6,0.667,3,0.333,1,1,0,0,0,1,17,7,21.5,1,33,22,0.0455,4,1.0,122.3,108.8,13.5,0.045,0.02,0.889,96.11,0.333,0.667,0.235,0.706,0.353,0.118,1.0,0.0,0.575,0.226,0.184,0.227,6,3,0,2,4,11,4,24,11,3,
2015-12-22,Gerald Green,MIA,DET,,29:12,0.106,0.113,0.231,0.0,0.19,0.125,0.0,0.0,0.75,0.0,0.145,6,0.5,2,3,0.667,0,0.0,4,1,0,3,0,0,8,-7,21.25,8,27,20,0.05,4,0.25,102.5,120.3,-17.8,0.05,0.083,0.667,86.42,0.5,0.5,0.25,0.75,0.0,0.0,0.667,0.333,0.617,0.17,0.136,0.25,0,0,3,0,3,12,3,12,12,0,
2015-12-25,Gerald Green,MIA,NOP,,26:18,0.238,0.217,0.4,0.0,0.194,0.0,0.5,0.571,0.0,0.5,0.105,10,0.3,0,6,0.0,0,0.0,6,0,4,0,4,3,6,13,19.5,8,31,17,0.0,3,0.0,110.0,80.5,29.4,0.0,0.115,0.3,97.16,0.4,0.6,1.0,0.0,0.333,0.333,0.0,1.0,0.433,0.133,0.183,0.111,2,2,0,2,0,6,0,22,6,0,ESPN
2015-12-26,Gerald Green,MIA,ORL,,29:56,0.182,0.213,0.357,0.111,0.043,0.0,0.0,0.0,0.0,0.0,0.208,10,0.5,3,5,0.6,2,1.0,1,0,0,0,0,0,15,7,17.75,4,31,18,0.0,7,0.429,136.1,126.7,9.4,0.0,0.022,0.65,83.56,0.5,0.5,0.267,0.6,0.0,0.267,0.8,0.2,0.604,0.057,0.097,0.333,0,3,0,4,4,9,2,26,9,1,
2015-12-28,Gerald Green,MIA,BKN,,33:13,0.172,0.183,0.389,0.1,0.111,0.143,0.167,0.143,0.0,0.056,0.096,11,0.182,1,7,0.143,2,1.0,3,2,1,0,1,1,7,-4,15.25,5,34,19,0.1053,7,0.286,110.9,124.7,-13.7,0.083,0.047,0.227,92.16,0.364,0.636,0.286,0.429,0.0,0.286,0.5,0.5,0.54,0.58,0.146,0.357,0,0,0,2,5,18,2,20,18,1,
2015-12-29,Gerald Green,MIA,MEM,,20:07,0.217,0.25,0.5,0.0,0.25,0.0,0.25,1.0,0.0,0.182,0.091,7,0.143,1,6,0.167,0,0.0,4,0,1,0,1,2,3,-7,10.0,7,29,20,0.0,2,0.0,94.7,113.3,-18.5,0.0,0.103,0.214,83.7,0.143,0.857,0.0,1.0,0.0,0.0,1.0,0.0,0.463,0.075,0.057,0.364,0,0,3,0,4,9,0,24,9,0,
