DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Giannis Antetokounmpo,MIL,CHI,F,23:55,0.235,0.195,0.091,0.545,0.067,0.25,0.25,0.143,0.0,0.364,0.3,8,0.5,0,1,0.0,6,0.667,1,2,1,0,2,4,12,-10,16.75,0,0,0,,0,0.0,83.6,105.5,-21.9,0.182,0.023,0.5,95.57,0.875,0.125,0.667,0.0,0.333,0.5,0.75,0.25,0.566,0.263,0.274,0.471,4,3,2,6,8,7,11,20,7,6,NBA TV
2016-10-08,Giannis Antetokounmpo,MIL,DAL,G,23:04,0.197,0.182,0.125,0.25,0.261,0.25,0.333,0.2,0.0,0.4,0.13,8,0.25,0,1,0.0,3,0.667,6,2,1,0,1,4,6,2,17.5,0,0,0,,0,0.0,101.6,95.5,6.1,0.133,0.125,0.25,95.06,0.875,0.125,0.667,0.0,0.0,0.333,0.0,1.0,0.488,0.171,0.174,0.273,0,2,0,2,7,3,4,28,3,4,
2016-10-12,Giannis Antetokounmpo,MIL,IND,G,24:59,0.373,0.31,0.2,0.647,0.2,0.857,0.444,0.0,0.5,0.182,0.364,13,0.462,1,2,0.5,11,0.636,5,6,0,1,4,2,20,1,34.25,0,0,0,,0,0.0,104.8,104.8,0.0,0.429,0.116,0.5,99.91,0.846,0.154,0.5,0.15,0.05,0.5,0.0,1.0,0.558,0.186,0.136,0.095,1,3,0,10,10,2,11,20,2,8,
2016-10-15,Giannis Antetokounmpo,MIL,CHI,F,23:31,0.233,0.294,0.0,0.063,0.375,0.308,0.125,0.333,1.0,0.077,0.275,10,0.7,0,0,0.0,1,0.0,6,4,1,2,1,1,14,-5,32.0,0,0,0,,0,0.0,106.2,121.3,-15.2,0.333,0.176,0.7,96.14,1.0,0.0,1.0,0.0,0.0,0.857,0.571,0.429,0.538,0.35,0.108,0.25,0,4,0,12,12,8,0,26,8,3,
2016-10-17,Giannis Antetokounmpo,MIL,DET,G,32:36,0.254,0.19,0.182,0.438,0.194,0.4,0.5,0.0,0.0,0.083,0.35,11,0.636,1,2,0.5,7,0.857,6,4,0,0,5,1,21,-7,31.5,0,0,0,,0,0.0,92.3,108.0,-15.7,0.267,0.097,0.682,93.56,0.818,0.182,0.571,0.143,0.286,0.381,0.143,0.857,0.551,0.327,0.177,0.192,6,4,0,8,12,4,15,20,4,6,
2016-10-19,Giannis Antetokounmpo,MIL,IND,G,31:20,0.305,0.25,0.133,0.5,0.214,0.278,0.333,0.25,0.667,0.214,0.27,11,0.545,0,2,0.0,11,0.727,6,5,1,2,6,3,20,3,36.75,0,0,0,,0,0.0,111.0,116.1,-5.1,0.263,0.13,0.545,97.9,0.818,0.182,0.6,0.0,0.2,0.6,0.667,0.333,0.527,0.255,0.082,0.179,4,6,4,12,19,4,15,28,4,8,
2015-10-30,Giannis Antetokounmpo,MIL,WAS,F,34:09,0.32,0.242,0.167,0.526,0.391,0.087,0.667,0.375,0.0,0.316,0.346,15,0.6,1,3,0.333,10,0.8,9,2,3,0,6,6,27,-10,44.25,13,59,32,0.0625,11,0.636,104.9,116.6,-11.8,0.095,0.167,0.633,105.28,0.8,0.2,0.593,0.111,0.296,0.593,0.667,0.333,0.613,0.491,0.225,0.25,8,11,3,16,7,5,15,28,5,7,
2015-11-01,Giannis Antetokounmpo,MIL,TOR,F,32:41,0.196,0.24,0.083,0.167,0.36,0.125,0.0,0.0,0.25,0.059,0.303,12,0.667,1,1,1.0,3,1.0,9,2,0,1,0,1,20,-7,36.25,22,51,38,0.0526,10,0.7,104.9,113.2,-8.3,0.143,0.158,0.708,93.55,0.917,0.083,0.7,0.15,0.25,0.7,0.875,0.125,0.5,0.274,0.124,0.394,5,7,0,14,16,12,5,32,12,2,NBA TV
2015-11-02,Giannis Antetokounmpo,MIL,BKN,F,42:12,0.269,0.271,0.176,0.208,0.267,0.158,0.308,0.0,0.286,0.182,0.236,16,0.5,1,3,0.333,5,0.8,8,3,0,2,4,4,21,2,37.25,18,80,54,0.0556,9,0.333,114.7,102.6,12.2,0.125,0.133,0.531,92.34,0.813,0.188,0.667,0.143,0.19,0.667,0.625,0.375,0.493,0.278,0.153,0.265,4,4,4,14,13,9,14,30,9,4,
2015-11-04,Giannis Antetokounmpo,MIL,PHI,F,40:32,0.178,0.155,0.059,0.188,0.179,0.158,0.375,0.2,0.25,0.125,0.224,11,0.636,1,1,1.0,3,0.667,5,3,1,1,3,2,17,0,30.0,11,59,42,0.0714,7,0.571,93.8,94.3,-0.5,0.136,0.068,0.682,95.71,0.909,0.091,0.706,0.176,0.412,0.588,0.571,0.429,0.463,0.221,0.199,0.303,7,7,0,10,9,19,18,44,19,5,
