DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Goran Dragic,MIA,WAS,G,21:36,0.201,0.175,0.167,0.0,0.12,0.313,0.429,1.0,0.25,0.25,0.158,7,0.571,1,2,0.5,0,0.0,3,5,2,1,3,2,9,16,24.0,0,0,0,,0,0.0,122.2,89.2,33.0,0.238,0.07,0.643,102.89,0.714,0.286,0.667,0.333,0.222,0.667,0.25,0.75,0.4,0.2,0.065,0.214,2,2,0,6,5,4,2,20,4,1,
2016-10-08,Goran Dragic,MIA,MIN,G,26:37,0.267,0.289,0.222,0.167,0.045,0.333,0.25,0.0,0.0,0.2,0.254,13,0.462,1,2,0.5,3,1.0,1,5,0,0,3,4,16,-8,22.5,0,0,0,,0,0.0,101.7,117.3,-15.6,0.294,0.02,0.5,110.4,0.846,0.154,0.625,0.188,0.125,0.375,0.5,0.5,0.46,0.66,0.083,0.321,2,2,0,6,17,13,18,24,13,1,
2016-10-11,Goran Dragic,MIA,BKN,G,29:00,0.209,0.211,0.167,0.143,0.114,0.611,0.222,0.333,0.0,0.143,0.21,12,0.583,2,3,0.667,1,1.0,4,11,1,0,2,2,17,30,37.75,0,0,0,,0,0.0,128.4,86.2,42.2,0.423,0.074,0.667,101.16,0.75,0.25,0.588,0.353,0.0,0.588,0.143,0.857,0.4,0.28,0.101,0.094,0,4,0,10,4,0,2,18,0,2,NBA TV
2016-10-14,Goran Dragic,MIA,SAS,G,23:53,0.163,0.163,0.188,0.133,0.105,0.429,0.2,0.4,0.0,0.273,0.085,7,0.286,0,3,0.0,2,0.5,2,6,2,0,1,3,5,14,18.5,0,0,0,,0,0.0,116.6,93.2,23.4,0.3,0.043,0.286,99.36,0.571,0.429,0.8,0.0,1.0,0.8,0.0,1.0,0.413,0.3,0.228,0.348,5,3,0,4,4,4,10,20,4,2,
2016-10-18,Goran Dragic,MIA,ORL,G,27:06,0.254,0.271,0.364,0.0,0.167,0.385,0.25,0.0,0.2,0.222,0.315,13,0.615,1,4,0.25,0,0.0,4,5,0,1,2,2,17,8,29.75,0,0,0,,0,0.0,98.0,82.4,15.7,0.357,0.08,0.654,98.23,0.692,0.308,0.824,0.176,0.353,0.471,0.625,0.375,0.385,0.229,0.161,0.231,6,6,0,8,6,10,2,24,10,0,
2016-10-21,Goran Dragic,MIA,PHI,G,25:23,0.215,0.15,0.0,0.381,0.217,0.7,0.333,0.0,0.25,0.056,0.243,6,0.833,0,0,0.0,8,0.875,5,7,0,2,3,1,17,6,34.5,0,0,0,,0,0.0,124.5,107.8,16.6,0.333,0.116,0.833,109.3,1.0,0.0,0.588,0.0,0.0,0.471,0.2,0.8,0.472,0.358,0.118,0.3,0,0,0,8,7,16,3,28,16,7,
2015-10-28,Goran Dragic,MIA,CHA,G,30:54,0.145,0.16,0.0,0.0,0.037,0.429,0.143,0.0,0.286,0.286,0.127,8,0.5,0,0,0.0,0,0.0,1,6,0,2,1,4,8,2,20.25,4,76,64,0.0938,6,0.667,104.5,101.1,3.5,0.3,0.018,0.5,93.7,1.0,0.0,1.0,0.0,0.25,1.0,0.25,0.75,0.435,0.352,0.066,0.194,2,4,0,8,8,10,4,32,10,1,
2015-10-30,Goran Dragic,MIA,CLE,G,33:36,0.161,0.164,0.214,0.222,0.1,0.375,0.1,0.2,0.0,0.25,0.151,9,0.333,1,3,0.333,4,1.0,3,6,1,0,1,3,11,9,24.25,4,71,55,0.1091,6,0.333,105.9,98.4,7.5,0.261,0.046,0.389,95.69,0.667,0.333,0.364,0.273,0.182,0.364,0.0,1.0,0.417,0.267,0.154,0.316,2,2,0,4,8,10,5,30,10,4,ESPN
2015-11-01,Goran Dragic,MIA,HOU,G,24:17,0.158,0.167,0.083,0.167,0.15,0.545,0.111,0.167,0.0,0.444,0.157,7,0.429,0,1,0.0,2,1.0,3,6,1,0,1,4,8,-6,20.75,5,55,42,0.1429,5,0.6,97.6,112.1,-14.6,0.375,0.079,0.429,101.92,0.857,0.143,0.75,0.0,0.25,0.75,0.333,0.667,0.615,0.282,0.177,0.111,2,2,2,6,11,5,4,22,5,3,
2015-11-03,Goran Dragic,MIA,ATL,G,32:10,0.223,0.193,0.263,0.333,0.152,0.2,0.308,0.6,0.125,0.2,0.268,11,0.545,3,5,0.6,4,1.0,5,2,3,1,4,2,19,2,35.25,6,78,58,0.0345,6,0.333,107.1,105.9,1.2,0.087,0.077,0.682,98.07,0.545,0.455,0.316,0.474,0.211,0.211,0.5,0.5,0.469,0.219,0.107,0.333,4,2,2,4,19,13,9,42,13,2,NBA TV
