DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Gordon Hayward,UTA,POR,F,18:23,0.315,0.281,0.6,0.5,0.115,0.0,0.286,1.0,0.0,0.0,0.447,9,0.444,2,3,0.667,8,0.875,3,0,1,0,2,0,17,-1,22.75,0,0,0,,0,0.0,99.9,104.5,-4.6,0.0,0.077,0.556,98.38,0.667,0.333,0.235,0.353,0.118,0.0,0.75,0.25,0.559,0.088,0.054,0.0,2,2,0,0,12,0,7,14,0,3,NBA TV
2016-10-05,Gordon Hayward,UTA,PHX,F,22:05,0.255,0.25,0.0,0.222,0.2,0.091,0.3,0.286,0.0,0.125,0.273,9,0.667,0,0,0.0,4,0.75,4,1,2,0,3,1,15,7,23.75,0,0,0,,0,0.0,112.4,97.6,14.9,0.071,0.103,0.667,106.64,1.0,0.0,0.8,0.0,0.133,0.667,0.5,0.5,0.478,0.109,0.183,0.348,2,4,0,10,12,9,7,26,9,1,NBA TV
2015-10-28,Gordon Hayward,UTA,DET,F,35:27,0.237,0.2,0.182,0.353,0.138,0.071,0.333,0.333,0.25,0.167,0.194,11,0.455,0,2,0.0,6,0.5,4,1,1,1,4,3,13,1,21.25,9,52,35,0.0286,9,0.444,95.1,94.0,1.1,0.045,0.073,0.455,95.27,0.818,0.182,0.769,0.0,0.538,0.615,0.2,0.8,0.49,0.404,0.157,0.074,7,2,0,8,8,3,4,28,3,5,
2015-10-30,Gordon Hayward,UTA,PHI,F,31:10,0.224,0.218,0.5,0.273,0.219,0.333,0.2,0.143,0.0,0.133,0.182,12,0.25,1,3,0.333,6,0.833,7,4,1,0,1,2,12,16,27.75,10,59,40,0.1,4,0.5,107.0,82.0,25.0,0.211,0.119,0.292,94.47,0.75,0.25,0.333,0.25,0.167,0.333,0.333,0.667,0.384,0.581,0.213,0.2,2,3,0,4,5,7,4,16,7,4,
2015-10-31,Gordon Hayward,UTA,IND,F,28:15,0.208,0.212,0.375,0.083,0.0,0.273,0.25,0.125,0.0,0.222,0.2,11,0.364,2,3,0.667,1,1.0,0,3,1,0,3,4,11,12,16.25,3,48,30,0.1,4,0.25,94.4,75.5,18.8,0.176,0.0,0.455,97.86,0.727,0.273,0.364,0.545,0.182,0.364,0.75,0.25,0.337,0.419,0.193,0.185,2,0,0,4,10,13,11,14,13,4,
2015-11-04,Gordon Hayward,UTA,POR,F,37:50,0.293,0.303,0.278,0.261,0.074,0.0,0.25,0.0,0.0,0.118,0.264,20,0.35,1,5,0.2,6,0.667,2,0,0,0,2,2,19,-19,21.0,7,71,43,0.0,11,0.273,97.1,117.5,-20.4,0.0,0.031,0.375,96.13,0.75,0.25,0.632,0.158,0.211,0.316,0.143,0.857,0.635,0.413,0.181,0.393,4,0,0,6,5,15,12,40,15,8,
2015-11-05,Gordon Hayward,UTA,DEN,F,33:56,0.209,0.217,0.263,0.308,0.103,0.167,0.0,0.25,0.0,0.1,0.294,13,0.538,2,5,0.4,4,1.0,3,3,1,0,0,2,20,8,30.5,9,74,56,0.0536,7,0.714,108.4,99.8,8.6,0.158,0.049,0.615,86.89,0.615,0.385,0.5,0.3,0.3,0.3,0.714,0.286,0.469,0.469,0.15,0.276,6,5,3,6,4,11,8,24,11,2,
2015-11-07,Gordon Hayward,UTA,MEM,F,35:03,0.198,0.196,0.235,0.333,0.167,0.308,0.133,0.0,0.167,0.143,0.265,10,0.6,2,4,0.5,6,0.667,6,4,0,1,2,2,18,9,32.5,14,59,41,0.0976,3,0.333,101.6,80.0,21.6,0.235,0.09,0.7,96.32,0.6,0.4,0.444,0.333,0.333,0.222,0.333,0.667,0.356,0.197,0.163,0.256,6,4,0,4,6,4,9,30,4,6,NBA TV
2015-11-10,Gordon Hayward,UTA,CLE,F,34:35,0.251,0.254,0.167,0.2,0.125,0.2,0.273,0.2,0.0,0.208,0.2,16,0.375,1,3,0.333,4,1.0,3,4,2,0,3,5,17,-7,28.75,7,56,33,0.1212,11,0.273,116.8,126.7,-9.9,0.167,0.062,0.406,100.93,0.813,0.188,0.588,0.176,0.353,0.471,0.667,0.333,0.713,0.66,0.22,0.222,6,2,4,8,10,5,11,30,5,4,
2015-11-12,Gordon Hayward,UTA,MIA,F,37:53,0.314,0.304,0.25,0.48,0.314,0.273,0.2,0.0,0.0,0.105,0.312,21,0.333,0,4,0.0,12,0.833,11,3,0,0,2,2,24,8,40.5,18,63,32,0.0938,12,0.333,96.3,91.2,5.1,0.15,0.157,0.333,98.63,0.81,0.19,0.583,0.0,0.167,0.5,0.429,0.571,0.491,0.386,0.198,0.194,4,2,2,12,13,7,10,30,7,6,
2015-11-13,Gordon Hayward,UTA,ORL,F,29:40,0.284,0.269,0.267,0.444,0.182,0.357,0.3,0.167,0.0,0.167,0.327,14,0.429,1,4,0.25,4,0.75,4,5,1,0,3,2,16,-17,28.25,5,57,37,0.1351,9,0.556,80.4,108.1,-27.7,0.357,0.074,0.464,98.7,0.714,0.286,0.625,0.188,0.375,0.5,0.5,0.5,0.532,0.34,0.213,0.261,6,6,0,8,12,8,4,12,8,3,
2015-11-15,Gordon Hayward,UTA,ATL,F,38:02,0.157,0.145,0.235,0.143,0.171,0.125,0.214,0.0,0.0,0.077,0.089,9,0.333,0,4,0.0,2,0.5,6,2,0,0,3,1,7,3,15.5,9,63,48,0.0417,6,0.5,109.5,110.1,-0.6,0.069,0.097,0.333,89.1,0.556,0.444,0.857,0.0,0.571,0.286,0.667,0.333,0.534,0.271,0.159,0.242,4,2,3,2,15,7,11,24,7,1,
2015-11-18,Gordon Hayward,UTA,TOR,F,35:19,0.241,0.288,0.313,0.15,0.241,0.083,0.091,0.0,0.333,0.308,0.233,15,0.4,2,5,0.4,3,1.0,7,1,0,1,1,4,17,9,29.5,11,61,40,0.025,9,0.444,107.7,95.6,12.1,0.048,0.123,0.467,91.58,0.667,0.333,0.471,0.353,0.0,0.353,0.667,0.333,0.459,0.148,0.149,0.242,0,2,2,6,11,9,4,30,9,3,
2015-11-20,Gordon Hayward,UTA,DAL,F,38:24,0.233,0.23,0.222,0.286,0.189,0.308,0.214,0.25,0.0,0.111,0.289,14,0.571,2,4,0.5,6,0.667,7,4,1,0,3,2,22,-8,37.25,7,66,42,0.0952,5,0.4,108.2,113.1,-4.9,0.211,0.111,0.643,90.31,0.714,0.286,0.545,0.273,0.091,0.273,0.625,0.375,0.545,0.179,0.108,0.207,2,2,5,6,12,11,9,38,11,5,
2015-11-23,Gordon Hayward,UTA,OKC,F,30:10,0.233,0.224,0.3,0.333,0.136,0.4,0.167,0.222,0.0,0.167,0.317,11,0.455,1,3,0.333,9,0.889,3,4,2,0,2,2,19,-13,31.25,6,63,44,0.0909,4,0.5,89.7,117.7,-28.0,0.286,0.065,0.5,102.57,0.727,0.273,0.421,0.158,0.316,0.316,0.4,0.6,0.617,0.34,0.193,0.2,6,4,3,6,12,4,28,34,4,5,
2015-11-25,Gordon Hayward,UTA,LAC,F,40:03,0.331,0.328,0.538,0.348,0.206,0.111,0.333,0.3,0.0,0.143,0.347,22,0.5,5,7,0.714,8,0.75,7,2,3,0,4,2,33,22,50.75,9,83,52,0.0385,8,0.375,118.6,97.1,21.4,0.08,0.111,0.614,93.05,0.682,0.318,0.364,0.455,0.212,0.242,0.545,0.455,0.516,0.226,0.213,0.265,7,0,6,8,7,8,10,28,8,6,
2015-11-28,Gordon Hayward,UTA,NOP,F,35:37,0.266,0.259,0.214,0.278,0.029,0.143,0.3,0.222,0.0,0.0,0.221,15,0.4,1,3,0.333,5,0.8,1,2,2,0,3,0,17,15,23.75,5,67,44,0.0455,7,0.429,110.1,87.4,22.7,0.091,0.017,0.433,94.9,0.8,0.2,0.588,0.176,0.0,0.588,0.5,0.5,0.462,0.346,0.183,0.067,0,2,0,10,16,0,12,24,0,5,
2015-11-30,Gordon Hayward,UTA,GSW,F,37:50,0.258,0.268,0.313,0.235,0.2,0.25,0.167,0.0,0.0,0.083,0.286,19,0.474,2,5,0.4,4,1.0,6,4,0,0,1,1,24,3,37.0,8,75,47,0.0851,10,0.6,109.8,114.1,-4.3,0.174,0.095,0.526,93.53,0.737,0.263,0.583,0.25,0.083,0.333,0.556,0.444,0.561,0.136,0.155,0.313,2,2,5,8,10,20,3,26,20,5,
2015-12-03,Gordon Hayward,UTA,ORL,F,38:33,0.267,0.236,0.32,0.35,0.167,0.267,0.316,0.5,0.0,0.364,0.32,13,0.538,4,8,0.5,7,0.857,5,4,2,0,6,4,24,-10,38.25,11,68,42,0.0952,5,0.6,92.8,106.5,-13.6,0.235,0.078,0.692,100.01,0.385,0.615,0.25,0.5,0.167,0.167,0.429,0.571,0.5,0.149,0.125,0.243,4,5,3,4,18,12,15,40,12,7,
2015-12-05,Gordon Hayward,UTA,IND,F,43:28,0.221,0.187,0.421,0.286,0.119,0.313,0.364,0.4,0.0,0.125,0.218,14,0.357,3,8,0.375,10,0.9,5,5,2,0,4,3,22,-4,38.0,7,79,52,0.0962,5,0.2,118.3,113.2,5.1,0.172,0.064,0.464,98.39,0.429,0.571,0.182,0.409,0.227,0.182,0.2,0.8,0.546,0.382,0.151,0.278,5,4,3,4,23,11,15,36,11,10,
