DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Greg Monroe,MIL,CHI,,17:26,0.381,0.481,0.0,0.143,0.409,0.125,0.25,0.5,0.6,0.0,0.357,13,0.538,0,0,0.0,3,0.333,9,1,2,3,1,0,15,10,37.0,0,0,0,,0,0.0,122.7,84.7,37.9,0.2,0.257,0.538,99.12,1.0,0.0,0.933,0.0,0.4,0.8,0.429,0.571,0.5,0.129,0.185,0.111,6,4,2,12,4,4,0,16,4,4,NBA TV
2016-10-08,Greg Monroe,MIL,DAL,C,19:27,0.269,0.231,0.0,0.4,0.263,0.0,0.5,0.667,0.0,0.333,0.267,9,0.444,0,0,0.0,4,1.0,5,0,4,0,2,3,12,9,25.25,0,0,0,,0,0.0,111.4,90.8,20.6,0.0,0.128,0.444,98.76,1.0,0.0,0.667,0.0,0.0,0.667,0.5,0.5,0.485,0.176,0.227,0.333,0,2,2,8,7,3,2,26,3,3,
2016-10-12,Greg Monroe,MIL,IND,,17:30,0.252,0.32,0.0,0.1,0.286,0.0,0.125,1.0,0.0,0.111,0.227,8,0.25,0,0,0.0,1,1.0,4,0,2,0,1,1,5,-16,13.5,0,0,0,,0,0.0,62.1,103.1,-41.0,0.0,0.105,0.25,99.07,1.0,0.0,0.8,0.0,0.6,0.8,1.0,0.0,0.47,0.333,0.136,0.333,3,3,0,4,11,6,8,14,6,3,
2016-10-17,Greg Monroe,MIL,DET,,22:36,0.365,0.442,0.0,0.0,0.333,0.143,0.0,0.333,0.5,0.167,0.324,19,0.316,0,0,0.0,0,0.0,8,1,1,1,0,1,12,-1,27.25,0,0,0,,0,0.0,83.9,93.8,-9.8,0.111,0.174,0.316,89.84,1.0,0.0,1.0,0.0,0.167,1.0,0.5,0.5,0.471,0.229,0.148,0.2,2,0,4,12,9,2,7,14,2,2,
2016-10-19,Greg Monroe,MIL,IND,,22:41,0.169,0.2,0.0,0.0,0.308,0.417,0.111,0.333,0.25,0.0,0.041,8,0.125,0,0,0.0,0,0.0,8,5,2,1,1,0,2,19,23.75,0,0,0,,0,0.0,105.6,67.2,38.4,0.294,0.178,0.125,96.32,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.305,0.146,0.157,0.24,0,0,0,2,7,4,11,16,4,1,
2015-10-28,Greg Monroe,MIL,NYK,C,34:31,0.256,0.283,0.0,0.455,0.412,0.333,0.0,0.5,1.0,0.176,0.324,17,0.412,0,0,0.0,10,0.8,14,4,2,2,0,3,22,-15,52.5,23,58,37,0.1081,11,0.273,93.6,115.1,-21.5,0.286,0.203,0.412,100.66,1.0,0.0,0.636,0.0,0.091,0.545,0.571,0.429,0.485,0.343,0.111,0.361,2,0,9,12,18,12,11,34,12,6,
2015-10-30,Greg Monroe,MIL,WAS,C,34:56,0.216,0.237,0.0,0.107,0.227,0.12,0.222,0.25,0.0,0.118,0.247,14,0.714,0,0,0.0,3,0.667,5,3,2,0,2,2,22,3,35.0,7,67,48,0.0625,10,0.7,119.8,118.7,1.0,0.143,0.106,0.714,100.83,1.0,0.0,0.909,0.0,0.273,0.818,0.8,0.2,0.663,0.531,0.248,0.273,6,2,5,18,11,5,10,20,5,3,
2015-11-01,Greg Monroe,MIL,TOR,C,28:24,0.189,0.184,0.0,0.25,0.3,0.385,0.167,0.333,0.667,0.357,0.259,7,0.714,0,0,0.0,4,1.0,6,5,1,2,2,5,14,-18,32.75,19,54,40,0.125,5,0.6,101.8,128.5,-26.7,0.385,0.15,0.714,92.18,1.0,0.0,0.714,0.0,0.286,0.714,0.4,0.6,0.633,0.327,0.107,0.273,4,2,2,10,17,12,7,32,12,5,NBA TV
2015-11-02,Greg Monroe,MIL,BKN,C,39:25,0.232,0.241,0.0,0.167,0.433,0.056,0.25,0.2,0.143,0.222,0.264,14,0.714,0,0,0.0,4,0.75,13,1,1,1,2,4,23,13,43.5,21,65,46,0.0217,12,0.667,121.6,95.5,26.1,0.048,0.213,0.714,90.75,1.0,0.0,0.87,0.0,0.261,0.522,0.4,0.6,0.469,0.262,0.181,0.265,6,0,0,12,8,6,9,22,6,4,
2015-11-04,Greg Monroe,MIL,PHI,C,36:16,0.228,0.212,0.0,0.385,0.296,0.235,0.25,0.6,0.0,0.25,0.265,14,0.5,0,0,0.0,5,0.8,8,4,3,0,2,3,18,6,38.0,15,63,44,0.0909,12,0.5,92.2,87.7,4.6,0.211,0.123,0.5,95.57,1.0,0.0,0.778,0.0,0.111,0.778,0.571,0.429,0.447,0.228,0.226,0.276,2,0,4,14,9,9,15,32,9,6,
