DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Harrison Barnes,DAL,NOP,F,17:54,0.248,0.258,0.333,0.4,0.0,0.333,0.0,0.0,0.5,0.167,0.343,8,0.375,2,4,0.5,4,1.0,0,2,0,1,0,1,12,-8,17.5,0,0,0,,0,0.0,98.9,111.3,-12.4,0.222,0.0,0.5,99.27,0.5,0.5,0.167,0.5,0.0,0.167,0.667,0.333,0.576,0.182,0.129,0.133,0,0,2,2,7,4,5,14,4,2,
2016-10-03,Harrison Barnes,DAL,CHA,F,16:32,0.275,0.303,0.308,0.0,0.133,0.25,0.0,0.333,0.0,0.4,0.081,10,0.1,1,4,0.25,0,0.0,2,2,1,0,0,4,3,10,10.5,0,0,0,,0,0.0,107.8,82.8,25.0,0.143,0.059,0.15,97.14,0.6,0.4,0.0,1.0,1.0,0.0,1.0,0.0,0.346,0.577,0.153,0.278,3,0,0,0,3,6,2,10,6,3,
2016-10-08,Harrison Barnes,DAL,MIL,F,19:10,0.319,0.394,0.273,0.0,0.28,0.143,0.182,0.0,0.0,0.125,0.231,13,0.231,0,3,0.0,0,0.0,7,1,0,0,2,1,6,-8,15.0,0,0,0,,0,0.0,64.9,86.0,-21.2,0.143,0.159,0.231,99.67,0.769,0.231,1.0,0.0,0.333,1.0,0.667,0.333,0.389,0.222,0.101,0.182,2,2,0,6,16,2,9,12,2,1,
2016-10-11,Harrison Barnes,DAL,OKC,F,18:04,0.117,0.129,0.167,0.182,0.083,0.0,0.0,0.333,0.0,0.143,0.105,4,0.25,0,2,0.0,2,1.0,2,0,1,0,0,1,4,12,8.5,0,0,0,,0,0.0,103.1,68.3,34.9,0.0,0.043,0.25,99.52,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.0,0.27,0.189,0.184,0.321,2,0,0,2,7,7,5,6,7,1,
2016-10-14,Harrison Barnes,DAL,PHX,F,19:38,0.165,0.184,0.0,0.143,0.222,0.0,0.1,0.0,0.0,0.1,0.171,7,0.429,0,0,0.0,1,1.0,6,0,0,0,1,1,7,-6,14.0,0,0,0,,0,0.0,95.2,107.1,-11.9,0.0,0.14,0.429,106.3,1.0,0.0,0.857,0.0,0.286,0.857,1.0,0.0,0.523,0.047,0.091,0.174,2,2,5,6,13,5,17,12,5,2,
2016-10-19,Harrison Barnes,DAL,HOU,F,27:47,0.23,0.191,0.2,0.5,0.167,0.0,0.286,0.0,0.0,0.308,0.167,9,0.111,0,3,0.0,6,1.0,3,0,0,0,2,4,8,-21,10.75,0,0,0,,0,0.0,86.8,127.7,-40.9,0.0,0.061,0.111,94.43,0.667,0.333,0.25,0.0,0.25,0.0,0.0,1.0,0.606,0.34,0.148,0.364,2,2,0,0,12,7,16,24,7,5,
2016-10-21,Harrison Barnes,DAL,DEN,F,26:15,0.175,0.237,0.222,0.111,0.231,0.0,0.0,0.5,0.0,0.059,0.222,9,0.444,0,2,0.0,1,0.0,3,0,1,0,0,1,8,-29,13.75,0,0,0,,0,0.0,69.3,121.3,-52.0,0.0,0.079,0.444,96.51,0.778,0.222,1.0,0.0,0.25,0.25,0.25,0.75,0.638,0.375,0.205,0.267,2,2,0,2,14,9,11,26,9,4,
2015-10-27,Harrison Barnes,GSW,NOP,F,32:42,0.169,0.174,0.217,0.167,0.257,0.13,0.125,0.25,0.0,0.188,0.095,12,0.25,1,5,0.2,2,0.5,9,3,1,0,1,3,8,17,25.0,12,54,41,0.0732,5,0.2,121.2,93.3,27.9,0.1,0.161,0.292,103.55,0.583,0.417,0.5,0.375,0.625,0.25,1.0,0.0,0.5,0.37,0.167,0.12,5,0,3,2,12,4,11,28,4,2,TNT
2015-10-30,Harrison Barnes,GSW,HOU,F,26:28,0.185,0.196,0.071,0.182,0.227,0.167,0.0,0.0,0.0,0.143,0.194,10,0.5,0,1,0.0,2,1.0,5,2,0,0,0,2,12,11,20.75,12,40,27,0.0741,4,0.75,117.3,94.2,23.1,0.105,0.106,0.5,96.99,0.9,0.1,0.833,0.0,0.167,0.5,0.4,0.6,0.427,0.561,0.185,0.304,2,0,0,6,3,7,9,20,7,2,ESPN
2015-10-31,Harrison Barnes,GSW,NOP,F,32:14,0.16,0.179,0.1,0.045,0.318,0.105,0.167,0.0,0.0,0.111,0.113,10,0.5,0,2,0.0,1,1.0,7,2,0,0,1,2,11,11,21.75,12,40,29,0.069,5,0.4,137.2,117.0,20.2,0.071,0.132,0.5,107.35,0.8,0.2,0.909,0.0,0.182,0.364,0.8,0.2,0.53,0.258,0.136,0.323,2,0,0,4,7,13,9,38,13,1,NBA TV
2015-11-02,Harrison Barnes,GSW,MEM,F,20:09,0.168,0.139,0.1,0.571,0.13,0.267,0.143,0.333,0.0,0.0,0.148,5,0.4,0,1,0.0,4,1.0,3,4,1,0,1,0,8,23,18.25,9,24,16,0.25,1,0.0,125.3,72.2,53.2,0.211,0.073,0.4,102.48,0.8,0.2,0.5,0.0,0.25,0.25,1.0,0.0,0.288,0.225,0.116,0.231,2,4,2,2,4,6,3,12,6,2,NBA TV
2015-11-04,Harrison Barnes,GSW,LAC,F,35:39,0.151,0.138,0.167,0.208,0.281,0.13,0.167,0.0,0.2,0.056,0.183,8,0.625,2,3,0.667,5,1.0,9,3,0,1,2,1,17,14,34.0,16,36,22,0.1364,1,1.0,124.7,103.3,21.4,0.111,0.164,0.75,101.68,0.625,0.375,0.353,0.353,0.0,0.353,1.0,0.0,0.515,0.25,0.118,0.235,0,4,3,6,13,10,13,38,10,4,ESPN
2015-11-06,Harrison Barnes,GSW,DEN,F,30:59,0.18,0.224,0.182,0.176,0.143,0.04,0.0,0.143,0.0,0.2,0.292,13,0.615,2,4,0.5,3,1.0,5,1,1,0,0,3,21,6,31.5,9,49,33,0.0303,5,0.4,105.1,95.9,9.3,0.053,0.082,0.692,106.37,0.692,0.308,0.571,0.286,0.286,0.286,1.0,0.0,0.509,0.193,0.189,0.2,6,8,7,6,16,3,13,26,3,2,
2015-11-07,Harrison Barnes,GSW,SAC,F,31:51,0.245,0.274,0.28,0.375,0.063,0.25,0.0,0.25,0.0,0.3,0.206,17,0.235,0,7,0.0,6,0.833,2,4,2,0,0,3,13,0,24.5,8,54,35,0.1143,6,0.333,91.3,92.1,-0.9,0.222,0.033,0.235,103.55,0.588,0.412,0.615,0.0,0.154,0.462,0.75,0.25,0.482,0.175,0.175,0.192,2,4,2,6,10,2,10,40,2,5,
2015-11-09,Harrison Barnes,GSW,DET,F,28:26,0.184,0.174,0.25,0.0,0.095,0.105,0.273,0.0,0.0,0.091,0.197,8,0.625,2,3,0.667,0,0.0,2,2,0,0,3,1,12,15,16.5,7,32,21,0.0952,4,0.5,107.7,78.4,29.3,0.1,0.047,0.75,97.29,0.625,0.375,0.5,0.5,0.0,0.333,0.8,0.2,0.449,0.122,0.239,0.28,0,7,0,4,8,10,2,30,10,2,
2015-11-11,Harrison Barnes,GSW,MEM,F,31:34,0.207,0.208,0.063,0.263,0.19,0.2,0.167,0.3,0.2,0.278,0.244,11,0.636,1,1,1.0,5,0.8,4,3,3,1,2,5,19,24,35.25,6,43,28,0.1071,6,0.667,114.1,83.5,30.6,0.143,0.083,0.682,101.17,0.909,0.091,0.632,0.158,0.316,0.526,0.429,0.571,0.386,0.5,0.278,0.304,6,2,2,10,7,7,6,22,7,5,
2015-11-12,Harrison Barnes,GSW,MIN,F,34:41,0.203,0.215,0.269,0.111,0.182,0.045,0.143,0.167,0.167,0.158,0.175,14,0.429,2,7,0.286,1,0.0,4,1,1,1,1,3,14,-3,24.75,9,49,33,0.0303,6,0.667,114.4,114.6,-0.2,0.042,0.065,0.5,98.54,0.5,0.5,0.571,0.429,0.429,0.571,0.833,0.167,0.5,0.406,0.138,0.448,6,0,2,8,9,24,6,32,24,1,TNT
2015-11-14,Harrison Barnes,GSW,BKN,F,31:21,0.174,0.145,0.0,1.0,0.107,0.0,0.143,0.2,0.0,0.083,0.206,8,0.5,0,0,0.0,5,1.0,3,0,1,0,1,1,13,7,18.25,8,35,24,0.0,4,0.5,108.2,95.5,12.7,0.0,0.052,0.5,89.45,1.0,0.0,0.615,0.0,0.308,0.308,0.5,0.5,0.455,0.109,0.136,0.241,4,2,2,4,11,8,9,28,8,3,
2015-11-17,Harrison Barnes,GSW,TOR,F,32:05,0.066,0.089,0.118,0.0,0.167,0.043,0.0,0.0,0.0,0.158,0.088,5,0.6,1,2,0.5,0,0.0,4,1,0,0,0,3,7,8,13.75,8,46,41,0.0244,2,0.5,114.9,103.3,11.6,0.036,0.085,0.7,104.19,0.6,0.4,0.571,0.429,0.0,0.286,1.0,0.0,0.518,0.4,0.158,0.25,0,2,0,2,14,8,10,40,8,0,NBA TV
2015-11-19,Harrison Barnes,GSW,LAC,F,35:08,0.199,0.268,0.217,0.0,0.212,0.043,0.071,0.0,0.0,0.063,0.223,15,0.6,3,5,0.6,0,0.0,7,1,0,0,1,1,21,10,32.0,14,41,24,0.0417,5,0.4,127.8,115.9,11.9,0.05,0.119,0.7,99.76,0.667,0.333,0.571,0.429,0.095,0.381,0.778,0.222,0.57,0.266,0.11,0.212,2,2,0,8,19,9,11,30,9,1,TNT
