DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Hassan Whiteside,MIA,WAS,C,23:02,0.295,0.293,0.0,0.625,0.464,0.0,0.143,0.0,0.75,0.25,0.333,12,0.75,0,0,0.0,5,0.4,13,0,0,3,1,2,20,19,41.75,0,0,0,,0,0.0,123.7,83.7,39.9,0.0,0.277,0.75,101.57,1.0,0.0,0.9,0.0,0.0,0.7,0.778,0.222,0.375,0.188,0.061,0.194,0,2,0,14,5,4,2,20,4,4,
2016-10-08,Hassan Whiteside,MIA,MIN,C,26:37,0.234,0.222,0.0,0.278,0.545,0.0,0.25,0.5,0.6,0.2,0.27,10,0.7,0,0,0.0,5,0.6,12,0,1,3,3,4,17,-8,38.5,0,0,0,,0,0.0,101.7,117.3,-15.6,0.0,0.235,0.7,110.4,1.0,0.0,0.824,0.0,0.0,0.706,0.857,0.143,0.46,0.66,0.083,0.321,0,0,6,12,17,13,18,24,13,3,
2016-10-11,Hassan Whiteside,MIA,BKN,C,22:48,0.281,0.283,0.0,0.571,0.483,0.063,0.143,0.5,0.667,0.3,0.318,13,0.692,0,0,0.0,4,0.75,14,1,1,4,1,3,21,24,49.25,0,0,0,,0,0.0,129.2,88.8,40.4,0.056,0.311,0.692,103.54,1.0,0.0,0.857,0.0,0.19,0.857,0.667,0.333,0.4,0.3,0.106,0.111,4,0,6,18,4,0,2,12,0,5,NBA TV
2016-10-14,Hassan Whiteside,MIA,SAS,C,21:43,0.25,0.2,0.0,0.455,0.529,0.071,0.5,0.0,1.0,0.3,0.214,8,0.625,0,0,0.0,5,0.4,9,1,0,1,2,3,12,14,25.5,0,0,0,,0,0.0,124.9,97.0,27.8,0.059,0.22,0.625,97.39,1.0,0.0,0.833,0.0,0.0,0.833,1.0,0.0,0.431,0.333,0.208,0.35,0,0,1,10,6,4,8,18,4,3,
2016-10-20,Hassan Whiteside,MIA,CHA,C,14:57,0.227,0.214,0.0,0.5,0.429,0.0,0.2,0.0,0.667,0.167,0.182,6,0.167,0,0,0.0,2,1.0,6,0,0,2,1,1,4,-13,15.0,0,0,0,,0,0.0,73.9,120.4,-46.4,0.0,0.176,0.167,94.46,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.483,0.233,0.103,0.438,0,0,4,2,4,8,4,16,8,1,
2016-10-21,Hassan Whiteside,MIA,PHI,C,23:07,0.224,0.176,0.0,0.556,0.381,0.167,0.111,0.5,0.333,0.188,0.273,6,0.833,0,0,0.0,10,0.5,8,1,1,1,1,3,15,-7,29.75,0,0,0,,0,0.0,114.8,121.5,-6.7,0.059,0.205,0.833,102.74,1.0,0.0,0.667,0.0,0.0,0.667,0.2,0.8,0.543,0.348,0.098,0.28,0,2,4,10,7,11,0,26,11,5,
2015-10-28,Hassan Whiteside,MIA,CHA,C,20:14,0.163,0.133,0.0,0.0,0.316,0.0,0.333,0.0,0.4,0.5,0.091,4,0.5,0,0,0.0,0,0.0,6,0,0,2,2,3,4,4,14.5,14,26,20,0.0,1,0.0,122.6,101.2,21.4,0.0,0.162,0.5,89.44,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.425,0.2,0.076,0.28,0,0,0,4,8,7,6,18,7,0,
2015-10-30,Hassan Whiteside,MIA,CLE,C,36:02,0.142,0.123,0.0,0.2,0.321,0.105,0.2,0.0,0.857,0.143,0.138,7,0.571,0,0,0.0,4,0.75,9,2,0,6,2,2,11,6,35.75,19,48,36,0.0556,6,0.667,109.9,107.4,2.5,0.083,0.141,0.571,94.39,1.0,0.0,0.727,0.0,0.0,0.727,1.0,0.0,0.468,0.29,0.145,0.306,0,3,2,8,10,12,5,32,12,4,ESPN
2015-11-01,Hassan Whiteside,MIA,HOU,C,33:31,0.252,0.25,0.0,0.15,0.517,0.05,0.375,0.333,1.0,0.182,0.291,15,0.8,0,0,0.0,3,0.333,15,1,3,2,3,2,25,20,53.5,22,55,37,0.027,13,0.769,121.5,93.3,28.1,0.05,0.3,0.8,101.34,1.0,0.0,0.96,0.0,0.24,0.96,0.917,0.083,0.528,0.245,0.198,0.08,6,2,5,24,10,5,6,30,5,4,
2015-11-03,Hassan Whiteside,MIA,ATL,C,31:02,0.233,0.231,0.0,0.167,0.467,0.0,0.273,0.0,0.571,0.0,0.343,12,0.917,0,0,0.0,2,0.5,14,0,0,4,3,0,23,-4,47.0,24,50,29,0.0,10,0.9,111.1,114.2,-3.1,0.0,0.23,0.917,94.72,1.0,0.0,0.957,0.0,0.174,0.783,0.364,0.636,0.5,0.226,0.097,0.353,4,0,7,18,19,13,9,42,13,2,NBA TV
2015-11-05,Hassan Whiteside,MIA,MIN,C,29:42,0.244,0.176,0.0,0.167,0.281,0.0,0.538,0.0,0.8,0.417,0.197,9,0.556,0,0,0.0,2,1.0,9,0,0,4,7,5,12,14,27.75,20,37,23,0.0,9,0.556,96.4,73.8,22.6,0.0,0.164,0.556,102.63,1.0,0.0,0.833,0.0,0.167,0.833,1.0,0.0,0.333,0.241,0.126,0.133,2,2,0,10,10,11,7,20,11,3,
2015-11-06,Hassan Whiteside,MIA,IND,C,33:07,0.168,0.182,0.0,0.2,0.5,0.0,0.091,0.25,0.8,0.071,0.163,10,0.4,0,0,0.0,1,0.0,12,0,1,4,1,1,8,-23,32.5,21,51,34,0.0,9,0.444,77.5,112.6,-35.1,0.0,0.218,0.4,92.14,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.554,0.321,0.11,0.269,0,0,2,8,9,10,6,24,10,3,ESPN
2015-11-08,Hassan Whiteside,MIA,TOR,C,24:38,0.33,0.333,0.0,0.714,0.478,0.0,0.0,1.0,0.857,0.2,0.435,15,0.533,0,0,0.0,5,0.8,11,0,1,6,0,2,20,2,47.75,19,41,23,0.0,10,0.7,104.4,103.5,0.9,0.0,0.268,0.533,84.39,1.0,0.0,0.8,0.0,0.15,0.7,0.25,0.75,0.513,0.211,0.094,0.167,3,0,11,14,6,2,2,28,2,4,
2015-11-10,Hassan Whiteside,MIA,LAL,C,27:07,0.236,0.24,0.0,0.375,0.484,0.0,0.0,0.0,0.5,0.143,0.302,12,0.667,0,0,0.0,6,0.5,15,0,0,3,0,1,19,22,43.75,18,42,25,0.0,10,0.7,123.4,78.4,45.1,0.0,0.306,0.667,91.48,1.0,0.0,0.842,0.0,0.316,0.737,0.75,0.25,0.464,0.071,0.21,0.091,6,0,7,14,5,0,6,16,0,5,
2015-11-12,Hassan Whiteside,MIA,UTA,C,29:18,0.217,0.208,0.0,0.5,0.538,0.0,0.167,0.25,0.714,0.214,0.191,10,0.4,0,0,0.0,4,0.25,14,0,1,5,2,3,9,-9,37.5,25,45,31,0.0,7,0.429,80.3,97.8,-17.5,0.0,0.269,0.4,94.82,1.0,0.0,0.889,0.0,0.0,0.889,0.5,0.5,0.426,0.447,0.105,0.192,0,0,5,8,10,9,5,28,9,2,
2015-11-17,Hassan Whiteside,MIA,MIN,C,33:49,0.283,0.259,0.0,0.375,0.378,0.0,0.308,0.0,0.833,0.143,0.301,14,0.714,0,0,0.0,9,0.222,14,0,0,10,4,2,22,10,57.5,27,46,26,0.0,12,0.667,103.5,84.2,19.2,0.0,0.189,0.714,103.16,1.0,0.0,0.909,0.0,0.182,0.909,0.8,0.2,0.343,0.286,0.107,0.286,4,2,2,20,8,15,4,22,15,6,
2015-11-19,Hassan Whiteside,MIA,SAC,C,18:24,0.208,0.189,0.0,0.571,0.385,0.0,0.0,0.333,1.0,0.75,0.353,7,0.571,0,0,0.0,4,1.0,5,0,2,4,0,3,12,-11,30.25,10,23,15,0.0,5,0.4,91.7,113.5,-21.8,0.0,0.161,0.571,100.04,1.0,0.0,0.667,0.0,0.167,0.667,0.75,0.25,0.672,0.188,0.202,0.273,2,0,2,8,0,4,8,30,4,2,
2015-11-21,Hassan Whiteside,MIA,PHI,C,29:22,0.203,0.159,0.0,0.308,0.31,0.0,0.273,0.25,0.727,0.091,0.194,7,0.571,0,0,0.0,8,0.625,9,0,1,8,3,1,13,3,40.75,15,37,24,0.0,6,0.5,110.9,98.2,12.6,0.0,0.17,0.571,102.62,1.0,0.0,0.615,0.0,0.0,0.462,0.75,0.25,0.491,0.259,0.169,0.207,0,2,0,6,16,17,5,26,17,7,
2015-11-23,Hassan Whiteside,MIA,NYK,C,33:50,0.178,0.136,0.0,0.476,0.306,0.077,0.143,0.167,0.833,0.231,0.169,8,0.375,0,0,0.0,10,0.5,11,1,1,5,1,3,11,4,37.5,22,40,29,0.0345,7,0.429,102.8,91.6,11.2,0.048,0.162,0.375,92.1,1.0,0.0,0.545,0.0,0.364,0.545,1.0,0.0,0.407,0.254,0.15,0.273,4,0,1,6,5,11,2,16,11,5,NBA TV
