DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Hollis Thompson,PHI,BOS,,18:01,0.052,0.074,0.25,0.0,0.118,0.0,0.0,0.0,0.25,0.1,0.0,2,0.0,0,2,0.0,0,0.0,2,0,0,1,0,1,0,3,4.5,0,0,0,,0,0.0,84.6,72.5,12.1,0.0,0.059,0.0,100.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.176,0.129,0.167,0,0,0,0,7,0,6,12,0,1,
2016-10-06,Hollis Thompson,PHI,WAS,,29:16,0.173,0.239,0.571,0.0,0.087,0.067,0.0,0.0,0.0,0.125,0.268,11,0.545,3,8,0.375,0,0.0,2,1,0,0,0,2,15,-21,20.25,0,0,0,,0,0.0,97.0,134.5,-37.5,0.067,0.039,0.682,94.27,0.273,0.727,0.4,0.6,0.0,0.133,1.0,0.0,0.555,0.382,0.035,0.346,0,3,0,2,19,13,16,32,13,1,NBA TV
2016-10-08,Hollis Thompson,PHI,CLE,,30:47,0.181,0.186,0.333,0.148,0.088,0.0,0.2,0.0,0.0,0.067,0.12,11,0.182,2,10,0.2,4,0.75,3,0,0,0,1,1,9,0,13.25,0,0,0,,0,0.0,115.6,114.0,1.6,0.0,0.049,0.273,101.89,0.091,0.909,0.0,0.667,0.0,0.0,1.0,0.0,0.545,0.357,0.076,0.148,0,3,3,0,12,9,8,28,9,2,NBA TV
2016-10-11,Hollis Thompson,PHI,MEM,,23:41,0.232,0.211,0.267,0.067,0.15,0.0,0.444,0.0,0.2,0.0,0.111,8,0.25,0,4,0.0,1,1.0,3,0,0,1,4,0,5,-11,8.75,0,0,0,,0,0.0,90.7,111.4,-20.7,0.0,0.065,0.25,101.22,0.5,0.5,0.8,0.0,0.0,0.0,0.5,0.5,0.533,0.267,0.139,0.304,0,0,0,0,10,4,7,16,4,1,
2016-10-13,Hollis Thompson,PHI,WAS,,16:11,0.156,0.13,0.125,0.133,0.158,0.0,0.25,0.0,0.0,0.111,0.31,3,1.0,1,1,1.0,2,1.0,3,0,0,0,2,1,9,-3,12.25,0,0,0,,0,0.0,86.3,93.7,-7.4,0.0,0.083,1.167,100.49,0.667,0.333,0.444,0.333,0.222,0.0,0.333,0.667,0.417,0.467,0.088,0.25,2,0,0,0,4,6,2,12,6,1,
2016-10-21,Hollis Thompson,PHI,MIA,,22:30,0.104,0.095,0.1,0.105,0.0,0.0,0.167,0.2,0.0,0.19,0.107,4,0.5,0,1,0.0,2,1.0,0,0,1,0,1,4,6,-3,7.5,0,0,0,,0,0.0,104.9,111.2,-6.2,0.0,0.0,0.5,113.54,0.75,0.25,0.667,0.0,0.0,0.0,0.5,0.5,0.641,1.0,0.17,0.154,0,2,2,0,5,4,4,26,4,2,
2015-10-28,Hollis Thompson,PHI,BOS,F,36:04,0.181,0.226,0.5,0.0,0.079,0.375,0.095,0.0,0.0,0.353,0.132,14,0.214,3,9,0.333,0,0.0,3,3,0,0,2,6,9,-15,17.0,7,61,41,0.0732,8,0.125,88.0,103.3,-15.3,0.13,0.046,0.321,104.92,0.357,0.643,0.0,1.0,0.333,0.0,1.0,0.0,0.492,0.288,0.149,0.182,3,0,0,0,32,12,24,36,12,1,
2015-10-30,Hollis Thompson,PHI,UTA,G,31:32,0.139,0.163,0.333,0.1,0.174,0.111,0.083,0.0,0.0,0.25,0.256,7,0.429,2,3,0.667,2,1.0,4,1,0,0,1,4,10,-25,16.75,8,44,33,0.0303,4,0.25,65.2,105.6,-40.4,0.143,0.063,0.571,91.64,0.571,0.429,0.2,0.6,0.0,0.2,1.0,0.0,0.448,0.259,0.099,0.345,0,3,0,2,17,18,10,20,18,1,
2015-11-02,Hollis Thompson,PHI,CLE,,31:02,0.161,0.132,0.267,0.5,0.273,0.2,0.125,0.167,0.0,0.111,0.148,7,0.429,1,4,0.25,6,0.833,6,4,1,0,1,1,12,16,26.5,9,44,34,0.1176,2,0.5,130.1,105.7,24.4,0.133,0.13,0.5,95.74,0.429,0.571,0.333,0.25,0.0,0.167,1.0,0.0,0.537,0.148,0.179,0.28,0,0,0,2,11,7,18,30,7,3,
2015-11-04,Hollis Thompson,PHI,MIL,,27:46,0.199,0.163,0.286,0.0,0.167,0.071,0.385,0.333,0.167,0.118,0.152,7,0.429,1,4,0.25,0,0.0,4,1,1,1,5,2,7,-22,15.25,7,44,30,0.0333,1,0.0,84.6,113.6,-29.1,0.071,0.095,0.5,98.74,0.429,0.571,0.571,0.429,0.0,0.0,0.667,0.333,0.556,0.204,0.084,0.182,0,0,0,0,21,13,12,32,13,1,
