DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Ian Clark,GSW,TOR,,18:06,0.168,0.167,0.222,0.0,0.063,0.273,0.222,0.0,0.0,0.182,0.216,5,0.6,2,2,1.0,0,0.0,1,3,0,0,2,2,8,1,13.0,0,0,0,,0,0.0,93.3,94.0,-0.7,0.273,0.029,0.8,103.32,0.6,0.4,0.25,0.75,0.0,0.25,1.0,0.0,0.439,0.364,0.104,0.222,0,0,3,2,8,6,5,12,6,0,NBA TV
2016-10-04,Ian Clark,GSW,LAC,,11:52,0.172,0.167,0.25,0.091,0.154,0.0,0.333,0.0,0.0,0.2,0.038,3,0.0,0,1,0.0,1,1.0,2,0,0,0,1,2,1,8,3.0,0,0,0,,0,0.0,104.7,68.5,36.2,0.0,0.087,0.0,103.39,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.632,0.114,0.077,0,0,0,0,2,4,0,8,4,0,ESPN
2016-10-06,Ian Clark,GSW,SAC,,17:06,0.246,0.321,0.5,0.0,0.105,0.125,0.0,0.0,1.0,0.111,0.41,9,0.667,4,7,0.571,0,0.0,2,1,0,1,0,1,16,0,23.75,0,0,0,,0,0.0,112.6,101.6,11.0,0.143,0.059,0.889,102.51,0.222,0.778,0.25,0.75,0.125,0.25,0.5,0.5,0.55,0.333,0.13,0.056,2,0,4,4,9,5,4,10,5,0,
2016-10-14,Ian Clark,GSW,DEN,,17:30,0.164,0.167,0.2,0.182,0.111,0.286,0.143,0.0,0.0,0.25,0.194,5,0.4,1,2,0.5,2,0.5,2,2,0,0,1,1,6,-7,11.0,0,0,0,,0,0.0,84.1,107.6,-23.4,0.222,0.051,0.5,98.96,0.6,0.4,0.333,0.5,0.0,0.333,1.0,0.0,0.5,0.083,0.142,0.35,0,0,0,2,10,9,8,20,9,1,
2016-10-15,Ian Clark,GSW,LAL,,19:47,0.156,0.194,0.2,0.0,0.053,0.091,0.1,0.0,0.333,0.4,0.111,6,0.333,0,1,0.0,0,0.0,1,1,0,1,1,6,4,-2,8.0,0,0,0,,0,0.0,94.8,90.8,4.0,0.077,0.029,0.333,96.84,0.833,0.167,1.0,0.0,0.0,1.0,0.5,0.5,0.378,0.297,0.167,0.368,0,0,0,4,11,14,4,14,14,0,NBA TV
2016-10-19,Ian Clark,GSW,LAL,,11:20,0.239,0.278,0.25,0.333,0.25,0.0,0.0,0.0,0.0,0.167,0.4,5,0.4,0,1,0.0,2,1.0,2,0,0,0,0,1,6,-6,8.5,0,0,0,,0,0.0,66.3,83.3,-17.1,0.0,0.1,0.4,101.38,0.8,0.2,0.667,0.0,0.333,0.333,1.0,0.0,0.528,0.278,0.278,0.25,2,0,0,2,5,5,3,4,5,2,ESPN
2016-10-21,Ian Clark,GSW,POR,,17:54,0.265,0.297,0.375,0.0,0.05,0.167,0.0,0.0,0.333,0.125,0.436,11,0.636,3,6,0.5,0,0.0,1,2,0,1,0,1,17,11,24.25,0,0,0,,0,0.0,107.0,74.0,33.0,0.222,0.029,0.773,99.59,0.455,0.545,0.471,0.529,0.235,0.471,1.0,0.0,0.389,0.407,0.185,0.063,4,0,8,8,4,0,9,16,0,0,NBA TV
2015-10-30,Ian Clark,GSW,HOU,,4:36,0.253,0.3,1.0,0.0,0.0,0.667,0.0,0.0,0.0,0.25,0.182,3,0.333,0,1,0.0,0,0.0,0,2,0,0,0,1,2,-5,4.5,1,17,12,0.1667,2,0.5,101.1,138.9,-37.8,0.5,0.0,0.333,116.87,0.667,0.333,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.087,0.25,0,0,0,0,2,4,4,8,4,0,ESPN
2015-10-31,Ian Clark,GSW,NOP,,0:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0,2,2,0.0,0,0.0,300.0,200.0,100.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,NBA TV
2015-11-02,Ian Clark,GSW,MEM,,12:00,0.254,0.235,0.2,0.429,0.176,0.143,0.0,0.0,0.0,0.0,0.577,4,1.0,1,1,1.0,6,1.0,3,1,0,0,0,0,15,6,20.5,4,34,28,0.0357,4,1.0,112.3,79.4,32.9,0.25,0.107,1.125,96.72,0.75,0.25,0.4,0.2,0.0,0.133,1.0,0.0,0.409,0.227,0.119,0.125,0,3,2,2,3,2,1,8,2,3,NBA TV
