DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Ian Mahinmi,WAS,PHI,,12:01,0.154,0.143,0.0,0.0,0.222,0.25,1.0,1.0,0.0,0.429,0.16,3,0.667,0,0,0.0,0,0.0,2,2,2,0,1,3,4,5,12.5,0,0,0,,0,0.0,104.3,92.4,11.9,0.286,0.1,0.667,91.07,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.471,0.353,0.185,0.222,2,0,0,4,0,2,0,6,2,2,NBA TV
2016-10-10,Ian Mahinmi,WAS,NYK,,14:07,0.181,0.087,0.0,1.0,0.385,0.333,0.286,0.25,0.333,0.4,0.053,2,0.0,0,0,0.0,4,0.25,5,1,1,1,2,4,1,-1,11.5,0,0,0,,0,0.0,66.1,69.5,-3.5,0.111,0.185,0.0,97.79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.386,0.182,0.313,0.286,1,1,0,0,5,4,0,6,4,2,NBA TV
2016-10-13,Ian Mahinmi,WAS,PHI,,14:41,0.143,0.143,0.0,0.286,0.25,0.0,0.0,0.0,0.0,0.5,0.233,4,0.75,0,0,0.0,2,0.5,4,0,0,0,0,3,7,5,12.0,0,0,0,,0,0.0,99.7,75.6,24.2,0.0,0.138,0.75,103.25,1.0,0.0,0.857,0.0,0.571,0.857,0.667,0.333,0.396,0.292,0.181,0.0,4,0,2,6,4,0,5,10,0,2,
2015-10-28,Ian Mahinmi,IND,TOR,C,24:47,0.159,0.17,0.0,0.0,0.421,0.188,0.125,0.25,0.667,0.4,0.196,8,0.625,0,0,0.0,0,0.0,8,3,2,2,1,6,10,-5,31.25,16,40,31,0.0968,7,0.714,100.5,101.2,-0.7,0.188,0.19,0.625,102.77,1.0,0.0,1.0,0.0,0.2,0.8,0.8,0.2,0.55,0.475,0.217,0.278,2,0,2,8,7,13,3,26,13,1,
2015-10-29,Ian Mahinmi,IND,MEM,C,29:30,0.117,0.14,0.0,0.118,0.31,0.0,0.0,0.0,0.5,0.3,0.196,7,0.714,0,0,0.0,2,0.5,9,0,0,1,0,3,11,-10,24.25,20,47,37,0.0,5,0.8,95.8,114.3,-18.6,0.0,0.153,0.714,94.55,1.0,0.0,0.909,0.0,0.182,0.727,0.6,0.4,0.509,0.241,0.121,0.31,2,0,2,8,12,15,6,28,15,1,
2015-10-31,Ian Mahinmi,IND,UTA,C,23:23,0.137,0.184,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.455,0.167,7,0.429,0,0,0.0,0,0.0,5,0,0,2,0,5,6,-12,16.25,13,39,32,0.0,5,0.6,76.1,104.4,-28.3,0.0,0.122,0.429,95.7,1.0,0.0,1.0,0.0,0.0,1.0,0.333,0.667,0.5,0.22,0.196,0.421,0,0,4,6,12,7,4,24,7,0,
2015-11-03,Ian Mahinmi,IND,DET,C,5:29,0.077,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.333,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,-4,-0.5,2,3,3,0.0,0,0.0,91.7,116.5,-24.8,0.0,0.0,0.0,108.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542,0.167,0.311,0.8,0,0,0,0,2,6,2,8,6,1,
2015-11-06,Ian Mahinmi,IND,MIA,C,25:17,0.18,0.19,0.0,0.182,0.222,0.143,0.125,0.0,0.75,0.429,0.125,8,0.375,0,0,0.0,2,0.0,6,2,0,3,1,3,6,10,21.5,17,38,29,0.069,5,0.4,100.3,73.6,26.7,0.111,0.14,0.375,94.42,1.0,0.0,1.0,0.0,0.0,0.667,1.0,0.0,0.427,0.146,0.174,0.048,0,0,0,4,13,4,4,18,4,1,ESPN
2015-11-08,Ian Mahinmi,IND,CLE,C,20:18,0.111,0.105,0.0,0.182,0.1,0.1,0.0,0.667,1.0,0.375,0.154,4,0.75,0,0,0.0,2,0.0,2,1,2,1,0,3,6,-8,15.75,11,26,19,0.0526,2,0.5,103.1,115.4,-12.4,0.083,0.049,0.75,92.86,1.0,0.0,1.0,0.0,0.0,0.667,1.0,0.0,0.543,0.371,0.123,0.263,0,0,0,4,4,2,2,16,2,2,
2015-11-09,Ian Mahinmi,IND,ORL,C,28:12,0.128,0.133,0.0,0.0,0.375,0.071,0.167,0.111,0.5,0.222,0.143,6,0.667,0,0,0.0,0,0.0,9,1,1,2,2,2,8,9,25.5,18,40,29,0.0345,4,1.0,96.1,78.8,17.3,0.067,0.18,0.667,100.36,1.0,0.0,1.0,0.0,0.25,1.0,1.0,0.0,0.457,0.128,0.252,0.2,2,0,0,8,20,7,9,20,7,2,
