DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Iman Shumpert,CLE,ORL,G,15:14,0.132,0.087,0.143,0.0,0.1,0.167,0.4,0.667,0.0,0.5,0.077,2,0.5,1,1,1.0,0,0.0,1,2,2,0,2,4,3,10,10.25,0,0,0,,0,0.0,129.1,92.0,37.1,0.143,0.048,0.75,97.24,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.458,0.333,0.254,0.286,0,0,0,0,2,0,2,10,0,1,NBA TV
2016-10-08,Iman Shumpert,CLE,PHI,G,16:48,0.158,0.167,0.286,0.0,0.176,0.273,0.2,0.0,0.667,0.2,0.171,5,0.6,1,2,0.5,0,0.0,3,3,0,2,1,1,7,10,18.5,0,0,0,,0,0.0,110.6,80.7,29.8,0.214,0.097,0.7,107.83,0.6,0.4,0.571,0.429,0.0,0.571,1.0,0.0,0.333,0.303,0.104,0.158,0,2,0,4,2,6,5,16,6,0,NBA TV
2016-10-13,Iman Shumpert,CLE,TOR,G,19:31,0.191,0.182,0.273,0.0,0.308,0.091,0.375,0.25,0.0,0.0,0.133,6,0.333,2,3,0.667,0,0.0,4,1,1,0,3,0,6,-9,13.75,0,0,0,,0,0.0,101.9,126.6,-24.7,0.083,0.133,0.5,106.74,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.727,0.182,0.188,0.091,3,3,0,0,11,2,15,20,2,0,TNT
2016-10-18,Iman Shumpert,CLE,WAS,,22:53,0.227,0.22,0.222,0.0,0.304,0.417,0.375,0.5,0.0,0.188,0.091,9,0.222,0,4,0.0,0,0.0,7,5,1,0,3,3,4,-1,19.5,0,0,0,,0,0.0,89.9,96.8,-6.9,0.333,0.163,0.222,100.1,0.556,0.444,1.0,0.0,0.0,0.5,0.5,0.5,0.486,0.459,0.086,0.095,0,0,0,2,13,5,7,16,5,0,
2015-12-11,Iman Shumpert,CLE,ORL,,24:36,0.148,0.167,0.333,0.25,0.111,0.0,0.0,0.0,0.0,0.182,0.25,7,0.714,2,3,0.667,3,0.667,3,0,0,0,0,2,14,19,18.75,9,32,23,0.0,5,0.6,113.6,72.2,41.5,0.0,0.068,0.857,98.11,0.571,0.429,0.429,0.429,0.357,0.429,0.4,0.6,0.395,0.316,0.215,0.13,5,3,2,6,7,5,1,16,5,3,
2015-12-15,Iman Shumpert,CLE,BOS,,13:32,0.177,0.182,0.75,0.0,0.1,0.2,0.25,0.0,1.0,0.25,0.207,4,0.5,2,3,0.667,0,0.0,1,1,0,1,1,1,6,4,11.0,2,15,10,0.1,0,0.0,102.8,97.0,5.8,0.111,0.059,0.75,95.69,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.477,0.182,0.155,0.167,0,0,0,0,2,0,0,12,0,1,NBA TV
2015-12-20,Iman Shumpert,CLE,PHI,,15:40,0.18,0.192,0.143,0.333,0.2,0.5,0.0,0.25,0.0,0.0,0.103,5,0.2,0,1,0.0,2,0.5,2,4,1,0,0,0,3,3,12.5,4,24,16,0.25,0,0.0,91.7,78.6,13.1,0.4,0.069,0.2,99.15,0.8,0.2,0.667,0.0,0.667,0.667,0.0,1.0,0.357,0.25,0.272,0.438,2,0,0,2,6,10,4,14,10,2,
2015-12-23,Iman Shumpert,CLE,NYK,,26:30,0.139,0.163,0.385,0.1,0.148,0.111,0.0,0.2,0.667,0.222,0.148,7,0.286,2,5,0.4,2,1.0,4,1,1,2,0,2,8,15,21.25,6,23,15,0.0667,3,0.0,108.4,75.9,32.6,0.067,0.078,0.429,91.65,0.286,0.714,0.0,0.75,0.0,0.0,1.0,0.0,0.333,0.222,0.156,0.231,0,0,0,0,2,5,2,10,5,1,
2015-12-25,Iman Shumpert,CLE,GSW,,29:21,0.088,0.113,0.273,0.0,0.121,0.167,0.0,0.2,0.0,0.286,0.0,6,0.0,0,3,0.0,0,0.0,4,1,1,0,0,4,0,-5,8.25,7,27,21,0.0476,2,0.0,77.9,83.6,-5.6,0.059,0.066,0.0,98.21,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.34,0.18,0.143,0,0,0,0,6,2,8,30,2,1,ABC
2015-12-26,Iman Shumpert,CLE,POR,,24:57,0.215,0.205,0.286,0.0,0.167,0.182,0.3,1.0,0.0,0.083,0.135,8,0.25,1,4,0.25,0,0.0,4,2,1,0,3,1,5,-13,13.5,6,29,18,0.1111,2,0.0,78.4,103.6,-25.2,0.167,0.083,0.313,91.84,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.467,0.267,0.062,0.2,0,3,0,0,16,7,3,24,7,0,
