DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Isaiah Canaan,CHI,MIL,,15:31,0.145,0.172,0.333,0.0,0.0,0.125,0.0,0.0,0.0,0.167,0.067,5,0.2,0,3,0.0,0,0.0,0,1,0,0,0,1,2,4,3.25,0,0,0,,0,0.0,98.6,88.1,10.5,0.077,0.0,0.2,92.74,0.4,0.6,1.0,0.0,0.0,1.0,1.0,0.0,0.362,0.276,0.237,0.476,0,0,0,2,8,8,7,16,8,1,NBA TV
2016-10-06,Isaiah Canaan,CHI,IND,,10:03,0.161,0.211,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,4,0.25,1,4,0.25,0,0.0,0,0,0,0,0,2,3,-3,3.5,0,0,0,,0,0.0,100.7,125.5,-24.8,0.0,0.0,0.375,108.32,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.575,0.4,0.046,0.273,0,0,0,0,2,3,6,10,3,0,
2016-10-08,Isaiah Canaan,CHI,IND,,15:54,0.092,0.034,0.083,0.273,0.0,0.333,0.0,0.0,0.0,0.167,0.129,1,1.0,1,1,1.0,6,0.833,0,4,0,0,0,1,8,40,13.5,0,0,0,,0,0.0,178.8,71.8,107.0,0.235,0.0,1.5,98.6,0.0,1.0,0.0,0.375,0.0,0.0,1.0,0.0,0.413,0.261,0.196,0.067,0,3,3,0,0,1,2,8,1,2,
2016-10-14,Isaiah Canaan,CHI,CLE,,26:22,0.105,0.122,0.385,0.0,0.097,0.111,0.077,0.0,0.0,0.214,0.044,6,0.167,1,5,0.2,0,0.0,3,2,0,0,1,3,3,11,9.25,0,0,0,,0,0.0,117.6,102.9,14.7,0.077,0.07,0.25,103.08,0.167,0.833,0.0,1.0,0.0,0.0,1.0,0.0,0.511,0.217,0.108,0.043,0,0,0,0,22,2,11,22,2,0,NBA TV
2016-10-15,Isaiah Canaan,CHI,MIL,G,38:19,0.179,0.203,0.36,0.19,0.125,0.19,0.0,0.0,0.143,0.0,0.266,13,0.615,5,9,0.556,4,1.0,5,4,0,1,0,0,25,31,40.75,0,0,0,,0,0.0,128.3,81.9,46.4,0.167,0.077,0.808,94.05,0.308,0.692,0.24,0.6,0.12,0.16,0.875,0.125,0.425,0.3,0.156,0.088,3,0,0,4,4,3,8,32,3,2,
2016-10-17,Isaiah Canaan,CHI,CHA,,17:30,0.188,0.233,0.429,0.222,0.211,0.143,0.0,0.0,0.0,0.222,0.308,7,0.571,2,3,0.667,2,1.0,4,1,0,0,0,2,12,0,19.25,0,0,0,,0,0.0,108.5,106.2,2.2,0.091,0.121,0.714,99.68,0.571,0.429,0.333,0.5,0.167,0.167,0.5,0.5,0.412,0.382,0.109,0.35,2,0,2,2,8,4,9,14,4,2,NBA TV
2016-10-20,Isaiah Canaan,CHI,ATL,,10:51,0.153,0.185,0.286,0.0,0.067,0.0,0.0,0.5,0.25,0.0,0.133,5,0.2,0,2,0.0,0,0.0,1,0,1,1,0,0,2,-4,7.25,0,0,0,,0,0.0,60.6,76.0,-15.4,0.0,0.037,0.2,110.07,0.6,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.432,0.0,0.2,0.222,0,0,0,2,4,4,2,14,4,0,
2015-10-28,Isaiah Canaan,PHI,BOS,G,37:59,0.189,0.206,0.556,0.105,0.175,0.2,0.167,0.125,0.0,0.0,0.237,14,0.429,4,10,0.4,2,1.0,7,2,1,0,3,0,18,-3,31.75,11,101,76,0.0263,5,0.4,92.3,98.8,-6.6,0.095,0.097,0.571,102.53,0.286,0.714,0.222,0.667,0.111,0.222,0.333,0.667,0.484,0.286,0.175,0.152,2,0,4,4,20,6,17,38,6,2,
2015-10-30,Isaiah Canaan,PHI,UTA,G,31:11,0.27,0.214,0.6,0.417,0.192,0.2,0.333,0.0,0.0,0.235,0.208,9,0.111,1,6,0.167,10,0.7,5,2,0,0,4,4,10,-16,17.25,6,82,63,0.0317,5,0.2,83.4,109.4,-26.0,0.167,0.088,0.167,89.32,0.333,0.667,0.0,0.3,0.2,0.0,0.0,1.0,0.454,0.315,0.085,0.296,2,0,1,0,11,13,6,22,13,4,
2015-11-02,Isaiah Canaan,PHI,CLE,G,30:56,0.125,0.145,0.188,0.111,0.083,0.143,0.0,0.0,0.0,0.0,0.143,8,0.25,1,3,0.333,2,1.0,2,1,0,0,0,0,7,-19,11.25,4,69,56,0.0179,5,0.2,76.7,109.4,-32.7,0.067,0.036,0.313,97.82,0.625,0.375,0.286,0.429,0.429,0.286,1.0,0.0,0.578,0.275,0.161,0.227,3,2,0,2,10,2,18,36,2,3,
