DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Isaiah Thomas,BOS,PHI,G,19:11,0.228,0.206,0.067,1.0,0.1,0.273,0.143,0.167,0.0,0.1,0.268,7,0.429,1,1,1.0,4,1.0,2,3,1,0,1,1,11,14,19.25,0,0,0,,0,0.0,103.1,65.7,37.4,0.25,0.051,0.5,101.14,0.857,0.143,0.364,0.273,0.364,0.364,0.667,0.333,0.339,0.226,0.243,0.15,4,2,0,4,5,2,2,10,2,3,
2016-10-06,Isaiah Thomas,BOS,CHA,G,20:23,0.252,0.256,0.4,0.286,0.045,0.357,0.2,0.0,0.0,0.0,0.283,10,0.5,3,6,0.5,2,1.0,1,5,0,0,1,0,15,23,23.5,0,0,0,,0,0.0,117.6,70.2,47.4,0.333,0.024,0.65,103.43,0.4,0.6,0.267,0.6,0.333,0.133,0.8,0.2,0.355,0.105,0.164,0.167,5,0,2,2,4,7,6,14,7,2,
2016-10-13,Isaiah Thomas,BOS,BKN,G,18:32,0.348,0.364,0.25,0.333,0.15,0.0,0.286,0.0,0.0,0.286,0.4,12,0.333,1,3,0.333,5,0.6,3,0,0,0,2,2,12,-8,15.25,0,0,0,,0,0.0,70.4,90.8,-20.4,0.0,0.067,0.375,109.35,0.75,0.25,0.5,0.25,0.417,0.333,0.5,0.5,0.484,0.355,0.191,0.111,5,2,2,4,7,2,3,16,2,4,
2016-10-15,Isaiah Thomas,BOS,NYK,G,15:36,0.217,0.2,0.3,0.333,0.125,0.273,0.25,0.0,0.0,0.333,0.114,5,0.2,1,3,0.333,2,1.0,1,3,0,0,1,2,5,6,10.0,0,0,0,,0,0.0,143.6,109.3,34.3,0.2,0.053,0.3,100.62,0.4,0.6,0.0,0.6,0.6,0.0,1.0,0.0,0.621,0.138,0.201,0.3,3,2,0,0,4,6,8,16,6,3,NBA TV
2016-10-17,Isaiah Thomas,BOS,BKN,G,15:27,0.321,0.231,0.125,0.538,0.0,0.0,0.444,0.25,0.0,0.273,0.463,6,1.0,1,1,1.0,7,0.857,0,0,1,0,4,3,19,4,19.5,0,0,0,,0,0.0,111.7,101.1,10.6,0.0,0.0,1.083,113.9,0.833,0.167,0.526,0.158,0.158,0.526,0.333,0.667,0.481,0.577,0.164,0.143,3,2,0,10,12,0,8,12,0,5,
2015-10-28,Isaiah Thomas,BOS,PHI,,29:09,0.351,0.358,0.353,0.412,0.083,0.389,0.273,0.429,0.0,0.091,0.38,19,0.526,1,6,0.167,7,0.857,2,7,3,0,3,1,27,19,43.25,4,75,49,0.1429,12,0.583,106.8,82.9,23.9,0.467,0.04,0.553,106.37,0.684,0.316,0.667,0.111,0.259,0.667,0.6,0.4,0.435,0.283,0.271,0.24,7,7,3,18,11,6,7,26,6,4,
2015-10-30,Isaiah Thomas,BOS,TOR,,29:07,0.315,0.314,0.19,0.379,0.037,0.467,0.25,0.25,0.0,0.238,0.362,16,0.438,1,4,0.25,11,0.909,1,7,2,0,3,5,25,4,38.0,4,70,45,0.1556,12,0.417,97.5,95.9,1.6,0.583,0.018,0.469,114.18,0.75,0.25,0.48,0.12,0.4,0.48,0.571,0.429,0.418,0.592,0.177,0.214,10,13,0,12,13,9,3,16,9,7,
2015-11-01,Isaiah Thomas,BOS,SAS,,26:35,0.308,0.295,0.263,0.75,0.04,0.5,0.222,0.2,0.0,0.059,0.294,18,0.222,1,5,0.2,6,1.0,1,5,1,0,2,1,15,-15,24.0,4,76,52,0.0962,15,0.267,82.9,105.8,-22.9,0.313,0.019,0.25,111.84,0.722,0.278,0.4,0.2,0.133,0.4,0.5,0.5,0.553,0.404,0.16,0.188,2,0,3,6,8,6,5,26,6,5,
2015-11-04,Isaiah Thomas,BOS,IND,G,35:46,0.307,0.306,0.304,0.238,0.028,0.412,0.357,0.286,0.0,0.059,0.338,19,0.474,4,7,0.571,5,1.0,1,7,2,0,5,1,27,1,40.5,3,88,57,0.1228,9,0.444,109.2,109.5,-0.3,0.389,0.014,0.579,97.52,0.632,0.368,0.37,0.444,0.444,0.296,0.333,0.667,0.476,0.365,0.166,0.351,12,8,3,8,21,18,4,20,18,7,
2015-11-06,Isaiah Thomas,BOS,WAS,G,25:45,0.304,0.288,0.158,0.667,0.037,0.533,0.25,0.182,0.0,0.0,0.232,15,0.333,1,3,0.333,6,0.833,1,8,2,0,3,0,16,9,30.25,5,64,40,0.2,10,0.2,113.2,96.2,17.0,0.364,0.02,0.367,114.96,0.8,0.2,0.5,0.188,0.5,0.5,0.4,0.6,0.52,0.2,0.208,0.2,8,10,0,8,17,9,18,28,9,6,
