DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Ish Smith,DET,BKN,G,26:33,0.143,0.13,0.083,0.0,0.059,0.333,0.273,0.333,0.0,0.333,0.069,7,0.286,0,1,0.0,0,0.0,2,3,1,0,3,4,4,8,10.75,0,0,0,,0,0.0,102.0,89.0,13.0,0.15,0.036,0.286,102.15,0.857,0.143,1.0,0.0,0.5,0.5,0.0,1.0,0.467,0.311,0.125,0.087,2,0,0,2,10,0,6,14,0,1,
2016-10-10,Ish Smith,DET,SAS,G,24:41,0.142,0.13,0.1,0.0,0.24,0.417,0.25,0.167,0.5,0.0,0.045,6,0.167,0,1,0.0,0,0.0,6,5,1,1,2,0,2,-1,18.75,0,0,0,,0,0.0,85.9,86.8,-0.9,0.263,0.128,0.167,100.19,0.833,0.167,1.0,0.0,0.0,1.0,0.0,1.0,0.474,0.282,0.193,0.091,0,2,0,2,7,0,4,12,0,0,
2016-10-13,Ish Smith,DET,ATL,G,30:21,0.183,0.189,0.222,0.375,0.292,0.5,0.0,0.0,0.5,0.214,0.257,10,0.6,2,2,1.0,6,0.667,7,8,0,1,0,3,18,-1,39.75,0,0,0,,0,0.0,112.8,116.1,-3.3,0.4,0.146,0.7,97.42,0.8,0.2,0.444,0.333,0.111,0.0,0.5,0.5,0.622,0.286,0.196,0.261,2,0,0,0,6,6,6,28,6,7,
2016-10-15,Ish Smith,DET,PHI,G,27:10,0.152,0.196,0.0,0.0,0.111,0.5,0.0,0.143,0.0,0.083,0.156,9,0.556,0,0,0.0,0,0.0,3,6,1,0,0,1,10,30,23.25,0,0,0,,0,0.0,119.9,61.4,58.5,0.3,0.065,0.556,96.12,1.0,0.0,1.0,0.0,0.4,0.4,0.2,0.8,0.317,0.244,0.253,0.16,4,2,0,4,12,8,2,18,8,1,
2016-10-17,Ish Smith,DET,MIL,G,20:02,0.118,0.152,0.083,0.0,0.158,0.583,0.0,0.0,1.0,0.25,0.096,5,0.4,1,1,1.0,0,0.0,3,7,0,1,0,2,5,15,20.0,0,0,0,,0,0.0,131.6,89.4,42.2,0.438,0.091,0.5,96.94,0.8,0.2,0.4,0.6,0.0,0.4,0.5,0.5,0.453,0.313,0.193,0.158,0,0,0,2,6,2,3,18,2,0,
2016-10-19,Ish Smith,DET,TOR,G,27:59,0.21,0.22,0.222,0.0,0.0,0.25,0.3,0.0,0.8,0.267,0.119,9,0.333,1,2,0.5,0,0.0,0,3,0,4,3,4,7,-4,17.75,0,0,0,,0,0.0,105.1,109.4,-4.3,0.167,0.0,0.389,97.57,0.778,0.222,0.571,0.429,0.0,0.286,0.0,1.0,0.52,0.306,0.122,0.217,0,0,0,2,16,7,12,34,7,1,
2015-10-27,Ish Smith,NOP,GSW,,38:01,0.181,0.197,0.154,0.167,0.071,0.5,0.125,0.375,0.0,0.294,0.198,13,0.538,1,2,0.5,4,0.5,2,9,3,0,2,5,17,5,36.25,8,97,76,0.1184,8,0.625,101.7,96.0,5.7,0.375,0.029,0.577,106.63,0.846,0.154,0.706,0.176,0.118,0.588,0.143,0.857,0.427,0.253,0.213,0.459,2,2,2,10,19,16,10,38,16,9,TNT
2015-10-28,Ish Smith,NOP,POR,,28:35,0.268,0.241,0.15,0.182,0.154,0.571,0.75,0.4,0.0,0.556,0.123,14,0.214,1,3,0.333,2,0.0,4,8,2,0,3,5,7,1,25.0,7,82,59,0.1356,9,0.222,89.3,95.0,-5.7,0.421,0.067,0.25,103.11,0.786,0.214,0.571,0.429,0.714,0.571,0.333,0.667,0.462,0.173,0.136,0.179,5,3,0,4,4,8,8,26,8,4,
2015-10-31,Ish Smith,NOP,GSW,,10:59,0.306,0.24,0.25,0.0,0.154,0.75,0.75,0.0,0.0,0.167,0.174,6,0.333,0,1,0.0,0,0.0,2,3,0,0,3,1,4,-2,8.75,3,26,16,0.1875,6,0.333,94.1,116.2,-22.1,0.333,0.091,0.333,100.43,0.833,0.167,1.0,0.0,0.0,0.5,0.0,1.0,0.618,0.471,0.093,0.111,0,0,0,2,5,1,6,6,1,1,NBA TV
2015-11-03,Ish Smith,NOP,ORL,,16:36,0.098,0.091,0.1,0.0,0.214,1.0,0.333,0.2,0.0,0.0,0.091,3,0.333,1,1,1.0,0,0.0,3,7,1,0,1,0,3,-7,17.5,3,55,48,0.1458,2,0.5,92.1,114.0,-21.9,0.778,0.094,0.5,102.52,0.667,0.333,0.0,1.0,0.0,0.0,0.0,1.0,0.611,0.259,0.2,0.182,0,0,0,0,2,5,2,24,5,0,
2015-11-06,Ish Smith,NOP,ATL,,34:07,0.145,0.186,0.143,0.0,0.167,0.478,0.0,0.333,0.0,0.125,0.09,11,0.364,0,3,0.0,0,0.0,4,11,2,0,0,2,8,3,30.75,6,98,84,0.131,6,0.333,125.9,118.5,7.4,0.407,0.077,0.364,100.77,0.727,0.273,1.0,0.0,0.5,0.75,0.5,0.5,0.561,0.421,0.152,0.24,4,2,0,6,11,10,8,30,10,2,
2015-11-07,Ish Smith,NOP,DAL,G,32:43,0.229,0.233,0.136,0.0,0.233,0.5,0.333,0.5,0.167,0.143,0.097,14,0.214,1,3,0.333,0,0.0,7,7,2,1,2,2,7,8,30.0,13,92,73,0.0959,8,0.25,109.2,95.3,13.9,0.28,0.113,0.25,97.65,0.786,0.214,0.571,0.429,0.0,0.286,0.667,0.333,0.466,0.241,0.119,0.161,0,0,2,2,5,2,10,22,2,0,
2015-11-10,Ish Smith,NOP,DAL,,27:07,0.246,0.22,0.0,0.455,0.136,0.706,0.286,0.25,0.5,0.133,0.254,11,0.545,0,0,0.0,5,1.0,3,12,1,1,2,2,17,-6,38.75,4,68,50,0.24,6,0.833,113.9,118.3,-4.4,0.6,0.06,0.545,106.72,1.0,0.0,0.706,0.0,0.0,0.706,0.333,0.667,0.554,0.232,0.097,0.24,0,2,0,12,11,6,9,46,6,4,
2015-11-11,Ish Smith,NOP,ATL,G,38:44,0.222,0.25,0.16,0.0,0.167,0.526,0.176,0.2,0.0,0.0,0.207,17,0.471,2,4,0.5,0,0.0,5,10,1,0,3,0,18,-1,38.25,12,105,81,0.1235,10,0.5,103.2,108.4,-5.2,0.4,0.079,0.529,102.51,0.765,0.235,0.667,0.333,0.0,0.667,0.375,0.625,0.55,0.2,0.148,0.226,0,2,5,12,20,10,15,36,10,0,
2015-11-13,Ish Smith,NOP,TOR,,23:05,0.268,0.231,0.333,0.4,0.182,0.5,0.375,0.0,0.667,0.176,0.171,9,0.111,0,2,0.0,4,1.0,4,4,0,2,3,3,6,-4,18.5,8,67,47,0.0851,6,0.167,77.1,86.0,-8.9,0.364,0.085,0.111,94.36,0.778,0.222,0.333,0.0,0.0,0.333,0.0,1.0,0.348,0.576,0.198,0.238,0,0,0,2,13,8,9,10,8,4,
2015-11-15,Ish Smith,NOP,NYK,,21:54,0.107,0.063,0.0,0.0,0.167,0.556,0.25,0.0,0.0,0.0,0.048,2,0.5,0,0,0.0,0,0.0,3,5,0,0,3,0,2,1,10.5,8,54,49,0.102,2,0.5,94.1,92.3,1.7,0.333,0.088,0.5,97.58,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.415,0.244,0.113,0.273,0,0,0,2,10,11,4,18,11,0,
2015-11-17,Ish Smith,NOP,DEN,,37:30,0.158,0.145,0.048,0.0,0.12,0.421,0.3,0.25,0.2,0.071,0.16,9,0.667,1,1,1.0,0,0.0,3,8,1,1,3,1,13,-6,29.75,9,92,79,0.1013,7,0.714,115.8,120.4,-4.6,0.296,0.054,0.722,91.03,0.889,0.111,0.769,0.231,0.0,0.769,0.333,0.667,0.609,0.188,0.166,0.321,0,4,0,10,17,10,2,36,10,1,
2015-11-18,Ish Smith,NOP,OKC,G,33:55,0.267,0.274,0.087,0.286,0.091,0.429,0.167,0.0,0.0,0.063,0.237,20,0.4,0,2,0.0,2,1.0,3,6,0,0,1,1,18,0,28.75,6,100,73,0.0822,13,0.462,105.4,107.2,-1.8,0.25,0.043,0.4,101.16,0.9,0.1,0.889,0.0,0.111,0.667,0.125,0.875,0.437,0.429,0.127,0.361,2,0,0,12,7,10,9,28,10,3,ESPN
2015-11-20,Ish Smith,NOP,SAS,,30:54,0.187,0.172,0.133,0.182,0.121,0.765,0.333,0.0,0.0,0.3,0.236,10,0.7,1,2,0.5,2,1.0,4,13,0,0,2,3,17,13,37.75,6,90,77,0.1688,6,0.667,112.8,97.5,15.3,0.619,0.069,0.75,96.59,0.8,0.2,0.706,0.176,0.0,0.588,0.286,0.714,0.5,0.151,0.116,0.097,0,0,2,10,4,2,4,18,2,1,ESPN
2015-11-22,Ish Smith,NOP,PHX,,30:29,0.242,0.268,0.111,0.188,0.257,0.5,0.182,0.375,0.333,0.1,0.187,15,0.4,0,2,0.0,6,0.833,9,8,3,1,2,2,17,9,45.25,16,94,70,0.1143,7,0.429,128.0,111.3,16.7,0.364,0.138,0.4,113.98,0.867,0.133,0.706,0.0,0.118,0.588,0.0,1.0,0.5,0.349,0.149,0.286,2,0,2,10,16,9,17,18,9,3,
2015-11-25,Ish Smith,NOP,PHX,,35:32,0.219,0.258,0.133,0.0,0.172,0.733,0.286,1.0,0.0,0.267,0.211,16,0.563,2,2,1.0,0,0.0,5,11,1,0,2,4,20,-2,42.0,7,107,82,0.1341,9,0.556,121.5,124.1,-2.6,0.458,0.082,0.625,105.61,0.875,0.125,0.7,0.3,0.15,0.3,0.111,0.889,0.59,0.194,0.09,0.219,3,0,0,6,7,8,20,44,8,1,
2015-11-27,Ish Smith,NOP,LAC,,37:59,0.241,0.256,0.056,0.2,0.118,0.556,0.125,0.25,0.0,0.063,0.203,20,0.35,0,1,0.0,3,0.333,4,10,2,0,1,1,15,-20,36.0,8,115,90,0.1111,11,0.273,93.0,114.8,-21.8,0.455,0.056,0.35,102.03,0.95,0.05,0.933,0.0,0.133,0.533,0.143,0.857,0.6,0.45,0.159,0.125,2,5,0,8,10,7,24,40,7,2,
2015-11-28,Ish Smith,NOP,UTA,,36:32,0.239,0.259,0.154,0.238,0.207,0.429,0.154,0.4,0.0,0.067,0.2,14,0.357,0,2,0.0,5,0.6,6,6,2,0,2,1,13,-12,31.0,9,94,70,0.0857,7,0.286,90.0,106.4,-16.4,0.333,0.092,0.357,94.99,0.857,0.143,0.769,0.0,0.154,0.462,0.0,1.0,0.508,0.317,0.18,0.265,2,3,0,6,15,8,7,28,8,4,
2015-12-01,Ish Smith,NOP,MEM,,14:14,0.161,0.083,0.0,0.2,0.091,0.167,1.0,0.0,0.0,0.167,0.154,2,0.5,0,0,0.0,2,1.0,1,1,0,0,2,1,4,-10,5.5,7,30,22,0.0455,0,0.0,91.5,126.2,-34.7,0.143,0.03,0.5,96.02,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.452,0.258,0.035,0.438,0,0,2,2,2,7,10,24,7,1,
2015-12-02,Ish Smith,NOP,HOU,,13:27,0.11,0.107,0.0,0.0,0.444,0.667,0.143,0.5,0.0,0.125,0.167,3,0.667,0,0,0.0,0,0.0,8,2,1,0,1,1,4,-2,18.0,8,32,27,0.0741,3,0.667,79.2,86.4,-7.3,0.286,0.258,0.667,107.78,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.457,0.304,0.199,0.143,0,0,0,4,6,2,0,8,2,2,NBA TV
2015-12-07,Ish Smith,NOP,BOS,,15:55,0.189,0.118,0.0,0.333,0.2,0.444,0.6,0.0,0.0,0.0,0.194,4,0.75,0,0,0.0,2,0.5,4,4,0,0,3,0,7,0,15.5,5,45,36,0.1111,3,0.667,110.3,113.1,-2.8,0.333,0.118,0.75,97.23,1.0,0.0,0.857,0.0,0.0,0.571,0.0,1.0,0.537,0.407,0.157,0.313,0,4,0,4,7,4,7,20,4,1,NBA TV
2015-12-11,Ish Smith,NOP,WAS,,15:24,0.199,0.179,0.0,0.333,0.214,0.444,0.25,0.0,0.0,0.143,0.19,5,0.6,0,0,0.0,2,1.0,3,4,0,0,1,1,8,11,16.25,4,34,27,0.1481,3,0.333,128.7,109.2,19.5,0.333,0.115,0.6,95.1,1.0,0.0,0.75,0.0,0.25,0.5,0.333,0.667,0.522,0.435,0.106,0.143,2,2,0,4,4,1,2,10,1,2,
2015-12-12,Ish Smith,NOP,CHI,,13:13,0.073,0.087,0.0,0.0,0.273,0.4,0.0,1.0,0.0,0.0,0.091,2,0.5,0,0,0.0,0,0.0,3,2,1,0,0,0,2,-4,10.25,4,24,20,0.1,2,0.5,83.6,106.4,-22.8,0.25,0.125,0.5,92.17,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.543,0.043,0.082,0.091,0,0,0,2,0,0,0,4,0,1,
