DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,JJ Redick,LAC,GSW,G,14:05,0.248,0.368,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.167,7,0.143,0,3,0.0,0,0.0,0,2,0,0,0,0,2,-30,4.5,0,0,0,,0,0.0,44.1,150.2,-106.1,0.667,0.0,0.143,94.0,0.571,0.429,1.0,0.0,0.0,1.0,1.0,0.0,0.75,0.375,0.107,0.273,0,0,0,2,11,7,5,10,7,0,ESPN
2016-10-10,JJ Redick,LAC,UTA,G,18:58,0.22,0.296,0.6,0.0,0.083,0.0,0.111,0.0,0.0,0.25,0.243,8,0.375,3,6,0.5,0,0.0,1,0,0,0,1,3,9,-1,11.25,0,0,0,,0,0.0,97.8,105.3,-7.5,0.0,0.034,0.563,93.54,0.25,0.75,0.0,1.0,0.0,0.0,0.667,0.333,0.571,0.25,0.222,0.25,0,3,0,0,8,2,6,20,2,1,NBA TV
2016-10-13,JJ Redick,LAC,POR,G,23:23,0.12,0.158,0.333,0.071,0.0,0.2,0.0,0.0,0.0,0.125,0.136,6,0.5,0,2,0.0,2,1.0,0,3,0,0,0,2,8,-2,11.75,0,0,0,,0,0.0,110.7,112.0,-1.3,0.188,0.0,0.5,110.64,0.667,0.333,0.75,0.0,0.0,0.0,1.0,0.0,0.6,0.425,0.165,0.118,0,0,0,0,11,2,2,24,2,2,TNT
2016-10-17,JJ Redick,LAC,UTA,G,19:36,0.266,0.294,0.462,0.333,0.077,0.333,0.0,0.0,0.0,0.0,0.161,10,0.2,0,6,0.0,1,1.0,1,2,0,0,0,0,5,-3,8.75,0,0,0,,0,0.0,80.9,93.6,-12.7,0.182,0.03,0.2,91.4,0.4,0.6,0.8,0.0,0.0,0.4,0.5,0.5,0.517,0.1,0.193,0.143,0,0,0,2,4,2,2,20,2,2,
2016-10-18,JJ Redick,LAC,SAC,G,22:14,0.243,0.297,0.5,0.143,0.063,0.222,0.0,0.0,0.0,0.0,0.34,11,0.636,3,6,0.5,1,1.0,1,4,0,0,0,0,18,15,25.75,0,0,0,,0,0.0,120.2,84.9,35.3,0.286,0.029,0.773,95.9,0.455,0.545,0.444,0.5,0.222,0.222,0.857,0.143,0.486,0.111,0.268,0.278,4,4,3,4,6,8,2,12,8,2,ESPN
2015-10-28,JJ Redick,LAC,SAC,G,30:45,0.201,0.204,0.417,0.13,0.0,0.0,0.286,0.167,0.0,0.2,0.174,11,0.455,2,5,0.4,3,1.0,0,0,1,0,2,3,15,17,17.0,1,28,12,0.0,6,0.5,126.2,101.1,25.2,0.0,0.0,0.545,106.46,0.545,0.455,0.4,0.4,0.333,0.133,1.0,0.0,0.526,0.207,0.19,0.276,5,0,2,2,8,10,4,34,10,3,
2015-10-29,JJ Redick,LAC,DAL,G,23:52,0.187,0.225,0.308,0.111,0.034,0.167,0.0,0.333,0.0,0.143,0.222,9,0.444,2,4,0.5,2,1.0,1,2,1,0,0,1,12,14,18.75,2,18,8,0.25,2,0.5,110.4,81.3,29.1,0.125,0.018,0.556,98.67,0.556,0.444,0.333,0.5,0.0,0.0,0.75,0.25,0.34,0.094,0.102,0.306,0,0,0,0,2,10,0,10,10,1,TNT
2015-10-31,JJ Redick,LAC,SAC,G,32:41,0.145,0.188,0.25,0.122,0.0,0.091,0.0,0.0,0.167,0.308,0.253,9,0.889,2,2,1.0,5,1.0,0,2,0,1,0,4,23,15,28.5,0,30,19,0.1053,4,0.75,124.6,100.7,23.9,0.091,0.0,1.0,109.05,0.778,0.222,0.522,0.261,0.13,0.261,0.875,0.125,0.465,0.239,0.132,0.342,3,0,2,6,19,14,7,38,14,2,NBA TV
2015-11-02,JJ Redick,LAC,PHX,G,27:50,0.214,0.24,0.833,0.077,0.115,0.182,0.143,0.0,0.0,0.125,0.169,12,0.25,3,10,0.3,1,1.0,3,2,0,0,1,1,10,4,17.25,4,31,18,0.1111,3,0.333,98.8,99.7,-0.9,0.105,0.051,0.375,99.08,0.167,0.833,0.0,0.9,0.0,0.0,1.0,0.0,0.417,0.259,0.073,0.281,0,0,0,0,9,8,8,30,8,0,
2015-11-04,JJ Redick,LAC,GSW,G,28:43,0.134,0.154,0.333,0.0,0.042,0.158,0.111,0.0,0.0,0.063,0.181,8,0.625,3,4,0.75,0,0.0,1,3,0,0,1,1,13,4,19.0,4,35,24,0.125,5,0.6,115.8,109.6,6.2,0.125,0.022,0.813,103.8,0.5,0.5,0.308,0.692,0.0,0.154,0.8,0.2,0.528,0.296,0.097,0.208,0,0,3,2,9,9,9,22,9,1,ESPN
