DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,JaVale McGee,GSW,TOR,,15:56,0.117,0.115,0.0,0.286,0.308,0.25,0.0,0.0,0.75,0.167,0.152,3,0.667,0,0,0.0,2,0.5,4,1,0,3,0,1,5,1,17.25,0,0,0,,0,0.0,106.2,95.1,11.1,0.091,0.125,0.667,97.49,1.0,0.0,0.8,0.0,0.0,0.4,0.0,1.0,0.453,0.188,0.208,0.421,0,0,0,2,4,9,7,18,9,2,NBA TV
2016-10-04,JaVale McGee,GSW,LAC,,7:45,0.257,0.167,0.0,0.5,0.625,0.0,0.333,0.0,0.0,0.25,0.077,2,0.0,0,0,0.0,4,0.25,5,0,0,0,1,1,1,-7,6.75,0,0,0,,0,0.0,83.8,114.7,-30.9,0.0,0.357,0.0,102.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.067,0.115,0.0,0,0,0,0,4,2,2,6,2,2,ESPN
2016-10-06,JaVale McGee,GSW,SAC,,6:59,0.377,0.143,0.0,0.667,0.571,0.0,0.667,0.0,1.0,0.0,0.313,1,1.0,0,0,0.0,4,0.75,4,0,0,1,2,0,5,-1,11.0,0,0,0,,0,0.0,126.6,132.0,-5.4,0.0,0.333,1.0,87.71,1.0,0.0,0.4,0.0,0.0,0.4,1.0,0.0,0.607,0.143,0.0,0.222,0,3,0,2,3,3,3,0,3,3,
2016-10-14,JaVale McGee,GSW,DEN,,8:35,0.153,0.154,0.0,0.0,0.091,0.0,0.25,0.0,1.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,1,0,0,1,1,1,0,-2,2.75,0,0,0,,0,0.0,107.7,111.2,-3.5,0.0,0.05,0.0,102.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.476,0.095,0.0,0.25,0,0,0,0,9,3,4,14,3,0,
2016-10-15,JaVale McGee,GSW,LAL,,13:50,0.433,0.5,0.0,0.5,0.667,0.0,0.25,0.5,0.667,0.231,0.5,10,0.6,0,0,0.0,2,0.0,4,0,1,2,2,3,12,-17,22.0,0,0,0,,0,0.0,86.5,134.5,-48.1,0.0,0.2,0.6,101.04,1.0,0.0,1.0,0.0,0.333,1.0,0.667,0.333,0.54,0.68,0.164,0.636,4,0,2,12,15,13,6,12,13,1,NBA TV
2016-10-19,JaVale McGee,GSW,LAL,,6:51,0.237,0.308,0.0,0.0,0.25,0.333,0.0,0.0,0.0,0.8,0.444,4,1.0,0,0,0.0,0,0.0,2,2,0,0,0,4,8,2,13.0,0,0,0,,0,0.0,121.0,117.3,3.7,0.5,0.167,1.0,99.92,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.55,0.6,0.147,0.143,0,0,4,8,8,3,3,0,3,0,ESPN
2015-11-22,JaVale McGee,DAL,OKC,,10:51,0.327,0.294,0.0,0.286,0.857,0.0,0.5,0.0,0.0,0.25,0.471,5,0.8,0,0,0.0,2,0.0,6,0,0,0,2,1,8,-16,14.5,11,22,13,0.0,3,0.667,77.0,153.3,-76.4,0.0,0.316,0.8,96.44,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.595,0.381,0.046,0.444,0,0,0,8,6,6,6,12,6,1,
2015-11-25,JaVale McGee,DAL,SAS,,15:50,0.26,0.296,0.0,0.222,0.3,0.0,0.143,0.0,0.0,0.167,0.281,8,0.5,0,0,0.0,2,0.5,6,0,0,0,1,1,9,6,16.0,13,26,15,0.0,5,0.4,103.4,87.7,15.6,0.0,0.176,0.5,91.86,1.0,0.0,0.889,0.0,0.222,0.667,0.5,0.5,0.37,0.222,0.169,0.278,2,0,1,6,7,2,3,4,2,2,
2015-11-28,JaVale McGee,DAL,DEN,,5:28,0.282,0.286,0.0,0.4,0.571,0.0,0.0,0.0,0.0,0.5,0.333,2,0.5,0,0,0.0,2,0.5,4,0,0,0,0,1,3,-2,8.0,4,9,6,0.0,2,0.5,97.8,89.3,8.5,0.0,0.308,0.5,94.48,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.417,0.25,0.0,0.143,0,0,0,2,2,4,3,6,4,1,NBA TV
2015-11-30,JaVale McGee,DAL,SAC,,9:41,0.276,0.294,0.0,0.0,0.286,0.0,0.333,0.0,0.0,0.5,0.231,5,0.6,0,0,0.0,0,0.0,2,0,0,0,1,3,6,5,8.0,5,9,3,0.0,4,0.5,131.6,104.6,27.0,0.0,0.143,0.6,98.74,1.0,0.0,1.0,0.0,0.0,0.667,0.667,0.333,0.469,0.438,0.199,0.375,0,0,0,4,4,3,4,6,3,0,
2015-12-04,JaVale McGee,DAL,HOU,,3:22,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,2,0,0,0.0,3,4,3,0.0,1,0.0,75.0,82.0,-7.0,0.0,0.0,0.0,109.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.137,0.25,0,0,0,0,0,0,3,4,0,0,
2015-12-07,JaVale McGee,DAL,NYK,,6:46,0.208,0.083,0.0,0.0,0.444,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0,0,0.0,0,0.0,4,0,0,0,2,1,0,6,4.0,6,7,4,0.0,1,0.0,97.0,50.4,46.6,0.0,0.235,0.0,107.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.143,0.126,0.1,0,0,0,0,2,2,0,2,2,0,
2015-12-16,JaVale McGee,DAL,IND,,10:36,0.087,0.105,0.0,0.0,0.7,0.333,0.0,0.0,0.0,0.5,0.25,2,1.0,0,0,0.0,0,0.0,7,1,0,0,0,1,4,-10,14.0,10,20,18,0.0556,1,1.0,80.5,130.0,-49.5,0.2,0.35,1.0,90.29,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.619,0.0,0.05,0.222,0,0,4,4,4,2,6,16,2,1,
2015-12-18,JaVale McGee,DAL,MEM,,17:43,0.215,0.24,0.0,0.0,0.278,0.0,0.2,0.0,1.0,0.0,0.222,6,0.833,0,0,0.0,0,0.0,5,0,0,3,2,0,10,20,21.25,11,23,14,0.0,4,0.75,124.3,71.3,53.0,0.0,0.179,0.833,96.58,1.0,0.0,1.0,0.0,0.0,1.0,0.8,0.2,0.306,0.226,0.143,0.19,0,0,2,10,7,2,3,10,2,3,
2015-12-22,JaVale McGee,DAL,TOR,,17:09,0.187,0.129,0.0,0.571,0.455,0.2,0.5,0.0,1.0,0.25,0.167,4,0.25,0,0,0.0,4,0.75,5,1,0,3,1,2,5,-6,18.0,13,28,19,0.0526,2,0.0,83.1,108.2,-25.0,0.1,0.156,0.25,97.06,1.0,0.0,0.4,0.0,0.0,0.4,1.0,0.0,0.538,0.462,0.18,0.267,0,0,0,2,0,1,5,10,1,3,NBA TV
2015-12-23,JaVale McGee,DAL,BKN,,9:30,0.329,0.214,0.0,1.0,0.333,0.0,0.667,0.0,0.0,0.4,0.211,3,0.667,0,0,0.0,2,0.0,2,0,0,0,2,2,4,-4,5.5,4,16,8,0.0,3,0.667,112.6,126.4,-13.8,0.0,0.133,0.667,88.62,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.656,0.313,0.11,0.286,0,0,0,4,3,2,5,10,2,1,
2015-12-26,JaVale McGee,DAL,CHI,,8:33,0.105,0.118,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.143,0.0,2,0.0,0,0,0.0,0,0.0,1,0,0,0,0,1,0,-11,1.25,5,12,10,0.0,1,0.0,70.6,120.5,-50.0,0.0,0.056,0.0,101.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,0.5,0.262,0.5,0,0,0,0,2,2,7,10,2,0,
2015-12-28,JaVale McGee,DAL,MIL,,8:54,0.211,0.222,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.25,4,0.5,0,0,0.0,0,0.0,4,0,0,0,0,0,4,-6,9.0,6,14,9,0.0,2,0.5,100.0,146.7,-46.7,0.0,0.267,0.5,83.6,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.733,0.0,0.133,0.4,2,2,0,4,0,2,3,8,2,0,
2015-12-30,JaVale McGee,DAL,GSW,,3:51,0.299,0.167,0.0,0.333,0.333,0.0,1.0,0.0,0.0,0.0,0.167,1,0.0,0,0,0.0,2,0.5,2,0,0,0,1,0,1,-4,3.0,2,6,3,0.0,1,0.0,78.5,101.2,-22.7,0.0,0.182,0.0,109.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.222,0.101,0.2,0,0,1,0,2,5,0,0,5,1,
2016-01-01,JaVale McGee,DAL,MIA,,9:29,0.241,0.313,0.0,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.316,5,0.6,0,0,0.0,0,0.0,2,0,1,1,0,0,6,0,12.5,5,15,9,0.0,4,0.5,96.2,95.6,0.6,0.0,0.118,0.6,100.37,1.0,0.0,1.0,0.0,0.0,0.667,1.0,0.0,0.5,0.118,0.151,0.125,0,0,0,4,0,2,0,8,2,2,
2016-01-02,JaVale McGee,DAL,NOP,,13:09,0.067,0.077,0.0,0.0,0.455,0.0,0.0,0.0,1.0,0.8,0.0,2,0.0,0,0,0.0,0,0.0,5,0,0,1,0,4,0,6,8.25,12,13,10,0.0,2,0.0,103.9,84.2,19.7,0.0,0.179,0.0,104.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.308,0.14,0.333,0,0,0,0,8,6,5,10,6,1,
2016-01-05,JaVale McGee,DAL,SAC,,17:18,0.227,0.25,0.0,0.286,0.478,0.0,0.0,0.5,1.0,0.5,0.433,8,0.75,0,0,0.0,2,0.5,11,0,2,2,0,3,13,3,34.75,12,29,21,0.0,6,0.833,88.0,77.9,10.1,0.0,0.275,0.75,95.33,1.0,0.0,0.923,0.0,0.231,0.923,0.5,0.5,0.397,0.207,0.173,0.143,3,2,2,12,2,5,4,12,5,1,
2016-01-06,JaVale McGee,DAL,NOP,C,19:24,0.195,0.211,0.0,0.0,0.316,0.0,0.2,0.0,1.0,0.167,0.216,8,0.5,0,0,0.0,0,0.0,6,0,0,4,1,1,8,-4,23.0,11,29,19,0.0,4,0.5,92.3,110.6,-18.3,0.0,0.15,0.5,95.46,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.194,0.135,0.35,0,0,4,8,8,10,9,20,10,1,
2016-01-08,JaVale McGee,DAL,MIL,,11:24,0.161,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.375,0.261,4,0.75,0,0,0.0,0,0.0,3,0,0,0,0,3,6,-3,9.75,6,18,10,0.0,3,1.0,96.3,113.2,-16.9,0.0,0.136,0.75,98.61,1.0,0.0,1.0,0.0,0.333,1.0,1.0,0.0,0.5,0.429,0.218,0.583,2,0,2,6,3,5,3,6,5,2,
2016-01-10,JaVale McGee,DAL,MIN,,15:56,0.19,0.222,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.5,0.205,6,0.667,0,0,0.0,0,0.0,1,0,0,0,0,2,8,11,9.25,5,15,7,0.0,4,0.75,131.6,88.8,42.7,0.0,0.045,0.667,92.12,1.0,0.0,1.0,0.0,0.5,1.0,0.75,0.25,0.524,0.381,0.286,0.222,4,0,2,8,3,3,0,12,3,2,
2016-01-12,JaVale McGee,DAL,CLE,,18:06,0.214,0.167,0.0,0.667,0.091,0.0,0.2,0.0,1.0,0.333,0.4,4,1.0,0,0,0.0,4,0.5,1,0,0,3,1,1,10,-15,16.75,7,24,18,0.0,3,1.0,79.0,116.1,-37.1,0.0,0.03,1.0,87.63,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.488,0.025,0.087,0.45,0,0,0,8,10,11,12,20,11,2,
2016-01-13,JaVale McGee,DAL,OKC,C,14:42,0.226,0.214,0.0,1.0,0.429,0.0,0.167,0.0,1.0,0.6,0.476,6,0.667,0,0,0.0,2,1.0,6,0,0,1,1,3,10,-11,19.0,8,17,10,0.0,4,0.75,68.0,101.1,-33.1,0.0,0.188,0.667,102.07,1.0,0.0,0.8,0.0,0.0,0.6,0.5,0.5,0.558,0.231,0.221,0.286,0,0,4,6,10,6,4,8,6,2,
2016-01-15,JaVale McGee,DAL,CHI,,7:24,0.282,0.308,0.0,0.25,0.714,0.0,0.0,0.0,1.0,0.25,0.278,4,0.5,0,0,0.0,1,1.0,5,0,0,1,0,1,5,5,13.25,8,14,8,0.0,4,0.5,130.8,101.9,28.9,0.0,0.294,0.5,86.01,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.3,0.267,0.078,0.5,0,3,0,4,2,9,2,4,9,3,
2016-01-17,JaVale McGee,DAL,SAS,,15:02,0.199,0.16,0.0,0.333,0.588,0.0,0.333,0.0,1.0,0.429,0.217,4,0.5,0,0,0.0,1,1.0,10,0,0,3,2,3,5,-8,22.5,15,24,18,0.0,4,0.5,75.9,95.0,-19.1,0.0,0.303,0.5,100.51,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.422,0.188,0.031,0.167,0,0,0,4,4,4,0,12,4,1,
2016-01-20,JaVale McGee,DAL,MIN,,16:16,0.267,0.31,0.0,0.222,0.5,0.0,0.0,0.0,0.5,0.0,0.194,9,0.333,0,0,0.0,2,0.0,8,0,0,1,0,0,6,1,18.0,10,29,17,0.0,8,0.375,97.0,92.8,4.2,0.0,0.258,0.333,94.88,1.0,0.0,1.0,0.0,0.0,1.0,0.333,0.667,0.483,0.103,0.155,0.214,0,0,2,6,2,7,8,14,7,1,
2016-01-22,JaVale McGee,DAL,OKC,,13:31,0.239,0.24,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.367,6,0.833,0,0,0.0,2,0.5,4,0,0,0,0,3,11,-3,16.0,9,26,19,0.0,4,0.75,112.1,128.1,-16.0,0.0,0.19,0.833,93.25,1.0,0.0,0.909,0.0,0.091,0.727,0.8,0.2,0.536,0.143,0.116,0.538,1,0,2,8,0,9,2,14,9,1,
2016-01-26,JaVale McGee,DAL,LAL,,10:00,0.249,0.188,0.0,0.571,0.556,0.0,0.0,0.333,1.0,0.5,0.235,3,0.333,0,0,0.0,4,0.5,5,0,1,1,0,2,4,-2,14.25,7,12,8,0.0,3,0.333,99.5,102.6,-3.1,0.0,0.238,0.333,85.44,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.462,0.615,0.216,0.222,2,0,2,2,0,4,2,2,4,2,NBA TV
2016-01-27,JaVale McGee,DAL,GSW,,2:20,0.4,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,1,1.0,0,0,0.0,0,0.0,1,0,0,0,1,1,2,-3,2.75,3,2,1,0.0,0,0.0,80.0,140.0,-60.0,0.0,0.2,1.0,102.86,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.583,0.0,0.0,0.333,0,0,0,2,2,0,0,4,0,0,ESPN
2016-01-31,JaVale McGee,DAL,PHX,,8:00,0.189,0.182,0.0,0.0,0.333,0.0,0.25,0.0,1.0,0.6,0.267,2,1.0,0,0,0.0,0,0.0,2,0,0,1,1,3,4,5,8.0,4,15,12,0.0,1,1.0,108.1,72.0,36.0,0.0,0.2,1.0,83.28,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.333,0.167,0.216,0.333,2,0,0,2,2,0,0,8,0,1,
2016-02-01,JaVale McGee,DAL,ATL,,10:22,0.19,0.143,0.2,0.571,0.25,0.0,0.0,1.0,0.5,0.2,0.353,3,0.667,0,1,0.0,4,0.5,2,0,1,1,0,1,6,-5,12.5,5,19,15,0.0,1,1.0,77.0,94.3,-17.3,0.0,0.095,0.667,105.11,0.667,0.333,0.667,0.0,0.333,0.333,0.5,0.5,0.5,0.158,0.129,0.0,2,0,2,2,0,0,7,16,0,2,
2016-02-03,JaVale McGee,DAL,MIA,,8:52,0.28,0.263,0.0,0.0,0.714,0.0,0.5,0.0,0.0,0.25,0.444,5,0.4,0,0,0.0,0,0.0,5,0,0,0,1,1,4,-8,9.75,10,20,13,0.0,3,0.667,48.8,102.9,-54.1,0.0,0.294,0.4,94.63,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.556,0.889,0.242,0.0,2,0,2,4,3,0,5,6,0,0,
2016-02-05,JaVale McGee,DAL,SAS,,7:45,0.313,0.357,0.0,0.0,0.8,0.0,0.333,0.0,0.0,0.333,0.364,5,0.8,0,0,0.0,0,0.0,4,0,0,0,1,1,8,-1,12.5,7,15,9,0.0,5,0.8,135.8,155.8,-20.0,0.0,0.4,0.8,95.88,1.0,0.0,1.0,0.0,0.25,1.0,0.5,0.5,0.808,0.308,0.136,0.5,2,2,2,8,2,4,2,6,4,1,ESPN
2016-02-06,JaVale McGee,DAL,MEM,,7:13,0.082,0.111,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-1,2.5,1,12,11,0.0909,1,0.0,155.7,150.2,5.6,0.167,0.143,0.0,84.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,0.25,0.075,0.333,0,0,0,0,2,2,0,8,2,0,
2016-03-27,JaVale McGee,DAL,SAC,,13:20,0.095,0.115,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.5,0.059,3,0.333,0,0,0.0,0,0.0,2,0,0,0,0,1,2,-3,4.5,8,6,3,0.0,3,0.333,127.6,138.3,-10.6,0.0,0.08,0.333,96.12,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.654,0.154,0.075,0.273,0,0,2,2,2,4,4,18,4,0,
2016-04-10,JaVale McGee,DAL,LAC,,2:02,0.17,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,4,1.25,3,3,2,0.0,0,0.0,102.5,25.8,76.7,0.0,0.143,0.0,103.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.258,0.0,0,0,0,0,0,0,0,0,0,0,NBA TV
2016-10-25,JaVale McGee,GSW,SAS,,3:41,0.386,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.667,2,0.5,0,0,0.0,1,0.0,0,0,0,0,0,0,2,-6,2.0,2,6,4,0.0,2,0.5,47.5,112.5,-65.0,0.0,0.0,0.5,93.31,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.563,0.0,0.25,0.667,0,0,0,2,0,2,3,4,2,1,TNT
2016-11-01,JaVale McGee,GSW,POR,,5:32,0.357,0.3,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.5,3,0.667,0,0,0.0,0,0.0,0,1,0,0,2,0,4,-9,4.25,1,10,4,0.25,3,0.667,66.7,154.5,-87.9,0.5,0.0,0.667,99.76,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.944,0.0,0.182,0.0,0,0,0,4,5,0,2,2,0,0,NBA TV
2016-04-16,JaVale McGee,DAL,OKC,,10:29,0.201,0.071,0.0,0.308,0.125,0.0,0.5,1.0,0.0,0.6,0.136,1,1.0,0,0,0.0,4,0.25,1,0,1,0,2,3,3,4,5.25,5,14,8,0.0,1,1.0,101.3,85.9,15.4,0.0,0.059,1.0,97.71,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.375,0.563,0.239,0.4,0,0,1,2,1,4,1,0,4,3,ESPN
2016-04-21,JaVale McGee,DAL,OKC,,3:48,0.338,0.333,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.167,1,0.0,0,0,0.0,2,0.5,2,0,0,0,1,0,1,-1,3.0,2,5,2,0.0,0,0.0,79.8,88.8,-9.0,0.0,0.25,0.0,97.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.333,0.127,0.0,0,0,1,0,0,0,0,0,0,1,TNT
