DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jae Crowder,BOS,PHI,F,19:20,0.233,0.235,0.353,0.0,0.136,0.182,0.25,0.6,0.5,0.0,0.282,8,0.5,3,6,0.5,0,0.0,3,2,3,1,2,0,11,13,25.75,0,0,0,,0,0.0,100.3,63.5,36.8,0.182,0.077,0.688,99.11,0.25,0.75,0.182,0.818,0.273,0.182,1.0,0.0,0.306,0.29,0.22,0.143,3,2,3,2,6,2,2,8,2,0,
2016-10-06,Jae Crowder,BOS,CHA,F,24:05,0.141,0.152,0.222,0.0,0.214,0.2,0.167,0.0,0.0,0.2,0.131,7,0.429,2,4,0.5,0,0.0,6,3,0,0,1,2,8,24,19.75,0,0,0,,0,0.0,115.4,70.3,45.2,0.158,0.122,0.571,105.14,0.429,0.571,0.25,0.75,0.625,0.25,0.333,0.667,0.359,0.13,0.152,0.143,5,2,3,2,4,7,6,18,7,1,
2016-10-08,Jae Crowder,BOS,CHA,F,12:00,0.328,0.333,0.5,0.0,0.182,0.0,0.333,0.333,0.0,0.167,0.389,7,0.429,1,3,0.333,0,0.0,2,0,1,0,2,1,7,0,11.0,0,0,0,,0,0.0,70.8,73.1,-2.3,0.0,0.074,0.5,100.16,0.571,0.429,0.571,0.429,0.286,0.286,0.0,1.0,0.326,0.261,0.203,0.4,2,2,0,2,0,2,3,6,2,0,NBA TV
2016-10-13,Jae Crowder,BOS,BKN,F,21:31,0.129,0.132,0.143,0.235,0.13,0.5,0.0,0.25,0.0,0.3,0.049,5,0.0,0,2,0.0,4,0.5,3,4,1,0,0,3,2,-2,12.75,0,0,0,,0,0.0,86.4,88.3,-1.9,0.308,0.062,0.0,107.3,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.371,0.205,0.1,0,0,1,0,7,2,3,16,2,2,
2016-10-15,Jae Crowder,BOS,NYK,F,15:45,0.182,0.16,0.3,0.667,0.125,0.273,0.0,0.25,0.0,0.167,0.239,4,0.75,2,3,0.667,4,0.75,1,3,1,0,0,1,11,13,19.0,0,0,0,,0,0.0,150.1,94.9,55.2,0.214,0.056,1.0,99.66,0.25,0.75,0.182,0.545,0.0,0.182,1.0,0.0,0.554,0.143,0.23,0.3,0,3,0,2,4,6,8,16,6,3,NBA TV
2016-10-17,Jae Crowder,BOS,BKN,F,14:36,0.246,0.381,0.429,0.143,0.417,0.222,0.0,0.333,0.0,0.0,0.268,8,0.5,1,3,0.333,2,1.0,5,2,2,0,0,0,11,9,24.25,0,0,0,,0,0.0,116.6,92.2,24.4,0.222,0.25,0.563,114.87,0.625,0.375,0.545,0.273,0.455,0.182,0.75,0.25,0.44,0.52,0.202,0.214,5,0,2,2,9,0,8,12,0,2,
2015-10-28,Jae Crowder,BOS,PHI,F,31:12,0.166,0.13,0.308,0.25,0.231,0.158,0.3,0.333,0.0,0.176,0.206,7,0.571,2,4,0.5,4,1.0,6,3,2,0,3,3,14,-4,28.75,9,37,25,0.12,3,0.667,106.2,106.0,0.2,0.15,0.102,0.714,101.51,0.429,0.571,0.286,0.429,0.286,0.286,1.0,0.0,0.5,0.316,0.206,0.367,4,4,0,4,13,12,2,42,12,3,
2015-10-30,Jae Crowder,BOS,TOR,F,33:55,0.124,0.095,0.1,0.207,0.154,0.25,0.2,0.333,0.5,0.15,0.096,6,0.167,0,2,0.0,6,0.833,4,4,3,1,2,3,7,-7,24.0,5,42,32,0.125,2,0.0,90.4,104.7,-14.3,0.182,0.062,0.167,111.24,0.667,0.333,0.286,0.0,0.429,0.0,0.0,1.0,0.509,0.464,0.196,0.222,3,0,0,0,11,8,6,26,8,2,
2015-11-01,Jae Crowder,BOS,SAS,F,22:59,0.23,0.205,0.417,0.0,0.167,0.111,0.4,0.429,0.5,0.364,0.226,9,0.333,1,5,0.2,0,0.0,4,1,3,1,4,4,7,-10,19.75,10,34,20,0.05,4,0.5,60.0,80.3,-20.3,0.1,0.074,0.389,107.2,0.444,0.556,0.571,0.429,0.286,0.571,1.0,0.0,0.359,0.41,0.235,0.269,2,0,0,4,9,6,0,12,6,0,
2015-11-04,Jae Crowder,BOS,IND,F,32:55,0.147,0.096,0.105,0.421,0.188,0.077,0.182,0.333,0.0,0.091,0.171,5,0.6,1,2,0.5,8,0.625,6,1,2,0,2,1,12,-7,24.25,13,41,28,0.0357,1,1.0,114.1,113.2,0.9,0.05,0.09,0.7,94.34,0.6,0.4,0.333,0.25,0.083,0.333,1.0,0.0,0.47,0.239,0.132,0.405,1,1,3,4,13,20,2,18,20,5,
