DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Jakob Poeltl,TOR,GSW,,13:14,0.177,0.16,0.0,0.0,0.294,0.0,0.273,0.0,0.0,0.333,0.148,4,0.5,0,0,0.0,0,0.0,5,0,0,0,3,3,4,-4,8.75,0,0,0,,0,0.0,85.7,102.4,-16.7,0.0,0.2,0.5,112.08,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.571,0.165,0.1,0,0,4,4,8,2,4,18,2,1,NBA TV
2016-10-03,Jakob Poeltl,TOR,DEN,,13:08,0.235,0.24,0.0,0.3,0.545,0.0,0.167,0.333,0.0,0.286,0.357,6,0.667,0,0,0.0,3,0.667,6,0,1,0,1,2,10,-9,19.0,0,0,0,,0,0.0,92.1,126.4,-34.3,0.0,0.273,0.667,109.06,1.0,0.0,0.8,0.0,0.2,0.8,0.25,0.75,0.7,0.6,0.239,0.333,2,0,6,8,10,6,2,18,6,2,
2016-10-05,Jakob Poeltl,TOR,LAC,,10:05,0.138,0.176,0.0,0.091,0.222,0.0,0.0,0.286,0.0,0.0,0.176,3,0.333,0,0,0.0,1,1.0,2,0,2,0,0,0,3,-1,9.5,0,0,0,,0,0.0,81.6,82.7,-1.1,0.0,0.1,0.333,101.4,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.682,0.364,0.46,0.167,0,3,0,2,0,2,2,2,2,1,
2016-10-13,Jakob Poeltl,TOR,CLE,,12:00,0.194,0.25,0.0,0.0,0.2,0.143,0.0,0.0,0.0,0.333,0.167,5,0.4,0,0,0.0,0,0.0,2,1,0,0,0,1,4,3,7.75,0,0,0,,0,0.0,101.0,86.3,14.7,0.143,0.1,0.4,96.16,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.529,0.176,0.288,0.111,0,0,2,2,4,0,4,8,0,1,TNT
2016-10-14,Jakob Poeltl,TOR,SLA,,24:07,0.24,0.25,0.0,0.214,0.333,0.125,0.2,0.0,0.0,0.357,0.179,9,0.667,0,0,0.0,3,0.0,6,2,0,0,1,5,12,20,21.5,0,0,0,,0,0.0,155.2,103.3,51.9,0.1,0.207,0.667,88.21,1.0,0.0,1.0,0.0,0.667,0.667,0.667,0.333,0.53,0.515,0.22,0.263,8,0,0,8,6,7,3,8,7,2,
2016-10-19,Jakob Poeltl,TOR,DET,,5:16,0.3,0.333,0.0,0.0,0.333,0.333,0.0,0.0,1.0,0.0,0.4,3,0.667,0,0,0.0,0,0.0,1,1,0,1,0,0,4,2,8.5,0,0,0,,0,0.0,111.1,71.4,39.7,0.333,0.167,0.667,92.05,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.375,1.25,0.446,0.0,0,0,2,4,0,0,0,0,0,0,
2016-10-21,Jakob Poeltl,TOR,WAS,,11:44,0.112,0.083,0.0,0.0,0.462,0.0,0.5,0.0,0.0,1.0,0.133,2,0.5,0,0,0.0,0,0.0,6,0,0,0,1,1,2,-3,9.0,0,0,0,,0,0.0,65.6,85.7,-20.2,0.0,0.222,0.5,89.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.474,0.0,0.143,0.1,0,0,0,2,4,2,2,10,2,1,
2016-10-26,Jakob Poeltl,TOR,DET,,12:47,0.145,0.19,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.625,0.1,4,0.25,0,0,0.0,0,0.0,2,0,0,0,0,5,2,-4,4.5,5,14,9,0.0,4,0.25,84.6,96.2,-11.6,0.0,0.087,0.25,91.2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.24,0.3,0,0,0,2,6,2,5,12,2,0,
2016-10-28,Jakob Poeltl,TOR,CLE,,10:49,0.204,0.25,0.0,0.167,0.636,0.0,0.0,0.0,0.0,0.167,0.25,5,0.6,0,0,0.0,1,1.0,7,0,0,0,0,1,7,9,15.75,8,14,8,0.0,4,0.75,123.7,92.1,31.6,0.0,0.412,0.6,96.03,1.0,0.0,0.857,0.0,0.714,0.857,0.333,0.667,0.536,0.429,0.242,0.125,5,0,7,6,3,3,1,6,3,1,ESPN
2016-10-31,Jakob Poeltl,TOR,DEN,,17:24,0.102,0.1,0.0,0.125,0.313,0.0,0.0,0.0,1.0,0.273,0.03,3,0.0,0,0,0.0,2,0.5,5,0,0,2,0,3,1,-3,11.25,8,17,16,0.0,3,0.0,94.2,105.4,-11.2,0.0,0.143,0.0,95.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.56,0.117,0.071,0,0,1,0,0,0,3,10,0,1,
