DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jamal Crawford,LAC,GSW,,20:10,0.17,0.2,0.077,0.0,0.118,0.5,0.222,0.0,0.0,0.083,0.0,7,0.0,0,1,0.0,0,0.0,2,4,0,0,2,1,0,-14,6.5,0,0,0,,0,0.0,78.3,113.2,-34.9,0.364,0.056,0.0,114.92,0.857,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.69,0.192,0.0,0,0,0,0,15,3,17,12,3,1,ESPN
2016-10-05,Jamal Crawford,LAC,TOR,,20:31,0.168,0.121,0.214,0.0,0.143,0.167,0.364,0.0,0.0,0.125,0.143,4,0.5,2,3,0.667,0,0.0,3,2,0,0,4,1,6,-1,11.25,0,0,0,,0,0.0,96.5,99.6,-3.1,0.154,0.077,0.75,101.39,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.444,0.389,0.116,0.19,0,0,0,0,15,3,10,24,3,2,
2016-10-10,Jamal Crawford,LAC,UTA,,29:02,0.258,0.25,0.235,0.227,0.0,0.364,0.4,0.286,0.0,0.188,0.281,12,0.417,2,4,0.5,5,0.8,0,4,2,0,2,3,16,-1,25.0,0,0,0,,0,0.0,97.1,102.0,-4.8,0.333,0.0,0.5,95.53,0.667,0.333,0.375,0.375,0.313,0.375,0.6,0.4,0.476,0.643,0.229,0.417,5,0,0,6,3,10,7,28,10,2,NBA TV
2016-10-13,Jamal Crawford,LAC,POR,,24:37,0.2,0.229,0.267,0.0,0.043,0.556,0.0,0.0,0.0,0.143,0.14,11,0.273,1,4,0.25,0,0.0,1,5,0,0,0,2,7,3,15.0,0,0,0,,0,0.0,101.9,93.5,8.4,0.313,0.02,0.318,96.87,0.636,0.364,0.571,0.429,0.286,0.286,0.333,0.667,0.487,0.308,0.199,0.19,2,0,0,2,4,8,0,18,8,4,TNT
2016-10-17,Jamal Crawford,LAC,UTA,,22:20,0.281,0.294,0.444,0.2,0.053,0.25,0.273,0.0,0.0,0.1,0.263,10,0.3,2,4,0.5,2,1.0,1,2,0,0,3,1,10,-14,13.25,0,0,0,,0,0.0,81.9,100.5,-18.6,0.2,0.026,0.4,105.44,0.6,0.4,0.2,0.6,0.3,0.2,0.667,0.333,0.605,0.342,0.193,0.111,3,0,0,2,13,0,4,26,0,4,
2016-10-18,Jamal Crawford,LAC,SAC,,24:55,0.208,0.175,0.158,0.4,0.105,0.25,0.3,0.0,0.0,0.077,0.103,7,0.143,0,3,0.0,2,1.0,2,2,0,0,3,1,4,-12,7.5,0,0,0,,0,0.0,76.2,95.9,-19.8,0.154,0.041,0.143,100.52,0.571,0.429,0.5,0.0,0.0,0.5,0.0,1.0,0.432,0.318,0.169,0.25,0,0,0,2,8,6,23,24,6,2,ESPN
2015-10-28,Jamal Crawford,LAC,SAC,,21:08,0.211,0.273,0.1,0.154,0.0,0.25,0.0,0.333,0.0,0.222,0.268,9,0.556,0,1,0.0,2,0.5,0,1,1,0,0,2,11,-5,14.25,2,27,15,0.0667,4,0.5,93.8,94.2,-0.4,0.111,0.0,0.556,105.15,0.889,0.111,0.909,0.0,0.182,0.364,0.0,1.0,0.465,0.256,0.123,0.227,2,2,0,4,9,6,4,20,6,2,
2015-10-29,Jamal Crawford,LAC,DAL,,17:24,0.269,0.314,0.333,0.067,0.125,0.286,0.0,0.0,0.0,0.0,0.326,11,0.545,2,4,0.5,1,1.0,2,2,0,0,0,0,15,12,21.0,2,24,14,0.1429,7,0.571,116.2,88.3,27.9,0.2,0.057,0.636,107.8,0.636,0.364,0.533,0.4,0.0,0.267,0.167,0.833,0.483,0.276,0.208,0.133,0,0,0,4,0,2,2,16,2,2,TNT
2015-10-31,Jamal Crawford,LAC,SAC,,22:59,0.213,0.278,0.333,0.19,0.059,0.0,0.0,0.0,0.0,0.083,0.233,10,0.3,0,3,0.0,4,1.0,1,0,0,0,0,1,10,-11,11.25,3,34,21,0.0,5,0.2,82.3,112.1,-29.8,0.0,0.025,0.3,104.85,0.7,0.3,0.6,0.0,0.2,0.2,0.333,0.667,0.478,0.304,0.104,0.391,2,0,0,2,16,7,7,18,7,3,NBA TV
2015-11-02,Jamal Crawford,LAC,PHX,,26:17,0.197,0.195,0.235,0.333,0.087,0.273,0.0,0.333,0.0,0.182,0.19,8,0.25,1,4,0.25,6,1.0,2,3,1,0,0,2,11,8,19.75,3,38,27,0.1111,6,0.167,107.6,91.7,15.9,0.176,0.037,0.313,99.03,0.5,0.5,0.182,0.273,0.0,0.182,0.5,0.5,0.411,0.143,0.11,0.324,0,2,0,2,1,14,7,24,14,4,
