DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jamal Murray,DEN,TOR,,17:09,0.188,0.161,0.1,0.333,0.176,0.167,0.2,0.0,0.0,0.091,0.273,5,0.6,1,1,1.0,4,0.5,3,1,0,0,1,1,9,-2,14.0,0,0,0,,0,0.0,91.0,96.8,-5.8,0.111,0.075,0.7,101.38,0.8,0.2,0.444,0.333,0.222,0.444,0.667,0.333,0.364,0.424,0.166,0.429,2,3,0,4,4,8,2,16,8,2,
2016-10-07,Jamal Murray,DEN,LAL,,31:35,0.24,0.27,0.3,0.1,0.167,0.5,0.182,0.0,0.2,0.0,0.246,17,0.353,2,6,0.333,2,1.0,7,6,0,1,2,0,16,10,34.25,0,0,0,,0,0.0,90.5,74.7,15.8,0.4,0.095,0.412,110.52,0.647,0.353,0.5,0.375,0.438,0.0,0.333,0.667,0.367,0.234,0.149,0.205,7,5,0,0,16,4,12,34,4,3,NBA TV
2016-10-09,Jamal Murray,DEN,LAL,,21:13,0.226,0.19,0.154,0.111,0.13,0.5,0.571,0.0,0.0,0.063,0.125,8,0.375,0,2,0.0,2,0.0,3,4,0,0,4,1,6,-15,12.75,0,0,0,,0,0.0,104.5,144.6,-40.1,0.286,0.079,0.375,101.22,0.75,0.25,1.0,0.0,0.667,1.0,0.0,1.0,0.776,0.828,0.115,0.077,4,0,0,6,6,1,9,12,1,2,NBA TV
2016-10-12,Jamal Murray,DEN,MIN,G,25:07,0.209,0.237,0.3,0.294,0.091,0.111,0.077,0.0,0.0,0.111,0.298,9,0.444,2,3,0.667,5,0.8,2,1,0,0,1,2,14,-8,18.25,0,0,0,,0,0.0,89.6,100.2,-10.7,0.091,0.043,0.556,102.59,0.667,0.333,0.286,0.429,0.071,0.143,0.75,0.25,0.393,0.643,0.164,0.333,1,0,2,2,10,11,6,20,11,3,
2016-10-14,Jamal Murray,DEN,GSW,,27:23,0.285,0.267,0.368,0.077,0.179,0.538,0.667,0.4,0.5,0.176,0.242,16,0.375,3,7,0.429,1,1.0,5,7,2,1,4,3,16,-9,36.5,0,0,0,,0,0.0,106.9,125.9,-19.0,0.368,0.086,0.469,106.3,0.563,0.438,0.375,0.563,0.313,0.125,0.167,0.833,0.6,0.48,0.134,0.333,5,0,4,2,3,15,9,20,15,2,
2016-10-16,Jamal Murray,DEN,POR,,33:50,0.19,0.177,0.059,0.261,0.184,0.231,0.2,0.333,0.5,0.333,0.205,11,0.455,1,1,1.0,6,0.667,7,3,3,1,1,4,15,21,35.5,0,0,0,,0,0.0,110.4,76.4,34.0,0.136,0.092,0.5,95.17,0.909,0.091,0.533,0.2,0.2,0.267,0.2,0.8,0.356,0.271,0.191,0.289,3,3,3,4,0,8,2,18,8,3,NBA TV
2016-10-18,Jamal Murray,DEN,OKC,,24:33,0.27,0.327,0.4,0.067,0.12,0.333,0.111,0.25,0.333,0.143,0.188,16,0.25,0,6,0.0,1,1.0,3,3,1,1,1,1,9,-3,20.0,0,0,0,,0,0.0,84.8,90.9,-6.1,0.231,0.058,0.25,110.16,0.625,0.375,0.889,0.0,0.333,0.444,0.5,0.5,0.426,0.13,0.125,0.32,3,2,1,4,14,16,5,32,16,2,
2016-10-21,Jamal Murray,DEN,DAL,,22:23,0.301,0.289,0.429,0.0,0.115,0.333,0.364,0.0,0.0,0.2,0.152,11,0.182,1,6,0.167,0,0.0,3,3,0,0,4,2,5,-3,11.0,0,0,0,,0,0.0,75.2,81.7,-6.5,0.231,0.071,0.227,94.31,0.455,0.545,0.4,0.6,0.0,0.4,1.0,0.0,0.397,0.179,0.113,0.13,0,2,0,2,6,6,3,14,6,0,
2016-10-26,Jamal Murray,DEN,NOP,,13:15,0.126,0.087,0.143,1.0,0.222,0.167,0.143,0.0,0.0,0.0,0.034,2,0.0,0,1,0.0,2,0.5,4,1,0,0,1,0,1,8,6.75,5,14,12,0.0833,1,0.0,97.1,71.9,25.1,0.077,0.16,0.0,107.08,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.192,0.068,0.056,0,0,0,0,4,0,2,8,0,1,
2016-10-29,Jamal Murray,DEN,POR,,11:48,0.074,0.095,0.0,0.0,0.091,0.333,0.0,0.5,0.0,0.125,0.0,2,0.0,0,0,0.0,0,0.0,1,2,1,0,0,1,0,-5,5.75,3,13,10,0.2,2,0.0,95.2,112.6,-17.3,0.222,0.045,0.0,103.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.182,0.078,0.0,0,0,0,0,0,0,3,8,0,1,
