DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jameer Nelson,DEN,TOR,,16:09,0.18,0.182,0.2,0.133,0.1,0.5,0.25,0.0,0.0,0.5,0.147,4,0.5,0,2,0.0,2,0.5,1,4,0,0,1,3,5,-5,10.75,0,0,0,,0,0.0,111.1,119.9,-8.8,0.444,0.05,0.5,93.8,0.5,0.5,0.8,0.0,0.0,0.0,0.5,0.5,0.708,0.333,0.185,0.111,0,0,0,0,6,0,2,14,0,1,
2016-10-07,Jameer Nelson,DEN,LAL,,15:34,0.142,0.148,0.286,0.0,0.056,0.5,0.222,0.0,0.0,0.0,0.074,4,0.25,0,2,0.0,0,0.0,1,2,0,0,2,0,2,-9,4.75,0,0,0,,0,0.0,72.7,88.8,-16.2,0.333,0.029,0.25,119.76,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.417,0.222,0.148,0.278,0,0,0,0,15,4,9,24,4,0,NBA TV
2016-10-12,Jameer Nelson,DEN,MIN,G,24:22,0.124,0.162,0.273,0.0,0.0,0.2,0.083,0.0,0.0,0.105,0.063,6,0.167,1,3,0.333,0,0.0,0,2,0,0,1,2,3,-15,5.5,0,0,0,,0,0.0,95.1,122.0,-26.9,0.143,0.0,0.25,100.58,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.816,0.136,0.368,0,0,0,0,13,13,6,20,13,1,
2016-10-14,Jameer Nelson,DEN,GSW,,20:37,0.119,0.116,0.182,0.0,0.0,0.231,0.25,0.0,0.0,0.182,0.064,5,0.2,1,2,0.5,0,0.0,0,3,0,0,1,2,3,0,6.75,0,0,0,,0,0.0,105.6,101.8,3.8,0.167,0.0,0.3,105.56,0.6,0.4,0.0,1.0,1.0,0.0,0.0,1.0,0.529,0.4,0.195,0.222,3,0,0,0,1,3,3,14,3,1,
2016-10-16,Jameer Nelson,DEN,POR,G,26:46,0.203,0.233,0.333,0.0,0.107,0.364,0.286,0.333,0.0,0.5,0.2,10,0.5,2,5,0.4,0,0.0,3,4,2,0,2,2,12,1,24.75,0,0,0,,0,0.0,112.7,108.9,3.8,0.267,0.053,0.6,96.33,0.5,0.5,0.5,0.5,0.0,0.333,0.6,0.4,0.528,0.094,0.129,0.267,0,0,0,4,9,8,5,12,8,0,NBA TV
2016-10-18,Jameer Nelson,DEN,OKC,G,26:14,0.106,0.143,0.357,0.0,0.111,0.333,0.0,0.0,0.0,0.111,0.122,7,0.286,1,5,0.2,0,0.0,3,2,0,0,0,1,5,-18,11.75,0,0,0,,0,0.0,70.9,105.1,-34.1,0.167,0.051,0.357,104.26,0.286,0.714,0.4,0.6,0.0,0.4,1.0,0.0,0.51,0.286,0.107,0.208,0,0,2,2,8,10,12,32,10,1,
2016-10-21,Jameer Nelson,DEN,DAL,G,22:04,0.121,0.161,0.3,0.0,0.05,0.25,0.083,0.25,0.0,0.063,0.049,5,0.2,1,3,0.333,0,0.0,1,4,1,0,1,1,3,31,11.25,0,0,0,,0,0.0,130.9,66.7,64.2,0.2,0.034,0.3,99.58,0.4,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.387,0.29,0.267,0.105,0,0,3,0,4,0,2,12,0,2,
2015-10-28,Jameer Nelson,DEN,HOU,,24:30,0.217,0.209,0.294,0.0,0.208,0.333,0.375,0.25,0.0,0.375,0.2,9,0.444,2,5,0.4,0,0.0,5,3,1,0,3,6,10,6,21.5,13,49,34,0.0882,3,0.333,99.2,87.2,12.0,0.214,0.1,0.556,98.82,0.444,0.556,0.4,0.6,0.2,0.2,0.25,0.75,0.384,0.395,0.158,0.296,2,0,0,2,11,6,6,22,6,0,
2015-10-30,Jameer Nelson,DEN,MIN,,25:42,0.18,0.208,0.235,0.0,0.063,0.444,0.125,0.333,0.0,0.133,0.073,10,0.1,1,4,0.25,0,0.0,2,4,1,0,1,2,3,2,12.5,6,59,43,0.093,6,0.0,77.0,71.3,5.6,0.308,0.033,0.15,100.82,0.6,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.308,0.564,0.183,0.143,0,0,0,0,6,0,4,10,0,3,
2015-11-01,Jameer Nelson,DEN,OKC,,27:03,0.234,0.228,0.294,0.143,0.048,0.583,0.333,0.333,0.0,0.3,0.21,13,0.385,2,5,0.4,1,1.0,1,7,1,0,2,3,13,-6,25.0,4,70,53,0.1321,6,0.667,110.6,130.1,-19.5,0.35,0.023,0.462,96.13,0.615,0.385,0.462,0.462,0.231,0.308,0.4,0.6,0.682,0.273,0.172,0.353,3,3,3,4,7,6,5,18,6,4,
