DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,James Harden,HOU,SDS,G,28:37,0.199,0.186,0.25,0.286,0.1,0.435,0.25,0.6,0.25,0.125,0.205,11,0.455,2,6,0.333,4,1.0,3,10,3,1,1,1,16,22,40.75,0,0,0,,0,0.0,131.8,88.2,43.7,0.385,0.058,0.545,102.89,0.455,0.545,0.375,0.375,0.375,0.25,0.2,0.8,0.49,0.157,0.173,0.091,6,0,2,4,7,4,11,38,4,4,NBA TV
2016-10-04,James Harden,HOU,NYK,G,29:49,0.302,0.204,0.258,0.632,0.2,0.647,0.625,0.0,0.0,0.167,0.308,11,0.636,4,8,0.5,12,0.833,6,11,0,0,5,2,28,28,48.75,0,0,0,,0,0.0,133.1,96.3,36.8,0.478,0.113,0.818,107.64,0.273,0.727,0.214,0.429,0.107,0.214,0.0,1.0,0.466,0.172,0.122,0.152,3,5,6,6,10,5,0,16,5,8,ESPN
2016-10-09,James Harden,HOU,NOP,G,36:36,0.351,0.281,0.333,0.522,0.241,0.682,0.533,0.5,0.0,0.115,0.268,18,0.333,3,9,0.333,12,0.917,7,15,2,0,8,3,26,0,55.0,0,0,0,,0,0.0,116.7,117.4,-0.7,0.556,0.119,0.417,108.71,0.5,0.5,0.231,0.346,0.0,0.231,0.0,1.0,0.57,0.484,0.121,0.179,0,0,0,6,18,11,8,40,11,7,NBA TV
2016-10-12,James Harden,HOU,NOP,G,24:16,0.324,0.256,0.353,0.364,0.25,0.571,0.714,0.2,0.0,0.083,0.269,11,0.455,0,6,0.0,4,1.0,6,8,1,0,5,1,14,11,31.0,0,0,0,,0,0.0,104.3,76.7,27.7,0.571,0.128,0.455,102.18,0.455,0.545,0.714,0.0,0.429,0.286,0.6,0.4,0.345,0.405,0.187,0.24,6,2,2,4,8,8,7,16,8,3,NBA TV
2016-10-15,James Harden,HOU,MEM,G,28:08,0.275,0.146,0.063,0.476,0.385,0.563,0.538,0.25,0.0,0.188,0.237,6,0.333,0,1,0.0,10,1.0,10,9,1,0,7,3,14,-13,36.25,0,0,0,,0,0.0,97.9,111.7,-13.8,0.529,0.208,0.333,106.36,0.833,0.167,0.286,0.0,0.0,0.286,0.0,1.0,0.552,0.542,0.14,0.148,0,0,0,4,18,10,8,22,10,6,
2016-10-19,James Harden,HOU,DAL,G,29:06,0.307,0.259,0.231,0.5,0.139,0.786,0.444,0.25,0.5,0.167,0.343,14,0.571,2,6,0.333,8,0.625,5,11,1,1,4,2,23,12,46.0,0,0,0,,0,0.0,113.5,90.8,22.7,0.688,0.088,0.643,98.69,0.571,0.429,0.522,0.261,0.13,0.348,0.125,0.875,0.438,0.313,0.132,0.074,3,4,0,8,12,2,4,12,2,4,
2015-10-28,James Harden,HOU,DEN,G,36:23,0.305,0.309,0.444,0.409,0.171,0.545,0.214,0.2,0.286,0.133,0.349,21,0.286,2,12,0.167,9,0.889,6,6,2,2,3,2,22,-20,44.5,9,78,45,0.1333,14,0.429,80.1,109.2,-29.1,0.375,0.082,0.333,102.06,0.429,0.571,0.364,0.273,0.227,0.364,0.167,0.833,0.61,0.271,0.224,0.241,5,2,0,8,12,6,8,34,6,7,
2015-10-30,James Harden,HOU,GSW,G,37:00,0.287,0.29,0.5,0.296,0.171,0.385,0.267,0.5,0.143,0.143,0.258,18,0.222,1,10,0.1,8,0.875,7,5,1,1,4,2,16,-22,33.5,13,73,45,0.1111,7,0.143,78.6,107.6,-29.0,0.333,0.088,0.25,101.79,0.444,0.556,0.375,0.188,0.063,0.125,0.25,0.75,0.514,0.219,0.09,0.225,1,3,2,2,17,11,17,40,11,6,ESPN
2015-11-01,James Harden,HOU,MIA,G,39:06,0.304,0.246,0.345,0.778,0.24,0.467,0.294,0.5,0.333,0.1,0.216,15,0.133,0,10,0.0,14,0.857,6,7,3,1,5,2,16,-23,37.75,13,99,69,0.1014,8,0.25,88.2,117.1,-29.0,0.304,0.094,0.133,102.33,0.333,0.667,0.25,0.0,0.188,0.25,0.5,0.5,0.563,0.278,0.145,0.303,3,2,0,4,22,17,16,56,17,9,
2015-11-02,James Harden,HOU,OKC,G,38:28,0.365,0.382,0.48,0.407,0.179,0.231,0.2,0.188,0.333,0.059,0.425,26,0.462,4,12,0.333,11,0.818,5,3,3,2,2,1,37,6,58.0,10,83,44,0.0682,15,0.4,105.0,95.4,9.6,0.158,0.07,0.538,104.69,0.538,0.462,0.432,0.324,0.081,0.27,0.167,0.833,0.515,0.273,0.259,0.344,3,4,2,10,5,16,7,32,16,10,NBA TV
