DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,James Johnson,MIA,WAS,,18:25,0.179,0.172,0.111,0.273,0.333,0.125,0.143,0.2,0.0,0.222,0.189,5,0.6,0,1,0.0,3,0.333,7,1,1,0,1,2,7,7,18.5,0,0,0,,0,0.0,97.8,74.5,23.3,0.1,0.175,0.6,101.78,0.8,0.2,0.857,0.0,0.286,0.857,0.667,0.333,0.348,0.364,0.149,0.182,2,4,0,6,6,2,4,16,2,2,
2016-10-08,James Johnson,MIA,MIN,F,21:26,0.116,0.143,0.5,0.118,0.1,0.222,0.0,0.0,0.25,0.286,0.093,5,0.2,1,3,0.333,2,0.5,2,2,0,1,0,4,4,-8,11.5,0,0,0,,0,0.0,88.7,105.7,-17.0,0.143,0.048,0.3,108.3,0.4,0.6,0.0,0.75,0.0,0.0,1.0,0.0,0.463,0.525,0.083,0.217,0,0,0,0,8,7,11,16,7,2,
2016-10-11,James Johnson,MIA,BKN,,5:30,0.081,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.182,0,0.0,0,0,0.0,2,1.0,0,0,0,0,0,1,2,-8,2.0,0,0,0,,0,0.0,101.1,178.6,-77.5,0.0,0.0,0.0,93.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.75,0.0,0.0,0,0,0,0,0,0,0,2,0,1,NBA TV
2016-10-14,James Johnson,MIA,SAS,,18:10,0.264,0.286,0.154,0.286,0.167,0.273,0.143,0.0,0.0,0.444,0.326,10,0.6,1,2,0.5,2,1.0,3,3,0,0,1,4,15,9,22.5,0,0,0,,0,0.0,109.3,88.9,20.4,0.25,0.091,0.65,110.53,0.8,0.2,0.667,0.2,0.133,0.533,0.5,0.5,0.406,0.469,0.144,0.167,2,2,4,8,11,5,2,10,5,1,
2016-10-15,James Johnson,MIA,MIN,,26:34,0.227,0.208,0.273,0.267,0.136,0.308,0.333,0.222,0.0,0.077,0.214,10,0.3,2,6,0.333,4,1.0,3,4,2,0,2,1,12,6,24.75,0,0,0,,0,0.0,104.5,95.3,9.2,0.267,0.06,0.4,95.83,0.4,0.6,0.167,0.5,0.583,0.167,0.667,0.333,0.459,0.459,0.286,0.318,7,2,0,2,6,11,2,18,11,2,
2016-10-18,James Johnson,MIA,ORL,,9:13,0.26,0.25,0.0,0.5,0.273,0.0,0.0,0.0,1.0,0.333,0.273,4,0.5,0,0,0.0,2,1.0,3,0,0,3,0,1,6,13,15.75,0,0,0,,0,0.0,123.9,43.4,80.5,0.0,0.158,0.5,100.31,1.0,0.0,0.667,0.0,0.333,0.667,0.0,1.0,0.176,0.235,0.145,0.091,2,2,0,4,2,0,2,6,0,3,
2016-10-21,James Johnson,MIA,PHI,,16:24,0.23,0.227,0.4,0.083,0.222,0.143,0.5,0.0,0.333,0.5,0.111,5,0.4,0,2,0.0,2,0.5,4,1,0,1,3,6,5,5,11.75,0,0,0,,0,0.0,116.7,102.5,14.2,0.077,0.138,0.4,113.56,0.6,0.4,0.8,0.0,0.0,0.8,0.0,1.0,0.467,0.533,0.102,0.1,0,0,0,4,10,5,3,12,5,2,
2015-10-28,James Johnson,TOR,IND,,3:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,6,0.0,0,3,3,0.0,0,0.0,107.3,68.0,39.3,0.0,0.0,0.0,120.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.17,0.0,0,0,0,0,2,0,2,2,0,0,
2015-10-30,James Johnson,TOR,BOS,,7:54,0.0,0.0,0.0,0.0,0.143,0.25,0.0,0.0,0.0,0.333,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,0,0,1,0,4,2.5,2,9,9,0.1111,0,0.0,106.3,77.6,28.7,0.125,0.067,0.0,99.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.286,0.179,0.222,0,0,0,0,1,4,5,6,4,0,
2015-11-01,James Johnson,TOR,MIL,,2:22,0.143,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-2,-0.5,0,4,3,0.0,0,0.0,33.3,69.4,-36.1,0.0,0.0,0.0,119.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.174,0.0,0,0,0,0,2,0,2,0,0,0,NBA TV
