DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,James Jones,CLE,ORL,,6:56,0.25,0.273,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.368,3,0.667,2,3,0.667,2,0.5,0,0,0,0,0,0,7,-1,8.0,0,0,0,,0,0.0,122.4,126.9,-4.5,0.0,0.0,1.0,108.28,0.0,1.0,0.0,0.857,0.0,0.0,1.0,0.0,0.654,0.308,0.127,0.167,0,0,3,0,2,2,4,14,2,1,NBA TV
2016-10-10,James Jones,CLE,ATL,F,31:16,0.149,0.154,0.368,0.211,0.179,0.167,0.083,0.0,0.0,0.167,0.19,8,0.375,2,7,0.286,4,1.0,5,2,0,0,1,3,12,-7,21.25,0,0,0,,0,0.0,90.8,105.4,-14.5,0.118,0.088,0.5,104.26,0.125,0.875,0.167,0.5,0.167,0.0,1.0,0.0,0.51,0.5,0.12,0.167,2,0,0,0,9,4,6,40,4,2,
2016-10-14,James Jones,CLE,CHI,,23:45,0.094,0.114,0.357,0.0,0.083,0.2,0.0,0.0,0.333,0.091,0.188,5,0.6,3,5,0.6,0,0.0,1,2,0,1,0,1,9,-18,16.25,0,0,0,,0,0.0,93.4,126.2,-32.9,0.143,0.022,0.9,104.77,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.633,0.267,0.21,0.474,0,0,0,0,10,19,8,34,19,0,NBA TV
2015-10-27,James Jones,CLE,CHI,,3:49,0.25,0.286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,2,0.0,0,2,0.0,0,0.0,0,0,0,1,0,1,0,-7,2.0,1,6,4,0.0,0,0.0,25.0,104.2,-79.2,0.0,0.0,0.0,104.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.857,0.116,0.5,0,0,0,0,2,4,2,2,4,0,TNT
2015-10-28,James Jones,CLE,MEM,,5:15,0.216,0.182,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.188,2,0.5,1,1,1.0,0,0.0,0,0,0,0,1,1,3,2,3.0,1,8,5,0.0,0,0.0,124.2,102.6,21.6,0.0,0.0,0.75,121.23,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.556,0.667,0.22,0.25,3,3,0,0,0,2,0,8,2,0,
2015-10-30,James Jones,CLE,MIA,,1:28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-4,1.25,1,6,4,0.0,0,0.0,100.0,203.5,-103.5,0.0,0.5,0.0,105.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,0.333,0.0,0.0,0,0,0,0,2,0,2,4,0,0,ESPN
2015-11-02,James Jones,CLE,PHI,,15:03,0.198,0.231,0.556,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.343,6,0.667,4,5,0.8,0,0.0,1,0,0,0,0,0,12,-5,15.25,3,28,21,0.0,2,0.5,119.4,133.5,-14.1,0.0,0.043,1.0,94.53,0.167,0.833,0.0,1.0,0.25,0.0,1.0,0.0,0.68,0.36,0.1,0.167,3,0,0,0,6,0,5,20,0,0,
2015-11-04,James Jones,CLE,NYK,,11:03,0.183,0.188,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.294,3,0.333,0,2,0.0,3,1.0,0,0,0,0,0,1,5,-3,5.0,2,19,15,0.0,1,1.0,78.6,94.9,-16.3,0.0,0.0,0.333,92.79,0.333,0.667,0.4,0.0,0.0,0.0,1.0,0.0,0.368,0.368,0.047,0.167,0,0,0,0,7,0,0,8,0,1,ESPN
2015-11-06,James Jones,CLE,PHI,,12:35,0.228,0.222,0.5,0.0,0.308,0.4,0.5,0.0,0.0,0.2,0.125,6,0.167,1,4,0.25,0,0.0,4,2,0,0,1,1,3,-4,10.5,8,30,22,0.0909,3,0.333,89.7,118.4,-28.8,0.25,0.129,0.25,96.13,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.568,0.273,0.127,0.308,0,0,0,0,3,2,0,10,2,0,
2015-11-08,James Jones,CLE,IND,,3:05,0.155,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.667,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,2,0,1,-0.5,1,2,1,0.0,0,0.0,108.7,87.2,21.5,0.0,0.0,0.0,103.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0.0,0.0,0,0,0,0,4,2,0,2,2,0,
