DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jared Dudley,PHX,SAS,F,23:00,0.127,0.105,0.375,0.105,0.095,0.111,0.25,0.5,0.667,0.143,0.125,4,0.5,1,3,0.333,2,0.5,2,1,3,2,2,1,6,10,19.25,0,0,0,,0,0.0,101.4,79.0,22.3,0.077,0.051,0.625,99.59,0.25,0.75,0.333,0.5,1.0,0.333,0.5,0.5,0.515,0.212,0.333,0.222,6,2,0,2,8,2,5,12,2,4,
2016-10-07,Jared Dudley,PHX,POR,F,20:41,0.08,0.103,0.429,0.0,0.167,0.167,0.0,0.0,0.0,0.167,0.113,4,0.5,2,3,0.667,0,0.0,3,2,0,0,0,2,6,7,13.25,0,0,0,,0,0.0,112.3,103.9,8.4,0.091,0.083,0.75,106.15,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.474,0.316,0.181,0.318,0,0,0,0,7,8,0,16,8,2,
2016-10-12,Jared Dudley,PHX,UTA,F,15:21,0.16,0.125,0.4,0.182,0.273,0.6,0.25,0.25,0.0,0.313,0.056,3,0.333,0,2,0.0,2,0.0,3,3,1,0,2,5,2,3,10.5,0,0,0,,0,0.0,100.4,94.8,5.6,0.273,0.125,0.333,110.45,0.333,0.667,1.0,0.0,0.0,1.0,1.0,0.0,0.405,0.952,0.23,0.231,0,0,0,2,5,4,3,12,4,2,NBA TV
2016-10-14,Jared Dudley,PHX,DAL,F,27:57,0.177,0.173,0.292,0.125,0.15,0.067,0.25,0.111,0.0,0.154,0.211,9,0.556,3,7,0.429,2,1.0,3,1,1,0,2,2,15,1,22.5,0,0,0,,0,0.0,116.3,116.4,0.0,0.056,0.059,0.722,104.07,0.222,0.778,0.267,0.6,0.133,0.133,0.8,0.2,0.548,0.269,0.199,0.417,2,5,2,2,13,14,5,22,14,3,
2016-10-21,Jared Dudley,PHX,LAL,F,28:33,0.1,0.102,0.167,0.08,0.125,0.167,0.111,0.571,0.0,0.2,0.183,5,0.8,2,2,1.0,2,0.5,4,2,4,0,1,3,11,9,27.0,0,0,0,,0,0.0,100.0,83.4,16.6,0.125,0.068,1.0,101.83,0.6,0.4,0.364,0.545,0.0,0.0,1.0,0.0,0.41,0.28,0.196,0.233,0,3,0,0,7,3,14,18,3,3,
2015-10-30,Jared Dudley,WAS,MIL,,25:22,0.089,0.081,0.067,0.091,0.333,0.125,0.125,0.25,0.25,0.214,0.085,3,0.667,1,1,1.0,2,0.5,6,2,1,1,1,3,6,15,20.0,9,44,38,0.0526,2,0.5,134.8,105.6,29.2,0.1,0.171,0.833,100.02,0.667,0.333,0.333,0.5,0.0,0.333,1.0,0.0,0.512,0.381,0.151,0.2,0,0,0,2,10,8,2,20,8,3,
2015-10-31,Jared Dudley,WAS,NYK,,17:49,0.077,0.063,0.286,0.0,0.273,0.25,0.5,0.333,0.0,0.3,0.0,2,0.0,0,2,0.0,0,0.0,3,1,1,0,1,3,0,-2,6.5,6,25,21,0.0476,0,0.0,114.0,107.7,6.3,0.067,0.12,0.0,104.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.367,0.196,0.182,0,0,0,0,2,7,2,10,7,0,
2015-11-04,Jared Dudley,WAS,SAS,,17:12,0.099,0.088,0.111,0.0,0.182,0.083,0.5,0.167,0.0,0.125,0.085,3,0.667,0,1,0.0,0,0.0,2,1,1,0,1,1,4,14,9.25,4,37,33,0.0303,1,1.0,122.4,86.9,35.5,0.059,0.074,0.667,106.55,0.667,0.333,1.0,0.0,0.0,0.0,0.5,0.5,0.542,0.375,0.29,0.1,0,0,0,0,0,0,4,10,0,0,
2015-11-06,Jared Dudley,WAS,BOS,,27:08,0.15,0.159,0.308,0.125,0.28,0.1,0.133,0.25,0.0,0.0,0.186,7,0.429,1,4,0.25,2,0.5,7,1,1,0,2,0,8,-23,19.5,17,54,42,0.0238,0,0.0,70.4,109.1,-38.7,0.091,0.125,0.5,107.49,0.429,0.571,0.5,0.375,0.0,0.0,1.0,0.0,0.473,0.309,0.116,0.31,0,0,3,0,19,11,13,30,11,1,
2015-11-07,Jared Dudley,WAS,ATL,,20:14,0.129,0.135,0.167,0.0,0.071,0.0,0.143,0.0,0.5,0.0,0.082,5,0.4,0,2,0.0,0,0.0,1,0,0,1,1,0,4,4,6.75,2,34,28,0.0,1,0.0,112.3,110.4,1.9,0.0,0.032,0.4,100.11,0.6,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.554,0.108,0.172,0.313,0,0,0,0,11,4,6,28,4,0,
