DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Jared Sullinger,TOR,GSW,F,23:16,0.177,0.154,0.231,0.222,0.357,0.0,0.214,0.1,0.5,0.133,0.14,6,0.333,0,3,0.0,4,0.75,10,0,1,1,3,2,7,-2,22.0,0,0,0,,0,0.0,92.7,92.6,0.1,0.0,0.227,0.333,113.55,0.5,0.5,0.571,0.0,0.286,0.286,0.0,1.0,0.5,0.341,0.214,0.125,2,2,2,2,8,11,7,14,11,2,NBA TV
2015-10-28,Jared Sullinger,BOS,PHI,,21:03,0.185,0.211,0.154,0.0,0.438,0.167,0.125,0.143,0.333,0.333,0.279,8,0.75,0,2,0.0,0,0.0,7,2,1,1,1,3,12,5,26.75,10,31,22,0.0909,4,1.0,92.2,85.6,6.6,0.182,0.175,0.75,103.79,0.75,0.25,1.0,0.0,0.667,0.667,0.667,0.333,0.414,0.286,0.27,0.333,8,4,2,8,9,8,4,18,8,2,
2015-10-30,Jared Sullinger,BOS,TOR,,14:14,0.124,0.143,0.0,0.05,0.333,0.2,0.167,0.143,1.0,0.5,0.194,3,1.0,0,0,0.0,1,0.0,3,1,1,1,1,6,6,-3,14.5,5,24,19,0.0526,1,1.0,89.1,104.6,-15.5,0.25,0.115,1.0,113.55,1.0,0.0,1.0,0.0,0.333,0.333,0.667,0.333,0.563,0.333,0.277,0.333,2,0,0,2,11,7,0,12,7,2,
2015-11-01,Jared Sullinger,BOS,SAS,,23:31,0.223,0.245,0.308,0.0,0.533,0.2,0.2,0.167,0.0,0.3,0.217,12,0.333,2,4,0.5,0,0.0,8,2,1,0,1,3,10,-10,25.0,12,54,35,0.0571,4,0.25,91.3,113.1,-21.8,0.154,0.205,0.417,101.94,0.667,0.333,0.4,0.6,0.0,0.2,0.75,0.25,0.6,0.2,0.202,0.364,0,0,2,2,6,4,2,22,4,1,
2015-11-04,Jared Sullinger,BOS,IND,C,27:18,0.191,0.217,0.176,0.105,0.407,0.167,0.125,0.4,1.0,0.375,0.143,10,0.3,1,3,0.333,2,1.0,11,2,2,2,1,3,9,2,33.25,21,46,32,0.0625,6,0.333,118.1,110.1,8.0,0.118,0.19,0.35,95.61,0.7,0.3,0.444,0.333,0.222,0.444,0.667,0.333,0.473,0.179,0.144,0.419,2,0,4,4,9,18,2,16,18,1,
2015-11-06,Jared Sullinger,BOS,WAS,C,21:39,0.25,0.289,0.286,0.0,0.348,0.214,0.182,0.125,0.667,0.222,0.35,13,0.692,3,4,0.75,0,0.0,8,3,1,2,2,2,21,9,41.25,12,51,37,0.0811,5,0.8,115.5,102.7,12.7,0.2,0.195,0.808,112.61,0.692,0.308,0.571,0.429,0.0,0.286,0.667,0.333,0.561,0.146,0.201,0.211,0,0,2,6,12,7,20,26,7,1,
2015-11-10,Jared Sullinger,BOS,MIL,C,20:01,0.22,0.278,0.182,0.0,0.526,0.429,0.0,0.5,1.0,0.25,0.324,10,0.5,1,2,0.5,0,0.0,10,3,1,1,0,2,11,-5,31.75,19,44,34,0.0882,4,0.5,88.5,105.9,-17.3,0.429,0.256,0.55,90.21,0.8,0.2,0.727,0.273,0.0,0.364,0.6,0.4,0.484,0.344,0.109,0.25,0,2,2,4,9,7,6,22,7,2,
2015-11-11,Jared Sullinger,BOS,IND,C,33:01,0.199,0.196,0.2,0.0,0.393,0.143,0.286,0.143,0.0,0.176,0.175,10,0.5,1,3,0.333,0,0.0,11,2,1,0,4,3,11,-4,27.75,20,53,37,0.0541,5,0.6,95.1,94.3,0.7,0.1,0.22,0.55,99.82,0.7,0.3,0.727,0.273,0.182,0.727,0.6,0.4,0.5,0.276,0.155,0.172,2,0,4,8,13,6,11,40,6,2,
2015-11-13,Jared Sullinger,BOS,ATL,C,23:59,0.2,0.216,0.063,0.0,0.385,0.143,0.167,0.2,0.333,0.25,0.185,11,0.455,0,1,0.0,0,0.0,10,2,1,1,1,2,10,11,28.5,15,45,32,0.0625,6,0.667,103.7,92.7,11.0,0.118,0.238,0.455,98.55,0.909,0.091,1.0,0.0,0.0,0.6,0.4,0.6,0.486,0.278,0.172,0.1,0,0,4,6,7,4,2,28,4,1,
2015-11-15,Jared Sullinger,BOS,OKC,C,31:23,0.21,0.2,0.176,0.273,0.484,0.188,0.231,0.5,0.2,0.176,0.125,11,0.273,0,3,0.0,3,0.667,15,3,4,1,3,3,8,5,39.0,19,52,37,0.0811,3,0.667,98.7,91.5,7.2,0.136,0.3,0.273,98.88,0.727,0.273,0.75,0.0,0.0,0.5,0.667,0.333,0.44,0.34,0.202,0.207,0,0,3,4,15,9,3,12,9,4,
2015-11-16,Jared Sullinger,BOS,HOU,C,25:26,0.144,0.184,0.111,0.0,0.273,0.2,0.0,0.0,0.5,0.111,0.141,9,0.444,1,2,0.5,0,0.0,6,3,0,1,0,1,9,20,22.75,13,36,27,0.1111,2,0.5,117.6,84.2,33.5,0.136,0.133,0.5,100.67,0.778,0.222,0.667,0.333,0.0,0.667,0.75,0.25,0.474,0.308,0.306,0.364,0,0,2,6,5,5,7,12,5,0,
2015-11-18,Jared Sullinger,BOS,DAL,C,30:26,0.282,0.322,0.188,0.25,0.4,0.214,0.091,0.111,0.0,0.158,0.265,19,0.368,1,3,0.333,4,0.75,12,3,1,0,1,3,18,0,38.75,15,62,38,0.0789,13,0.385,98.5,105.9,-7.4,0.158,0.222,0.395,105.11,0.842,0.158,0.667,0.167,0.0,0.556,0.286,0.714,0.542,0.438,0.156,0.12,0,0,6,10,21,4,10,18,4,3,
2015-11-20,Jared Sullinger,BOS,BKN,C,19:16,0.169,0.167,0.0,0.5,0.308,0.167,0.0,0.167,0.0,0.125,0.148,6,0.5,0,0,0.0,2,1.0,4,3,1,0,0,1,8,21,18.75,12,31,24,0.125,4,0.5,135.8,77.8,58.0,0.167,0.129,0.5,102.34,1.0,0.0,0.75,0.0,0.25,0.5,1.0,0.0,0.387,0.323,0.259,0.25,2,0,0,4,2,4,6,12,4,1,
2015-11-22,Jared Sullinger,BOS,BKN,C,30:19,0.188,0.192,0.111,0.133,0.5,0.2,0.2,0.0,0.0,0.15,0.138,10,0.3,1,3,0.333,2,1.0,10,3,0,0,2,3,9,-10,24.75,19,62,48,0.0625,3,0.333,103.8,124.1,-20.3,0.158,0.185,0.35,97.43,0.7,0.3,0.444,0.333,0.0,0.222,0.667,0.333,0.55,0.52,0.149,0.417,0,0,2,2,19,12,5,32,12,2,
2015-11-24,Jared Sullinger,BOS,ATL,C,21:27,0.153,0.128,0.0,0.538,0.313,0.222,0.0,0.0,0.0,0.125,0.167,5,0.4,0,0,0.0,7,0.429,5,2,0,0,0,1,7,-19,15.75,9,44,34,0.0588,3,0.667,91.9,125.7,-33.9,0.154,0.143,0.4,105.44,1.0,0.0,0.571,0.0,0.0,0.571,0.0,1.0,0.711,0.211,0.185,0.182,0,0,2,4,15,9,7,28,9,4,TNT
2015-11-25,Jared Sullinger,BOS,PHI,C,32:23,0.174,0.203,0.263,0.0,0.417,0.214,0.083,0.0,0.333,0.429,0.143,12,0.333,1,5,0.2,0,0.0,15,3,0,1,1,3,9,11,33.5,28,61,46,0.0652,5,0.4,90.6,76.0,14.6,0.143,0.227,0.375,102.22,0.583,0.417,0.667,0.333,0.222,0.444,1.0,0.0,0.402,0.179,0.175,0.114,2,0,2,4,9,6,8,22,6,0,
2015-11-27,Jared Sullinger,BOS,WAS,C,23:42,0.253,0.24,0.063,0.333,0.469,0.2,0.286,0.0,0.4,0.2,0.31,12,0.667,0,1,0.0,4,0.5,15,3,0,2,2,1,18,22,43.5,19,65,49,0.0612,6,0.833,115.4,72.7,42.7,0.214,0.283,0.667,101.06,0.917,0.083,0.889,0.0,0.167,0.556,0.625,0.375,0.363,0.2,0.242,0.231,3,0,7,10,5,4,4,12,4,4,
2015-11-29,Jared Sullinger,BOS,ORL,C,26:42,0.16,0.146,0.0,0.182,0.478,0.143,0.222,0.6,0.5,0.091,0.063,7,0.143,0,0,0.0,2,0.5,11,2,3,3,2,1,3,-4,30.25,15,55,43,0.0465,4,0.25,86.0,90.4,-4.4,0.111,0.208,0.143,101.9,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.404,0.14,0.156,0.414,0,0,3,2,9,18,4,24,18,4,
2015-11-30,Jared Sullinger,BOS,MIA,C,33:47,0.176,0.175,0.154,0.176,0.24,0.167,0.182,0.083,0.0,0.231,0.227,10,0.7,1,2,0.5,3,0.667,6,3,1,0,2,3,17,17,29.75,13,59,44,0.0682,5,0.6,111.1,92.0,19.1,0.15,0.111,0.75,92.71,0.8,0.2,0.706,0.176,0.0,0.471,0.571,0.429,0.479,0.333,0.254,0.32,0,0,9,8,10,15,9,38,15,6,
2015-12-03,Jared Sullinger,BOS,SAC,C,14:13,0.267,0.286,0.222,0.25,0.273,0.182,0.2,0.333,0.5,0.5,0.146,6,0.333,0,2,0.0,2,1.0,3,2,1,1,1,4,6,13,15.75,0,0,0,,0,0.0,143.8,92.5,51.3,0.182,0.13,0.333,99.26,0.667,0.333,0.667,0.0,0.0,0.0,1.0,0.0,0.417,0.5,0.198,0.333,0,0,0,0,3,7,0,10,7,3,
2015-12-05,Jared Sullinger,BOS,SAS,C,26:45,0.129,0.125,0.133,0.286,0.4,0.286,0.1,0.0,0.333,0.222,0.069,6,0.167,0,2,0.0,2,1.0,8,4,0,1,1,2,4,-3,20.5,13,47,37,0.1081,2,0.5,103.4,109.0,-5.6,0.182,0.195,0.167,100.55,0.667,0.333,0.5,0.0,0.0,0.5,0.0,1.0,0.573,0.188,0.143,0.211,0,0,2,2,8,3,3,26,3,3,
