DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jason Smith,WAS,MIA,,9:46,0.185,0.167,0.0,0.0,0.333,0.25,1.0,0.0,0.0,0.5,0.0,3,0.0,0,0,0.0,0,0.0,3,1,0,0,1,3,0,0,4.5,0,0,0,,0,0.0,101.7,102.3,-0.6,0.143,0.158,0.0,101.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,0.5,0.097,0.111,0,0,0,0,0,0,6,12,0,0,
2016-10-06,Jason Smith,WAS,PHI,,16:45,0.174,0.222,0.333,0.0,0.5,0.3,0.0,0.0,0.0,0.1,0.114,6,0.333,0,2,0.0,0,0.0,7,3,0,0,0,1,4,8,16.5,0,0,0,,0,0.0,108.0,86.5,21.5,0.273,0.241,0.333,91.13,0.667,0.333,1.0,0.0,1.0,0.0,1.0,0.0,0.426,0.185,0.224,0.294,4,0,0,0,0,2,6,4,2,0,NBA TV
2016-10-10,Jason Smith,WAS,NYK,F,21:47,0.163,0.205,0.182,0.0,0.1,0.0,0.0,0.167,0.5,0.0,0.103,8,0.25,0,2,0.0,0,0.0,2,0,1,1,0,0,4,-5,10.5,0,0,0,,0,0.0,92.4,103.7,-11.3,0.0,0.05,0.25,93.25,0.75,0.25,1.0,0.0,0.0,0.5,0.5,0.5,0.581,0.027,0.236,0.278,0,0,2,2,6,5,0,14,5,0,NBA TV
2016-10-13,Jason Smith,WAS,PHI,,8:00,0.165,0.188,0.2,0.0,0.429,0.0,0.0,0.5,1.0,0.333,0.143,3,0.333,0,1,0.0,0,0.0,3,0,2,2,0,1,2,8,13.75,0,0,0,,0,0.0,81.4,35.8,45.6,0.0,0.176,0.333,101.88,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.5,0.477,0.143,0,0,0,0,0,0,0,2,0,0,
2016-10-21,Jason Smith,WAS,TOR,,17:34,0.312,0.333,0.273,0.0,0.313,0.143,0.4,0.333,0.0,0.3,0.323,10,0.5,0,3,0.0,0,0.0,5,1,1,0,2,3,10,0,18.5,0,0,0,,0,0.0,92.5,93.1,-0.7,0.143,0.147,0.5,91.26,0.7,0.3,1.0,0.0,0.2,0.4,0.6,0.4,0.42,0.48,0.21,0.267,2,0,2,4,8,8,12,16,8,0,
2015-10-28,Jason Smith,ORL,WAS,,4:41,0.155,0.167,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.5,0.286,2,0.5,0,0,0.0,0,0.0,1,0,1,0,0,1,2,-5,5.25,4,9,7,0.0,0,0.0,58.9,111.5,-52.6,0.0,0.071,0.5,116.02,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.4,0.186,0.429,0,0,0,0,0,4,2,6,4,0,
2015-11-01,Jason Smith,ORL,CHI,,14:12,0.248,0.292,0.4,0.5,0.143,0.2,0.0,0.0,0.5,0.2,0.364,7,0.429,1,2,0.5,2,0.5,2,1,0,2,0,1,8,7,16.25,6,27,18,0.0556,3,0.333,76.5,50.6,25.9,0.167,0.065,0.5,98.72,0.714,0.286,0.5,0.375,0.5,0.0,1.0,0.0,0.192,0.231,0.236,0.353,4,0,2,0,4,0,2,6,0,1,
2015-11-03,Jason Smith,ORL,NOP,,16:16,0.277,0.286,0.0,0.333,0.167,0.0,0.2,0.0,0.0,0.222,0.14,8,0.25,0,0,0.0,2,1.0,3,0,0,0,1,2,6,12,9.25,6,33,22,0.0,0,0.0,127.8,89.0,38.8,0.0,0.1,0.25,101.04,1.0,0.0,0.667,0.0,0.0,0.0,1.0,0.0,0.339,0.355,0.086,0.2,0,0,0,0,7,4,2,12,4,1,
2015-11-04,Jason Smith,ORL,HOU,,9:52,0.264,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,0.348,5,0.8,0,0,0.0,0,0.0,0,0,0,1,1,1,8,-2,9.5,2,15,9,0.0,0,0.0,110.8,119.3,-8.5,0.0,0.0,0.8,101.5,1.0,0.0,1.0,0.0,0.0,0.25,1.0,0.0,0.692,0.692,0.239,0.2,0,0,0,2,3,2,3,6,2,0,
2015-11-06,Jason Smith,ORL,TOR,,7:29,0.06,0.071,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.6,0.0,1,0.0,0,0,0.0,0,0.0,3,0,0,0,0,3,0,3,3.75,8,12,11,0.0,0,0.0,95.2,85.2,10.0,0.0,0.176,0.0,95.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.583,0.071,0.25,0,0,0,0,3,0,0,6,0,0,
