DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jaylen Brown,BOS,PHI,,20:40,0.195,0.22,0.167,0.0,0.25,0.4,0.167,0.25,0.0,0.286,0.229,9,0.444,0,1,0.0,0,0.0,4,4,1,0,1,2,8,-6,19.5,0,0,0,,0,0.0,72.3,94.0,-21.6,0.4,0.105,0.444,106.85,0.889,0.111,1.0,0.0,0.75,0.75,0.75,0.25,0.565,0.194,0.275,0.133,6,0,0,6,4,4,4,22,4,0,
2016-10-06,Jaylen Brown,BOS,CHA,,21:44,0.273,0.275,0.333,0.286,0.2,0.0,0.25,0.2,0.0,0.2,0.245,11,0.364,2,5,0.4,4,0.5,5,0,1,0,2,2,12,7,20.25,0,0,0,,0,0.0,101.7,85.8,16.0,0.0,0.109,0.455,107.25,0.545,0.455,0.333,0.5,0.167,0.333,0.5,0.5,0.405,0.214,0.143,0.174,2,2,5,4,5,3,5,18,3,3,
2016-10-08,Jaylen Brown,BOS,CHA,G,26:32,0.177,0.2,0.235,0.0,0.2,0.083,0.143,0.333,0.0,0.182,0.063,10,0.2,0,4,0.0,0,0.0,3,1,2,0,1,2,4,14,12.5,0,0,0,,0,0.0,106.2,87.3,18.9,0.045,0.073,0.2,106.34,0.6,0.4,1.0,0.0,0.5,1.0,0.0,1.0,0.424,0.261,0.227,0.35,2,2,2,4,2,6,3,24,6,3,NBA TV
2016-10-13,Jaylen Brown,BOS,BKN,,22:16,0.154,0.136,0.063,0.444,0.074,0.2,0.111,0.143,0.0,0.0,0.222,6,0.5,0,1,0.0,4,1.0,2,3,1,0,1,0,10,4,17.75,0,0,0,,0,0.0,86.6,79.8,6.8,0.2,0.041,0.5,111.41,0.833,0.167,0.6,0.0,0.0,0.6,1.0,0.0,0.425,0.25,0.195,0.12,0,2,2,6,11,4,5,18,4,2,
2016-10-15,Jaylen Brown,BOS,NYK,,24:43,0.211,0.167,0.111,0.333,0.2,0.1,0.25,0.125,1.0,0.182,0.207,6,0.667,0,1,0.0,8,0.5,3,1,1,1,2,2,12,9,20.0,0,0,0,,0,0.0,112.5,96.4,16.1,0.059,0.077,0.667,99.43,0.833,0.167,0.667,0.0,0.25,0.667,0.25,0.75,0.433,0.244,0.256,0.5,3,2,2,8,13,9,0,14,9,5,NBA TV
2016-10-17,Jaylen Brown,BOS,BKN,,19:50,0.191,0.205,0.133,0.077,0.0,0.091,0.2,0.2,0.0,0.455,0.25,8,0.625,1,2,0.5,1,1.0,0,1,1,0,2,5,12,4,14.75,0,0,0,,0,0.0,98.5,98.1,0.4,0.083,0.0,0.688,113.22,0.75,0.25,0.667,0.25,0.25,0.667,1.0,0.0,0.527,0.297,0.156,0.182,3,2,0,8,17,0,15,24,0,0,
2016-10-19,Jaylen Brown,BOS,NYK,F,27:02,0.323,0.298,0.286,0.714,0.12,0.0,0.231,0.0,0.0,0.278,0.304,14,0.357,2,4,0.5,10,0.5,3,0,0,0,3,5,17,-17,20.25,0,0,0,,0,0.0,94.7,120.5,-25.9,0.0,0.061,0.429,106.26,0.714,0.286,0.353,0.353,0.059,0.235,0.8,0.2,0.55,0.48,0.083,0.217,1,1,0,4,19,10,14,30,10,5,ESPN
2016-10-26,Jaylen Brown,BOS,BKN,,19:27,0.151,0.108,0.0,0.667,0.125,0.063,0.2,0.167,0.333,0.111,0.161,4,0.75,0,0,0.0,4,0.75,2,1,1,2,1,1,9,0,18.25,4,18,11,0.0909,4,0.75,137.8,134.9,2.9,0.05,0.067,0.75,101.38,1.0,0.0,0.667,0.0,0.222,0.444,0.667,0.333,0.667,0.222,0.145,0.25,2,0,2,4,5,4,2,16,4,2,
2016-10-27,Jaylen Brown,BOS,CHI,,20:26,0.208,0.226,0.1,0.0,0.063,0.167,0.333,0.0,0.0,0.231,0.216,7,0.571,0,1,0.0,0,0.0,1,1,0,0,1,3,8,-6,10.0,4,24,16,0.0625,4,0.75,98.9,101.5,-2.6,0.1,0.024,0.571,93.66,0.857,0.143,1.0,0.0,0.25,1.0,0.5,0.5,0.419,0.514,0.094,0.318,2,2,0,8,5,6,2,16,6,0,TNT
2016-10-29,Jaylen Brown,BOS,CHA,,15:26,0.206,0.25,0.0,0.2,0.067,0.0,0.0,0.0,0.0,0.091,0.259,6,0.5,0,0,0.0,1,1.0,1,0,0,0,0,1,7,-1,8.25,2,16,9,0.0,4,0.5,92.5,98.2,-5.7,0.0,0.034,0.5,89.76,1.0,0.0,0.857,0.0,0.0,0.857,0.667,0.333,0.404,0.308,0.035,0.133,0,0,0,6,4,4,0,14,4,1,
