DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jeff Green,ORL,MEM,,14:01,0.312,0.381,0.333,0.0,0.167,0.25,0.25,0.0,0.0,0.214,0.179,8,0.25,1,2,0.5,0,0.0,1,1,0,0,2,3,5,-11,7.0,0,0,0,,0,0.0,87.3,139.1,-51.8,0.125,0.056,0.313,102.94,0.75,0.25,0.4,0.6,0.0,0.4,0.0,1.0,0.75,0.889,0.178,0.25,0,0,0,2,9,1,7,12,1,1,
2016-10-05,Jeff Green,ORL,CLE,F,24:11,0.302,0.316,0.385,0.3,0.25,0.077,0.2,0.0,0.0,0.167,0.358,12,0.5,3,5,0.6,6,0.667,4,1,0,0,1,2,19,-2,26.25,0,0,0,,0,0.0,110.9,114.2,-3.3,0.1,0.111,0.625,95.23,0.583,0.417,0.316,0.474,0.368,0.316,0.667,0.333,0.691,0.412,0.187,0.077,7,4,0,6,6,2,6,12,2,3,NBA TV
2016-10-12,Jeff Green,ORL,SAS,,23:34,0.29,0.324,0.231,0.273,0.12,0.167,0.182,0.0,0.0,0.286,0.353,12,0.583,1,3,0.333,3,1.0,3,2,0,0,2,2,18,11,23.75,0,0,0,,0,0.0,104.4,82.2,22.2,0.182,0.068,0.625,99.27,0.75,0.25,0.667,0.167,0.333,0.556,0.571,0.429,0.407,0.14,0.185,0.222,6,0,0,10,13,4,8,14,4,2,
2016-10-14,Jeff Green,ORL,IND,,22:60,0.265,0.275,0.308,0.417,0.037,0.0,0.167,0.167,0.0,0.25,0.267,11,0.455,2,4,0.5,5,0.8,1,0,1,0,2,3,16,10,19.25,0,0,0,,0,0.0,114.8,94.8,19.9,0.0,0.021,0.545,109.6,0.636,0.364,0.375,0.375,0.063,0.125,0.8,0.2,0.438,0.271,0.114,0.241,1,0,0,2,18,9,9,30,9,3,
2016-10-18,Jeff Green,ORL,MIA,F,25:05,0.139,0.178,0.4,0.0,0.182,0.111,0.0,0.5,0.333,0.333,0.128,8,0.375,0,2,0.0,0,0.0,4,1,1,1,0,3,6,-9,16.25,0,0,0,,0,0.0,89.2,106.6,-17.5,0.067,0.089,0.375,100.69,0.75,0.25,1.0,0.0,0.0,1.0,0.667,0.333,0.545,0.182,0.152,0.15,0,2,2,6,10,5,12,28,5,1,
2016-10-20,Jeff Green,ORL,NOP,,15:55,0.242,0.174,0.333,0.571,0.444,0.167,0.167,0.0,0.0,0.5,0.353,4,0.5,1,3,0.333,8,0.875,4,1,0,0,1,3,12,-2,18.25,0,0,0,,0,0.0,99.5,107.0,-7.5,0.125,0.19,0.625,102.23,0.25,0.75,0.167,0.25,0.0,0.0,1.0,0.0,0.574,0.222,0.149,0.111,0,0,0,0,8,1,5,16,1,4,
2015-10-28,Jeff Green,MEM,CLE,F,20:04,0.238,0.265,0.333,0.25,0.083,0.5,0.0,0.0,0.0,0.455,0.296,9,0.333,1,3,0.333,2,0.5,1,2,0,0,0,5,8,-21,12.25,7,37,24,0.0833,4,0.25,68.3,117.5,-49.2,0.286,0.023,0.389,96.11,0.667,0.333,0.5,0.375,0.25,0.25,0.333,0.667,0.6,0.314,0.196,0.412,2,1,0,2,6,7,17,20,7,1,
2015-10-29,Jeff Green,MEM,IND,,29:08,0.137,0.13,0.167,0.0,0.12,0.176,0.273,0.125,0.333,0.278,0.154,6,0.833,2,2,1.0,0,0.0,3,3,1,1,3,5,12,14,23.0,4,37,26,0.1154,3,0.667,128.3,104.3,24.0,0.13,0.07,1.0,100.64,0.667,0.333,0.5,0.5,0.0,0.167,0.6,0.4,0.553,0.404,0.196,0.231,0,0,0,2,10,7,5,12,7,1,
2015-10-31,Jeff Green,MEM,BKN,,27:00,0.165,0.106,0.2,0.556,0.16,0.357,0.0,0.0,0.0,0.25,0.22,5,0.4,1,3,0.333,10,0.8,4,5,0,0,0,3,13,11,24.75,7,47,35,0.1429,0,0.0,118.2,96.5,21.6,0.294,0.078,0.5,88.57,0.4,0.6,0.154,0.231,0.0,0.0,1.0,0.0,0.432,0.295,0.08,0.182,0,5,2,0,2,4,2,24,4,7,
2015-11-02,Jeff Green,MEM,GSW,,19:36,0.231,0.2,0.111,0.0,0.176,0.111,0.6,0.0,0.0,0.2,0.08,8,0.125,0,1,0.0,0,0.0,3,1,0,0,3,1,2,-17,5.5,5,32,20,0.05,6,0.167,54.8,101.9,-47.2,0.111,0.068,0.125,106.33,0.875,0.125,1.0,0.0,0.0,0.0,1.0,0.0,0.487,0.128,0.121,0.25,0,0,0,0,3,8,4,18,8,0,NBA TV
