DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Jeff Teague,IND,NOP,G,25:50,0.209,0.246,0.313,0.111,0.129,0.286,0.0,0.333,0.0,0.214,0.169,14,0.357,0,5,0.0,1,0.0,4,4,2,0,0,3,10,3,24.0,0,0,0,,0,0.0,96.8,97.8,-1.0,0.211,0.073,0.357,109.81,0.643,0.357,1.0,0.0,0.2,0.8,0.2,0.8,0.463,0.512,0.14,0.042,2,2,0,8,5,4,7,14,4,2,
2016-10-06,Jeff Teague,IND,CHI,G,25:52,0.271,0.226,0.25,0.286,0.2,0.353,0.5,0.25,0.0,0.182,0.154,12,0.333,2,3,0.667,2,0.0,6,6,2,0,5,2,10,15,27.5,0,0,0,,0,0.0,110.0,82.5,27.5,0.261,0.12,0.417,111.04,0.75,0.25,0.4,0.6,0.0,0.4,0.0,1.0,0.4,0.333,0.182,0.08,0,0,3,4,10,4,6,20,4,1,
2016-10-08,Jeff Teague,IND,CHI,G,24:49,0.305,0.295,0.167,0.429,0.125,0.231,0.273,0.143,0.0,0.214,0.344,13,0.615,0,1,0.0,6,0.833,3,3,1,0,3,3,21,4,29.0,0,0,0,,0,0.0,104.9,99.6,5.3,0.188,0.07,0.615,111.6,0.923,0.077,0.762,0.0,0.286,0.667,0.375,0.625,0.513,0.538,0.21,0.125,6,10,0,14,12,2,7,20,2,5,
2016-10-12,Jeff Teague,IND,MIL,G,21:34,0.301,0.278,0.2,0.667,0.143,0.286,0.286,1.0,0.0,0.083,0.357,10,0.5,1,2,0.5,4,1.0,2,2,1,0,2,1,15,-8,21.5,0,0,0,,0,0.0,96.2,112.4,-16.2,0.182,0.057,0.55,98.06,0.8,0.2,0.533,0.2,0.267,0.4,0.2,0.8,0.559,0.5,0.157,0.25,4,4,0,6,7,2,5,30,2,4,
2016-10-14,Jeff Teague,IND,ORL,G,34:11,0.18,0.155,0.333,0.3,0.087,0.222,0.222,0.0,0.25,0.154,0.195,9,0.556,2,4,0.5,6,0.667,2,4,0,1,2,2,16,10,25.5,0,0,0,,0,0.0,114.2,99.7,14.5,0.154,0.035,0.667,101.13,0.556,0.444,0.375,0.375,0.063,0.375,0.2,0.8,0.519,0.396,0.277,0.345,1,3,0,6,13,12,13,28,12,5,
2016-10-19,Jeff Teague,IND,MIL,G,26:36,0.154,0.118,0.214,0.4,0.063,0.389,0.25,0.25,0.5,0.143,0.095,6,0.167,1,3,0.333,4,0.75,1,7,2,1,2,2,6,-1,21.5,0,0,0,,0,0.0,107.9,108.0,-0.2,0.304,0.024,0.25,106.14,0.5,0.5,0.0,0.5,0.333,0.0,1.0,0.0,0.575,0.525,0.27,0.353,2,1,0,0,8,6,7,22,6,2,
2015-10-27,Jeff Teague,ATL,DET,G,31:52,0.341,0.314,0.176,0.308,0.077,0.364,0.5,0.0,0.0,0.063,0.34,16,0.438,1,3,0.333,4,0.75,2,4,0,0,5,1,18,-23,23.5,4,77,54,0.0741,6,0.5,83.2,116.3,-33.1,0.308,0.027,0.469,97.22,0.813,0.188,0.667,0.167,0.111,0.444,0.286,0.714,0.443,0.271,0.107,0.465,2,8,0,8,18,12,10,22,12,2,
2015-10-29,Jeff Teague,ATL,NYK,G,29:45,0.266,0.222,0.133,0.556,0.16,0.421,0.273,0.125,0.0,0.091,0.291,12,0.583,0,2,0.0,10,0.9,4,8,1,0,3,1,23,18,38.5,5,73,53,0.1509,7,0.714,113.0,86.3,26.7,0.364,0.07,0.583,113.46,0.833,0.167,0.609,0.0,0.217,0.609,0.143,0.857,0.369,0.2,0.184,0.371,5,12,0,14,13,8,13,36,8,6,TNT
2015-10-30,Jeff Teague,ATL,CHA,G,33:41,0.237,0.233,0.211,0.118,0.034,0.286,0.375,0.0,0.333,0.154,0.206,14,0.429,0,4,0.0,2,1.0,1,4,0,1,3,2,14,-3,20.75,4,68,48,0.0833,7,0.429,97.9,99.9,-2.0,0.211,0.014,0.429,100.16,0.714,0.286,0.857,0.0,0.143,0.429,0.167,0.833,0.5,0.108,0.211,0.343,2,0,0,6,5,15,9,24,15,4,
2015-11-01,Jeff Teague,ATL,CHA,G,32:11,0.278,0.276,0.211,0.4,0.194,0.333,0.2,0.333,0.0,0.2,0.3,16,0.375,2,4,0.5,4,1.0,6,4,1,0,1,2,18,-3,33.0,9,75,55,0.0727,10,0.3,94.6,100.8,-6.1,0.235,0.088,0.438,93.91,0.75,0.25,0.444,0.333,0.222,0.444,0.167,0.833,0.444,0.129,0.096,0.25,4,4,0,8,4,11,6,18,11,4,
