DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Jeff Withey,UTA,POR,,9:20,0.05,0.0,0.0,0.0,0.333,0.0,0.143,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,3,0,0,0,1,0,0,-3,3.25,0,0,0,,0,0.0,55.9,75.6,-19.7,0.0,0.2,0.0,90.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.417,0.233,0.125,0,0,0,0,5,1,3,6,1,0,NBA TV
2016-10-05,Jeff Withey,UTA,PHX,,17:08,0.196,0.24,0.0,0.0,0.188,0.0,0.182,0.0,0.4,0.273,0.069,6,0.167,0,0,0.0,0,0.0,3,0,0,2,2,3,2,-2,8.75,0,0,0,,0,0.0,78.7,82.9,-4.2,0.0,0.091,0.167,103.99,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.324,0.294,0.214,0.429,0,0,0,2,12,9,2,14,9,0,NBA TV
2016-10-10,Jeff Withey,UTA,LAC,,13:11,0.235,0.125,0.0,0.5,0.2,0.0,0.286,0.0,1.0,0.571,0.16,2,0.0,0,0,0.0,6,0.667,3,0,0,1,2,4,4,-3,8.75,0,0,0,,0,0.0,98.9,102.2,-3.3,0.0,0.125,0.0,95.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.4,0.036,0.2,0,0,0,0,8,7,2,8,7,3,NBA TV
2016-10-17,Jeff Withey,UTA,LAC,,10:39,0.224,0.222,0.0,0.0,0.25,0.0,0.286,1.0,1.0,0.286,0.273,4,0.75,0,0,0.0,0,0.0,3,0,1,1,2,2,6,5,12.75,0,0,0,,0,0.0,85.4,77.0,8.4,0.0,0.158,0.75,107.81,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.306,0.389,0.136,0.154,0,0,0,6,2,3,2,4,3,0,
2016-10-19,Jeff Withey,UTA,POR,,17:07,0.169,0.103,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.5,0.273,3,0.333,0,0,0.0,7,1.0,4,0,0,0,0,1,9,6,14.0,0,0,0,,0,0.0,99.8,82.4,17.3,0.0,0.129,0.333,92.32,1.0,0.0,0.222,0.0,0.222,0.222,1.0,0.0,0.442,0.154,0.183,0.071,2,2,0,2,5,0,3,12,0,4,
2015-10-31,Jeff Withey,UTA,IND,,1:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,0.0,0,0,0,,0,0.0,159.6,0.0,159.6,0.0,0.0,0.0,68.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-13,Jeff Withey,UTA,ORL,,24:22,0.107,0.127,0.0,0.0,0.269,0.0,0.0,0.1,0.5,0.333,0.14,7,0.571,0,0,0.0,0,0.0,7,0,1,2,0,2,8,11,22.75,17,37,28,0.0,7,0.571,105.0,88.3,16.7,0.0,0.156,0.571,104.76,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0.25,0.513,0.179,0.269,0.211,0,0,2,8,6,4,4,12,4,2,
2015-11-15,Jeff Withey,UTA,ATL,,6:07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,2.0,0,7,7,0.0,0,0.0,97.6,108.3,-10.7,0.0,0.0,0.0,99.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.0,0.25,0.0,0,0,0,0,0,2,0,8,2,0,
2015-11-18,Jeff Withey,UTA,TOR,,7:52,0.1,0.067,0.0,0.0,0.125,0.0,0.2,0.0,0.5,0.333,0.182,1,1.0,0,0,0.0,0,0.0,1,0,0,1,1,1,2,-4,4.75,2,12,10,0.0,1,1.0,61.1,81.9,-20.8,0.0,0.071,1.0,110.74,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.231,0.218,0.0,0,0,0,2,3,0,2,6,0,0,
2015-11-20,Jeff Withey,UTA,DAL,,1:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-3,0.0,2,4,4,0.0,0,0.0,50.0,128.9,-78.9,0.0,0.0,0.0,104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,0.0,0.0,0,0,0,0,2,0,3,0,0,0,
2015-11-23,Jeff Withey,UTA,OKC,,14:14,0.141,0.091,0.0,0.308,0.333,0.0,0.167,0.333,1.0,0.2,0.133,2,0.5,0,0,0.0,4,0.5,5,0,1,1,1,1,4,1,13.75,7,33,29,0.0,1,0.0,104.5,97.1,7.4,0.0,0.185,0.5,98.81,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.54,0.08,0.201,0.167,0,0,2,0,6,2,5,6,2,2,
2015-11-25,Jeff Withey,UTA,LAC,,1:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-6,0.0,0,2,1,0.0,0,0.0,0.0,200.0,-200.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2015-11-28,Jeff Withey,UTA,NOP,,7:07,0.188,0.125,0.0,0.333,0.25,0.5,0.5,1.0,1.0,0.75,0.0,2,0.0,0,0,0.0,2,0.0,3,1,2,1,1,3,0,6,10.5,4,15,11,0.0909,2,0.0,95.6,62.7,32.9,0.25,0.158,0.0,92.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.235,0.0,0,0,0,0,0,0,0,2,0,1,
2015-12-03,Jeff Withey,UTA,ORL,,10:00,0.139,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.75,0.2,0.2,3,0.667,0,0,0.0,0,0.0,3,0,0,3,0,1,4,3,13.75,13,16,11,0.0,3,0.667,102.5,81.4,21.0,0.0,0.176,0.667,96.96,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.341,0.091,0.048,0.273,0,0,2,4,0,6,2,8,6,1,
2015-12-05,Jeff Withey,UTA,IND,,9:28,0.176,0.133,0.0,0.0,0.222,0.0,0.333,0.0,1.0,0.143,0.133,2,0.5,0,0,0.0,0,0.0,2,0,0,1,2,1,2,0,5.5,3,14,10,0.0,1,0.0,80.0,82.4,-2.5,0.0,0.111,0.5,93.77,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.393,0.357,0.22,0.286,0,2,0,2,2,2,2,6,2,1,
2015-12-08,Jeff Withey,UTA,SAC,,13:15,0.098,0.107,0.0,0.0,0.357,0.0,0.0,0.0,0.0,0.167,0.0,3,0.0,0,0,0.0,0,0.0,5,0,0,0,0,1,0,8,6.25,9,17,13,0.0,3,0.0,133.3,107.2,26.1,0.0,0.2,0.0,87.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.136,0.172,0.333,0,0,0,0,2,4,0,8,4,1,NBA TV
